URL,Institution,Conference,G,Goals,Assists,Points,Shots,SOG,Man-Up G,Man-Down G,GB,TO,CT,FO Won,FOs Taken,Pen,Pen Time,G Min,Goals Allowed,Saves,RC,YC,Clears,Att,Clear Pct,OTG
https://stats.ncaa.org/team/352/16320,Lehigh,Lehigh,Patriot,3,44,26,70,131,80,4,,105,62,30,54,88,14,840,180:00:00,35,39,,,60,73,0.822,,
https://stats.ncaa.org/team/30136/16320,Lindenwood,ASUN,2,11,5,16,64,33,2,,44,42,19,15,44,6,270,120:00:00,25,21,,,36,52,0.692,,
https://stats.ncaa.org/team/369/16320,Loyola Maryland,Loyola Maryland,Patriot,3,31,19,50,99,65,5,,90,44,30,26,66,6,300,180:00:00,25,46,,,64,74,0.865,,
https://stats.ncaa.org/team/381/16320,Manhattan,Manhattan,MAAC,4,35,22,57,141,84,4,,112,68,26,40,79,9,420,240:00:00,32,62,,,73,83,0.88,,
https://stats.ncaa.org/team/386/16320,Marist,Marist,MAAC,4,34,17,51,150,88,2,,129,63,27,51,112,11,480,228:24:00,64,50,,,69,85,0.812,,
https://stats.ncaa.org/team/387/16320,Marquette,Marquette,Big East,4,57,28,85,141,97,9,1,117,72,31,61,117,17,1,050,240:00:00,50,37,,,72,86,0.837,,
https://stats.ncaa.org/team/392/16320,Maryland,Maryland,Big Ten,4,48,34,82,171,110,7,,151,72,41,67,96,9,480,240:00:00,33,43,,,82,91,0.901,,
https://stats.ncaa.org/team/400/16320,Massachusetts,Massachusetts,Atlantic 10,3,27,15,42,96,61,2,,73,51,31,28,57,9,480,180:00:00,23,40,,,60,71,0.845,,
https://stats.ncaa.org/team/406/16320,Mercer,Mercer,ASUN,4,29,20,49,135,73,7,,126,86,33,52,110,19,660,239:08:00,67,46,,,66,92,0.717,,
https://stats.ncaa.org/team/410/16320,Merrimack,Merrimack,America East,5,58,33,91,158,109,2,,158,92,36,52,128,24,1,260,300:00:00,49,65,,,102,118,0.864,,
https://stats.ncaa.org/team/418/16320,Michigan,Michigan,Big Ten,4,52,31,83,155,106,3,,123,57,35,62,111,13,630,240:00:00,49,40,,,65,79,0.823,,
https://stats.ncaa.org/team/439/16320,Monmouth,Monmouth,CAA,3,33,14,47,116,64,5,,102,42,21,44,81,12,540,180:00:00,37,29,,,51,56,0.911,,
https://stats.ncaa.org/team/450/16320,Mount St. Mary's,Mount St. Mary's,MAAC,5,39,23,62,167,95,4,,144,100,40,67,129,24,1,170,300:00:00,74,60,,,85,103,0.825,,
https://stats.ncaa.org/team/471/16320,NJIT,NJIT,America East,4,38,16,54,138,75,4,1,113,77,20,49,100,19,1,080,240:00:00,50,65,,,78,92,0.848,,
https://stats.ncaa.org/team/726/16320,Navy,Navy,Patriot,5,63,35,98,232,125,5,,166,76,33,67,124,8,480,300:00:00,44,52,,,105,120,0.875,,
