school,playerstatsurl,matchstatsurl
Akron,https://stats.ncaa.org/team/5/stats/15840,https://stats.ncaa.org/player/game_by_game?org_id=5&game_sport_year_ctl_id=15840&stats_player_seq=-100
American,https://stats.ncaa.org/team/23/stats/15840,https://stats.ncaa.org/player/game_by_game?org_id=23&game_sport_year_ctl_id=15840&stats_player_seq=-100
Arizona St.,https://stats.ncaa.org/team/28/stats/15840,https://stats.ncaa.org/player/game_by_game?org_id=28&game_sport_year_ctl_id=15840&stats_player_seq=-100
Army West Point,https://stats.ncaa.org/team/725/stats/15840,https://stats.ncaa.org/player/game_by_game?org_id=725&game_sport_year_ctl_id=15840&stats_player_seq=-100
Binghamton,https://stats.ncaa.org/team/62/stats/15840,https://stats.ncaa.org/player/game_by_game?org_id=62&game_sport_year_ctl_id=15840&stats_player_seq=-100
Boston College,https://stats.ncaa.org/team/67/stats/15840,https://stats.ncaa.org/player/game_by_game?org_id=67&game_sport_year_ctl_id=15840&stats_player_seq=-100
Boston U.,https://stats.ncaa.org/team/68/stats/15840,https://stats.ncaa.org/player/game_by_game?org_id=68&game_sport_year_ctl_id=15840&stats_player_seq=-100
Brown,https://stats.ncaa.org/team/80/stats/15840,https://stats.ncaa.org/player/game_by_game?org_id=80&game_sport_year_ctl_id=15840&stats_player_seq=-100
Bryant,https://stats.ncaa.org/team/81/stats/15840,https://stats.ncaa.org/player/game_by_game?org_id=81&game_sport_year_ctl_id=15840&stats_player_seq=-100
Bucknell,https://stats.ncaa.org/team/83/stats/15840,https://stats.ncaa.org/player/game_by_game?org_id=83&game_sport_year_ctl_id=15840&stats_player_seq=-100
Butler,https://stats.ncaa.org/team/87/stats/15840,https://stats.ncaa.org/player/game_by_game?org_id=87&game_sport_year_ctl_id=15840&stats_player_seq=-100
California,https://stats.ncaa.org/team/107/stats/15840,https://stats.ncaa.org/player/game_by_game?org_id=107&game_sport_year_ctl_id=15840&stats_player_seq=-100
Campbell,https://stats.ncaa.org/team/115/stats/15840,https://stats.ncaa.org/player/game_by_game?org_id=115&game_sport_year_ctl_id=15840&stats_player_seq=-100
Canisius,https://stats.ncaa.org/team/116/stats/15840,https://stats.ncaa.org/player/game_by_game?org_id=116&game_sport_year_ctl_id=15840&stats_player_seq=-100
Central Conn. St.,https://stats.ncaa.org/team/127/stats/15840,https://stats.ncaa.org/player/game_by_game?org_id=127&game_sport_year_ctl_id=15840&stats_player_seq=-100
Central Mich.,https://stats.ncaa.org/team/129/stats/15840,https://stats.ncaa.org/player/game_by_game?org_id=129&game_sport_year_ctl_id=15840&stats_player_seq=-100
Cincinnati,https://stats.ncaa.org/team/140/stats/15840,https://stats.ncaa.org/player/game_by_game?org_id=140&game_sport_year_ctl_id=15840&stats_player_seq=-100
