URL,Institution,Conference,Goals,Assists,Points,ShAtt,Fouls,Red Cards,Yellow Cards,GC,Goal App,GGS,Goalie Min. Plyd,GA,Saves,Combined Sho,Shutouts,G Wins,G Loss,DSaves,Corners,PK,PK Att
http://stats.ncaa.org/team/26172/15301,A&M-Corpus Christi,Southland,18,14,50,186,139,1,13,,,,1649:51:00,21,120,,5,,,,64,,1
http://stats.ncaa.org/team/2/15301,Abilene Christian,Southland,30,18,78,356,160,1,8,,,,1960:00:00,22,89,,9,,,,110,5,6
http://stats.ncaa.org/team/721/15301,Air Force,Mountain West,3,2,8,86,61,,3,,,,732:51:00,16,42,,1,,,,32,1,3
http://stats.ncaa.org/team/5/15301,Akron,MAC,8,8,24,71,75,,2,,,,830:00:00,13,48,,3,,,,35,,1
http://stats.ncaa.org/team/8/15301,Alabama,SEC,20,17,57,172,180,1,16,,,,1580:09:00,21,77,,5,,,,95,2,2
http://stats.ncaa.org/team/6/15301,Alabama A&M,SWAC,8,3,19,101,42,1,6,,,,730:07:00,7,39,,4,,,,39,2,2
http://stats.ncaa.org/team/7/15301,Alabama St.,SWAC,29,21,79,137,73,,13,,,,1104:45:00,24,61,2,4,,,,44,2,2
http://stats.ncaa.org/team/17/15301,Alcorn,SWAC,11,5,27,64,51,,5,,,,1008:01:00,36,87,1,1,,,,14,2,3
http://stats.ncaa.org/team/23/15301,American,Patriot,1,1,3,39,42,,2,,,,470:00:00,9,23,,,,,,14,,
http://stats.ncaa.org/team/27/15301,App State,Sun Belt,12,8,32,129,157,,13,,,,1691:05:00,33,75,,6,,,,95,2,4
http://stats.ncaa.org/team/29/15301,Arizona,Pac-12,24,21,69,199,151,1,12,,,,1370:00:00,12,62,1,7,,,,78,,2
http://stats.ncaa.org/team/28/15301,Arizona St.,Pac-12,28,26,82,240,137,,9,,,,1616:13:00,16,58,1,6,,,,86,1,1
http://stats.ncaa.org/team/2678/15301,Ark.-Pine Bluff,SWAC,21,19,61,152,52,,10,,,,1170:00:00,27,58,,2,,,,51,,5
http://stats.ncaa.org/team/31/15301,Arkansas,SEC,37,36,110,248,152,,18,,,,1440:23:00,22,53,1,2,,,,90,,1
http://stats.ncaa.org/team/30/15301,Arkansas St.,Sun Belt,25,13,63,221,161,1,13,,,,1562:38:00,10,59,,11,,,,78,4,5
http://stats.ncaa.org/team/725/15301,Army West Point,Patriot,10,6,26,57,29,,2,,,,471:23:00,2,15,,3,,,,16,,
http://stats.ncaa.org/team/37/15301,Auburn,SEC,27,30,84,243,146,1,10,,,,1728:49:00,15,84,2,8,,,,116,2,2
http://stats.ncaa.org/team/43/15301,Austin Peay,OVC,11,9,31,85,79,,5,,,,965:06:00,17,44,,,,,,34,,
http://stats.ncaa.org/team/47/15301,Ball St.,MAC,13,12,38,124,96,,3,,,,937:22:00,9,26,,4,,,,62,1,1
http://stats.ncaa.org/team/51/15301,Baylor,Big 12,16,12,44,214,147,,10,,,,1249:46:00,11,60,,7,,,,68,,2
http://stats.ncaa.org/team/52/15301,Bellarmine,ASUN,6,4,16,105,80,,2,,,,1050:00:00,11,42,,3,,,,38,,
http://stats.ncaa.org/team/14927/15301,Belmont,OVC,11,11,33,97,69,,,,,,923:00:00,8,60,1,4,,,,34,,
http://stats.ncaa.org/team/62/15301,Binghamton,America East,11,7,29,92,85,,9,,,,723:40:00,4,27,1,4,,,,28,,2
http://stats.ncaa.org/team/66/15301,Boise St.,Mountain West,10,7,27,115,108,1,7,,,,920:00:00,8,28,1,5,,,,35,,1
http://stats.ncaa.org/team/67/15301,Boston College,ACC,17,13,47,160,113,,5,,,,1322:36:00,27,71,,2,,,,71,1,2
http://stats.ncaa.org/team/68/15301,Boston U.,Patriot,4,5,13,55,34,,,,,,480:33:00,4,17,,2,,,,18,,
http://stats.ncaa.org/team/71/15301,Bowling Green,MAC,17,11,45,126,113,,9,,,,743:54:00,3,17,2,6,,,,55,3,3
http://stats.ncaa.org/team/81/15301,Bryant,NEC,5,4,14,85,62,,2,,,,740:00:00,11,44,,3,,,,28,,1
http://stats.ncaa.org/team/83/15301,Bucknell,Patriot,1,1,3,64,47,,2,,,,490:00:00,2,32,3,3,,,,28,,
http://stats.ncaa.org/team/86/15301,Buffalo,MAC,17,18,52,123,72,,5,,,,757:05:00,5,28,1,4,,,,33,3,3
http://stats.ncaa.org/team/87/15301,Butler,Big East,39,26,104,168,95,,7,,,,1098:14:00,9,44,,5,,,,56,2,2
http://stats.ncaa.org/team/77/15301,BYU,WCC,47,38,132,296,143,1,4,,,,1466:12:00,19,60,1,4,,,,99,4,4
http://stats.ncaa.org/team/107/15301,California,Pac-12,11,6,28,154,111,,4,,,,1205:24:00,17,68,,4,,,,50,1,1
http://stats.ncaa.org/team/30135/15301,California Baptist,WAC,37,39,113,327,182,,8,,,,1592:08:00,15,55,,6,,,,100,,
http://stats.ncaa.org/team/115/15301,Campbell,Big South,26,30,82,236,111,,8,,,,1214:30:00,11,24,1,6,,,,139,,
http://stats.ncaa.org/team/116/15301,Canisius,MAAC,6,6,18,57,67,,3,,,,630:00:00,18,30,,1,,,,22,,
http://stats.ncaa.org/team/1004/15301,Central Ark.,Southland,38,30,106,320,152,2,13,,,,2131:03:00,35,76,,7,,,,114,3,6
http://stats.ncaa.org/team/127/15301,Central Conn. St.,NEC,19,16,54,138,88,,4,,,,720:00:00,4,18,,6,,,,47,1,1
http://stats.ncaa.org/team/129/15301,Central Mich.,MAC,15,10,40,136,67,,2,,,,827:22:00,9,23,,3,,,,56,,1
http://stats.ncaa.org/team/48/15301,Charleston So.,Big South,4,3,11,77,52,,2,,,,860:26:00,11,33,,2,,,,28,,
http://stats.ncaa.org/team/458/15301,Charlotte,C-USA,13,10,36,126,106,,10,,,,1083:35:00,12,56,1,4,,,,45,1,2
http://stats.ncaa.org/team/693/15301,Chattanooga,SoCon,11,10,32,109,113,,8,,,,1022:21:00,6,33,1,6,,,,31,1,1
http://stats.ncaa.org/team/136/15301,Chicago St.,WAC,7,3,17,87,182,,20,,,,1530:00:00,80,138,,,,,,21,1,1
