URL,Institution,Conference,Goals,Assists,Points,ShAtt,Fouls,Red Cards,Yellow Cards,GC,Goal App,GGS,Goalie Min. Plyd,GA,Saves,Combined Sho,Shutouts,G Wins,G Loss,DSaves,Corners,PK,PK Att
http://stats.ncaa.org/team/140/15301,Cincinnati,AAC,11,11,33,123,112,,11,,,,1014:35:00,14,39,,3,,,,31,1,1
http://stats.ncaa.org/team/147/15301,Clemson,ACC,33,30,96,226,196,1,15,,,,1768:34:00,15,79,1,6,,,,75,2,4
http://stats.ncaa.org/team/148/15301,Cleveland St.,Horizon,25,20,70,151,83,1,3,,,,922:47:00,15,36,1,2,,,,55,3,3
http://stats.ncaa.org/team/149/15301,Coastal Carolina,Sun Belt,18,13,49,129,115,,6,,,,1377:59:00,28,89,,5,,,,55,,1
http://stats.ncaa.org/team/1014/15301,Col. of Charleston,CAA,4,1,9,67,74,,5,,,,830:00:00,21,33,,1,,,,27,1,1
http://stats.ncaa.org/team/153/15301,Colgate,Patriot,12,10,34,133,72,,4,,,,901:39:00,10,20,,3,,,,40,,
http://stats.ncaa.org/team/157/15301,Colorado,Pac-12,18,16,52,210,150,,8,,,,1602:28:00,13,92,,8,,,,60,1,1
http://stats.ncaa.org/team/154/15301,Colorado Col.,Mountain West,8,7,23,106,64,,1,,,,762:03:00,10,14,,2,,,,50,,
http://stats.ncaa.org/team/156/15301,Colorado St.,Mountain West,6,2,14,76,72,,5,,,,650:00:00,13,24,,1,,,,19,2,3
http://stats.ncaa.org/team/169/15301,Creighton,Big East,11,8,30,118,107,,4,,,,912:38:00,14,21,,2,,,,44,3,3
http://stats.ncaa.org/team/173/15301,Davidson,Atlantic 10,20,13,53,121,94,,3,,,,1322:09:00,10,41,1,6,,,,48,,1
http://stats.ncaa.org/team/175/15301,Dayton,Atlantic 10,23,24,70,186,145,1,15,,,,1296:18:00,19,55,2,5,,,,57,2,3
http://stats.ncaa.org/team/180/15301,Delaware,CAA,8,3,19,66,69,,2,,,,630:00:00,15,51,,2,,,,35,,
http://stats.ncaa.org/team/178/15301,Delaware St.,DI Independent,4,3,11,22,35,,3,,,,540:00:00,41,37,,,,,,12,,
http://stats.ncaa.org/team/183/15301,Denver,Summit League,40,44,124,296,186,1,9,,,,1942:12:00,12,49,,12,,,,121,2,2
http://stats.ncaa.org/team/176/15301,DePaul,Big East,9,5,23,83,93,,3,,,,746:36:00,13,22,,1,,,,32,,
http://stats.ncaa.org/team/184/15301,Detroit Mercy,Horizon,7,6,20,125,93,,5,,,,847:06:00,22,38,,1,,,,39,,
http://stats.ncaa.org/team/30095/15301,Dixie St.,WAC,19,16,54,189,160,,5,,,,1412:07:00,28,84,,2,,,,74,,1
http://stats.ncaa.org/team/189/15301,Drake,MVC,3,3,9,87,80,,5,,,,719:23:00,6,37,,3,,,,27,1,1
http://stats.ncaa.org/team/191/15301,Drexel,CAA,15,13,43,98,99,,3,,,,762:58:00,10,39,1,2,,,,33,2,2
http://stats.ncaa.org/team/193/15301,Duke,ACC,32,34,98,260,187,,8,,,,1992:55:00,17,66,2,12,,,,133,1,1
http://stats.ncaa.org/team/194/15301,Duquesne,Atlantic 10,7,7,21,109,67,,3,,,,838:07:00,13,41,,3,,,,27,1,1
http://stats.ncaa.org/team/196/15301,East Carolina,AAC,12,10,34,98,117,,10,,,,1038:13:00,13,43,,2,,,,55,1,1
http://stats.ncaa.org/team/201/15301,Eastern Ill.,OVC,5,4,14,68,76,,2,,,,939:44:00,22,56,,1,,,,19,1,1
http://stats.ncaa.org/team/202/15301,Eastern Ky.,OVC,14,11,39,146,117,,5,,,,929:27:00,19,65,,3,,,,48,1,1
http://stats.ncaa.org/team/204/15301,Eastern Mich.,MAC,17,9,43,126,71,,2,,,,810:00:00,13,39,,2,,,,39,1,1
http://stats.ncaa.org/team/207/15301,Eastern Wash.,Big Sky,18,13,49,150,132,2,10,,,,1035:22:00,15,53,1,4,,,,52,1,2
http://stats.ncaa.org/team/1068/15301,Elon,CAA,9,6,24,72,88,,5,,,,910:00:00,10,29,,6,,,,23,1,2
http://stats.ncaa.org/team/198/15301,ETSU,SoCon,6,4,16,71,76,,6,,,,761:41:00,17,43,,,,,,26,,
http://stats.ncaa.org/team/219/15301,Evansville,MVC,2,1,5,66,63,,2,,,,790:16:00,3,44,,5,,,,25,,2
http://stats.ncaa.org/team/220/15301,Fairfield,MAAC,10,7,27,91,64,1,7,,,,576:47:00,9,23,,1,,,,31,2,2
http://stats.ncaa.org/team/222/15301,Fairleigh Dickinson,NEC,14,13,41,96,82,,7,,,,736:56:00,11,38,1,3,,,,26,2,2
http://stats.ncaa.org/team/28755/15301,FGCU,ASUN,14,15,43,179,121,,8,,,,1045:22:00,9,37,,5,,,,55,1,2
http://stats.ncaa.org/team/231/15301,FIU,C-USA,12,9,33,112,113,,14,,,,1035:00:00,29,52,1,2,,,,39,,1
http://stats.ncaa.org/team/229/15301,Fla. Atlantic,C-USA,12,12,36,102,99,1,7,,,,1030:00:00,14,32,,5,,,,55,,
http://stats.ncaa.org/team/235/15301,Florida,SEC,32,34,98,236,162,1,21,,,,1608:00:00,32,54,,3,,,,94,2,2
http://stats.ncaa.org/team/234/15301,Florida St.,ACC,41,30,112,273,141,,8,,,,1500:00:00,8,31,1,11,,,,98,2,2
http://stats.ncaa.org/team/236/15301,Fordham,Atlantic 10,6,8,20,67,80,,5,,,,775:23:00,6,27,1,4,,,,23,1,1
http://stats.ncaa.org/team/96/15301,Fresno St.,Mountain West,17,21,55,106,89,1,5,,,,872:32:00,13,36,2,2,,,,69,,
http://stats.ncaa.org/team/244/15301,Furman,SoCon,17,17,51,166,109,,5,,,,1065:24:00,8,50,4,5,,,,72,1,3
http://stats.ncaa.org/team/253/15301,Ga. Southern,Sun Belt,13,11,37,125,144,3,16,,,,1550:00:00,30,78,,1,,,,49,,
http://stats.ncaa.org/team/1092/15301,Gardner-Webb,Big South,9,8,26,96,92,1,8,,,,960:00:00,27,55,,3,,,,46,,
http://stats.ncaa.org/team/248/15301,George Mason,Atlantic 10,8,7,23,64,83,,8,,,,932:15:00,15,36,,,,,,22,,
http://stats.ncaa.org/team/249/15301,George Washington,Atlantic 10,16,8,40,138,91,,5,,,,1039:17:00,12,57,1,5,,,,50,,
http://stats.ncaa.org/team/251/15301,Georgetown,Big East,32,23,87,214,106,,5,,,,1309:32:00,4,29,9,10,,,,119,2,3
http://stats.ncaa.org/team/257/15301,Georgia,SEC,18,17,53,203,126,,14,,,,1420:14:00,20,60,,3,,,,58,1,1
http://stats.ncaa.org/team/254/15301,Georgia St.,Sun Belt,25,14,64,196,114,,15,,,,1431:43:00,16,53,,5,,,,74,2,2
http://stats.ncaa.org/team/260/15301,Gonzaga,WCC,19,15,53,145,142,,3,,,,1010:00:00,10,45,2,6,,,,55,3,4
http://stats.ncaa.org/team/261/15301,Grambling,SWAC,29,11,69,181,93,,11,,,,1034:41:00,14,40,1,4,,,,56,1,11
http://stats.ncaa.org/team/1104/15301,Grand Canyon,WAC,38,43,119,299,209,2,15,,,,1646:47:00,31,92,1,5,,,,69,3,3
http://stats.ncaa.org/team/794/15301,Green Bay,Horizon,9,7,25,59,65,,2,,,,560:00:00,17,34,,,,,,21,1,1
http://stats.ncaa.org/team/19651/15301,High Point,Big South,32,29,93,175,81,,5,,,,1003:35:00,7,31,,7,,,,71,3,3
http://stats.ncaa.org/team/283/15301,Hofstra,CAA,32,37,101,165,101,,5,,,,845:28:00,9,18,2,3,,,,85,1,1
http://stats.ncaa.org/team/285/15301,Holy Cross,Patriot,3,3,9,25,37,,1,,,,360:00:00,8,26,,,,,,7,,
http://stats.ncaa.org/team/288/15301,Houston,AAC,24,21,69,117,82,,4,,,,1019:43:00,9,34,1,4,,,,57,1,1
http://stats.ncaa.org/team/287/15301,Houston Baptist,Southland,14,11,39,192,95,,10,,,,1398:29:00,28,53,,1,,,,72,,
http://stats.ncaa.org/team/295/15301,Idaho,Big Sky,16,10,42,125,107,,3,,,,999:43:00,12,31,2,4,,,,37,1,1
http://stats.ncaa.org/team/294/15301,Idaho St.,Big Sky,7,4,18,66,59,,3,,,,768:17:00,19,51,,,,,,36,,
http://stats.ncaa.org/team/301/15301,Illinois,Big Ten,14,9,37,125,120,,3,,,,1102:11:00,12,57,,4,,,,43,,
http://stats.ncaa.org/team/299/15301,Illinois St.,MVC,16,10,42,186,119,,8,,,,1112:53:00,16,33,1,4,,,,48,,
http://stats.ncaa.org/team/306/15301,Indiana,Big Ten,13,9,35,129,113,,5,,,,1104:08:00,12,48,,5,,,,56,1,1
http://stats.ncaa.org/team/305/15301,Indiana St.,MVC,9,7,25,97,106,,8,,,,927:10:00,11,53,,6,,,,32,,
http://stats.ncaa.org/team/310/15301,Iona,MAAC,4,,8,50,68,,2,,,,564:07:00,17,28,,,,,,21,1,1
http://stats.ncaa.org/team/312/15301,Iowa,Big Ten,11,6,28,176,203,1,10,,,,1559:13:00,16,86,,7,,,,54,1,1
http://stats.ncaa.org/team/311/15301,Iowa St.,Big 12,9,7,25,140,166,,11,,,,1263:27:00,14,59,,3,,,,54,1,1
http://stats.ncaa.org/team/2699/15301,IUPUI,Horizon,9,8,26,111,105,,9,,,,850:00:00,6,40,1,6,,,,50,,
http://stats.ncaa.org/team/314/15301,Jackson St.,SWAC,23,14,60,124,43,,6,,,,900:00:00,17,36,,2,,,,23,,2
http://stats.ncaa.org/team/316/15301,Jacksonville,ASUN,6,4,16,40,78,,10,,,,1025:42:00,21,67,,1,,,,37,,
http://stats.ncaa.org/team/315/15301,Jacksonville St.,OVC,20,16,56,155,86,1,8,,,,943:00:00,18,51,,1,,,,53,,
http://stats.ncaa.org/team/317/15301,James Madison,CAA,6,5,17,50,50,,3,,,,590:00:00,10,22,,,,,,30,,
http://stats.ncaa.org/team/328/15301,Kansas,Big 12,13,10,36,136,124,,11,,,,1230:00:00,10,43,,6,,,,59,1,1
http://stats.ncaa.org/team/2707/15301,Kansas City,Summit League,16,13,45,130,174,,9,,,,1577:48:00,36,83,,2,,,,47,1,1
http://stats.ncaa.org/team/327/15301,Kansas St.,Big 12,13,10,36,134,119,,8,,,,1320:22:00,29,77,,4,,,,49,1,2
http://stats.ncaa.org/team/1157/15301,Kennesaw St.,ASUN,14,9,37,182,151,,9,,,,1462:48:00,21,68,,6,,,,59,,
http://stats.ncaa.org/team/331/15301,Kent St.,MAC,5,6,16,77,88,,4,,,,630:00:00,14,32,,2,,,,29,,
http://stats.ncaa.org/team/334/15301,Kentucky,SEC,16,8,40,115,86,1,10,,,,965:25:00,26,59,,,,,,38,5,6
http://stats.ncaa.org/team/340/15301,La Salle,Atlantic 10,21,16,58,120,81,,4,,,,810:00:00,5,25,,5,,,,48,1,2
http://stats.ncaa.org/team/342/15301,Lafayette,Patriot,5,5,15,65,26,,1,,,,400:00:00,4,5,1,1,,,,26,,
http://stats.ncaa.org/team/346/15301,Lamar University,Southland,24,18,66,173,99,,5,,,,1100:06:00,14,76,,5,,,,63,2,2
http://stats.ncaa.org/team/352/15301,Lehigh,Patriot,3,3,9,74,59,,2,,,,600:00:00,4,22,,3,,,,37,,
http://stats.ncaa.org/team/355/15301,Liberty,ASUN,18,10,46,195,157,,1,,,,1729:42:00,22,66,,8,,,,84,1,2
http://stats.ncaa.org/team/28600/15301,Lipscomb,ASUN,26,20,72,183,114,,3,,,,1124:09:00,9,30,2,4,,,,58,3,3
http://stats.ncaa.org/team/32/15301,Little Rock,Sun Belt,11,10,32,159,89,,6,,,,1332:42:00,16,71,,4,,,,33,1,1
http://stats.ncaa.org/team/361/15301,LIU,NEC,4,2,10,48,55,,5,,,,470:00:00,5,15,2,3,,,,10,1,1
http://stats.ncaa.org/team/370/15301,LMU (CA),WCC,6,6,18,75,75,,2,,,,834:05:00,19,39,,,,,,33,,
http://stats.ncaa.org/team/363/15301,Longwood,Big South,12,11,35,135,68,,2,,,,960:00:00,10,36,1,5,,,,32,,
http://stats.ncaa.org/team/671/15301,Louisiana,Sun Belt,26,27,79,210,186,2,11,,,,1836:47:00,24,89,3,10,,,,99,,2
http://stats.ncaa.org/team/366/15301,Louisiana Tech,C-USA,25,14,64,230,136,,9,,,,1460:39:00,18,52,,6,,,,74,,2
http://stats.ncaa.org/team/367/15301,Louisville,ACC,12,8,32,105,89,,6,,,,1096:59:00,13,54,,5,,,,42,1,1
http://stats.ncaa.org/team/371/15301,Loyola Chicago,MVC,21,17,59,185,81,,2,,,,1004:29:00,8,15,2,6,,,,87,,1
http://stats.ncaa.org/team/369/15301,Loyola Maryland,Patriot,4,4,12,52,62,,3,,,,563:31:00,3,16,,3,,,,18,,
http://stats.ncaa.org/team/365/15301,LSU,SEC,21,20,62,238,209,4,26,,,,1782:52:00,20,91,1,6,,,,79,1,3
http://stats.ncaa.org/team/380/15301,Maine,America East,3,2,8,120,69,1,5,,,,674:19:00,12,36,,,,,,35,,
http://stats.ncaa.org/team/381/15301,Manhattan,MAAC,10,5,25,75,42,,1,,,,556:43:00,8,32,,1,,,,41,,
http://stats.ncaa.org/team/386/15301,Marist,MAAC,1,2,4,9,7,,3,,,,90:00:00,3,13,,,,,,4,,
http://stats.ncaa.org/team/387/15301,Marquette,Big East,16,14,46,99,106,,2,,,,915:54:00,10,43,2,4,,,,46,,
http://stats.ncaa.org/team/388/15301,Marshall,C-USA,16,8,40,86,92,,8,,,,909:20:00,22,62,,,,,,26,1,2
http://stats.ncaa.org/team/392/15301,Maryland,Big Ten,8,6,22,103,81,,5,,,,1138:56:00,29,67,,1,,,,36,,
http://stats.ncaa.org/team/400/15301,Massachusetts,Atlantic 10,9,9,27,101,105,,5,,,,1126:26:00,9,33,3,6,,,,40,,
http://stats.ncaa.org/team/402/15301,McNeese,Southland,13,13,39,114,61,,3,,,,1010:00:00,16,60,,1,,,,56,,
http://stats.ncaa.org/team/404/15301,Memphis,AAC,17,14,48,192,149,,13,,,,1085:49:00,10,27,,6,,,,70,,1
http://stats.ncaa.org/team/406/15301,Mercer,SoCon,36,31,103,280,171,,18,,,,1761:48:00,28,103,1,4,,,,117,5,7
http://stats.ncaa.org/team/410/15301,Merrimack,NEC,9,7,25,112,65,,3,,,,646:56:00,13,37,,3,,,,35,,
http://stats.ncaa.org/team/415/15301,Miami (FL),ACC,8,11,27,76,71,1,8,,,,1190:00:00,35,62,1,1,,,,35,,
http://stats.ncaa.org/team/414/15301,Miami (OH),MAC,10,12,32,71,80,,4,,,,720:00:00,17,48,,2,,,,22,,1
http://stats.ncaa.org/team/418/15301,Michigan,Big Ten,21,17,59,171,83,1,7,,,,1065:13:00,14,53,,4,,,,54,,2
http://stats.ncaa.org/team/416/15301,Michigan St.,Big Ten,10,7,27,74,132,,9,,,,1116:34:00,23,55,,1,,,,22,1,1
http://stats.ncaa.org/team/419/15301,Middle Tenn.,C-USA,12,7,31,96,49,,9,,,,540:00:00,8,14,,2,,,,31,1,1
http://stats.ncaa.org/team/797/15301,Milwaukee,Horizon,25,24,74,173,105,,10,,,,1103:28:00,6,36,2,8,,,,78,2,2
http://stats.ncaa.org/team/428/15301,Minnesota,Big Ten,7,7,21,166,105,,4,,,,1146:53:00,10,30,1,6,,,,80,,
http://stats.ncaa.org/team/430/15301,Mississippi St.,SEC,18,22,58,156,120,,12,,,,1230:00:00,16,47,1,4,,,,72,1,2
http://stats.ncaa.org/team/434/15301,Missouri,SEC,24,17,65,209,169,1,19,,,,1320:00:00,24,61,,2,,,,64,,1
http://stats.ncaa.org/team/669/15301,Missouri St.,MVC,13,10,36,125,144,,5,,,,1237:03:00,21,71,1,3,,,,55,2,3
http://stats.ncaa.org/team/439/15301,Monmouth,MAAC,14,9,37,152,70,,2,,,,870:00:00,5,21,,5,,,,89,2,2
http://stats.ncaa.org/team/441/15301,Montana,Big Sky,21,11,53,134,115,,4,,,,1016:03:00,7,35,,6,,,,48,2,2
http://stats.ncaa.org/team/444/15301,Morehead St.,OVC,6,2,14,107,101,1,6,,,,931:25:00,16,51,,1,,,,49,1,1
http://stats.ncaa.org/team/450/15301,Mount St. Mary's,NEC,12,9,33,82,66,,2,,,,810:00:00,13,66,,2,,,,14,,
http://stats.ncaa.org/team/454/15301,Murray St.,OVC,23,21,67,186,115,,13,,,,997:07:00,10,37,1,3,,,,69,2,2
http://stats.ncaa.org/team/726/15301,Navy,Patriot,11,16,38,118,88,,9,,,,1078:34:00,13,47,,3,,,,51,,
http://stats.ncaa.org/team/490/15301,NC State,ACC,10,8,28,107,49,,5,,,,853:49:00,6,20,,3,,,,34,,1
http://stats.ncaa.org/team/463/15301,Nebraska,Big Ten,6,5,17,86,109,,8,,,,975:13:00,16,36,,4,,,,31,,
http://stats.ncaa.org/team/466/15301,Nevada,Mountain West,9,5,23,52,92,,6,,,,940:00:00,17,52,,1,,,,23,1,2
http://stats.ncaa.org/team/469/15301,New Hampshire,America East,11,10,32,81,47,,3,,,,648:42:00,5,32,,3,,,,39,1,1
http://stats.ncaa.org/team/473/15301,New Mexico,Mountain West,31,25,87,204,127,,5,,,,1195:25:00,12,46,2,7,,,,56,1,3
http://stats.ncaa.org/team/472/15301,New Mexico St.,WAC,26,14,66,194,217,,15,,,,1750:00:00,38,103,1,3,,,,76,2,3
http://stats.ncaa.org/team/482/15301,Niagara,MAAC,7,8,22,59,42,,1,,,,360:00:00,5,23,,1,,,,17,,
http://stats.ncaa.org/team/483/15301,Nicholls,Southland,,,0,116,136,1,16,,,,1460:00:00,50,118,,1,,,,33,,
http://stats.ncaa.org/team/503/15301,NIU,MAC,2,1,5,50,69,,4,,,,810:00:00,21,55,,,,,,21,,
http://stats.ncaa.org/team/471/15301,NJIT,America East,7,3,17,97,78,,2,,,,839:00:00,16,56,,1,,,,46,1,2
http://stats.ncaa.org/team/487/15301,North Ala.,ASUN,8,7,23,85,109,,2,,,,1120:00:00,29,63,,1,,,1,31,,
http://stats.ncaa.org/team/457/15301,North Carolina,ACC,49,42,140,310,192,,14,,,,1800:00:00,9,48,,15,,,,143,4,4
http://stats.ncaa.org/team/494/15301,North Dakota,Summit League,13,5,31,150,115,1,5,,,,1275:20:00,30,58,,2,,,,42,2,2
http://stats.ncaa.org/team/493/15301,North Dakota St.,Summit League,20,22,62,149,137,,5,,,,1463:21:00,23,64,,4,,,,45,,1
http://stats.ncaa.org/team/2711/15301,North Florida,ASUN,25,20,70,149,96,,5,,,,1097:25:00,8,28,1,5,,,,63,4,4
http://stats.ncaa.org/team/497/15301,North Texas,C-USA,23,19,65,277,109,,8,,,,1022:02:00,10,26,,5,,,,67,1,2
http://stats.ncaa.org/team/500/15301,Northeastern,CAA,11,11,33,113,91,,4,,,,1037:59:00,11,48,,5,,,,46,,
http://stats.ncaa.org/team/501/15301,Northern Ariz.,Big Sky,15,7,37,109,88,,3,,,,630:00:00,9,28,,5,,,,27,3,3
http://stats.ncaa.org/team/502/15301,Northern Colo.,Big Sky,8,8,24,65,51,,1,,,,655:56:00,8,24,1,3,,,,47,1,1
http://stats.ncaa.org/team/505/15301,Northern Ky.,Horizon,16,15,47,118,104,,8,,,,1044:00:00,4,42,1,8,,,,42,,
http://stats.ncaa.org/team/509/15301,Northwestern,Big Ten,14,13,41,128,115,,5,,,,1197:45:00,12,35,1,6,,,,62,1,1
http://stats.ncaa.org/team/508/15301,Northwestern St.,Southland,17,11,45,138,104,1,6,,,,1306:36:00,6,43,,9,,,,68,,
http://stats.ncaa.org/team/513/15301,Notre Dame,ACC,18,10,46,169,121,,7,,,,1177:31:00,16,43,1,6,,,,73,2,2
http://stats.ncaa.org/team/514/15301,Oakland,Horizon,16,26,58,112,108,,6,,,,950:33:00,9,24,1,3,,,,49,,1
http://stats.ncaa.org/team/519/15301,Ohio,MAC,9,5,23,106,75,,7,,,,920:59:00,13,39,,2,,,,36,,
http://stats.ncaa.org/team/518/15301,Ohio St.,Big Ten,27,28,82,198,135,2,9,,,,1320:00:00,17,63,,3,,,,68,,
http://stats.ncaa.org/team/522/15301,Oklahoma,Big 12,7,6,20,150,174,,16,,,,1413:54:00,24,67,,1,,,,68,1,1
http://stats.ncaa.org/team/521/15301,Oklahoma St.,Big 12,40,32,112,262,171,2,17,,,,1716:30:00,17,82,2,9,,,,120,6,7
http://stats.ncaa.org/team/523/15301,Old Dominion,C-USA,10,8,28,121,101,,6,,,,1030:00:00,14,33,,5,,,,46,2,3
http://stats.ncaa.org/team/433/15301,Ole Miss,SEC,27,24,78,241,176,,12,,,,1692:43:00,18,87,,7,,,,84,,
http://stats.ncaa.org/team/464/15301,Omaha,Summit League,20,21,61,204,148,,7,,,,1735:56:00,15,44,,10,,,,95,1,1
http://stats.ncaa.org/team/527/15301,Oral Roberts,Summit League,15,12,42,106,122,,7,,,,1376:26:00,35,85,,1,,,,53,1,2
http://stats.ncaa.org/team/529/15301,Oregon,Pac-12,12,10,34,172,176,,11,,,,1561:28:00,12,66,,6,,,,62,1,1
http://stats.ncaa.org/team/528/15301,Oregon St.,Pac-12,19,21,59,174,155,,7,,,,1480:51:00,28,62,1,3,,,,67,1,1
http://stats.ncaa.org/team/534/15301,Pacific,WCC,7,6,20,116,141,,9,,,,1140:00:00,25,58,,3,,,,35,,
http://stats.ncaa.org/team/539/15301,Penn St.,Big Ten,43,48,134,220,93,,9,,,,1460:00:00,14,69,1,7,,,,61,2,3
http://stats.ncaa.org/team/541/15301,Pepperdine,WCC,25,17,67,191,142,,6,,,,1114:05:00,16,27,1,5,,,,55,3,3
http://stats.ncaa.org/team/545/15301,Pittsburgh,ACC,37,30,104,231,126,,3,,,,1451:42:00,18,55,1,6,,,,88,6,7
http://stats.ncaa.org/team/551/15301,Portland,WCC,10,8,28,94,95,1,10,,,,964:05:00,12,37,,5,,,,46,2,2
