URL,Institution,Conference,Goals,Assists,ShAtt,Fouls,Red Cards,Yellow Cards,GC,Goal App,GGS,Goalie Min. Plyd,GA,Saves,Shutouts,G Wins,G Loss,DSaves,Corners,PK,PK Att
http://stats.ncaa.org/team/26172/12640,A&M-Corpus Christi,Southland,16,11,175,150,1,14,,,,1700:05:00,23,100,5,,,,51,2,2
http://stats.ncaa.org/team/2/12640,Abilene Christian,Southland,34,20,347,138,1,6,,,,1779:03:00,37,77,4,,,,103,3,4
http://stats.ncaa.org/team/721/12640,Air Force,Mountain West,17,17,247,218,,12,,,,1783:08:00,25,121,5,,,,75,,
http://stats.ncaa.org/team/5/12640,Akron,MAC,14,13,183,167,,6,,,,1806:57:00,38,101,4,,,,75,,
http://stats.ncaa.org/team/8/12640,Alabama,SEC,33,28,343,200,2,18,,,,1942:02:00,28,73,6,,,1,127,4,4
http://stats.ncaa.org/team/6/12640,Alabama A&M,SWAC,23,3,133,118,,11,,,,1615:16:00,37,119,1,,,2,44,,1
http://stats.ncaa.org/team/7/12640,Alabama St.,SWAC,39,34,266,186,,28,,,,1950:00:00,37,138,5,,,,67,3,3
http://stats.ncaa.org/team/17/12640,Alcorn,SWAC,17,9,170,89,,5,,,,1256:28:00,34,86,2,,,1,44,3,8
http://stats.ncaa.org/team/23/12640,American,Patriot,5,4,142,169,,10,,,,1549:25:00,41,96,,,,1,37,,1
http://stats.ncaa.org/team/27/12640,App State,Sun Belt,18,10,227,184,,12,,,,1830:33:00,33,88,1,,,,68,2,2
http://stats.ncaa.org/team/29/12640,Arizona,Pac-12,25,23,282,171,,9,,,,1900:26:00,17,85,7,,,,106,,
http://stats.ncaa.org/team/28/12640,Arizona St.,Pac-12,19,14,249,171,1,11,,,,1793:10:00,33,103,3,,,,64,2,2
http://stats.ncaa.org/team/2678/12640,Ark.-Pine Bluff,SWAC,15,7,168,130,,6,,,,1467:46:00,46,90,,,,,52,,
http://stats.ncaa.org/team/31/12640,Arkansas,SEC,44,44,371,233,,8,,,,2215:12:00,29,68,10,,,,146,1,2
http://stats.ncaa.org/team/30/12640,Arkansas St.,Sun Belt,25,23,163,128,,12,,,,1583:31:00,15,103,6,,,,77,3,3
