school,playerstatsurl,matchstatsurl
Air Force,https://stats.ncaa.org/team/721/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=721&game_sport_year_ctl_id=15560&stats_player_seq=-100
Army West Point,https://stats.ncaa.org/team/725/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=725&game_sport_year_ctl_id=15560&stats_player_seq=-100
Bellarmine,https://stats.ncaa.org/team/52/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=52&game_sport_year_ctl_id=15560&stats_player_seq=-100
Binghamton,https://stats.ncaa.org/team/62/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=62&game_sport_year_ctl_id=15560&stats_player_seq=-100
Boston U.,https://stats.ncaa.org/team/68/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=68&game_sport_year_ctl_id=15560&stats_player_seq=-100
Brown,https://stats.ncaa.org/team/80/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=80&game_sport_year_ctl_id=15560&stats_player_seq=-100
Bryant,https://stats.ncaa.org/team/81/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=81&game_sport_year_ctl_id=15560&stats_player_seq=-100
Bucknell,https://stats.ncaa.org/team/83/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=83&game_sport_year_ctl_id=15560&stats_player_seq=-100
Canisius,https://stats.ncaa.org/team/116/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=116&game_sport_year_ctl_id=15560&stats_player_seq=-100
Cleveland St.,https://stats.ncaa.org/team/148/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=148&game_sport_year_ctl_id=15560&stats_player_seq=-100
Colgate,https://stats.ncaa.org/team/153/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=153&game_sport_year_ctl_id=15560&stats_player_seq=-100
Dartmouth,https://stats.ncaa.org/team/172/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=172&game_sport_year_ctl_id=15560&stats_player_seq=-100
Delaware,https://stats.ncaa.org/team/180/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=180&game_sport_year_ctl_id=15560&stats_player_seq=-100
Denver,https://stats.ncaa.org/team/183/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=183&game_sport_year_ctl_id=15560&stats_player_seq=-100
Detroit Mercy,https://stats.ncaa.org/team/184/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=184&game_sport_year_ctl_id=15560&stats_player_seq=-100
Drexel,https://stats.ncaa.org/team/191/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=191&game_sport_year_ctl_id=15560&stats_player_seq=-100
Duke,https://stats.ncaa.org/team/193/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=193&game_sport_year_ctl_id=15560&stats_player_seq=-100
Fairfield,https://stats.ncaa.org/team/220/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=220&game_sport_year_ctl_id=15560&stats_player_seq=-100
Georgetown,https://stats.ncaa.org/team/251/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=251&game_sport_year_ctl_id=15560&stats_player_seq=-100
Hartford,https://stats.ncaa.org/team/272/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=272&game_sport_year_ctl_id=15560&stats_player_seq=-100
High Point,https://stats.ncaa.org/team/19651/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=19651&game_sport_year_ctl_id=15560&stats_player_seq=-100
Hobart,https://stats.ncaa.org/team/282/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=282&game_sport_year_ctl_id=15560&stats_player_seq=-100
Hofstra,https://stats.ncaa.org/team/283/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=283&game_sport_year_ctl_id=15560&stats_player_seq=-100
Holy Cross,https://stats.ncaa.org/team/285/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=285&game_sport_year_ctl_id=15560&stats_player_seq=-100
Jacksonville,https://stats.ncaa.org/team/316/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=316&game_sport_year_ctl_id=15560&stats_player_seq=-100
Johns Hopkins,https://stats.ncaa.org/team/322/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=322&game_sport_year_ctl_id=15560&stats_player_seq=-100
LIU,https://stats.ncaa.org/team/361/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=361&game_sport_year_ctl_id=15560&stats_player_seq=-100
Lafayette,https://stats.ncaa.org/team/342/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=342&game_sport_year_ctl_id=15560&stats_player_seq=-100
Lehigh,https://stats.ncaa.org/team/352/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=352&game_sport_year_ctl_id=15560&stats_player_seq=-100
Loyola Maryland,https://stats.ncaa.org/team/369/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=369&game_sport_year_ctl_id=15560&stats_player_seq=-100
Manhattan,https://stats.ncaa.org/team/381/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=381&game_sport_year_ctl_id=15560&stats_player_seq=-100
Marist,https://stats.ncaa.org/team/386/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=386&game_sport_year_ctl_id=15560&stats_player_seq=-100
Marquette,https://stats.ncaa.org/team/387/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=387&game_sport_year_ctl_id=15560&stats_player_seq=-100
Maryland,https://stats.ncaa.org/team/392/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=392&game_sport_year_ctl_id=15560&stats_player_seq=-100
Massachusetts,https://stats.ncaa.org/team/400/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=400&game_sport_year_ctl_id=15560&stats_player_seq=-100
Mercer,https://stats.ncaa.org/team/406/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=406&game_sport_year_ctl_id=15560&stats_player_seq=-100
Merrimack,https://stats.ncaa.org/team/410/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=410&game_sport_year_ctl_id=15560&stats_player_seq=-100
Michigan,https://stats.ncaa.org/team/418/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=418&game_sport_year_ctl_id=15560&stats_player_seq=-100
Monmouth,https://stats.ncaa.org/team/439/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=439&game_sport_year_ctl_id=15560&stats_player_seq=-100
Mount St. Mary's,https://stats.ncaa.org/team/450/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=450&game_sport_year_ctl_id=15560&stats_player_seq=-100
NJIT,https://stats.ncaa.org/team/471/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=471&game_sport_year_ctl_id=15560&stats_player_seq=-100
Navy,https://stats.ncaa.org/team/726/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=726&game_sport_year_ctl_id=15560&stats_player_seq=-100
North Carolina,https://stats.ncaa.org/team/457/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=457&game_sport_year_ctl_id=15560&stats_player_seq=-100
Notre Dame,https://stats.ncaa.org/team/513/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=513&game_sport_year_ctl_id=15560&stats_player_seq=-100
Ohio St.,https://stats.ncaa.org/team/518/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=518&game_sport_year_ctl_id=15560&stats_player_seq=-100
Penn St.,https://stats.ncaa.org/team/539/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=539&game_sport_year_ctl_id=15560&stats_player_seq=-100
Providence,https://stats.ncaa.org/team/556/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=556&game_sport_year_ctl_id=15560&stats_player_seq=-100
Quinnipiac,https://stats.ncaa.org/team/562/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=562&game_sport_year_ctl_id=15560&stats_player_seq=-100
Richmond,https://stats.ncaa.org/team/575/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=575&game_sport_year_ctl_id=15560&stats_player_seq=-100
Robert Morris,https://stats.ncaa.org/team/579/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=579&game_sport_year_ctl_id=15560&stats_player_seq=-100
Rutgers,https://stats.ncaa.org/team/587/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=587&game_sport_year_ctl_id=15560&stats_player_seq=-100
Sacred Heart,https://stats.ncaa.org/team/590/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=590&game_sport_year_ctl_id=15560&stats_player_seq=-100
Saint Joseph's,https://stats.ncaa.org/team/606/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=606&game_sport_year_ctl_id=15560&stats_player_seq=-100
Siena,https://stats.ncaa.org/team/639/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=639&game_sport_year_ctl_id=15560&stats_player_seq=-100
St. Bonaventure,https://stats.ncaa.org/team/596/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=596&game_sport_year_ctl_id=15560&stats_player_seq=-100
St. John's (NY),https://stats.ncaa.org/team/603/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=603&game_sport_year_ctl_id=15560&stats_player_seq=-100
Stony Brook,https://stats.ncaa.org/team/683/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=683&game_sport_year_ctl_id=15560&stats_player_seq=-100
Syracuse,https://stats.ncaa.org/team/688/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=688&game_sport_year_ctl_id=15560&stats_player_seq=-100
Towson,https://stats.ncaa.org/team/711/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=711&game_sport_year_ctl_id=15560&stats_player_seq=-100
UAlbany,https://stats.ncaa.org/team/14/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=14&game_sport_year_ctl_id=15560&stats_player_seq=-100
UMBC,https://stats.ncaa.org/team/391/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=391&game_sport_year_ctl_id=15560&stats_player_seq=-100
UMass Lowell,https://stats.ncaa.org/team/368/stats/15560,https://stats.ncaa.org/player/game_by_game?org_id=368&game_sport_year_ctl_id=15560&stats_player_seq=-100
