URL,Institution,Conference,Games,Fouls,GS,Goals,Assists,Points,Shots,SOG,Ground Balls,Turnovers,CT,FOs Won,FOs Taken,G Min,Goals Allowed,Saves,Freepos Shots,Freepos Goals,RC,YC,Draw Controls,Clears,Clr Att
https://stats.ncaa.org/team/369/15840,Loyola Maryland,Patriot,22,499,,365,174,539,709,548,323,285,181,19,19,1320:00:00,177,157,112,63,,33,379,340,368
https://stats.ncaa.org/team/381/15840,Manhattan,MAAC,19,252,,228,86,314,573,419,289,300,159,,0,1155:11:00,234,179,138,52,,24,295,290,340
https://stats.ncaa.org/team/386/15840,Marist,MAAC,16,268,,160,78,238,428,312,232,240,97,,0,958:44:00,239,163,63,31,,43,202,256,307
https://stats.ncaa.org/team/387/15840,Marquette,Big East,18,378,,258,116,374,582,419,298,296,152,,0,1080:00:00,270,149,124,51,,38,312,260,318
https://stats.ncaa.org/team/392/15840,Maryland,Big Ten,21,317,,338,149,487,700,561,366,231,178,12,12,1260:00:00,164,185,109,52,,27,328,321,349
https://stats.ncaa.org/team/400/15840,Massachusetts,Atlantic 10,20,348,,320,140,460,672,526,362,240,230,,0,1137:00:00,194,112,121,54,,20,315,292,317
https://stats.ncaa.org/team/406/15840,Mercer,Big South,19,294,,309,122,431,628,484,356,245,190,,0,1137:59:00,208,161,113,55,,29,302,268,315
https://stats.ncaa.org/team/410/15840,Merrimack,NEC,16,257,,165,57,222,417,299,254,268,116,,0,964:00:00,216,136,93,42,,38,220,208,259
https://stats.ncaa.org/team/418/15840,Michigan,Big Ten,18,338,,219,86,305,499,362,253,253,143,12,12,1088:10:00,167,162,91,46,,45,239,291,342
https://stats.ncaa.org/team/439/15840,Monmouth,MAAC,19,421,,273,101,374,625,475,340,288,167,,0,1145:44:00,232,151,103,51,,41,317,312,345
https://stats.ncaa.org/team/450/15840,Mount St. Mary's,NEC,20,213,,257,106,363,574,431,349,304,156,,0,1207:16:00,171,151,93,45,,30,249,350,399
https://stats.ncaa.org/team/726/15840,Navy,Patriot,20,383,,269,103,372,687,483,393,281,162,,0,1199:29:00,179,168,152,61,,48,309,325,371
https://stats.ncaa.org/team/469/15840,New Hampshire,America East,15,179,,170,77,247,389,309,230,208,88,,0,902:54:00,203,128,90,40,1,18,175,241,278
https://stats.ncaa.org/team/482/15840,Niagara,MAAC,18,264,,207,78,285,492,375,324,302,151,,0,1097:11:00,237,204,97,46,,52,221,271,328
https://stats.ncaa.org/team/457/15840,North Carolina,ACC,22,351,,370,196,566,744,551,312,239,165,,0,1334:28:00,187,179,115,51,,24,363,353,381
https://stats.ncaa.org/team/509/15840,Northwestern,Big Ten,21,422,,333,143,476,743,541,319,310,162,,0,1260:40:00,247,175,167,79,,58,383,349,396
https://stats.ncaa.org/team/513/15840,Notre Dame,ACC,19,438,,288,113,401,633,469,256,234,172,,0,1153:09:00,223,178,136,66,,39,320,281,323
https://stats.ncaa.org/team/518/15840,Ohio St.,Big Ten,16,369,,200,83,283,493,351,262,261,130,22,22,965:53:00,180,137,105,40,,40,254,255,303
https://stats.ncaa.org/team/523/15840,Old Dominion,AAC,17,267,,207,85,292,488,367,236,308,144,16,16,1026:04:00,234,193,114,49,,34,222,239,302
https://stats.ncaa.org/team/529/15840,Oregon,Pac-12,18,474,,200,55,255,456,345,331,277,106,,0,1082:31:00,270,177,90,41,,35,235,240,309
https://stats.ncaa.org/team/540/15840,Penn,Ivy League,15,287,,166,71,237,431,295,235,252,128,,0,900:00:00,159,144,62,25,,19,213,241,284
https://stats.ncaa.org/team/539/15840,Penn St.,Big Ten,15,351,,175,75,250,468,335,238,173,123,11,11,903:00:00,166,107,99,32,,31,192,263,287
https://stats.ncaa.org/team/545/15840,Pittsburgh,ACC,19,480,,221,81,302,477,353,287,309,153,,0,1148:58:00,230,200,108,57,,18,242,342,394
https://stats.ncaa.org/team/1320/15840,Presbyterian,Big South,17,201,,127,32,159,324,255,290,293,116,10,10,1018:49:00,253,152,110,44,,13,175,243,295
https://stats.ncaa.org/team/554/15840,Princeton,Ivy League,19,376,,288,116,404,641,480,335,228,166,,0,1140:00:00,218,194,163,73,,33,264,299,339
https://stats.ncaa.org/team/562/15840,Quinnipiac,MAAC,16,297,,183,66,249,499,353,272,233,142,,0,965:22:00,197,175,109,49,1,44,199,265,307
https://stats.ncaa.org/team/563/15840,Radford,Big South,16,269,,112,39,151,332,250,295,318,129,,0,959:38:00,247,169,73,28,,39,179,239,300
https://stats.ncaa.org/team/575/15840,Richmond,Atlantic 10,18,269,,273,146,419,621,467,283,246,121,,0,1052:09:00,171,172,111,41,,44,276,291,317
https://stats.ncaa.org/team/579/15840,Robert Morris,MAC,18,444,,223,86,309,563,419,319,303,147,,0,1080:00:00,234,170,122,48,,36,261,269,342
https://stats.ncaa.org/team/587/15840,Rutgers,Big Ten,21,455,,285,126,411,633,457,398,342,195,,0,1263:00:00,214,178,129,65,,45,296,355,421
https://stats.ncaa.org/team/590/15840,Sacred Heart,NEC,16,248,,158,52,210,391,303,240,243,111,,0,960:00:00,154,175,62,32,,28,186,216,248
https://stats.ncaa.org/team/600/15840,Saint Francis (PA),NEC,16,164,,156,65,221,375,307,241,276,118,,0,959:59:00,219,186,97,40,,29,211,197,254
https://stats.ncaa.org/team/606/15840,Saint Joseph's,Atlantic 10,21,423,,265,104,369,643,469,310,301,168,,0,1259:59:00,247,201,137,58,,32,308,339,390
https://stats.ncaa.org/team/626/15840,San Diego St.,MPSF,15,401,,200,64,264,464,360,264,214,134,,0,902:49:00,216,180,95,43,,38,180,266,320
https://stats.ncaa.org/team/639/15840,Siena,MAAC,18,466,,229,118,347,501,353,281,239,120,,0,1079:00:00,219,179,78,27,,44,228,267,299
https://stats.ncaa.org/team/657/15840,Southern California,Pac-12,18,457,,273,94,367,607,457,345,235,177,,0,1082:18:00,196,118,112,52,,37,272,290,342
https://stats.ncaa.org/team/596/15840,St. Bonaventure,Atlantic 10,15,119,,123,53,176,364,270,194,234,95,,0,907:59:00,230,160,87,22,,19,161,242,297
https://stats.ncaa.org/team/674/15840,Stanford,Pac-12,19,485,,296,169,465,606,467,349,241,125,,0,1142:18:00,238,188,88,44,,39,286,276,303
https://stats.ncaa.org/team/678/15840,Stetson,ASUN,15,101,,165,60,225,388,293,230,234,119,4,4,885:00:00,238,115,57,25,,39,211,197,223
https://stats.ncaa.org/team/683/15840,Stony Brook,America East,19,410,,282,126,408,595,442,311,215,203,,0,1140:00:00,126,129,113,52,,33,238,330,355
https://stats.ncaa.org/team/688/15840,Syracuse,ACC,21,522,,324,145,469,682,507,295,286,137,,0,1261:29:00,245,131,116,52,,45,371,320,352
https://stats.ncaa.org/team/690/15840,Temple,AAC,17,196,,219,95,314,504,388,289,236,131,,0,1023:49:00,188,142,84,42,,23,241,227,263
https://stats.ncaa.org/team/711/15840,Towson,CAA,17,371,,208,70,278,511,358,296,241,119,,0,1029:43:00,193,150,102,46,,39,238,277,314
https://stats.ncaa.org/team/14/15840,UAlbany,America East,17,458,,230,113,343,486,373,303,270,141,,0,1020:00:00,226,173,80,34,,41,250,283,347
https://stats.ncaa.org/team/108/15840,UC Davis,MPSF,13,168,,154,80,234,339,250,178,202,65,,0,780:00:00,175,152,66,30,,21,182,212,238
https://stats.ncaa.org/team/164/15840,UConn,Big East,18,355,,283,114,397,598,448,285,284,142,,0,1081:42:00,236,189,119,54,,40,316,292,341
https://stats.ncaa.org/team/391/15840,UMBC,America East,17,322,,228,76,304,537,392,280,247,136,12,12,1019:59:00,214,182,114,57,,42,269,263,313
