URL,Institution,Conference,G,Goals,Assists,Points,Shots,SOG,Man-Up G,Man-Down G,GB,TO,CT,FO Won,FOs Taken,Pen,Pen Time,G Min,Goals Allowed,Saves,RC,YC,Clears,Att,Clear Pct,OTG
https://stats.ncaa.org/team/721/15921,Air Force,ASUN,15,167,86,253,662,359,13,,433,245,151,180,367,35,"1,560",901:05:00,154,184,,,292,348,0.839,1
https://stats.ncaa.org/team/725/15921,Army West Point,Patriot,16,225,124,349,746,447,20,3,506,240,120,244,461,52,"2,460",960:58:00,179,196,,,280,325,0.862,
https://stats.ncaa.org/team/52/15921,Bellarmine,ASUN,17,180,109,289,601,354,16,2,424,316,170,180,444,73,"3,780",1032:35:00,203,198,,,333,404,0.824,
https://stats.ncaa.org/team/62/15921,Binghamton,America East,14,149,84,233,529,309,11,1,383,262,103,175,361,45,"2,070",844:00:00,162,190,,,270,329,0.821,1
https://stats.ncaa.org/team/68/15921,Boston U.,Patriot,17,226,139,365,754,429,15,,618,319,205,244,462,68,"3,450",1022:46:00,181,208,,,375,443,0.847,1
https://stats.ncaa.org/team/80/15921,Brown,Ivy League,16,211,125,336,730,435,24,,456,256,120,217,450,57,"2,580",960:00:00,185,213,,,350,397,0.882,
https://stats.ncaa.org/team/81/15921,Bryant,NEC,15,181,100,281,674,403,16,,511,285,138,218,392,56,"2,790",900:00:00,165,196,,,285,346,0.824,
https://stats.ncaa.org/team/83/15921,Bucknell,Patriot,15,203,126,329,678,421,13,1,542,242,151,206,422,43,"2,040",897:22:00,163,166,,,271,329,0.824,
https://stats.ncaa.org/team/116/15921,Canisius,MAAC,14,128,67,195,529,285,10,,396,258,76,180,377,40,"1,830",841:00:00,204,191,,,237,304,0.78,
https://stats.ncaa.org/team/148/15921,Cleveland St.,ASUN,13,145,89,234,536,315,13,,383,222,79,159,348,44,"2,220",779:07:00,164,184,,,243,284,0.856,
https://stats.ncaa.org/team/153/15921,Colgate,Patriot,13,125,60,185,492,280,4,1,336,224,80,171,318,33,"1,530",786:27:00,151,171,,,235,288,0.816,1
https://stats.ncaa.org/team/167/15921,Cornell,Ivy League,19,247,134,381,815,508,18,1,659,282,161,244,526,39,"1,800",1141:12:00,212,228,,,347,411,0.844,1
https://stats.ncaa.org/team/172/15921,Dartmouth,Ivy League,13,123,70,193,535,287,11,1,419,243,96,173,322,50,"2,400",780:00:00,162,177,,,235,292,0.805,
https://stats.ncaa.org/team/180/15921,Delaware,CAA,19,255,149,404,807,510,26,2,568,259,133,241,525,65,"3,210",1142:59:00,205,217,,,354,399,0.887,
https://stats.ncaa.org/team/183/15921,Denver,Big East,15,206,129,335,688,396,20,1,421,205,101,237,426,57,"2,610",900:00:00,172,179,,,272,308,0.883,
https://stats.ncaa.org/team/184/15921,Detroit Mercy,ASUN,11,84,31,115,407,210,10,,336,226,72,124,291,44,"2,310",659:54:00,171,156,,,191,253,0.755,
https://stats.ncaa.org/team/191/15921,Drexel,CAA,14,167,108,275,525,312,17,1,411,226,98,151,399,56,"2,820",844:38:00,188,176,,,273,312,0.875,1
https://stats.ncaa.org/team/193/15921,Duke,ACC,17,262,142,404,751,478,24,2,588,260,123,275,504,58,"2,820",1023:35:00,190,231,,,325,380,0.855,
