URL,Institution,Conference,Games,Goals,Assists,ShAtt,Fouls,Red Cards,Yellow Cards,GC,Goal App,GGS,Goalie Min. Plyd,GA,Saves,Shutouts,Combined Sho,G Wins,G Loss,DSaves,Corners,PK,PK Att
http://stats.ncaa.org/team/26172/14940,A&M-Corpus Christi,Southland,20,24,18,244,134,1,7,,,,1881:48:00,25,122,8,2,,,,60,1,1
http://stats.ncaa.org/team/2/14940,Abilene Christian,Southland,19,45,28,389,110,1,4,,,,1764:22:00,25,80,9,,,,,110,3,4
http://stats.ncaa.org/team/721/14940,Air Force,Mountain West,18,36,28,266,182,,13,,,,1679:41:00,25,74,7,,,,,80,2,3
http://stats.ncaa.org/team/5/14940,Akron,MAC,20,22,13,207,197,,16,,,,1895:01:00,22,74,6,2,,,,71,3,3
http://stats.ncaa.org/team/8/14940,Alabama,SEC,20,37,34,345,209,,21,,,,1904:26:00,25,73,4,1,,,,159,4,6
http://stats.ncaa.org/team/6/14940,Alabama A&M,SWAC,19,28,15,173,93,,12,,,,1732:46:00,38,101,4,,,,,72,3,3
http://stats.ncaa.org/team/7/14940,Alabama St.,SWAC,20,25,12,229,155,,16,,,,1831:56:00,55,100,3,,,,,65,2,3
http://stats.ncaa.org/team/17/14940,Alcorn,SWAC,16,12,5,65,96,1,5,,,,1440:00:00,90,166,,,,,,8,1,1
http://stats.ncaa.org/team/23/14940,American,Patriot,18,19,16,216,138,,8,,,,1736:23:00,26,103,7,3,,,,56,1,2
http://stats.ncaa.org/team/27/14940,App State,Sun Belt,18,23,20,204,132,1,4,,,,1689:42:00,22,82,5,2,,,,93,1,1
http://stats.ncaa.org/team/29/14940,Arizona,Pac-12,20,41,25,303,175,,10,,,,1856:23:00,28,78,10,,,,1,122,1,1
http://stats.ncaa.org/team/28/14940,Arizona St.,Pac-12,21,40,36,264,139,1,7,,,,1951:42:00,32,89,3,,,,,60,1,4
http://stats.ncaa.org/team/2678/14940,Ark.-Pine Bluff,SWAC,17,18,12,147,69,,15,,,,1530:00:00,45,133,2,2,,,,26,,
http://stats.ncaa.org/team/31/14940,Arkansas,SEC,23,62,63,370,283,,20,,,,2124:36:00,11,75,13,2,,,,159,5,5
http://stats.ncaa.org/team/30/14940,Arkansas St.,Sun Belt,20,25,16,223,161,1,15,,,,1905:24:00,20,79,9,,,,,106,2,2
http://stats.ncaa.org/team/725/14940,Army West Point,Patriot,20,24,28,242,178,,6,,,,1883:40:00,19,66,6,,,,,99,1,2
http://stats.ncaa.org/team/37/14940,Auburn,SEC,19,26,24,228,146,,14,,,,1794:05:00,29,76,6,1,,,,87,4,4
http://stats.ncaa.org/team/43/14940,Austin Peay,OVC,18,17,12,201,193,1,10,,,,1734:00:00,26,92,6,1,,,,59,,
http://stats.ncaa.org/team/47/14940,Ball St.,MAC,20,34,45,245,229,1,9,,,,1871:28:00,17,91,8,,,,,89,,1
http://stats.ncaa.org/team/51/14940,Baylor,Big 12,19,27,17,318,209,1,18,,,,1796:53:00,25,59,5,1,,,,95,2,2
http://stats.ncaa.org/team/14927/14940,Belmont,OVC,22,24,21,237,180,,9,,,,2003:44:00,32,136,7,,,,,60,,
http://stats.ncaa.org/team/62/14940,Binghamton,America East,18,24,22,209,184,1,12,,,,1655:02:00,20,69,8,,,,,92,1,2
http://stats.ncaa.org/team/66/14940,Boise St.,Mountain West,23,46,36,397,290,1,14,,,,2094:06:00,17,88,13,1,,,,123,1,1
http://stats.ncaa.org/team/67/14940,Boston College,ACC,18,33,30,222,160,1,10,,,,1573:53:00,31,63,5,1,,,,95,2,2
http://stats.ncaa.org/team/68/14940,Boston U.,Patriot,19,13,10,219,141,,5,,,,1793:13:00,25,106,6,,,,,68,,2
http://stats.ncaa.org/team/71/14940,Bowling Green,MAC,23,46,46,374,337,,16,,,,2186:11:00,26,64,6,1,,,,130,2,3
http://stats.ncaa.org/team/80/14940,Brown,Ivy League,19,32,31,284,187,,7,,,,1789:30:00,8,65,13,2,,,,125,2,2
http://stats.ncaa.org/team/81/14940,Bryant,NEC,17,23,19,223,167,,8,,,,1611:15:00,13,70,7,,,,,89,1,4
http://stats.ncaa.org/team/83/14940,Bucknell,Patriot,18,14,12,195,202,,7,,,,1691:27:00,25,99,3,,,,,101,1,2
http://stats.ncaa.org/team/86/14940,Buffalo,MAC,20,33,30,295,162,,9,,,,1899:13:00,21,87,7,2,,,,104,6,6
http://stats.ncaa.org/team/87/14940,Butler,Big East,19,30,27,268,191,,12,,,,1796:42:00,16,65,9,,,,,105,2,3
http://stats.ncaa.org/team/77/14940,BYU,WCC,23,81,66,468,186,1,12,,,,2101:27:00,15,75,14,4,,,,146,3,3
http://stats.ncaa.org/team/90/14940,Cal Poly,Big West,19,21,14,215,200,,14,,,,1777:04:00,30,94,3,,,,,75,5,5
http://stats.ncaa.org/team/97/14940,Cal St. Fullerton,Big West,21,43,47,288,205,1,11,,,,1985:36:00,21,59,11,,,,,166,3,3
http://stats.ncaa.org/team/107/14940,California,Pac-12,21,32,24,261,173,,7,,,,1951:31:00,15,90,10,1,,,,102,3,3
http://stats.ncaa.org/team/30135/14940,California Baptist,WAC,19,36,26,341,207,1,11,,,,1748:10:00,18,68,9,2,,,,104,1,1
http://stats.ncaa.org/team/115/14940,Campbell,Big South,19,48,51,359,138,,2,,,,1782:31:00,20,82,9,2,,,,142,3,4
http://stats.ncaa.org/team/116/14940,Canisius,MAAC,16,13,11,161,143,,10,,,,1513:45:00,18,79,7,2,,,,43,,
http://stats.ncaa.org/team/1004/14940,Central Ark.,Southland,19,29,19,263,177,1,12,,,,1763:33:00,47,89,4,,,,,100,2,4
http://stats.ncaa.org/team/127/14940,Central Conn. St.,NEC,22,44,46,319,216,,15,,,,2032:00:00,18,68,9,2,,,1,96,3,3
http://stats.ncaa.org/team/129/14940,Central Mich.,MAC,17,20,12,234,209,,6,,,,1654:23:00,19,82,6,,,,,78,2,2
http://stats.ncaa.org/team/48/14940,Charleston So.,Big South,19,30,20,239,172,,9,,,,1755:01:00,31,104,4,,,,,72,3,3
http://stats.ncaa.org/team/458/14940,Charlotte,C-USA,19,40,35,285,162,2,14,,,,1729:38:00,24,60,5,1,,,,102,,
http://stats.ncaa.org/team/693/14940,Chattanooga,SoCon,19,26,21,224,205,,17,,,,1786:28:00,15,84,9,,,,,69,,
http://stats.ncaa.org/team/136/14940,Chicago St.,WAC,19,6,2,133,190,,17,,,,1717:54:00,73,166,,,,,,30,,1
http://stats.ncaa.org/team/140/14940,Cincinnati,AAC,19,16,18,215,191,,9,,,,1772:39:00,22,58,8,,,,,90,1,1
http://stats.ncaa.org/team/147/14940,Clemson,ACC,20,33,33,319,199,1,16,,,,1861:14:00,25,63,7,1,,,,135,,
http://stats.ncaa.org/team/148/14940,Cleveland St.,Horizon,17,17,10,178,164,,6,,,,1629:37:00,24,85,6,,,,,79,1,3
http://stats.ncaa.org/team/149/14940,Coastal Carolina,Sun Belt,18,21,16,246,183,,8,,,,1670:38:00,30,63,4,,,,,65,1,2
http://stats.ncaa.org/team/1014/14940,Col. of Charleston,CAA,18,17,13,246,175,1,5,,,,1630:00:00,25,68,5,5,,,,88,,
http://stats.ncaa.org/team/153/14940,Colgate,Patriot,18,13,12,251,140,,9,,,,1743:53:00,22,77,6,,,,1,74,,2
http://stats.ncaa.org/team/157/14940,Colorado,Pac-12,22,36,29,308,193,1,18,,,,1946:37:00,27,101,8,,,,,79,4,4
http://stats.ncaa.org/team/154/14940,Colorado Col.,Mountain West,17,27,28,290,178,,7,,,,1413:07:00,18,63,8,2,,,,104,1,1
http://stats.ncaa.org/team/156/14940,Colorado St.,Mountain West,20,26,22,242,202,,7,,,,1887:21:00,15,111,10,1,,,,70,1,2
http://stats.ncaa.org/team/158/14940,Columbia,Ivy League,16,25,28,211,167,,11,,,,1529:57:00,15,62,5,1,,,,68,,1
http://stats.ncaa.org/team/167/14940,Cornell,Ivy League,15,10,6,129,132,,5,,,,1370:00:00,25,68,3,1,,,,48,1,1
http://stats.ncaa.org/team/169/14940,Creighton,Big East,18,25,21,261,208,,17,,,,1682:02:00,21,78,4,,,,,94,1,2
http://stats.ncaa.org/team/94/14940,CSU Bakersfield,WAC,20,27,23,211,202,,11,,,,1859:09:00,26,82,5,,,,,104,1,1
http://stats.ncaa.org/team/101/14940,CSUN,Big West,22,25,18,228,240,,20,,,,1858:18:00,19,91,12,,,,,92,3,3
http://stats.ncaa.org/team/172/14940,Dartmouth,Ivy League,17,37,35,203,125,,2,,,,1553:45:00,13,61,8,3,,,,71,,1
http://stats.ncaa.org/team/173/14940,Davidson,Atlantic 10,19,21,16,205,187,,13,,,,1794:44:00,20,78,9,1,,,,70,,1
http://stats.ncaa.org/team/175/14940,Dayton,Atlantic 10,19,26,24,276,194,,9,,,,1709:15:00,25,61,10,,,,,104,4,4
http://stats.ncaa.org/team/180/14940,Delaware,CAA,19,28,19,275,225,3,13,,,,1795:57:00,18,73,9,2,,,2,95,2,2
http://stats.ncaa.org/team/178/14940,Delaware St.,DI Independent,18,13,8,89,125,,13,,,,1627:17:00,59,112,1,,,,,46,3,3
http://stats.ncaa.org/team/183/14940,Denver,Summit League,20,34,27,297,237,,14,,,,1883:42:00,9,40,13,4,,,,115,3,3
http://stats.ncaa.org/team/176/14940,DePaul,Big East,19,22,15,235,201,,13,,,,1771:50:00,18,54,9,,,,,80,1,1
http://stats.ncaa.org/team/184/14940,Detroit Mercy,Horizon,17,8,5,148,228,,21,,,,1568:22:00,32,87,2,1,,,,63,1,2
http://stats.ncaa.org/team/189/14940,Drake,MVC,19,14,18,189,215,,12,,,,1740:23:00,19,86,7,1,,,,87,,2
http://stats.ncaa.org/team/191/14940,Drexel,CAA,19,13,12,193,194,,14,,,,1788:13:00,29,87,4,2,,,,75,,1
http://stats.ncaa.org/team/193/14940,Duke,ACC,20,38,35,252,192,,12,,,,1838:50:00,14,76,9,3,,,,92,1,1
http://stats.ncaa.org/team/194/14940,Duquesne,Atlantic 10,17,24,15,202,145,,6,,,,1615:47:00,28,81,2,1,,,,63,2,3
http://stats.ncaa.org/team/196/14940,East Carolina,AAC,18,19,16,187,153,,12,,,,1692:10:00,25,91,7,1,,,,63,,1
http://stats.ncaa.org/team/201/14940,Eastern Ill.,OVC,18,18,14,173,118,,7,,,,1714:46:00,26,128,4,,,,,39,2,2
http://stats.ncaa.org/team/202/14940,Eastern Ky.,OVC,18,12,6,225,214,,17,,,,1616:19:00,27,81,5,,,,1,72,2,2
http://stats.ncaa.org/team/204/14940,Eastern Mich.,MAC,22,33,26,314,230,,13,,,,2053:07:00,44,119,4,,,,,99,4,5
http://stats.ncaa.org/team/207/14940,Eastern Wash.,Big Sky,21,33,20,291,274,,20,,,,1868:46:00,23,81,6,,,,,129,2,2
http://stats.ncaa.org/team/1068/14940,Elon,CAA,20,42,29,251,185,,6,,,,1765:26:00,33,76,5,,,,1,75,1,2
