URL,Institution,Conference,Goals,Assists,ShAtt,Fouls,Red Cards,Yellow Cards,GC,Goal App,GGS,Goalie Min. Plyd,GA,Saves,Shutouts,G Wins,G Loss,DSaves,Corners,PK,PK Att
http://stats.ncaa.org/team/128/14082,UCF,AAC,34,22,291,153,,7,,,,1654:04:00,19,55,5,,,,108,3,4
http://stats.ncaa.org/team/110/14082,UCLA,Pac-12,61,62,380,186,,19,,,,2034:45:00,17,60,12,,,,136,4,5
http://stats.ncaa.org/team/164/14082,UConn,AAC,21,15,202,169,,5,,,,1620:00:00,44,81,2,,,,72,0,0
http://stats.ncaa.org/team/302/14082,UIC,Horizon,17,12,220,180,,12,,,,1759:44:00,46,100,3,,,,68,0,0
http://stats.ncaa.org/team/2743/14082,UIW,Southland,11,8,159,140,2,13,,,,1437:00:00,33,112,2,,,,48,0,2
http://stats.ncaa.org/team/498/14082,ULM,Sun Belt,7,4,127,161,1,18,,,,1539:26:00,57,156,,,,,49,0,0
http://stats.ncaa.org/team/368/14082,UMass Lowell,America East,33,22,300,164,,5,,,,2016:00:00,39,115,6,,,,72,2,2
http://stats.ncaa.org/team/391/14082,UMBC,America East,15,11,144,133,1,5,,,,1534:57:00,47,72,,,,1,35,3,3
http://stats.ncaa.org/team/456/14082,UNC Asheville,Big South,10,9,129,90,1,5,,,,1536:13:00,23,119,2,,,,44,1,1
http://stats.ncaa.org/team/459/14082,UNC Greensboro,SoCon,50,48,340,164,,11,,,,1910:00:00,21,91,8,,,,119,2,3
http://stats.ncaa.org/team/460/14082,UNCW,CAA,32,30,179,133,,12,,,,1475:13:00,22,62,4,,,,89,2,2
http://stats.ncaa.org/team/504/14082,UNI,MVC,22,10,205,130,,4,,,,1692:37:00,17,118,7,,,,69,1,1
http://stats.ncaa.org/team/465/14082,UNLV,Mountain West,36,34,295,163,1,15,,,,1778:55:00,20,101,7,,,,91,5,6
http://stats.ncaa.org/team/10411/14082,USC Upstate,Big South,37,18,327,176,,11,,,,1820:47:00,29,70,8,,,,113,3,4
http://stats.ncaa.org/team/695/14082,UT Martin,OVC,49,30,401,182,,13,,,,1730:00:00,17,42,7,,,,109,3,4
http://stats.ncaa.org/team/732/14082,Utah,Pac-12,23,21,207,149,,6,,,,1702:38:00,20,93,9,,,,74,1,1
http://stats.ncaa.org/team/731/14082,Utah St.,Mountain West,15,8,209,201,1,6,,,,1714:44:00,30,95,2,,,,83,2,2
http://stats.ncaa.org/team/30024/14082,Utah Valley,WAC,23,28,258,209,,20,,,,1932:51:00,34,105,4,,,,90,0,0
http://stats.ncaa.org/team/704/14082,UTEP,C-USA,29,17,251,209,1,13,,,,1840:53:00,25,99,5,,,,79,4,4
http://stats.ncaa.org/team/536/14082,UTRGV,WAC,33,19,348,176,,20,,,,1976:34:00,23,91,6,,,,72,4,4
http://stats.ncaa.org/team/706/14082,UTSA,C-USA,24,21,231,177,,21,,,,1563:16:00,27,62,6,,,,73,1,2
http://stats.ncaa.org/team/735/14082,Valparaiso,MVC,17,16,218,203,,18,,,,1507:31:00,22,64,3,,,,67,1,3
