season,team,jersey,full_name,roster_name,first_name,last_name,yr,pos,gp,gs,g,gs_2,goals,assists,points,shots,shot_pct,sog,sog_pct,gwg,man_up_g,man_down_g,gb,to,ct,fo_won,f_os_taken,fo_pct,pen,pen_time,ggp,ggs,g_min,goals_allowed,gaa,saves,save_pct,rc,yc,clears,att,clear_pct,otg,ncaa_id
2021,Air Force Falcons,17,Chris Bardak,"Bardak, Chris",Chris,Bardak,Fr,,13,1,13,1,2,1,3,2,1,2,1,NA,NA,NA,37,4,13,NA,0,NA,5,270,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2473182
2021,Air Force Falcons,25,James Chastain,"Chastain, James",James,Chastain,Fr,,13,13,13,13,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,19,7,11,NA,0,NA,5,210,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2473183
2021,Air Force Falcons,11,Dylan Frankhouser,"Frankhouser, Dylan",Dylan,Frankhouser,So,,13,NA,13,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,27,3,NA,64,138,0.464,1,30,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2319154
2021,Air Force Falcons,12,Tommy Hellman,"Hellman, Tommy",Tommy,Hellman,So,,13,2,13,2,2,2,4,8,0.25,3,0.375,NA,1,NA,26,11,4,NA,0,NA,1,60,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2319136
2021,Air Force Falcons,55,Chase Douglas,"Douglas, Chase",Chase,Douglas,Jr,,13,3,13,3,3,4,7,14,0.214,8,0.571,NA,NA,NA,6,9,NA,NA,0,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2126521
2021,Air Force Falcons,18,Brenden Crouse,"Crouse, Brenden",Brenden,Crouse,Jr,,13,11,13,11,14,9,23,87,0.161,41,0.471,2,1,NA,19,12,2,18,34,0.529,1,30,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2126516
2021,Air Force Falcons,34,Quentin Carlile,"Carlile, Quentin",Quentin,Carlile,Jr,,13,13,13,13,NA,1,1,NA,NA,NA,NA,NA,NA,NA,29,4,23,NA,0,NA,3,150,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2126467
2021,Air Force Falcons,4,Quincy Peene,"Peene, Quincy",Quincy,Peene,Sr,,13,12,13,12,9,9,18,69,0.13,37,0.536,NA,NA,NA,16,11,5,NA,0,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1975041
2021,Air Force Falcons,26,Sterling Ceshkar,"Ceshkar, Sterling",Sterling,Ceshkar,Sr,,13,NA,13,NA,1,NA,1,7,0.143,2,0.286,NA,NA,NA,30,12,5,1,5,0.2,3,120,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1975036
2021,Air Force Falcons,5,Aidan Tolen,"Tolen, Aidan",Aidan,Tolen,Fr,,12,9,12,9,11,6,17,43,0.256,31,0.721,NA,1,NA,7,21,4,NA,0,NA,4,210,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2473179
2021,Air Force Falcons,40,Ethan Grandolfo,"Grandolfo, Ethan",Ethan,Grandolfo,So,,12,12,12,12,23,10,33,83,0.277,46,0.554,NA,NA,NA,18,25,4,NA,0,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2319161
2021,Air Force Falcons,28,Brian Michael,"Michael, Brian",Brian,Michael,Jr,,12,NA,12,NA,1,1,2,1,1,1,1,NA,NA,1,33,7,2,65,133,0.489,4,300,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2126505
2021,Air Force Falcons,23,Matthew O'Rourk,"O'Rourk, Matthew",Matthew,O'Rourk,Sr,,12,12,12,12,11,10,21,41,0.268,20,0.488,NA,2,NA,13,5,NA,NA,0,NA,1,30,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1975075
2021,Air Force Falcons,9,Gianni Orlando,"Orlando, Gianni",Gianni,Orlando,Sr,,11,1,11,1,2,NA,2,14,0.143,5,0.357,1,NA,NA,3,3,NA,NA,0,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1975032
2021,Air Force Falcons,24,Gavin Peene,"Peene, Gavin",Gavin,Peene,So,,11,1,11,1,2,3,5,15,0.133,9,0.6,NA,NA,NA,1,2,1,NA,0,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2319155
2021,Air Force Falcons,33,Jason Rose,"Rose, Jason",Jason,Rose,So,,9,4,9,4,NA,NA,0,1,NA,NA,NA,NA,NA,NA,12,7,6,NA,0,NA,NA,NA,8,4,316:53,55,10.414,59,0.518,NA,NA,NA,NA,NA,NA,2319159
