date,team,opponent,home_away,result,home_score,visitor_score,overtime,fouls,goals,assists,points,shots,sog,ground_balls,turnovers,ct,freepos_shots,freepos_goals,draw_controls,defensive_fouls,defensive_goals,defensive_assists,defensive_points,defensive_shots,defensive_sog,defensive_ground_balls,defensive_turnovers,defensive_ct,defensive_freepos_shots,defensive_freepos_goals,defensive_draw_controls,team_id
2021-02-26,Akron,Gardner-Webb,Home,,8,16,,30.0,8.0,6.0,14.0,24,17,22,19,8.0,,,13,17.0,16.0,3.0,19.0,33,27,25,10,9.0,,,13,5
2021-02-28,Akron,Saint Francis,Away,,8,7,,35.0,8.0,3.0,11.0,25,19,19,16,13.0,14.0,4.0,7,42.0,7.0,3.0,10.0,23,17,17,26,12.0,10.0,4.0,10,5
2021-03-05,Akron,Youngstown St.,Home,,12,11,,10.0,12.0,1.0,13.0,40,25,23,20,9.0,2.0,1.0,11,12.0,11.0,1.0,12.0,34,21,7,14,1.0,4.0,4.0,7,5
2021-03-09,Akron,Delaware St.,Home,,18,5,,16.0,18.0,6.0,24.0,48,33,24,12,12.0,7.0,4.0,14,22.0,5.0,1.0,6.0,12,7,13,16,5.0,3.0,1.0,7,5
2021-03-13,Akron,Kent St.,Away,,8,9,,18.0,8.0,1.0,9.0,25,21,16,24,7.0,11.0,4.0,14,19.0,9.0,6.0,15.0,28,17,26,21,11.0,8.0,,5,5
2021-03-16,Akron,Robert Morris,Away,,4,15,,25.0,4.0,2.0,6.0,17,10,22,23,6.0,3.0,2.0,5,14.0,15.0,8.0,23.0,41,30,26,21,17.0,9.0,6.0,14,5
2021-03-20,Akron,St. Bonaventure,Away,,12,13,,,12.0,2.0,14.0,28,22,20,17,10.0,1.0,1.0,16,,13.0,6.0,19.0,25,21,19,15,10.0,5.0,1.0,11,5
2021-03-23,Akron,Presbyterian,Home,,16,2,,9.0,16.0,2.0,18.0,34,24,14,12,10.0,2.0,2.0,13,9.0,2.0,1.0,3.0,12,8,10,15,6.0,,,7,5
2021-04-03,Akron,Central Mich.,Home,,7,17,,31.0,7.0,4.0,11.0,21,16,13,21,9.0,2.0,1.0,14,12.0,17.0,5.0,22.0,38,32,18,19,12.0,8.0,5.0,12,5
2021-04-09,Akron,Youngstown St.,Away,,14,13,,17.0,14.0,10.0,24.0,37,29,34,20,13.0,6.0,3.0,10,14.0,13.0,3.0,16.0,26,23,20,33,6.0,9.0,5.0,19,5
2021-04-13,Akron,Detroit Mercy,Home,,14,15,3,23.0,14.0,9.0,23.0,39,34,28,18,12.0,7.0,2.0,21,17.0,15.0,8.0,23.0,25,20,21,24,14.0,6.0,3.0,12,5
2021-04-17,Akron,Robert Morris,Home,,4,18,,19.0,4.0,4.0,8.0,10,8,17,19,14.0,1.0,,9,11.0,18.0,12.0,30.0,32,28,23,17,12.0,6.0,3.0,15,5
2021-04-20,Akron,Kent St.,Home,,17,6,,9.0,17.0,10.0,27.0,32,28,30,14,13.0,7.0,4.0,15,17.0,6.0,,6.0,19,16,15,21,10.0,6.0,4.0,10,5
2021-04-24,Akron,Detroit Mercy,Away,,16,12,,14.0,16.0,7.0,23.0,25,21,23,27,15.0,5.0,3.0,14,20.0,12.0,9.0,21.0,34,24,29,21,22.0,4.0,1.0,16,5
2021-05-01,Akron,Central Mich.,Away,,6,18,,17.0,6.0,1.0,7.0,18,15,13,13,5.0,5.0,1.0,10,10.0,18.0,11.0,29.0,31,26,19,13,7.0,5.0,2.0,14,5
2021-02-26,American,Mount St. Mary's,Away,,9,19,,25.0,9.0,4.0,13.0,20,17,14,22,7.0,5.0,4.0,15,25.0,19.0,9.0,28.0,30,26,21,18,9.0,7.0,5.0,15,23
2021-03-06,American,Loyola Maryland,Away,,4,21,,13.0,4.0,1.0,5.0,14,10,13,16,6.0,4.0,1.0,8,14.0,21.0,10.0,31.0,32,26,17,15,11.0,4.0,1.0,19,23
2021-03-10,American,George Washington,Home,,16,17,,26.0,16.0,4.0,20.0,30,27,16,13,5.0,5.0,3.0,14,14.0,17.0,4.0,21.0,42,30,18,12,4.0,13.0,6.0,21,23
2021-03-13,American,Lehigh,Home,,10,12,,10.0,10.0,2.0,12.0,29,20,18,16,7.0,7.0,4.0,12,10.0,12.0,6.0,18.0,19,15,13,18,12.0,4.0,4.0,11,23
2021-03-24,American,Longwood,Home,,20,12,,12.0,20.0,9.0,29.0,35,25,18,12,8.0,3.0,1.0,20,12.0,12.0,8.0,20.0,22,15,13,18,5.0,3.0,2.0,14,23
2021-04-03,American,Bucknell,Away,,15,17,,19.0,15.0,11.0,26.0,35,32,18,20,13.0,,,17,15.0,17.0,8.0,25.0,35,27,25,25,13.0,,,17,23
2021-04-24,American,Navy,Home,,13,20,,16.0,13.0,8.0,21.0,29,21,12,17,7.0,3.0,1.0,19,7.0,20.0,7.0,27.0,34,28,17,13,8.0,11.0,8.0,15,23
