date,team,opponent,home_away,result,home_score,visitor_score,overtime,fouls,goals,assists,points,shots,sog,ground_balls,turnovers,ct,freepos_shots,freepos_goals,draw_controls,defensive_fouls,defensive_goals,defensive_assists,defensive_points,defensive_shots,defensive_sog,defensive_ground_balls,defensive_turnovers,defensive_ct,defensive_freepos_shots,defensive_freepos_goals,defensive_draw_controls,team_id
2021-04-28,American,Lehigh,Away,,6,21,,14.0,6.0,3.0,9.0,18,12,11,15,5.0,2.0,,12,9.0,21.0,10.0,31.0,34,28,14,11,8.0,8.0,7.0,17,23
2021-02-21,Arizona St.,San Diego St.,Home,,23,10,,27.0,23.0,12.0,35.0,44,35,25,19,9.0,8.0,2.0,26,21.0,10.0,2.0,12.0,28,26,24,14,7.0,12.0,4.0,9,28
2021-02-27,Arizona St.,Fresno St.,Home,,22,6,,17.0,22.0,9.0,31.0,39,29,24,12,12.0,5.0,3.0,17,12.0,6.0,,6.0,19,12,18,19,9.0,7.0,3.0,11,28
2021-03-07,Arizona St.,Denver,Away,,10,22,,28.0,10.0,3.0,13.0,26,15,14,25,12.0,10.0,7.0,18,22.0,22.0,15.0,37.0,39,31,25,17,15.0,6.0,3.0,15,28
2021-03-12,Arizona St.,Stanford,Away,,9,15,,33.0,9.0,6.0,15.0,24,20,19,20,6.0,4.0,1.0,12,10.0,15.0,12.0,27.0,34,28,28,16,9.0,8.0,1.0,14,28
2021-03-14,Arizona St.,California,Away,,21,11,,35.0,21.0,12.0,33.0,35,30,14,12,3.0,8.0,3.0,14,32.0,11.0,5.0,16.0,30,19,13,16,4.0,9.0,2.0,20,28
2021-03-19,Arizona St.,Southern California,Away,,20,9,,37.0,20.0,13.0,33.0,34,27,22,16,6.0,10.0,4.0,16,24.0,9.0,3.0,12.0,40,20,23,13,10.0,10.0,5.0,15,28
2021-03-21,Arizona St.,UC Davis,Home,,19,14,,54.0,19.0,9.0,28.0,39,32,24,19,9.0,6.0,4.0,19,20.0,14.0,6.0,20.0,34,26,27,24,7.0,10.0,4.0,16,28
2021-03-26,Arizona St.,Oregon,Home,,18,6,,30.0,18.0,11.0,29.0,36,32,25,23,12.0,7.0,3.0,17,29.0,6.0,4.0,10.0,18,11,21,26,6.0,3.0,,9,28
2021-03-28,Arizona St.,Colorado,Home,,16,11,,44.0,16.0,11.0,27.0,40,33,21,16,10.0,7.0,3.0,20,29.0,11.0,4.0,15.0,29,22,21,16,9.0,9.0,4.0,9,28
2021-04-04,Arizona St.,Colorado,Away,,11,15,,38.0,11.0,7.0,18.0,26,20,17,17,9.0,5.0,2.0,12,20.0,15.0,6.0,21.0,43,32,14,14,9.0,10.0,6.0,16,28
2021-04-16,Arizona St.,Stanford,Home,,21,22,1,66.0,21.0,11.0,32.0,41,31,28,17,9.0,8.0,3.0,16,30.0,22.0,9.0,31.0,38,31,24,21,7.0,13.0,6.0,29,28
2021-04-18,Arizona St.,California,Home,,11,7,,43.0,11.0,4.0,15.0,26,20,25,18,10.0,4.0,2.0,10,25.0,7.0,2.0,9.0,21,14,21,21,4.0,6.0,1.0,10,28
2021-04-23,Arizona St.,Southern California,Home,,14,16,,31.0,14.0,10.0,24.0,34,20,19,26,10.0,5.0,2.0,17,20.0,16.0,9.0,25.0,38,25,24,23,14.0,3.0,1.0,15,28
2021-04-25,Arizona St.,San Diego St.,Away,,20,11,,43.0,20.0,15.0,35.0,37,33,21,21,9.0,6.0,2.0,27,29.0,11.0,5.0,16.0,29,21,11,18,13.0,9.0,4.0,6,28
2021-05-05,Arizona St.,California,Home,,17,9,,32.0,17.0,14.0,31.0,28,22,27,17,4.0,3.0,,16,20.0,9.0,4.0,13.0,31,23,25,16,4.0,12.0,3.0,12,28
2021-05-06,Arizona St.,Stanford,Away,,11,18,,31.0,11.0,9.0,20.0,27,17,28,18,6.0,4.0,1.0,10,13.0,18.0,9.0,27.0,49,36,34,16,6.0,7.0,3.0,20,28
2021-02-20,Army West Point,Saint Joseph's,Away,,9,13,,18.0,9.0,,9.0,26,16,11,13,5.0,,,11,19.0,13.0,4.0,17.0,25,21,19,11,9.0,,,10,725
2021-03-20,Army West Point,Lehigh,Away,,7,14,,26.0,7.0,4.0,11.0,27,23,17,12,6.0,5.0,1.0,10,24.0,14.0,9.0,23.0,32,21,14,11,5.0,4.0,3.0,13,725
2021-03-27,Army West Point,Navy,Home,,12,13,,29.0,12.0,3.0,15.0,33,26,14,11,5.0,8.0,2.0,14,31.0,13.0,6.0,19.0,22,19,10,10,7.0,6.0,4.0,12,725
2021-04-01,Army West Point,Holy Cross,Away,,13,10,,16.0,13.0,3.0,16.0,36,24,14,19,3.0,6.0,2.0,19,20.0,10.0,1.0,11.0,23,20,20,9,16.0,6.0,4.0,6,725
2021-04-04,Army West Point,Colgate,Away,,14,7,,,14.0,5.0,19.0,30,25,15,12,9.0,4.0,3.0,13,,7.0,5.0,12.0,23,15,14,16,6.0,5.0,2.0,10,725
2021-04-10,Army West Point,Lafayette,Home,,18,11,,26.0,18.0,10.0,28.0,44,32,14,5,4.0,5.0,2.0,23,15.0,11.0,7.0,18.0,20,17,10,12,2.0,5.0,2.0,7,725
2021-04-17,Army West Point,Boston U.,Away,,15,8,,16.0,15.0,8.0,23.0,29,21,13,12,8.0,6.0,2.0,11,17.0,8.0,3.0,11.0,19,12,16,14,10.0,6.0,1.0,14,725
2021-04-24,Army West Point,Bucknell,Home,,19,8,,17.0,19.0,5.0,24.0,43,30,12,6,5.0,11.0,4.0,21,24.0,8.0,3.0,11.0,14,13,9,12,5.0,7.0,5.0,6,725
2021-05-06,Army West Point,Lehigh,Home,,8,10,,23.0,8.0,2.0,10.0,19,15,19,13,12.0,2.0,1.0,7,12.0,10.0,6.0,16.0,23,16,11,16,9.0,8.0,3.0,13,725
2021-03-06,Binghamton,UMass Lowell,Home,,11,8,,6.0,11.0,3.0,14.0,29,19,22,17,2.0,7.0,3.0,14,23.0,8.0,3.0,11.0,25,17,18,7,6.0,4.0,1.0,7,62
2021-03-13,Binghamton,UAlbany,Away,,13,19,,28.0,13.0,4.0,17.0,27,21,18,14,9.0,8.0,5.0,13,45.0,19.0,9.0,28.0,38,27,21,18,8.0,3.0,1.0,21,62
2021-03-20,Binghamton,Vermont,Home,,10,17,,19.0,10.0,1.0,11.0,37,22,25,12,6.0,13.0,4.0,12,26.0,17.0,6.0,23.0,32,29,21,13,3.0,4.0,3.0,16,62
2021-03-27,Binghamton,UMBC,Home,,10,16,,21.0,10.0,5.0,15.0,26,18,24,12,7.0,4.0,1.0,5,11.0,16.0,7.0,23.0,45,33,21,12,6.0,10.0,5.0,22,62
2021-04-10,Binghamton,Hartford,Home,,20,12,,14.0,20.0,7.0,27.0,50,35,32,11,14.0,7.0,4.0,17,21.0,12.0,5.0,17.0,22,18,17,20,3.0,5.0,3.0,17,62
2021-04-21,Binghamton,New Hampshire,Away,,13,10,,,13.0,5.0,18.0,23,21,12,18,4.0,10.0,4.0,12,,10.0,4.0,14.0,29,19,11,17,5.0,4.0,1.0,12,62
2021-04-24,Binghamton,UMBC,Away,,16,27,,32.0,16.0,6.0,22.0,32,24,15,12,8.0,7.0,4.0,18,15.0,27.0,13.0,40.0,36,34,14,12,7.0,12.0,10.0,26,62
2021-05-01,Binghamton,UAlbany,Home,,6,18,,18.0,6.0,2.0,8.0,18,12,19,19,8.0,4.0,2.0,13,18.0,18.0,8.0,26.0,38,29,23,12,10.0,4.0,3.0,13,62
2021-02-23,Boston College,UAlbany,Home,,22,12,,10.0,22.0,7.0,29.0,38,27,13,10,8.0,11.0,8.0,18,15.0,12.0,7.0,19.0,26,18,9,12,6.0,5.0,4.0,16,67
2021-02-26,Boston College,Southern California,Home,,14,8,,8.0,14.0,4.0,18.0,29,22,20,14,9.0,7.0,3.0,11,14.0,8.0,4.0,12.0,23,15,13,16,7.0,3.0,1.0,13,67
2021-03-02,Boston College,Massachusetts,Home,,19,7,,7.0,19.0,9.0,28.0,36,30,19,21,8.0,7.0,3.0,22,15.0,7.0,4.0,11.0,24,16,13,15,8.0,3.0,1.0,6,67
2021-03-06,Boston College,North Carolina,Away,,9,21,,16.0,9.0,2.0,11.0,21,18,6,12,,1.0,,18,17.0,21.0,7.0,28.0,40,27,11,5,7.0,5.0,4.0,14,67
2021-03-13,Boston College,Virginia,Home,,20,11,,11.0,20.0,7.0,27.0,34,32,19,13,4.0,,,22,17.0,11.0,1.0,12.0,24,21,19,8,6.0,,,10,67
2021-03-20,Boston College,Hofstra,Away,,19,7,,12.0,19.0,7.0,26.0,36,25,15,10,1.0,8.0,3.0,16,28.0,7.0,2.0,9.0,23,14,9,8,5.0,3.0,,11,67
2021-03-26,Boston College,Louisville,Home,,14,13,1,,14.0,6.0,20.0,31,20,11,13,3.0,5.0,2.0,18,,13.0,5.0,18.0,26,22,13,10,5.0,6.0,2.0,11,67
2021-03-28,Boston College,Louisville,Home,,18,3,,13.0,18.0,10.0,28.0,30,24,13,12,5.0,5.0,3.0,16,18.0,3.0,,3.0,16,11,9,9,3.0,2.0,1.0,7,67
2021-04-03,Boston College,Duke,Home,,17,15,,11.0,17.0,5.0,22.0,34,25,9,14,8.0,5.0,3.0,19,16.0,15.0,4.0,19.0,25,21,9,12,11.0,5.0,3.0,15,67
2021-04-10,Boston College,Virginia Tech,Away,,21,11,,6.0,21.0,12.0,33.0,41,27,11,17,8.0,12.0,5.0,23,28.0,11.0,3.0,14.0,21,16,11,13,10.0,,,10,67
2021-04-15,Boston College,Notre Dame,Home,,19,11,,17.0,19.0,9.0,28.0,36,27,5,7,5.0,7.0,4.0,20,24.0,11.0,2.0,13.0,31,22,11,7,5.0,6.0,3.0,13,67
2021-04-17,Boston College,Notre Dame,Home,,18,12,,20.0,18.0,5.0,23.0,31,24,6,10,9.0,8.0,4.0,17,42.0,12.0,5.0,17.0,25,19,9,12,7.0,6.0,4.0,14,67
2021-04-22,Boston College,Syracuse,Away,,14,13,,11.0,14.0,11.0,25.0,19,18,19,25,7.0,3.0,1.0,18,24.0,13.0,5.0,18.0,25,17,16,14,14.0,2.0,2.0,10,67
2021-04-24,Boston College,Syracuse,Away,,7,16,,16.0,7.0,4.0,11.0,27,16,10,18,2.0,5.0,2.0,15,28.0,16.0,6.0,22.0,23,21,15,11,7.0,2.0,2.0,10,67
2021-04-28,Boston College,Virginia,Home,,16,12,,22.0,16.0,7.0,23.0,29,26,18,13,6.0,3.0,2.0,16,24.0,12.0,3.0,15.0,28,22,18,11,4.0,4.0,2.0,14,67
2021-04-30,Boston College,Syracuse,Home,,17,19,,28.0,17.0,7.0,24.0,30,24,9,10,3.0,9.0,3.0,22,33.0,19.0,10.0,29.0,32,26,13,6,6.0,2.0,1.0,16,67
2021-05-14,Boston College,Fairfield,Home,,19,6,,11.0,19.0,7.0,26.0,35,23,10,12,9.0,5.0,3.0,18,14.0,6.0,3.0,9.0,17,11,11,14,6.0,3.0,,8,67
2021-05-16,Boston College,Temple,Home,,21,11,,16.0,21.0,10.0,31.0,37,31,14,13,10.0,3.0,2.0,20,17.0,11.0,4.0,15.0,27,17,13,15,6.0,1.0,1.0,12,67
2021-05-22,Boston College,Notre Dame,Home,,21,10,,17.0,21.0,8.0,29.0,36,31,9,14,3.0,6.0,4.0,22,43.0,10.0,5.0,15.0,28,16,18,11,10.0,1.0,1.0,8,67
2021-05-28,Boston College,North Carolina,Home,,11,10,,16.0,11.0,4.0,15.0,26,19,12,8,7.0,4.0,2.0,7,17.0,10.0,6.0,16.0,35,21,10,9,5.0,5.0,1.0,16,67
2021-05-30,Boston College,Syracuse,Home,,16,10,,13.0,16.0,8.0,24.0,27,20,12,13,9.0,7.0,4.0,14,26.0,10.0,5.0,15.0,29,19,17,13,7.0,2.0,1.0,13,67
2021-02-21,Boston U.,Stony Brook,Away,,10,20,,40.0,10.0,3.0,13.0,15,14,8,11,5.0,6.0,4.0,11,22.0,20.0,9.0,29.0,34,26,13,9,5.0,11.0,7.0,21,68
2021-02-28,Boston U.,Massachusetts,Home,,13,23,,16.0,13.0,8.0,21.0,28,19,13,21,5.0,4.0,1.0,17,16.0,23.0,8.0,31.0,40,30,19,14,9.0,5.0,3.0,21,68
2021-03-07,Boston U.,Vermont,Away,,12,10,,20.0,12.0,4.0,16.0,28,25,18,12,13.0,6.0,3.0,14,22.0,10.0,6.0,16.0,29,16,18,18,8.0,5.0,1.0,10,68
2021-03-15,Boston U.,La Salle,Away,,9,10,,,9.0,4.0,13.0,27,21,16,16,5.0,4.0,,12,,10.0,2.0,12.0,21,16,14,14,4.0,3.0,1.0,9,68
2021-03-21,Boston U.,Colgate,Away,,9,14,,,9.0,3.0,12.0,19,13,16,18,6.0,2.0,,6,,14.0,2.0,16.0,31,26,14,13,8.0,2.0,1.0,19,68
2021-03-27,Boston U.,Holy Cross,Home,,17,12,,12.0,17.0,14.0,31.0,36,30,18,16,10.0,3.0,,23,13.0,12.0,5.0,17.0,24,20,15,18,9.0,1.0,,8,68
2021-04-04,Boston U.,Lafayette,Home,,18,7,,17.0,18.0,7.0,25.0,33,24,10,15,8.0,6.0,3.0,21,18.0,7.0,,7.0,22,17,16,11,6.0,5.0,2.0,6,68
2021-04-17,Boston U.,Army West Point,Home,,8,15,,17.0,8.0,3.0,11.0,19,12,16,14,10.0,6.0,1.0,14,16.0,15.0,8.0,23.0,29,21,13,12,8.0,6.0,2.0,11,68
2021-04-24,Boston U.,Colgate,Home,,15,14,,21.0,15.0,6.0,21.0,25,21,19,12,10.0,5.0,4.0,11,22.0,14.0,3.0,17.0,28,24,16,18,8.0,6.0,2.0,19,68
2021-05-03,Boston U.,Colgate,Away,,13,15,,,13.0,5.0,18.0,29,20,13,17,6.0,4.0,2.0,16,,15.0,4.0,19.0,34,27,13,11,8.0,7.0,4.0,13,68
2021-03-13,Bryant,Wagner,Away,,6,12,,9.0,6.0,3.0,9.0,21,16,20,20,7.0,4.0,2.0,9,12.0,12.0,4.0,16.0,36,24,18,14,12.0,8.0,4.0,11,81
2021-03-24,Bryant,Central Conn. St.,Away,,18,3,,12.0,18.0,8.0,26.0,43,28,9,10,1.0,6.0,4.0,18,6.0,3.0,,3.0,15,10,12,9,3.0,5.0,,5,81
2021-03-27,Bryant,Mount St. Mary's,Home,,11,20,,15.0,11.0,3.0,14.0,26,24,9,8,6.0,3.0,2.0,12,3.0,20.0,8.0,28.0,33,33,8,9,3.0,8.0,6.0,21,81
2021-03-31,Bryant,Merrimack,Away,,18,10,,12.0,18.0,14.0,32.0,35,30,21,19,9.0,3.0,1.0,15,13.0,10.0,9.0,19.0,30,23,27,23,10.0,5.0,1.0,15,81
2021-04-03,Bryant,LIU,Away,,8,11,,17.0,8.0,2.0,10.0,24,20,10,11,1.0,3.0,3.0,12,17.0,11.0,7.0,18.0,26,20,15,9,8.0,4.0,1.0,10,81
2021-04-07,Bryant,Sacred Heart,Home,,11,12,,19.0,11.0,3.0,14.0,33,24,13,15,5.0,8.0,5.0,16,11.0,12.0,6.0,18.0,34,22,21,12,9.0,7.0,2.0,9,81
2021-04-10,Bryant,Saint Francis,Home,,14,12,,21.0,14.0,6.0,20.0,41,32,18,13,14.0,7.0,1.0,15,19.0,12.0,4.0,16.0,26,17,14,23,6.0,8.0,4.0,11,81
2021-04-14,Bryant,Mount St. Mary's,Away,,11,17,,17.0,11.0,5.0,16.0,38,25,21,12,3.0,5.0,4.0,15,10.0,17.0,5.0,22.0,33,20,17,14,6.0,7.0,4.0,15,81
2021-04-17,Bryant,Sacred Heart,Away,,15,10,,16.0,15.0,5.0,20.0,33,27,22,12,2.0,2.0,1.0,14,17.0,10.0,5.0,15.0,30,21,17,12,7.0,3.0,1.0,11,81
2021-04-21,Bryant,Merrimack,Home,,19,7,,19.0,19.0,12.0,31.0,39,28,13,10,10.0,9.0,4.0,17,15.0,7.0,2.0,9.0,22,14,10,18,4.0,4.0,2.0,10,81
2021-04-24,Bryant,Central Conn. St.,Home,,22,3,,13.0,22.0,15.0,37.0,43,34,10,14,8.0,4.0,3.0,19,8.0,3.0,,3.0,17,14,13,13,7.0,5.0,1.0,6,81
2021-04-28,Bryant,LIU,Home,,12,11,,22.0,12.0,5.0,17.0,23,19,13,14,3.0,3.0,1.0,13,14.0,11.0,1.0,12.0,41,32,20,6,4.0,6.0,2.0,11,81
2021-05-05,Bryant,Mount St. Mary's,Away,,10,12,,24.0,10.0,5.0,15.0,31,22,17,16,7.0,5.0,2.0,14,22.0,12.0,5.0,17.0,37,24,25,13,8.0,8.0,2.0,10,81
2021-03-06,Bucknell,St. Bonaventure,Home,,10,11,1,21.0,10.0,8.0,18.0,37,23,18,14,8.0,8.0,2.0,16,19.0,11.0,3.0,14.0,32,20,23,14,8.0,11.0,5.0,7,83
2021-03-13,Bucknell,Lafayette,Home,,15,7,,30.0,15.0,8.0,23.0,38,26,24,13,19.0,4.0,2.0,15,19.0,7.0,2.0,9.0,22,15,17,22,9.0,2.0,,9,83
2021-03-20,Bucknell,Loyola Maryland,Home,,3,21,,14.0,3.0,1.0,4.0,13,11,15,17,9.0,2.0,,7,20.0,21.0,16.0,37.0,33,30,16,16,14.0,2.0,1.0,18,83
2021-03-27,Bucknell,Lehigh,Away,,7,20,,22.0,7.0,2.0,9.0,17,12,15,21,2.0,5.0,2.0,16,24.0,20.0,12.0,32.0,39,32,20,4,12.0,6.0,3.0,13,83
2021-04-03,Bucknell,American,Home,,17,15,,15.0,17.0,8.0,25.0,35,27,25,25,13.0,,,17,19.0,15.0,11.0,26.0,35,32,18,20,13.0,,,17,83
2021-04-10,Bucknell,Colgate,Home,,13,11,,14.0,13.0,4.0,17.0,37,25,16,14,10.0,7.0,1.0,13,30.0,11.0,3.0,14.0,29,18,15,14,6.0,3.0,1.0,13,83
2021-04-16,Bucknell,Loyola Maryland,Away,,3,20,,16.0,3.0,,3.0,13,11,16,16,3.0,2.0,2.0,8,20.0,20.0,9.0,29.0,33,26,12,14,5.0,6.0,5.0,16,83
2021-04-24,Bucknell,Army West Point,Away,,8,19,,24.0,8.0,3.0,11.0,14,13,9,12,5.0,7.0,5.0,6,17.0,19.0,5.0,24.0,43,30,12,6,5.0,11.0,4.0,21,83
2021-04-30,Bucknell,Navy,Away,,8,14,,12.0,8.0,5.0,13.0,23,15,13,20,3.0,3.0,1.0,10,18.0,14.0,6.0,20.0,40,31,16,8,8.0,6.0,4.0,14,83
2021-03-07,Butler,Robert Morris,Home,,10,16,,27.0,10.0,5.0,15.0,27,21,11,11,3.0,3.0,2.0,10,36.0,16.0,9.0,25.0,29,26,14,11,5.0,7.0,5.0,17,87
2021-03-19,Butler,Denver,Away,,3,17,,17.0,3.0,,3.0,13,9,13,25,6.0,6.0,2.0,12,24.0,17.0,12.0,29.0,39,29,25,14,17.0,6.0,1.0,10,87
2021-03-21,Butler,Denver,Away,,5,17,,10.0,5.0,2.0,7.0,17,14,15,23,3.0,8.0,3.0,11,20.0,17.0,8.0,25.0,32,23,19,16,12.0,4.0,2.0,13,87
2021-03-26,Butler,UConn,Home,,11,22,,9.0,11.0,6.0,17.0,20,17,6,17,12.0,1.0,1.0,10,10.0,22.0,11.0,33.0,25,24,3,19,12.0,3.0,3.0,24,87
2021-03-28,Butler,UConn,Home,,4,19,,21.0,4.0,,4.0,16,12,10,18,9.0,2.0,,10,8.0,19.0,6.0,25.0,31,28,13,15,11.0,12.0,8.0,14,87
2021-04-09,Butler,Villanova,Away,,8,20,,18.0,8.0,2.0,10.0,21,15,18,18,11.0,8.0,2.0,10,24.0,20.0,12.0,32.0,34,27,17,17,11.0,7.0,4.0,18,87
2021-04-11,Butler,Villanova,Away,,10,15,,26.0,10.0,4.0,14.0,23,18,19,21,8.0,5.0,,9,24.0,15.0,8.0,23.0,34,24,17,20,9.0,6.0,4.0,19,87
2021-04-14,Butler,Denison,Home,,12,9,,19.0,12.0,2.0,14.0,36,26,24,17,12.0,9.0,5.0,9,24.0,9.0,4.0,13.0,22,20,23,26,7.0,6.0,3.0,14,87
2021-04-16,Butler,Georgetown,Away,,6,19,,21.0,6.0,2.0,8.0,16,9,17,20,10.0,2.0,2.0,6,15.0,19.0,6.0,25.0,40,31,22,12,14.0,12.0,6.0,21,87
2021-04-18,Butler,Georgetown,Away,,7,18,,20.0,7.0,3.0,10.0,17,16,14,20,8.0,3.0,1.0,10,27.0,18.0,6.0,24.0,41,30,17,11,14.0,13.0,8.0,15,87
2021-04-23,Butler,Marquette,Home,,5,18,,15.0,5.0,2.0,7.0,18,12,17,20,5.0,1.0,,10,5.0,18.0,9.0,27.0,45,33,26,11,12.0,5.0,,14,87
2021-04-25,Butler,Marquette,Home,,10,16,,31.0,10.0,6.0,16.0,35,22,24,19,8.0,5.0,1.0,16,18.0,16.0,6.0,22.0,40,34,32,15,10.0,7.0,4.0,12,87
2021-02-26,California,UC Davis,Home,,8,14,,17.0,8.0,3.0,11.0,27,21,15,15,10.0,5.0,2.0,11,16.0,14.0,4.0,18.0,30,23,16,15,8.0,5.0,3.0,12,107
2021-02-28,California,San Diego St.,Home,,11,12,,29.0,11.0,4.0,15.0,36,24,21,16,13.0,9.0,1.0,14,40.0,12.0,1.0,13.0,27,21,17,18,9.0,6.0,2.0,11,107
2021-03-05,California,Fresno St.,Away,,14,12,,23.0,14.0,5.0,19.0,32,24,14,14,4.0,6.0,4.0,17,17.0,12.0,5.0,17.0,38,26,24,10,5.0,9.0,5.0,11,107
2021-03-12,California,Southern California,Home,,10,18,,14.0,10.0,4.0,14.0,19,17,14,18,6.0,8.0,2.0,12,14.0,18.0,6.0,24.0,38,29,20,11,9.0,7.0,5.0,18,107
2021-03-14,California,Arizona St.,Home,,11,21,,32.0,11.0,5.0,16.0,30,19,13,16,4.0,9.0,2.0,20,35.0,21.0,12.0,33.0,35,30,14,12,3.0,8.0,3.0,14,107
2021-03-20,California,Oregon,Away,,9,14,,18.0,9.0,5.0,14.0,32,18,15,17,10.0,2.0,2.0,13,16.0,14.0,2.0,16.0,32,24,12,11,14.0,3.0,3.0,12,107
2021-03-22,California,Colorado,Away,,5,15,,18.0,5.0,,5.0,22,14,14,15,4.0,2.0,1.0,11,11.0,15.0,4.0,19.0,28,21,17,16,7.0,3.0,1.0,10,107
2021-03-26,California,Stanford,Away,,4,21,,19.0,4.0,1.0,5.0,13,8,13,13,2.0,2.0,,9,9.0,21.0,17.0,38.0,26,23,19,8,7.0,3.0,1.0,17,107
2021-03-28,California,Fresno St.,Home,,11,9,,20.0,11.0,5.0,16.0,37,23,16,18,6.0,5.0,1.0,16,23.0,9.0,7.0,16.0,21,15,15,17,3.0,4.0,2.0,6,107
2021-04-02,California,UC Davis,Away,,10,12,,11.0,10.0,2.0,12.0,32,19,13,14,3.0,2.0,1.0,10,7.0,12.0,4.0,16.0,31,21,18,15,8.0,6.0,4.0,14,107
