season,team,jersey,full_name,roster_name,first_name,last_name,yr,pos,gp,gs,g,gs_2,goals,assists,points,shots,shot_pct,sog,sog_pct,gwg,man_up_g,man_down_g,gb,to,ct,fo_won,f_os_taken,fo_pct,pen,pen_time,ggp,ggs,g_min,goals_allowed,gaa,saves,save_pct,rc,yc,clears,att,clear_pct,otg,ncaa_id
2020,Air Force Falcons,56,Griffin Peene,"Peene, Griffin",Griffin,Peene,Sr,,7,7,7,7,NA,NA,0,5,NA,1,0.2,NA,NA,NA,11,4,2,NA,0,NA,5,300,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1975040
2020,Air Force Falcons,4,Quincy Peene,"Peene, Quincy",Quincy,Peene,Jr,,7,3,7,3,9,1,10,17,0.529,14,0.824,NA,NA,NA,1,4,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1975041
2020,Air Force Falcons,22,Michael Matheson,"Matheson, Michael",Michael,Matheson,Jr,,7,2,7,2,1,NA,1,3,0.333,1,0.333,NA,NA,NA,1,2,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1975070
2020,Air Force Falcons,19,Braden Host,"Host, Braden",Braden,Host,Jr,,7,7,7,7,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,10,5,3,NA,0,NA,1,30,7,7,401:59,73,10.896,85,0.538,NA,NA,NA,NA,NA,NA,1975033
2020,Air Force Falcons,17,Gianni Orlando,"Orlando, Gianni",Gianni,Orlando,Jr,,7,NA,7,NA,2,1,3,9,0.222,5,0.556,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1975032
2020,Air Force Falcons,54,Doc Szlachetka,"Szlachetka, Doc",Doc,Szlachetka,Sr,,7,NA,7,NA,1,NA,1,1,1,1,1,NA,NA,NA,20,3,2,NA,0,NA,1,60,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1892466
2020,Air Force Falcons,37,Jake Thornally,"Thornally, Jake",Jake,Thornally,Sr,,7,2,7,2,7,2,9,15,0.467,8,0.533,NA,1,NA,2,3,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1892465
2020,Air Force Falcons,48,Chet Dunstan,"Dunstan, Chet",Chet,Dunstan,Sr,,7,NA,7,NA,2,1,3,8,0.25,4,0.5,NA,1,NA,4,NA,2,NA,0,NA,1,30,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1892355
2020,Air Force Falcons,20,Trey Lervick,"Lervick, Trey",Trey,Lervick,Sr,,7,5,7,5,12,7,19,34,0.353,21,0.618,1,3,NA,9,10,2,NA,0,NA,1,30,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1879174
2020,Air Force Falcons,16,Daniel Pagano,"Pagano, Daniel",Daniel,Pagano,Sr,,7,2,7,2,NA,NA,0,1,NA,NA,NA,NA,NA,NA,10,2,6,NA,0,NA,3,120,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1879173
2020,Air Force Falcons,45,Brandon Dodd,"Dodd, Brandon",Brandon,Dodd,Fr,,7,7,7,7,11,16,27,28,0.393,21,0.75,1,NA,NA,9,13,1,NA,0,NA,3,150,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2319163
2020,Air Force Falcons,40,Ethan Grandolfo,"Grandolfo, Ethan",Ethan,Grandolfo,Fr,,7,6,7,6,10,4,14,27,0.37,21,0.778,1,NA,NA,7,8,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2319161
2020,Air Force Falcons,11,Dylan Frankhouser,"Frankhouser, Dylan",Dylan,Frankhouser,Fr,,7,NA,7,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,5,NA,1,14,39,0.359,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2319154
2020,Air Force Falcons,0,Shad Bruce,"Bruce, Shad",Shad,Bruce,Fr,,7,1,7,1,NA,NA,0,1,NA,1,1,NA,NA,NA,9,NA,1,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2319132
2020,Air Force Falcons,18,Brenden Crouse,"Crouse, Brenden",Brenden,Crouse,So,,7,3,7,3,6,1,7,29,0.207,14,0.483,NA,NA,NA,4,3,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2126516
2020,Air Force Falcons,8,Cole Grindberg,"Grindberg, Cole",Cole,Grindberg,So,,7,NA,7,NA,NA,NA,0,4,NA,1,0.25,NA,NA,NA,4,2,1,NA,0,NA,1,60,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2126498
2020,Air Force Falcons,1,August Johnson,"Johnson, August",August,Johnson,So,,7,4,7,4,2,3,5,16,0.125,9,0.562,NA,NA,NA,4,5,2,NA,0,NA,1,60,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2126497
2020,Air Force Falcons,23,Matthew O'Rourk,"O'Rourk, Matthew",Matthew,O'Rourk,Jr,,7,2,7,2,2,4,6,6,0.333,3,0.5,NA,NA,NA,4,3,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1975075
2020,Air Force Falcons,50,Ryan Lynch,"Lynch, Ryan",Ryan,Lynch,Sr,,6,1,6,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,26,1,NA,50,88,0.568,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1879176
2020,Air Force Falcons,51,George Rittenhouse,"Rittenhouse, George",George,Rittenhouse,Sr,,5,NA,5,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,6,2,NA,NA,0,NA,1,30,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010434
2020,Air Force Falcons,12,Tommy Hellman,"Hellman, Tommy",Tommy,Hellman,Fr,,5,1,5,1,1,2,3,4,0.25,2,0.5,1,NA,NA,1,2,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2319136
2020,Air Force Falcons,44,Vince Lombardi,"Lombardi, Vince",Vince,Lombardi,Jr,,5,5,5,5,NA,NA,0,1,NA,NA,NA,NA,NA,NA,6,3,6,NA,0,NA,4,180,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1975077
2020,Air Force Falcons,10,Chandler Devaney,"Devaney, Chandler",Chandler,Devaney,Jr,,5,3,5,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1975071
2020,Air Force Falcons,34,Quentin Carlile,"Carlile, Quentin",Quentin,Carlile,So,,5,5,5,5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,17,4,8,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2126467
2020,Air Force Falcons,55,Chase Douglas,"Douglas, Chase",Chase,Douglas,So,,5,2,5,2,2,1,3,2,1,2,1,NA,NA,NA,1,3,NA,NA,0,NA,1,30,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2126521
2020,Air Force Falcons,25,Christian Kuhn,"Kuhn, Christian",Christian,Kuhn,Jr,,5,NA,5,NA,NA,NA,0,4,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,0,NA,1,30,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1975035
2020,Air Force Falcons,28,Brian Michael,"Michael, Brian",Brian,Michael,So,,4,NA,4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,6,1,NA,13,43,0.302,1,30,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2126505
2020,Air Force Falcons,42,Christian Marshall,"Marshall, Christian",Christian,Marshall,So,,4,NA,4,NA,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,2,NA,0,NA,3,150,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2126520
2020,Air Force Falcons,43,Ben Ward,"Ward, Ben",Ben,Ward,Jr,,4,NA,4,NA,NA,NA,0,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1975076
2020,Air Force Falcons,13,Kyle Richbourg,"Richbourg, Kyle",Kyle,Richbourg,Sr,,4,NA,4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,1,60,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1883534
