season,team,team_id,jersey,full_name,roster_name,first_name,last_name,yr,pos,gp,gs,goals,assists,points,shots,sog,ct,ncaa_id,fouls,ground_balls,draw_controls
2018,American,23,6.0,Casey Aguilar-Gervase,Casey Aguilar-Gervase,Casey,Aguilar-Gervase,Jr,,15.0,15.0,,1.0,1.0,,,9.0,5484633,18.0,21.0,2.0
2018,American,23,17.0,Fiona Geier,Fiona Geier,Fiona,Geier,Jr,,13.0,13.0,,,0.0,,,4.0,5484634,1.0,31.0,
2018,American,23,23.0,Sydney Fry,Sydney Fry,Sydney,Fry,Jr,,17.0,17.0,,,0.0,1.0,1.0,14.0,5484636,22.0,34.0,1.0
2018,American,23,24.0,Brooke Stapleton,Brooke Stapleton,Brooke,Stapleton,Jr,,17.0,3.0,3.0,,3.0,16.0,10.0,7.0,5484637,16.0,12.0,1.0
2018,American,23,25.0,Sarah Lowe,Sarah Lowe,Sarah,Lowe,Jr,,2.0,0.0,,,0.0,1.0,1.0,,5484638,,,
2018,American,23,20.0,Anastasia Freda,Anastasia Freda,Anastasia,Freda,So,,9.0,4.0,,,0.0,,,3.0,5486088,,10.0,
2018,American,23,3.0,Casey Harkins,Casey Harkins,Casey,Harkins,So,,17.0,3.0,10.0,6.0,16.0,27.0,21.0,11.0,5486089,5.0,19.0,17.0
2018,American,23,14.0,Izabella Jade,Izabella Jade,Izabella,Jade,So,,17.0,10.0,20.0,6.0,26.0,41.0,31.0,5.0,5486090,4.0,6.0,1.0
2018,American,23,31.0,Amanda Medjid,Amanda Medjid,Amanda,Medjid,So,,17.0,7.0,17.0,4.0,21.0,39.0,29.0,6.0,5486091,8.0,19.0,14.0
2018,American,23,5.0,Erica Skowron,Erica Skowron,Erica,Skowron,So,,17.0,17.0,15.0,25.0,40.0,41.0,25.0,8.0,5486093,12.0,23.0,3.0
2018,American,23,29.0,Katie Wood,Katie Wood,Katie,Wood,So,,16.0,12.0,,,0.0,,,3.0,5486095,20.0,7.0,
2018,American,23,1.0,Leah Brennan,Leah Brennan,Leah,Brennan,Sr,,17.0,17.0,22.0,3.0,25.0,57.0,44.0,7.0,5480983,27.0,9.0,60.0
2018,American,23,15.0,Lexi Perez,Lexi Perez,Lexi,Perez,Sr,,15.0,15.0,23.0,4.0,27.0,65.0,50.0,7.0,5480986,14.0,22.0,16.0
2018,American,23,16.0,Emma Vinall,Emma Vinall,Emma,Vinall,Fr,,13.0,10.0,35.0,,35.0,67.0,54.0,7.0,5669949,7.0,22.0,40.0
2018,American,23,8.0,Sarah Boney,Sarah Boney,Sarah,Boney,Fr,,11.0,0.0,1.0,,1.0,1.0,1.0,,5669927,,2.0,1.0
2018,American,23,12.0,Lauren Ramirez,Lauren Ramirez,Lauren,Ramirez,So,,3.0,0.0,,,0.0,,,,5669928,,,1.0
2018,American,23,11.0,Delaney Oliveira,Delaney Oliveira,Delaney,Oliveira,Fr,,5.0,0.0,,,0.0,,,,5669945,,2.0,
2018,American,23,18.0,Kendall Goldblum,Kendall Goldblum,Kendall,Goldblum,Fr,,17.0,12.0,12.0,2.0,14.0,47.0,36.0,12.0,5669947,24.0,24.0,29.0
2018,American,23,22.0,Cate Golden,Cate Golden,Cate,Golden,Fr,,17.0,16.0,,,0.0,1.0,,5.0,5669969,8.0,13.0,2.0
2018,American,23,19.0,Peyton Smith,Peyton Smith,Peyton,Smith,Fr,,17.0,17.0,10.0,14.0,24.0,19.0,14.0,2.0,5669951,4.0,11.0,
2018,American,23,9.0,Charlotte Wertimer,Charlotte Wertimer,Charlotte,Wertimer,Fr,,17.0,16.0,,,0.0,,,12.0,5669943,35.0,13.0,1.0
2018,Arizona St.,28,3.0,Erin Dibernardo,Erin Dibernardo,Erin,Dibernardo,Fr,,16.0,11.0,1.0,1.0,2.0,5.0,3.0,1.0,5648705,12.0,4.0,50.0
2018,Arizona St.,28,10.0,Taylor Carson,Taylor Carson,Taylor,Carson,Fr,,15.0,3.0,13.0,,13.0,31.0,23.0,,5648707,4.0,3.0,
2018,Arizona St.,28,12.0,Emily Glagolev,Emily Glagolev,Emily,Glagolev,Fr,,18.0,13.0,21.0,15.0,36.0,60.0,42.0,8.0,5648708,24.0,21.0,
2018,Arizona St.,28,14.0,Kennedy Jamieson,Kennedy Jamieson,Kennedy,Jamieson,Fr,,7.0,0.0,1.0,,1.0,2.0,1.0,,5649129,2.0,,1.0
