date,team,opponent,home_away,result,home_score,visitor_score,overtime,games,fouls,gs,goals,assists,points,shots,sog,ground_balls,turnovers,ct,freepos_shots,freepos_goals,draw_controls,defensive_games,defensive_fouls,defensive_gs,defensive_goals,defensive_assists,defensive_points,defensive_shots,defensive_sog,defensive_ground_balls,defensive_turnovers,defensive_ct,defensive_freepos_shots,defensive_freepos_goals,defensive_draw_controls,team_id
2024-05-02,Arizona St.,Stanford,Home,,15,20,,,22.0,,15.0,10.0,25.0,38,28,15,16,5.0,5.0,2.0,26.0,,22.0,,20.0,6.0,26.0,41,30,18,7,14.0,8.0,4.0,13.0,28
2024-02-09,Army West Point,Southern California,Home,,9,13,,,9.0,,9.0,7.0,16.0,22,13,17,15,5.0,2.0,2.0,9.0,,9.0,,13.0,5.0,18.0,31,20,11,12,6.0,3.0,1.0,17.0,725
2024-02-14,Army West Point,Syracuse,Away,,7,18,,,14.0,,7.0,2.0,9.0,23,12,15,16,8.0,6.0,2.0,11.0,,23.0,,18.0,13.0,31.0,31,23,12,15,8.0,2.0,1.0,16.0,725
2024-02-17,Army West Point,Siena,Away,,11,12,,,14.0,,11.0,3.0,14.0,34,23,17,9,9.0,9.0,5.0,12.0,,17.0,,12.0,5.0,17.0,21,17,14,18,,5.0,,13.0,725
2024-02-24,Army West Point,Rutgers,Away,,9,16,,,16.0,,9.0,5.0,14.0,30,19,23,11,8.0,5.0,1.0,10.0,,13.0,,16.0,6.0,22.0,30,23,13,14,7.0,9.0,4.0,19.0,725
2024-03-02,Army West Point,Hofstra,Home,,18,11,,,7.0,,18.0,10.0,28.0,32,24,9,11,6.0,7.0,3.0,23.0,,12.0,,11.0,7.0,18.0,25,13,11,9,7.0,4.0,4.0,8.0,725
2024-03-06,Army West Point,California,Away,,15,4,,,14.0,,15.0,4.0,19.0,33,25,18,13,10.0,7.0,5.0,9.0,,24.0,,4.0,1.0,5.0,17,14,20,20,9.0,3.0,,14.0,725
2024-03-09,Army West Point,Stanford,Away,,8,17,,,20.0,,8.0,5.0,13.0,21,15,14,17,4.0,2.0,1.0,15.0,,13.0,,17.0,11.0,28.0,47,29,19,10,10.0,7.0,3.0,14.0,725
2024-03-16,Army West Point,Loyola Maryland,Home,,13,14,,,16.0,,13.0,3.0,16.0,24,18,12,11,7.0,12.0,7.0,10.0,,16.0,,14.0,8.0,22.0,34,23,12,11,4.0,10.0,3.0,19.0,725
2024-03-23,Army West Point,Lafayette,Home,,17,4,,,1.0,,17.0,9.0,26.0,47,26,25,16,13.0,8.0,4.0,15.0,,10.0,,4.0,1.0,5.0,12,8,16,27,6.0,1.0,,10.0,725
2024-03-27,Army West Point,Boston U.,Away,,17,7,,,10.0,,17.0,11.0,28.0,31,23,16,12,13.0,8.0,4.0,17.0,,21.0,,7.0,1.0,8.0,19,11,15,17,7.0,3.0,2.0,9.0,725
2024-03-30,Army West Point,Lehigh,Home,,19,7,,,4.0,,19.0,11.0,30.0,33,28,14,8,13.0,2.0,1.0,19.0,,3.0,,7.0,5.0,12.0,18,13,9,15,7.0,1.0,1.0,11.0,725
2024-04-06,Army West Point,American,Home,,22,9,,,6.0,,22.0,12.0,34.0,39,29,19,13,7.0,5.0,2.0,22.0,,6.0,,9.0,4.0,13.0,18,13,12,16,3.0,4.0,2.0,12.0,725
2024-04-13,Army West Point,Navy,Away,,11,17,,,25.0,,11.0,3.0,14.0,26,17,18,16,9.0,10.0,5.0,5.0,,29.0,,17.0,5.0,22.0,42,33,18,15,9.0,10.0,6.0,26.0,725
2024-04-17,Army West Point,Holy Cross,Home,,17,16,,,2.0,,17.0,7.0,24.0,38,24,20,10,7.0,7.0,4.0,13.0,,7.0,,16.0,10.0,26.0,27,18,15,18,6.0,4.0,4.0,21.0,725
2024-04-20,Army West Point,Bucknell,Away,,21,14,,,7.0,,21.0,11.0,32.0,39,35,15,8,6.0,11.0,7.0,22.0,,16.0,,14.0,5.0,19.0,30,21,13,11,3.0,4.0,3.0,16.0,725
2024-04-25,Army West Point,Colgate,Away,,13,10,,,7.0,,13.0,5.0,18.0,32,26,10,8,6.0,7.0,3.0,9.0,,13.0,,10.0,4.0,14.0,25,19,3,17,3.0,4.0,3.0,18.0,725
2024-04-28,Army West Point,Lehigh,Home,,11,12,3,,9.0,,11.0,2.0,13.0,31,24,16,8,7.0,5.0,2.0,10.0,,7.0,,12.0,3.0,15.0,29,19,12,15,5.0,8.0,4.0,17.0,725
2024-02-10,Binghamton,Drexel,Home,,6,14,,,8.0,,6.0,2.0,8.0,29,18,8,12,4.0,10.0,3.0,12.0,,12.0,,14.0,8.0,22.0,28,23,12,8,7.0,7.0,2.0,9.0,62
2024-02-14,Binghamton,Temple,Away,,6,15,,1.0,9.0,,6.0,2.0,8.0,15,12,17,21,14.0,4.0,2.0,10.0,1.0,9.0,,15.0,7.0,22.0,31,23,25,21,19.0,1.0,,15.0,62
2024-02-18,Binghamton,Marist,Home,,20,9,,,13.0,,20.0,12.0,32.0,37,25,14,13,6.0,7.0,3.0,18.0,,15.0,,9.0,6.0,15.0,16,14,12,15,6.0,2.0,2.0,14.0,62
2024-02-21,Binghamton,Colgate,Away,,16,15,,,11.0,,16.0,3.0,19.0,38,26,12,15,5.0,10.0,6.0,18.0,,16.0,,15.0,9.0,24.0,28,26,12,14,10.0,7.0,2.0,18.0,62
2024-02-28,Binghamton,Siena,Home,,15,9,,,10.0,,15.0,4.0,19.0,35,26,22,13,6.0,11.0,4.0,19.0,,19.0,,9.0,6.0,15.0,26,14,15,13,4.0,4.0,2.0,9.0,62
2024-03-03,Binghamton,Campbell,Away,,22,6,,,6.0,,22.0,14.0,36.0,38,27,8,7,1.0,8.0,2.0,19.0,,24.0,,6.0,3.0,9.0,19,12,7,7,5.0,1.0,,12.0,62
2024-03-06,Binghamton,Coastal Carolina,Away,,11,12,1,,14.0,,11.0,5.0,16.0,40,25,18,12,5.0,5.0,2.0,17.0,,10.0,,12.0,7.0,19.0,29,18,22,15,8.0,3.0,2.0,10.0,62
2024-03-09,Binghamton,Niagara,Home,,5,12,,,10.0,,5.0,2.0,7.0,29,17,17,18,12.0,11.0,2.0,10.0,,19.0,,12.0,9.0,21.0,24,16,14,17,13.0,4.0,2.0,10.0,62
2024-03-12,Binghamton,Cornell,Home,,7,15,,,12.0,,7.0,3.0,10.0,18,13,12,13,3.0,6.0,1.0,8.0,,13.0,,15.0,12.0,27.0,36,27,14,10,10.0,2.0,,18.0,62
2024-03-16,Binghamton,UAlbany,Away,,13,15,,,18.0,,13.0,4.0,17.0,22,18,16,16,5.0,5.0,2.0,12.0,,19.0,,15.0,7.0,22.0,42,26,16,13,5.0,5.0,2.0,19.0,62
2024-03-23,Binghamton,UMass Lowell,Home,,14,9,,,12.0,,14.0,5.0,19.0,33,23,13,13,2.0,7.0,3.0,16.0,,15.0,,9.0,4.0,13.0,19,14,13,15,9.0,2.0,2.0,10.0,62
2024-03-30,Binghamton,Vermont,Away,,10,9,,,5.0,,10.0,3.0,13.0,31,21,16,16,9.0,5.0,1.0,17.0,,18.0,,9.0,6.0,15.0,26,18,15,13,12.0,3.0,3.0,6.0,62
2024-04-06,Binghamton,Youngstown St.,Home,,23,4,,,10.0,,23.0,15.0,38.0,40,32,15,7,7.0,2.0,,21.0,,16.0,,4.0,,4.0,12,9,9,14,3.0,3.0,2.0,8.0,62
2024-04-13,Binghamton,New Hampshire,Home,,20,8,,,12.0,,20.0,11.0,31.0,37,27,8,9,2.0,5.0,4.0,16.0,,9.0,,8.0,3.0,11.0,22,20,9,11,3.0,5.0,2.0,16.0,62
2024-04-20,Binghamton,UMBC,Away,,14,13,1,,11.0,,14.0,6.0,20.0,32,18,8,17,4.0,6.0,1.0,21.0,,13.0,,13.0,3.0,16.0,31,21,13,10,12.0,6.0,4.0,8.0,62
2024-04-27,Binghamton,Bryant,Home,,20,8,,,10.0,,20.0,13.0,33.0,36,30,19,13,7.0,8.0,4.0,20.0,,26.0,,8.0,4.0,12.0,21,19,14,13,5.0,3.0,1.0,12.0,62
2024-05-03,Binghamton,UMBC,Home,,13,8,,,13.0,,13.0,5.0,18.0,35,23,17,10,7.0,7.0,3.0,13.0,,20.0,,8.0,2.0,10.0,32,16,17,12,7.0,2.0,1.0,12.0,62
2024-05-05,Binghamton,UAlbany,Away,,12,11,,,16.0,,12.0,3.0,15.0,31,20,13,12,6.0,9.0,3.0,18.0,,32.0,,11.0,5.0,16.0,29,20,13,9,10.0,5.0,2.0,9.0,62
2024-05-10,Binghamton,Yale,Away,,4,17,,,9.0,,4.0,2.0,6.0,15,10,12,17,5.0,5.0,2.0,6.0,,14.0,,17.0,8.0,25.0,38,29,21,9,11.0,6.0,5.0,16.0,62
2024-02-09,Boston College,Massachusetts,Home,,20,9,,,11.0,,20.0,8.0,28.0,35,27,17,12,9.0,5.0,4.0,21.0,,19.0,,9.0,5.0,14.0,20,15,14,12,7.0,2.0,1.0,11.0,67
2024-02-14,Boston College,UAlbany,Home,,15,7,,,11.0,,15.0,7.0,22.0,39,29,14,12,10.0,10.0,5.0,16.0,,27.0,,7.0,2.0,9.0,18,16,16,19,6.0,2.0,1.0,9.0,67
2024-02-18,Boston College,Jacksonville,Away,,17,3,,,4.0,,17.0,11.0,28.0,28,24,20,13,9.0,7.0,5.0,11.0,,12.0,,3.0,1.0,4.0,14,7,14,21,5.0,1.0,,10.0,67
2024-02-22,Boston College,Robert Morris,Away,,23,2,,,4.0,,23.0,12.0,35.0,36,26,13,7,7.0,,,20.0,,8.0,,2.0,2.0,4.0,6,4,5,14,,,,8.0,67
2024-02-24,Boston College,Pittsburgh,Away,,19,3,,,9.0,,19.0,7.0,26.0,34,28,20,13,12.0,3.0,2.0,15.0,,13.0,,3.0,2.0,5.0,20,10,13,17,6.0,3.0,,10.0,67
2024-02-29,Boston College,Northwestern,Home,,11,14,,,20.0,,11.0,8.0,19.0,28,17,16,16,9.0,3.0,2.0,12.0,,21.0,,14.0,4.0,18.0,29,20,17,18,5.0,5.0,1.0,16.0,67
2024-03-03,Boston College,Virginia Tech,Home,,20,7,,,14.0,,20.0,7.0,27.0,35,26,19,14,11.0,6.0,5.0,12.0,,7.0,,7.0,5.0,12.0,24,13,11,20,13.0,4.0,1.0,18.0,67
2024-03-06,Boston College,Boston U.,Home,,23,5,,,9.0,,23.0,9.0,32.0,45,34,15,8,15.0,5.0,3.0,22.0,,12.0,,5.0,2.0,7.0,10,8,12,18,4.0,1.0,,10.0,67
2024-03-10,Boston College,Louisville,Away,,17,14,,,13.0,,17.0,7.0,24.0,34,27,14,9,9.0,3.0,1.0,15.0,,10.0,,14.0,2.0,16.0,31,21,9,17,5.0,7.0,3.0,20.0,67
2024-03-16,Boston College,Notre Dame,Home,,14,15,,,12.0,,14.0,9.0,23.0,33,24,11,14,8.0,5.0,1.0,19.0,,15.0,,15.0,6.0,21.0,26,21,13,12,10.0,4.0,2.0,15.0,67
2024-03-23,Boston College,Duke,Away,,18,3,,,19.0,,18.0,6.0,24.0,34,26,16,11,7.0,4.0,,14.0,,10.0,,3.0,2.0,5.0,21,14,12,12,7.0,4.0,,9.0,67
2024-03-30,Boston College,North Carolina,Home,,18,12,,,18.0,,18.0,7.0,25.0,38,23,9,7,3.0,4.0,3.0,11.0,,14.0,,12.0,4.0,16.0,31,25,10,10,4.0,3.0,,22.0,67
2024-04-03,Boston College,Yale,Home,,16,8,,,15.0,,16.0,9.0,25.0,37,26,10,15,8.0,3.0,2.0,17.0,,15.0,,8.0,,8.0,27,15,13,15,4.0,6.0,3.0,10.0,67
2024-04-07,Boston College,Clemson,Home,,16,4,,,8.0,,16.0,8.0,24.0,37,28,15,12,8.0,7.0,5.0,14.0,,16.0,,4.0,1.0,5.0,18,13,10,13,7.0,3.0,2.0,9.0,67
2024-04-13,Boston College,Virginia,Away,,12,13,1,,11.0,,12.0,9.0,21.0,25,22,11,14,6.0,4.0,2.0,15.0,,8.0,,13.0,5.0,18.0,27,18,13,12,12.0,4.0,2.0,12.0,67
2024-04-18,Boston College,Syracuse,Home,,11,10,1,,8.0,,11.0,8.0,19.0,29,21,17,12,13.0,2.0,,11.0,,7.0,,10.0,4.0,14.0,26,16,7,15,8.0,2.0,1.0,14.0,67
2024-04-24,Boston College,Duke,Home,,19,5,,,10.0,,19.0,10.0,29.0,40,28,14,15,7.0,4.0,1.0,20.0,,28.0,,5.0,2.0,7.0,13,10,17,14,8.0,1.0,1.0,5.0,67
2024-04-26,Boston College,Notre Dame,Home,,9,7,,,16.0,,9.0,2.0,11.0,25,14,17,17,12.0,7.0,5.0,11.0,,14.0,,7.0,1.0,8.0,19,15,15,19,7.0,3.0,2.0,9.0,67
2024-04-28,Boston College,Syracuse,Home,,15,8,,,14.0,,15.0,11.0,26.0,28,21,15,9,8.0,3.0,1.0,9.0,,9.0,,8.0,2.0,10.0,31,18,8,13,4.0,4.0,1.0,18.0,67
2024-05-12,Boston College,Princeton,Home,,21,16,,,11.0,,21.0,8.0,29.0,42,31,14,11,9.0,7.0,3.0,21.0,,18.0,,16.0,5.0,21.0,37,26,7,13,4.0,3.0,2.0,19.0,67
2024-05-16,Boston College,Michigan,Home,,14,9,,,6.0,,14.0,6.0,20.0,29,18,13,12,9.0,4.0,,15.0,,23.0,,9.0,4.0,13.0,20,19,13,13,6.0,3.0,2.0,12.0,67
2024-05-24,Boston College,Syracuse,Home,,10,7,,,6.0,,10.0,6.0,16.0,28,20,21,14,5.0,4.0,2.0,5.0,,14.0,,7.0,4.0,11.0,28,19,12,17,9.0,2.0,,15.0,67
2024-05-26,Boston College,Northwestern,Home,,14,13,,,31.0,,14.0,10.0,24.0,24,19,12,12,3.0,3.0,2.0,14.0,,19.0,,13.0,3.0,16.0,33,22,14,11,4.0,7.0,3.0,14.0,67
2024-02-10,Boston U.,Merrimack,Away,,17,6,,,9.0,,17.0,6.0,23.0,37,30,21,14,6.0,8.0,7.0,16.0,,10.0,,6.0,2.0,8.0,24,18,17,13,5.0,3.0,2.0,11.0,68
2024-02-14,Boston U.,New Hampshire,Home,,18,14,,,16.0,,18.0,4.0,22.0,30,24,14,15,10.0,4.0,4.0,20.0,,12.0,,14.0,2.0,16.0,27,18,17,16,7.0,9.0,6.0,12.0,68
2024-02-17,Boston U.,Iona,Home,,18,13,,,14.0,,18.0,8.0,26.0,37,28,15,13,10.0,7.0,4.0,17.0,,15.0,,13.0,8.0,21.0,33,23,13,16,5.0,6.0,2.0,16.0,68
2024-02-28,Boston U.,Stonehill,Away,,16,15,,,23.0,,16.0,4.0,20.0,39,26,23,12,9.0,5.0,2.0,21.0,,17.0,,15.0,7.0,22.0,29,25,22,17,4.0,2.0,1.0,13.0,68
2024-03-06,Boston U.,Boston College,Away,,5,23,,,12.0,,5.0,2.0,7.0,10,8,12,18,4.0,1.0,,10.0,,9.0,,23.0,9.0,32.0,45,34,15,8,15.0,5.0,3.0,22.0,68
2024-03-09,Boston U.,Brown,Away,,9,21,,,10.0,,9.0,3.0,12.0,26,16,14,15,7.0,6.0,1.0,15.0,,10.0,,21.0,14.0,35.0,41,29,20,12,8.0,4.0,2.0,18.0,68
2024-03-16,Boston U.,Bucknell,Away,,13,16,,,15.0,,13.0,3.0,16.0,27,20,11,16,5.0,6.0,3.0,16.0,,16.0,,16.0,12.0,28.0,32,26,12,8,9.0,5.0,,15.0,68
2024-03-23,Boston U.,Navy,Away,,9,20,,,10.0,,9.0,5.0,14.0,21,16,5,11,1.0,6.0,3.0,11.0,,12.0,,20.0,10.0,30.0,32,28,10,9,7.0,4.0,2.0,20.0,68
2024-03-27,Boston U.,Army West Point,Home,,7,17,,,21.0,,7.0,1.0,8.0,19,11,15,17,7.0,3.0,2.0,9.0,,10.0,,17.0,11.0,28.0,31,23,16,12,13.0,8.0,4.0,17.0,68
2024-03-30,Boston U.,Lafayette,Home,,9,10,2,,19.0,,9.0,1.0,10.0,32,23,17,19,6.0,10.0,4.0,16.0,,21.0,,10.0,6.0,16.0,24,17,18,19,9.0,9.0,4.0,9.0,68
2024-04-03,Boston U.,UMass Lowell,Away,,7,20,,,19.0,,7.0,3.0,10.0,29,22,14,7,6.0,5.0,1.0,13.0,,8.0,,20.0,9.0,29.0,32,26,15,9,3.0,5.0,4.0,18.0,68
