date,team,opponent,home_away,result,home_score,visitor_score,overtime,games,fouls,gs,goals,assists,points,shots,sog,ground_balls,turnovers,ct,freepos_shots,freepos_goals,draw_controls,defensive_games,defensive_fouls,defensive_gs,defensive_goals,defensive_assists,defensive_points,defensive_shots,defensive_sog,defensive_ground_balls,defensive_turnovers,defensive_ct,defensive_freepos_shots,defensive_freepos_goals,defensive_draw_controls,team_id
2024-02-09,Akron,California,Away,,10,19,,,31.0,,10.0,8.0,18.0,25,17,11,11,4.0,6.0,1.0,11.0,,21.0,,19.0,7.0,26.0,41,30,12,10,3.0,8.0,5.0,21.0,5
2024-02-11,Akron,UC Davis,Away,,7,20,,,17.0,,7.0,3.0,10.0,17,16,10,10,4.0,4.0,1.0,9.0,,8.0,,20.0,6.0,26.0,31,27,5,14,4.0,5.0,2.0,17.0,5
2024-02-14,Akron,St. Bonaventure,Home,,15,12,,,13.0,,15.0,9.0,24.0,27,21,24,9,6.0,6.0,4.0,16.0,,15.0,,12.0,7.0,19.0,33,23,21,12,2.0,3.0,2.0,15.0,5
2024-02-18,Akron,Ohio St.,Home,,3,18,,,17.0,,3.0,,3.0,15,7,16,18,7.0,2.0,2.0,8.0,,11.0,,18.0,10.0,28.0,34,29,15,11,11.0,8.0,5.0,16.0,5
2024-02-27,Akron,Duquesne,Away,,9,12,,,18.0,,9.0,8.0,17.0,26,13,20,23,11.0,4.0,,13.0,,15.0,,12.0,7.0,19.0,30,23,26,20,16.0,6.0,2.0,11.0,5
2024-03-02,Akron,Xavier,Away,,11,10,,,6.0,,11.0,3.0,14.0,28,20,15,19,4.0,4.0,2.0,13.0,,10.0,,10.0,5.0,15.0,27,19,12,15,11.0,4.0,2.0,9.0,5
2024-03-06,Akron,Lindenwood,Home,,7,14,,,12.0,,7.0,4.0,11.0,20,13,11,8,2.0,,,8.0,,8.0,,14.0,9.0,23.0,32,22,15,12,2.0,1.0,1.0,15.0,5
2024-03-09,Akron,Gardner-Webb,Away,,15,9,,,11.0,,15.0,5.0,20.0,33,27,9,12,11.0,6.0,3.0,20.0,,19.0,,9.0,3.0,12.0,29,17,14,14,9.0,3.0,2.0,7.0,5
2024-03-11,Akron,Presbyterian,Away,,14,2,,,5.0,,14.0,8.0,22.0,23,21,11,18,6.0,4.0,2.0,12.0,,15.0,,2.0,1.0,3.0,18,11,15,20,8.0,3.0,,7.0,5
2024-03-17,Akron,Robert Morris,Away,,9,10,3,,7.0,,9.0,5.0,14.0,23,16,18,15,10.0,1.0,,12.0,,5.0,,10.0,8.0,18.0,22,14,15,21,3.0,5.0,1.0,12.0,5
2024-03-19,Akron,Radford,Home,,8,7,4,,9.0,,8.0,5.0,13.0,27,21,28,25,18.0,1.0,,14.0,,6.0,,7.0,4.0,11.0,26,17,19,28,10.0,4.0,1.0,8.0,5
2024-03-24,Akron,Eastern Mich.,Home,,10,11,,,7.0,,10.0,2.0,12.0,23,20,19,14,13.0,3.0,1.0,8.0,,7.0,,11.0,7.0,18.0,24,17,13,19,6.0,2.0,,17.0,5
2024-04-07,Akron,Kent St.,Away,,12,18,,,7.0,,12.0,8.0,20.0,28,20,8,13,5.0,1.0,,19.0,,12.0,,18.0,8.0,26.0,34,24,9,12,1.0,2.0,1.0,14.0,5
2024-04-14,Akron,Detroit Mercy,Home,,11,10,,,8.0,,11.0,7.0,18.0,21,17,22,12,7.0,2.0,2.0,11.0,,8.0,,10.0,7.0,17.0,29,21,14,12,5.0,5.0,2.0,15.0,5
2024-04-21,Akron,Central Mich.,Away,,7,11,,,14.0,,7.0,4.0,11.0,32,23,17,17,9.0,6.0,,10.0,,10.0,,11.0,4.0,15.0,23,18,15,19,9.0,5.0,2.0,10.0,5
2024-04-28,Akron,Youngstown St.,Home,,17,7,,,4.0,,17.0,8.0,25.0,33,26,19,12,12.0,2.0,1.0,20.0,,7.0,,7.0,2.0,9.0,22,17,15,15,8.0,2.0,,6.0,5
2024-02-10,American,Georgetown,Home,,13,18,,,8.0,,13.0,8.0,21.0,21,16,13,19,8.0,,,10.0,,5.0,,18.0,7.0,25.0,44,33,18,18,9.0,5.0,1.0,24.0,23
2024-02-13,American,Howard,Away,,14,9,,,10.0,,14.0,3.0,17.0,25,21,33,13,6.0,1.0,,15.0,,8.0,,9.0,1.0,10.0,29,24,36,8,7.0,3.0,1.0,11.0,23
2024-02-16,American,Loyola Maryland,Home,,5,15,,,4.0,,5.0,1.0,6.0,18,7,18,17,8.0,2.0,1.0,4.0,,8.0,,15.0,9.0,24.0,33,28,12,12,10.0,2.0,1.0,17.0,23
2024-02-21,American,George Washington,Away,,10,5,,,11.0,,10.0,2.0,12.0,26,22,17,11,9.0,4.0,1.0,8.0,,7.0,,5.0,2.0,7.0,25,20,14,13,10.0,7.0,1.0,11.0,23
2024-02-24,American,UMBC,Home,,14,11,,,4.0,,14.0,6.0,20.0,32,19,19,11,6.0,8.0,3.0,8.0,,18.0,,11.0,6.0,17.0,30,25,13,13,5.0,2.0,1.0,18.0,23
2024-02-29,American,George Mason,Home,,11,10,,,6.0,,11.0,6.0,17.0,24,14,16,15,10.0,4.0,2.0,4.0,,12.0,,10.0,5.0,15.0,23,18,11,16,7.0,,,16.0,23
2024-03-09,American,Lehigh,Away,,9,11,,,8.0,,9.0,4.0,13.0,20,15,11,14,4.0,3.0,,10.0,,11.0,,11.0,6.0,17.0,25,20,12,12,8.0,5.0,2.0,13.0,23
2024-03-13,American,Iona,Away,,12,13,,,9.0,,12.0,3.0,15.0,24,16,13,17,6.0,2.0,2.0,15.0,,13.0,,13.0,7.0,20.0,28,24,12,13,6.0,3.0,1.0,13.0,23
2024-03-16,American,Siena,Home,,9,13,,,5.0,,9.0,3.0,12.0,18,14,13,17,6.0,4.0,2.0,11.0,,8.0,,13.0,8.0,21.0,27,21,15,14,11.0,2.0,1.0,11.0,23
2024-03-23,American,Colgate,Home,,7,13,,,12.0,,7.0,1.0,8.0,31,21,17,9,6.0,5.0,2.0,7.0,,6.0,,13.0,3.0,16.0,24,23,15,15,6.0,6.0,5.0,16.0,23
2024-03-27,American,Lafayette,Away,,12,5,,,14.0,,12.0,6.0,18.0,36,20,22,13,10.0,10.0,4.0,13.0,,14.0,,5.0,1.0,6.0,27,17,20,11,5.0,8.0,1.0,8.0,23
2024-03-30,American,Holy Cross,Home,,9,15,,,15.0,,9.0,6.0,15.0,21,14,10,14,6.0,4.0,3.0,12.0,,14.0,,15.0,10.0,25.0,35,25,13,10,9.0,5.0,3.0,15.0,23
2024-04-06,American,Army West Point,Away,,9,22,,,6.0,,9.0,4.0,13.0,18,13,12,16,3.0,4.0,2.0,12.0,,6.0,,22.0,12.0,34.0,39,29,19,13,7.0,5.0,2.0,22.0,23
2024-04-13,American,Bucknell,Home,,12,9,,,6.0,,12.0,6.0,18.0,25,21,16,16,12.0,2.0,1.0,12.0,,8.0,,9.0,5.0,14.0,24,15,17,14,11.0,3.0,2.0,9.0,23
2024-04-20,American,Boston U.,Away,,12,11,1,,6.0,,12.0,6.0,18.0,22,17,14,20,5.0,3.0,1.0,14.0,,19.0,,11.0,4.0,15.0,26,20,24,15,7.0,3.0,1.0,13.0,23
2024-04-25,American,Navy,Away,,10,18,,,13.0,,10.0,7.0,17.0,18,15,16,13,7.0,3.0,1.0,5.0,,15.0,,18.0,9.0,27.0,45,39,20,15,9.0,8.0,1.0,27.0,23
2024-02-09,Arizona St.,Xavier,Home,,21,10,,,11.0,,21.0,5.0,26.0,48,33,21,7,9.0,8.0,5.0,20.0,,10.0,,10.0,,10.0,18,13,9,12,2.0,4.0,1.0,14.0,28
2024-02-11,Arizona St.,Niagara,Home,,17,10,,,26.0,,17.0,4.0,21.0,26,23,11,15,6.0,9.0,5.0,19.0,,15.0,,10.0,6.0,16.0,27,22,11,11,8.0,9.0,1.0,12.0,28
2024-02-15,Arizona St.,Pittsburgh,Home,,18,11,,,18.0,,18.0,6.0,24.0,35,28,13,6,7.0,8.0,5.0,19.0,,27.0,,11.0,3.0,14.0,30,17,7,11,1.0,4.0,3.0,10.0,28
2024-02-23,Arizona St.,Stony Brook,Away,,9,20,,,22.0,,9.0,5.0,14.0,15,11,12,15,2.0,3.0,2.0,12.0,,16.0,,20.0,12.0,32.0,39,29,17,6,9.0,5.0,2.0,19.0,28
2024-02-27,Arizona St.,Michigan,Home,,9,10,,,19.0,,9.0,1.0,10.0,24,20,13,10,4.0,1.0,1.0,11.0,,20.0,,10.0,,10.0,25,19,11,11,1.0,6.0,3.0,12.0,28
2024-03-03,Arizona St.,Florida,Home,,6,22,,,15.0,,6.0,2.0,8.0,22,18,4,6,2.0,3.0,2.0,11.0,,12.0,,22.0,7.0,29.0,37,31,10,5,2.0,6.0,6.0,16.0,28
2024-03-10,Arizona St.,Vanderbilt,Away,,11,13,,,16.0,,11.0,3.0,14.0,25,18,10,15,4.0,5.0,4.0,17.0,,14.0,,13.0,2.0,15.0,20,18,10,10,8.0,5.0,4.0,10.0,28
2024-03-13,Arizona St.,Liberty,Home,,12,5,,,12.0,,12.0,4.0,16.0,23,17,16,20,4.0,6.0,5.0,12.0,,18.0,,5.0,1.0,6.0,27,20,20,17,15.0,3.0,,8.0,28
2024-03-17,Arizona St.,San Diego St.,Away,,17,9,,,13.0,,17.0,3.0,20.0,39,33,22,11,5.0,13.0,6.0,18.0,,37.0,,9.0,2.0,11.0,22,19,17,16,5.0,1.0,1.0,12.0,28
2024-03-23,Arizona St.,Southern California,Home,,7,16,,,9.0,,7.0,4.0,11.0,19,11,12,17,3.0,3.0,1.0,15.0,,15.0,,16.0,6.0,22.0,30,24,10,12,4.0,3.0,2.0,8.0,28
2024-03-30,Arizona St.,Stanford,Away,,8,20,,,15.0,,8.0,1.0,9.0,19,15,27,23,6.0,4.0,1.0,15.0,,13.0,,20.0,6.0,26.0,48,33,34,14,13.0,5.0,4.0,17.0,28
2024-04-02,Arizona St.,Detroit Mercy,Away,,17,3,,,7.0,,17.0,7.0,24.0,27,23,7,14,2.0,3.0,3.0,20.0,,10.0,,3.0,1.0,4.0,21,13,11,7,8.0,1.0,,3.0,28
2024-04-06,Arizona St.,California,Home,,18,11,,,26.0,,18.0,6.0,24.0,38,27,16,10,4.0,7.0,5.0,20.0,,14.0,,11.0,5.0,16.0,27,23,6,10,2.0,5.0,2.0,13.0,28
2024-04-12,Arizona St.,Colorado,Away,,12,20,,,26.0,,12.0,7.0,19.0,28,18,8,18,1.0,5.0,2.0,20.0,,27.0,,20.0,12.0,32.0,45,33,14,5,12.0,7.0,3.0,14.0,28
2024-04-14,Arizona St.,Denver,Away,,11,21,,,19.0,,11.0,7.0,18.0,24,19,18,14,10.0,9.0,3.0,13.0,,21.0,,21.0,12.0,33.0,37,30,17,13,10.0,5.0,4.0,20.0,28
2024-04-20,Arizona St.,Oregon,Away,,12,20,,,33.0,,12.0,7.0,19.0,25,20,12,19,5.0,5.0,3.0,21.0,,18.0,,20.0,8.0,28.0,33,30,16,12,14.0,8.0,7.0,15.0,28
2024-04-27,Arizona St.,UC Davis,Home,,21,11,,,20.0,,21.0,10.0,31.0,39,31,18,11,7.0,11.0,7.0,23.0,,25.0,,11.0,2.0,13.0,28,18,11,15,3.0,7.0,5.0,12.0,28
2024-05-01,Arizona St.,Oregon,Home,,19,12,,,10.0,,19.0,10.0,29.0,31,26,16,8,8.0,3.0,1.0,22.0,,28.0,,12.0,2.0,14.0,27,19,12,10,3.0,6.0,4.0,13.0,28
