season,team,team_id,jersey,full_name,roster_name,first_name,last_name,yr,pos,gp,gs,goals,assists,points,shots,sog,ct,ncaa_id,fouls,ground_balls,turnovers,freepos_shots,freepos_goals,draw_controls
2024,Akron,5,24.0,Macy Vail,Macy Vail,Macy,Vail,So,M,16.0,7.0,21.0,7.0,28.0,44.0,36.0,,8219758,2.0,10.0,20.0,3.0,2.0,2.0
2024,Akron,5,29.0,Heather Carey,Heather Carey,Heather,Carey,So,M,16.0,8.0,11.0,2.0,13.0,34.0,25.0,2.0,8219759,3.0,5.0,15.0,4.0,1.0,22.0
2024,Akron,5,41.0,Sarah Baumer,Sarah Baumer,Sarah,Baumer,So,D,4.0,0.0,,,0.0,1.0,,,8219760,,,1.0,1.0,,
2024,Akron,5,4.0,Kellen Fletcher,Kellen Fletcher,Kellen,Fletcher,So,M,16.0,2.0,17.0,3.0,20.0,45.0,34.0,,8219761,2.0,4.0,11.0,7.0,4.0,
2024,Akron,5,99.0,Kylan Rhude,Kylan Rhude,Kylan,Rhude,So,GK,12.0,2.0,,,0.0,,,2.0,8219763,,16.0,2.0,,,
2024,Akron,5,5.0,Anjali Silverheels,Anjali Silverheels,Anjali,Silverheels,Sr,ATT,12.0,1.0,3.0,1.0,4.0,7.0,7.0,,8219764,,2.0,3.0,2.0,,
2024,Akron,5,12.0,Mackenzie Kirwan,Mackenzie Kirwan,Mackenzie,Kirwan,Sr,M,16.0,11.0,,,0.0,1.0,1.0,10.0,8219765,10.0,16.0,,,,1.0
2024,Akron,5,23.0,Alexi Hardy,Alexi Hardy,Alexi,Hardy,Sr,D,16.0,16.0,,,0.0,1.0,,14.0,8219766,24.0,17.0,8.0,,,
2024,Akron,5,13.0,Lillian Bowling,Lillian Bowling,Lillian,Bowling,Sr,M,5.0,1.0,1.0,1.0,2.0,2.0,1.0,,8219767,,,1.0,,,
2024,Akron,5,17.0,Jacqueline Glassey,Jacqueline Glassey,Jacqueline,Glassey,Sr,ATT,16.0,16.0,10.0,18.0,28.0,28.0,20.0,2.0,8219768,5.0,4.0,17.0,4.0,2.0,1.0
2024,Akron,5,14.0,Chloe Hererra,Chloe Hererra,Chloe,Hererra,Sr,M,1.0,0.0,,,0.0,,,,8219769,,,,,,
2024,Akron,5,22.0,Kelli Fortman,Kelli Fortman,Kelli,Fortman,Sr,D,7.0,1.0,,,0.0,,,,8219771,1.0,,1.0,,,
2024,Akron,5,7.0,Noelle Boyd,Noelle Boyd,Noelle,Boyd,Sr,M,16.0,16.0,33.0,14.0,47.0,70.0,49.0,11.0,8219772,20.0,24.0,29.0,7.0,2.0,73.0
2024,Akron,5,2.0,Kylie Harris,Kylie Harris,Kylie,Harris,Jr,M,11.0,0.0,,,0.0,2.0,2.0,,8219773,,1.0,4.0,1.0,,5.0
2024,Akron,5,3.0,Olivia Edkins,Olivia Edkins,Olivia,Edkins,Jr,M,2.0,0.0,,,0.0,,,,8219775,,,,,,
2024,Akron,5,32.0,Bryanne Harner,Bryanne Harner,Bryanne,Harner,Jr,M,16.0,15.0,,,0.0,,,15.0,8219776,7.0,22.0,5.0,,,3.0
2024,Akron,5,35.0,Jaelyn Clinkscales,Jaelyn Clinkscales,Jaelyn,Clinkscales,Jr,M,16.0,9.0,17.0,9.0,26.0,29.0,21.0,3.0,8219777,6.0,7.0,20.0,7.0,3.0,
2024,Akron,5,36.0,Graceann Schwab,Graceann Schwab,Graceann,Schwab,Jr,M,14.0,2.0,5.0,4.0,9.0,14.0,10.0,1.0,8219778,3.0,1.0,6.0,,,1.0
2024,Akron,5,26.0,Antonia Trickett,Antonia Trickett,Antonia,Trickett,Sr,M,14.0,14.0,,,0.0,1.0,,10.0,8219779,17.0,24.0,5.0,,,1.0
2024,Akron,5,40.0,Hannah Sanders,Hannah Sanders,Hannah,Sanders,Jr,GK,14.0,14.0,,,0.0,,,1.0,8219780,,37.0,3.0,,,
2024,Akron,5,18.0,Dani Dahl,Dani Dahl,Dani,Dahl,So,D,10.0,2.0,,,0.0,,,4.0,8219781,3.0,2.0,1.0,,,2.0
