season,team,jersey,full_name,roster_name,first_name,last_name,yr,pos,gp,gs,g,gs_2,goals,assists,points,shots,shot_pct,sog,sog_pct,gwg,man_up_g,man_down_g,gb,to,ct,fo_won,f_os_taken,fo_pct,pen,pen_time,ggp,ggs,g_min,goals_allowed,gaa,saves,save_pct,rc,yc,clears,att,clear_pct,otg,ncaa_id
2022,Air Force Falcons,56,Wes Peene,"Peene, Wes",Wes,Peene,Fr,,15,4,15,4,10,5,15,47,0.213,26,0.553,NA,NA,NA,5,12,NA,NA,0,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2663465
2022,Air Force Falcons,14,Alexander Stepney,"Stepney, Alexander",Alexander,Stepney,Fr,,15,4,15,4,8,5,13,33,0.242,19,0.576,2,2,NA,7,4,3,NA,0,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2663450
2022,Air Force Falcons,17,Chris Bardak,"Bardak, Chris",Chris,Bardak,So,,15,11,15,11,5,2,7,11,0.455,8,0.727,NA,NA,NA,33,4,18,NA,1,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2473182
2022,Air Force Falcons,5,Aidan Tolen,"Tolen, Aidan",Aidan,Tolen,So,,15,4,15,4,16,6,22,81,0.198,38,0.469,1,3,NA,5,9,2,NA,0,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2473179
2022,Air Force Falcons,33,Jason Rose,"Rose, Jason",Jason,Rose,Jr,,15,15,15,15,NA,1,1,3,NA,2,0.667,NA,NA,NA,33,13,11,1,1,1,NA,NA,15,14,874:54,152,10.424,180,0.542,NA,NA,NA,NA,NA,NA,2319159
2022,Air Force Falcons,0,Shad Bruce,"Bruce, Shad",Shad,Bruce,Jr,,15,6,15,6,1,1,2,7,0.143,3,0.429,NA,NA,NA,20,4,3,NA,0,NA,2,90,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2319132
2022,Air Force Falcons,55,Chase Douglas,"Douglas, Chase",Chase,Douglas,Sr,,15,0,15,NA,4,8,12,16,0.25,10,0.625,NA,NA,NA,5,7,1,NA,0,NA,1,30,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2126521
2022,Air Force Falcons,18,Brenden Crouse,"Crouse, Brenden",Brenden,Crouse,Sr,,15,15,15,15,38,14,52,144,0.264,69,0.479,1,3,NA,17,32,3,NA,0,NA,2,90,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2126516
2022,Air Force Falcons,28,Brian Michael,"Michael, Brian",Brian,Michael,Sr,,15,11,15,11,1,1,2,6,0.167,2,0.333,NA,NA,NA,67,4,1,123,246,0.5,2,90,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2126505
2022,Air Force Falcons,21,Caden Wolfson,"Wolfson, Caden",Caden,Wolfson,Sr,,15,13,15,13,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,14,3,8,NA,0,NA,3,120,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2126502
2022,Air Force Falcons,24,Gavin Peene,"Peene, Gavin",Gavin,Peene,Jr,,14,3,14,3,9,NA,9,36,0.25,19,0.528,NA,NA,NA,8,4,4,NA,0,NA,1,30,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2319155
2022,Air Force Falcons,31,Kyle Griffith,"Griffith, Kyle",Kyle,Griffith,Fr,,14,10,14,10,16,5,21,42,0.381,28,0.667,1,1,NA,17,9,3,NA,0,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2663453
2022,Air Force Falcons,12,Tommy Hellman,"Hellman, Tommy",Tommy,Hellman,Jr,,14,3,14,3,3,2,5,9,0.333,6,0.667,NA,NA,NA,31,8,10,NA,0,NA,1,30,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2319136
2022,Air Force Falcons,25,James Chastain,"Chastain, James",James,Chastain,So,,14,13,14,13,NA,NA,0,1,NA,1,1,NA,NA,NA,14,3,15,NA,0,NA,5,300,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2473183
