date,team,opponent,home_away,result,home_score,visitor_score,overtime,fouls,goals,assists,points,shots,sog,ground_balls,turnovers,ct,freepos_shots,freepos_goals,draw_controls,defensive_fouls,defensive_goals,defensive_assists,defensive_points,defensive_shots,defensive_sog,defensive_ground_balls,defensive_turnovers,defensive_ct,defensive_freepos_shots,defensive_freepos_goals,defensive_draw_controls,team_id
2023-02-17,Akron,Howard,Away,,20,4,,,20.0,5.0,25.0,46.0,43.0,10.0,16.0,12.0,8.0,4.0,23.0,,4.0,3.0,7.0,8,7,14.0,17,8.0,2.0,,2.0,5
2023-02-19,Akron,Delaware St.,Away,,12,13,4,17.0,12.0,5.0,17.0,33.0,28.0,12.0,27.0,3.0,9.0,2.0,19.0,15.0,13.0,4.0,17.0,31,23,14.0,23,8.0,8.0,4.0,13.0,5
2023-02-25,Akron,St. Bonaventure,Away,,10,12,,,10.0,2.0,12.0,17.0,16.0,21.0,23.0,9.0,5.0,3.0,12.0,,12.0,7.0,19.0,27,22,22.0,17,8.0,12.0,5.0,14.0,5
2023-03-03,Akron,Saint Francis,Away,,4,5,,11.0,4.0,1.0,5.0,17.0,13.0,9.0,20.0,5.0,1.0,1.0,5.0,3.0,5.0,3.0,8.0,20,11,16.0,15,14.0,4.0,1.0,8.0,5
2023-03-12,Akron,Gardner-Webb,Home,,10,18,,19.0,10.0,4.0,14.0,33.0,24.0,15.0,24.0,7.0,6.0,3.0,20.0,13.0,18.0,11.0,29.0,33,26,27.0,18,16.0,7.0,4.0,11.0,5
2023-03-14,Akron,Presbyterian,Home,,9,10,,21.0,9.0,2.0,11.0,16.0,13.0,34.0,20.0,11.0,4.0,3.0,13.0,13.0,10.0,,10.0,28,25,32.0,17,13.0,13.0,5.0,10.0,5
2023-03-18,Akron,Virginia Tech,Home,,4,23,,21.0,4.0,1.0,5.0,8.0,6.0,16.0,17.0,8.0,4.0,2.0,7.0,17.0,23.0,18.0,41.0,38,32,21.0,16,7.0,4.0,3.0,22.0,5
2023-03-21,Akron,Wofford,Home,,13,17,,13.0,13.0,6.0,19.0,23.0,21.0,24.0,21.0,9.0,7.0,4.0,15.0,14.0,17.0,8.0,25.0,36,30,33.0,23,8.0,8.0,5.0,19.0,5
2023-03-25,Akron,Radford,Away,,3,14,,28.0,3.0,1.0,4.0,23.0,15.0,22.0,17.0,7.0,8.0,1.0,9.0,17.0,14.0,11.0,25.0,24,17,20.0,21,12.0,9.0,3.0,12.0,5
2023-04-01,Akron,Kent St.,Away,,5,6,,10.0,5.0,4.0,9.0,27.0,18.0,20.0,12.0,5.0,3.0,,5.0,7.0,6.0,1.0,7.0,32,16,20.0,18,2.0,3.0,1.0,10.0,5
2023-04-05,Akron,Youngstown St.,Home,,7,18,,17.0,7.0,1.0,8.0,27.0,22.0,21.0,10.0,10.0,8.0,2.0,12.0,14.0,18.0,9.0,27.0,27,22,21.0,13,6.0,4.0,4.0,15.0,5
2023-04-08,Akron,Central Mich.,Away,,9,21,,16.0,9.0,,9.0,18.0,14.0,6.0,14.0,3.0,7.0,4.0,9.0,13.0,21.0,15.0,36.0,38,31,17.0,8,12.0,11.0,5.0,24.0,5
2023-04-12,Akron,Detroit Mercy,Home,,10,11,,10.0,10.0,3.0,13.0,29.0,21.0,30.0,22.0,10.0,10.0,4.0,12.0,14.0,11.0,5.0,16.0,28,25,26.0,21,5.0,6.0,4.0,12.0,5
2023-04-15,Akron,Youngstown St.,Away,,5,18,,12.0,5.0,,5.0,16.0,12.0,12.0,18.0,4.0,3.0,2.0,9.0,7.0,18.0,7.0,25.0,27,24,15.0,16,6.0,7.0,5.0,18.0,5
2023-04-19,Akron,Kent St.,Home,,6,19,,15.0,6.0,1.0,7.0,17.0,14.0,13.0,15.0,6.0,4.0,2.0,11.0,9.0,19.0,9.0,28.0,28,24,21.0,17,4.0,8.0,5.0,16.0,5
2023-04-22,Akron,Eastern Mich.,Away,,10,9,,20.0,10.0,6.0,16.0,29.0,20.0,26.0,23.0,18.0,3.0,,10.0,10.0,9.0,4.0,13.0,30,19,31.0,22,22.0,3.0,1.0,13.0,5
2023-04-26,Akron,Robert Morris,Home,,5,17,,10.0,5.0,1.0,6.0,24.0,12.0,24.0,13.0,3.0,6.0,1.0,9.0,13.0,17.0,7.0,24.0,33,28,23.0,14,5.0,5.0,4.0,17.0,5
2023-02-11,American,Georgetown,Away,,5,18,,4.0,5.0,3.0,8.0,20.0,16.0,4.0,14.0,4.0,1.0,,10.0,5.0,18.0,6.0,24.0,35,28,11.0,12,10.0,7.0,1.0,17.0,23
2023-02-18,American,UMBC,Away,,15,14,,20.0,15.0,5.0,20.0,34.0,28.0,17.0,13.0,5.0,7.0,4.0,14.0,13.0,14.0,6.0,20.0,37,25,21.0,13,8.0,5.0,1.0,19.0,23
2023-02-24,American,Howard,Home,,15,2,,3.0,15.0,8.0,23.0,27.0,24.0,17.0,16.0,8.0,3.0,2.0,15.0,15.0,2.0,1.0,3.0,9,7,5.0,18,,,,5.0,23
2023-03-01,American,George Washington,Home,,16,5,,7.0,16.0,7.0,23.0,32.0,27.0,16.0,13.0,5.0,8.0,3.0,16.0,19.0,5.0,1.0,6.0,16,10,16.0,17,6.0,4.0,,9.0,23
2023-03-04,American,Mercer,Home,,14,15,,5.0,14.0,6.0,20.0,28.0,24.0,8.0,14.0,7.0,3.0,1.0,17.0,6.0,15.0,7.0,22.0,25,22,12.0,13,7.0,5.0,2.0,13.0,23
2023-03-10,American,UC Davis,Away,,13,14,,3.0,13.0,3.0,16.0,31.0,23.0,,14.0,2.0,9.0,2.0,17.0,13.0,14.0,3.0,17.0,36,23,2.0,8,7.0,3.0,3.0,14.0,23
2023-03-12,American,California,Away,,11,10,,17.0,11.0,6.0,17.0,17.0,14.0,14.0,21.0,4.0,1.0,1.0,16.0,20.0,10.0,5.0,15.0,22,17,16.0,14,15.0,4.0,1.0,11.0,23
2023-03-18,American,Lafayette,Home,,16,15,,10.0,16.0,4.0,20.0,34.0,32.0,11.0,12.0,5.0,11.0,5.0,12.0,12.0,15.0,7.0,22.0,36,29,14.0,12,3.0,8.0,2.0,14.0,23
2023-03-25,American,Holy Cross,Away,,12,7,,13.0,12.0,8.0,20.0,20.0,17.0,23.0,22.0,4.0,4.0,3.0,10.0,22.0,7.0,3.0,10.0,28,17,21.0,18,9.0,3.0,1.0,12.0,23
2023-03-29,American,Loyola Maryland,Away,,7,19,,13.0,7.0,4.0,11.0,14.0,12.0,11.0,12.0,4.0,2.0,1.0,9.0,13.0,19.0,11.0,30.0,39,28,11.0,12,6.0,2.0,,20.0,23
