season,team,team_id,jersey,full_name,roster_name,first_name,last_name,yr,pos,gp,gs,goals,assists,points,shots,sog,ct,ncaa_id,fouls,ground_balls,turnovers,freepos_shots,freepos_goals,draw_controls
2021,Akron,5,19.0,Sarah Rech,Sarah Rech,Sarah,Rech,Fr,D,13.0,11.0,,,0.0,,,12.0,6888605,5.0,13.0,6.0,,,1.0
2021,Akron,5,15.0,Jenna Ridener,Jenna Ridener,Jenna,Ridener,Fr,D,13.0,11.0,,,0.0,,,15.0,6888607,20.0,22.0,5.0,,,
2021,Akron,5,16.0,Abby McMullen,Abby McMullen,Abby,McMullen,Fr,M,15.0,15.0,16.0,12.0,28.0,37.0,31.0,21.0,6888611,7.0,35.0,26.0,3.0,1.0,25.0
2021,Akron,5,6.0,Sarah Pattison,Sarah Pattison,Sarah,Pattison,Fr,ATT,12.0,3.0,2.0,4.0,6.0,2.0,2.0,1.0,6888612,,8.0,10.0,,,
2021,Akron,5,4.0,Kaylee Riggins,Kaylee Riggins,Kaylee,Riggins,So,M,11.0,10.0,16.0,9.0,25.0,44.0,30.0,9.0,6888613,5.0,22.0,26.0,6.0,4.0,65.0
2021,Akron,5,7.0,Allie Sweeney,Allie Sweeney,Allie,Sweeney,Fr,D,10.0,8.0,,,0.0,,,9.0,6888614,7.0,11.0,3.0,,,1.0
2021,Akron,5,18.0,Alayna Dunphy,Alayna Dunphy,Alayna,Dunphy,Fr,ATT,3.0,,,,0.0,,,,6888615,,,1.0,,,
2021,Akron,5,9.0,Madison Doletzky,Madison Doletzky,Madison,Doletzky,Fr,M,3.0,,,,0.0,,,,6888617,,,1.0,,,
2021,Akron,5,21.0,Julia Frombach,Julia Frombach,Julia,Frombach,Fr,M,15.0,15.0,,,0.0,1.0,,28.0,6888619,7.0,29.0,5.0,1.0,,1.0
2021,Akron,5,1.0,Kaija Kunttu,Kaija Kunttu,Kaija,Kunttu,Fr,M,14.0,11.0,9.0,6.0,15.0,30.0,21.0,6.0,6888622,1.0,12.0,14.0,9.0,4.0,7.0
2021,Akron,5,11.0,Tahlia Townsend,Tahlia Townsend,Tahlia,Townsend,Fr,M,2.0,,,,0.0,1.0,1.0,,6888623,,,,,,
2021,Akron,5,10.0,Alexis Kiefer,Alexis Kiefer,Alexis,Kiefer,Fr,M,15.0,15.0,48.0,5.0,53.0,110.0,89.0,11.0,6888624,9.0,35.0,26.0,22.0,8.0,46.0
2021,Akron,5,99.0,Abby Lerch,Abby Lerch,Abby,Lerch,Fr,GK,10.0,4.0,,,0.0,,,2.0,6888625,,17.0,7.0,,,
2021,Akron,5,29.0,Anna Dennison,Anna Dennison,Anna,Dennison,Jr,M,15.0,15.0,13.0,5.0,18.0,41.0,30.0,9.0,6888628,5.0,9.0,17.0,7.0,4.0,
2021,Akron,5,30.0,Abby Schaefer,Abby Schaefer,Abby,Schaefer,Fr,ATT,15.0,5.0,3.0,1.0,4.0,21.0,16.0,1.0,6888630,5.0,8.0,10.0,4.0,1.0,
2021,Akron,5,25.0,Camille Patton,Camille Patton,Camille,Patton,Fr,ATT,7.0,,4.0,,4.0,7.0,7.0,,7089814,,,3.0,1.0,1.0,
2021,Akron,5,28.0,Ashley Lapp,Ashley Lapp,Ashley,Lapp,Fr,GK,14.0,11.0,,,0.0,,,3.0,7089815,,19.0,6.0,,,
2021,Akron,5,20.0,Madeline Shewbridge,Madeline Shewbridge,Madeline,Shewbridge,Fr,ATT,14.0,4.0,8.0,6.0,14.0,16.0,10.0,,7089811,,5.0,9.0,2.0,1.0,2.0
2021,Akron,5,3.0,Noelle Boyd,Noelle Boyd,Noelle,Boyd,Fr,M,15.0,15.0,19.0,9.0,28.0,50.0,39.0,10.0,7089805,10.0,37.0,30.0,6.0,2.0,33.0
2021,Akron,5,23.0,Alexi Hardy,Alexi Hardy,Alexi,Hardy,Fr,D,15.0,7.0,,,0.0,,,6.0,7089813,1.0,11.0,7.0,,,1.0
2021,Akron,5,12.0,Mackenzie Kirwan,Mackenzie Kirwan,Mackenzie,Kirwan,Fr,M,11.0,4.0,,,0.0,2.0,1.0,8.0,7089807,8.0,7.0,5.0,,,1.0
2021,Akron,5,17.0,Jacqueline Glassey,Jacqueline Glassey,Jacqueline,Glassey,Fr,ATT,14.0,7.0,13.0,7.0,20.0,29.0,20.0,2.0,7089810,1.0,8.0,25.0,5.0,4.0,
2021,Akron,5,5.0,Anjali Silverheels,Anjali Silverheels,Anjali,Silverheels,Fr,ATT,15.0,8.0,9.0,4.0,13.0,22.0,18.0,1.0,7089806,1.0,8.0,17.0,6.0,2.0,
2021,Akron,5,14.0,Chloe Hererra,Chloe Hererra,Chloe,Hererra,Fr,M,12.0,1.0,3.0,,3.0,10.0,6.0,1.0,7089809,3.0,2.0,6.0,1.0,,2.0
2021,American,23,8.0,Sarah Boney,Sarah Boney,Sarah,Boney,Sr,M,8.0,8.0,,,0.0,,,9.0,6883449,13.0,14.0,10.0,,,3.0
2021,American,23,16.0,Emma Vinall,Emma Vinall,Emma,Vinall,Sr,ATT,8.0,8.0,35.0,6.0,41.0,69.0,57.0,4.0,6883450,8.0,6.0,15.0,12.0,10.0,56.0
2021,American,23,11.0,Delaney Oliveira,Delaney Oliveira,Delaney,Oliveira,Sr,GK,4.0,3.0,,,0.0,,,4.0,6883451,,11.0,2.0,,,
2021,American,23,18.0,Kendall Goldblum,Kendall Goldblum,Kendall,Goldblum,Sr,M,6.0,6.0,10.0,4.0,14.0,28.0,19.0,1.0,6883452,3.0,6.0,12.0,2.0,,15.0
2021,American,23,22.0,Cate Golden,Cate Golden,Cate,Golden,Sr,D,2.0,2.0,,,0.0,,,2.0,6883453,6.0,3.0,,,,
2021,American,23,10.0,Ashley Go,Ashley Go,Ashley,Go,Jr,D,7.0,7.0,,,0.0,,,8.0,6883454,24.0,10.0,5.0,,,
2021,American,23,2.0,Haley Harkins,Haley Harkins,Haley,Harkins,Jr,M,8.0,7.0,,,0.0,,,3.0,6883455,4.0,8.0,6.0,,,1.0
2021,American,23,21.0,Sophie Ossip,Sophie Ossip,Sophie,Ossip,Jr,ATT,3.0,,,,0.0,,,,6883456,,,1.0,,,
2021,American,23,7.0,Katie Pierce,Katie Pierce,Katie,Pierce,Jr,M,8.0,6.0,2.0,,2.0,6.0,6.0,7.0,6883457,10.0,10.0,4.0,,,2.0
2021,American,23,28.0,Morgan Schaen,Morgan Schaen,Morgan,Schaen,Jr,M,3.0,,,,0.0,,,2.0,6883459,,2.0,,,,
2021,American,23,33.0,Hali Sibilia,Hali Sibilia,Hali,Sibilia,Jr,M,6.0,3.0,5.0,3.0,8.0,11.0,8.0,4.0,6883460,5.0,5.0,9.0,1.0,,4.0
2021,American,23,15.0,Stefanie Walsh,Stefanie Walsh,Stefanie,Walsh,Jr,M,7.0,7.0,4.0,1.0,5.0,11.0,6.0,3.0,6883461,9.0,6.0,7.0,3.0,1.0,2.0
2021,American,23,9.0,Emma Hare,Emma Hare,Emma,Hare,So,ATT,8.0,5.0,6.0,2.0,8.0,7.0,7.0,,6883462,1.0,1.0,6.0,,,
2021,American,23,24.0,Drew Reno,Drew Reno,Drew,Reno,Sr,ATT,2.0,1.0,,,0.0,,,,6883463,,,2.0,,,
2021,American,23,25.0,Jane Reffelt,Jane Reffelt,Jane,Reffelt,So,D,2.0,,,,0.0,,,,6883464,1.0,,,,,
2021,American,23,1.0,Sadie Herman,Sadie Herman,Sadie,Herman,So,M,7.0,,,,0.0,1.0,1.0,,6883465,3.0,2.0,2.0,,,3.0
2021,American,23,4.0,Sydney Wender,Sydney Wender,Sydney,Wender,So,M,3.0,,,,0.0,,,,6883466,,1.0,,,,
