date,team,opponent,home_away,result,home_score,visitor_score,overtime,games,goals,assists,points,sh_att,so_g,fouls,red_cards,yellow_cards,gc,goal_app,ggs,goalie_min_plyd,ga,saves,shutouts,combined_sho,g_wins,g_loss,d_saves,corners,pk,pk_att,defensive_goals,defensive_assists,defensive_points,defensive_sh_att,defensive_so_g,defensive_fouls,defensive_red_cards,defensive_yellow_cards,defensive_gc,defensive_goal_app,defensive_ggs,defensive_goalie_min_plyd,defensive_ga,defensive_saves,defensive_shutouts,defensive_combined_sho,defensive_g_wins,defensive_g_loss,defensive_d_saves,defensive_corners,defensive_pk,defensive_pk_att,na.x,na.y
2021-02-12,Denver Pioneers,"Western Ill. Burlington , IA",Away,Win,0,2,NA,1,2,2,6,20,11,4,0,1,0,0,0,90:00,0,0,1,0,0,0,0,8,0,0,0,0,0,4,0,5,0,1,0,0,0,90:00,2,9,0,0,0,0,0,2,0,0,NA,NA
2021-02-14,Denver Pioneers,"Western Ill. Burlington , IA",Away,Win,0,4,NA,1,4,1,9,21,13,9,0,0,0,0,0,90:00,0,2,1,0,0,0,0,8,1,1,0,0,0,6,2,6,0,0,0,0,0,90:00,4,9,0,0,0,0,0,1,0,0,NA,NA
2021-02-19,Denver Pioneers,Oral Roberts,Home,Win,0,3,NA,1,3,5,11,19,11,7,0,0,0,0,0,90:00,0,0,1,0,0,0,0,7,0,0,0,0,0,4,0,5,0,0,0,0,0,90:00,3,8,0,0,0,0,0,1,0,0,NA,NA
2021-02-21,Denver Pioneers,Oral Roberts,Home,Win,1,4,NA,1,4,5,13,22,10,9,0,0,0,0,0,90:00,1,2,0,0,0,0,0,5,0,0,1,0,2,3,2,10,0,1,0,0,0,90:00,4,7,0,0,0,0,0,2,0,1,NA,NA
2021-02-26,Denver Pioneers,South Dakota,Home,Win,1,2,1OT,1,2,2,6,19,12,10,0,0,0,0,0,99:14,1,1,0,0,0,0,0,10,0,0,1,0,2,3,2,7,0,1,0,0,0,99:14,2,10,0,0,0,0,0,0,0,0,NA,NA
2021-02-28,Denver Pioneers,South Dakota,Home,Win,0,1,NA,1,1,2,4,14,5,9,0,1,0,0,0,90:00,0,3,1,0,0,0,0,10,0,0,0,0,0,6,3,14,0,1,0,0,0,90:00,1,4,0,0,0,0,0,0,0,0,NA,NA
2021-03-05,Denver Pioneers,North Dakota St.,Home,Win,0,1,NA,1,1,1,3,14,8,12,0,0,0,0,0,90:00,0,0,1,0,0,0,0,6,0,0,0,0,0,1,0,8,0,0,0,0,0,90:00,1,7,0,0,0,0,0,0,0,0,NA,NA
2021-03-07,Denver Pioneers,North Dakota St.,Home,Win,0,3,NA,1,3,4,10,14,8,8,0,0,0,0,0,90:00,0,1,1,0,0,0,0,5,0,0,0,0,0,4,1,9,0,0,0,0,0,90:00,3,5,0,0,0,0,0,3,0,0,NA,NA
2021-03-12,Denver Pioneers,South Dakota St.,Away,Draw,1,1,2OT,1,1,1,3,8,4,16,0,1,0,0,0,110:00,1,6,0,0,0,0,0,5,0,0,1,2,4,9,7,6,0,1,0,0,0,110:00,1,3,0,0,0,0,0,3,0,0,NA,NA
2021-03-14,Denver Pioneers,South Dakota St.,Away,Loss,2,1,2OT,1,1,1,3,9,3,9,0,0,0,0,0,106:12,2,4,0,0,0,0,0,8,0,0,2,1,5,10,6,9,0,1,0,0,0,106:12,1,2,0,0,0,0,0,1,0,0,NA,NA
2021-03-19,Denver Pioneers,North Dakota,Away,Win,2,3,NA,1,3,4,10,23,10,7,0,0,0,0,0,90:00,2,1,0,0,0,0,0,13,0,0,2,1,5,6,3,6,0,0,0,0,0,90:00,3,7,0,0,0,0,0,2,0,0,NA,NA
2021-03-21,Denver Pioneers,North Dakota,Away,Win,0,2,NA,1,2,2,6,15,5,11,1,2,0,0,0,90:00,0,4,1,0,0,0,0,3,1,1,0,0,0,8,4,8,1,1,0,0,0,90:00,2,3,0,0,0,0,0,1,0,0,NA,NA
2021-03-26,Denver Pioneers,Omaha,Home,Win,1,2,NA,1,2,3,7,13,6,7,0,0,0,0,0,90:00,1,1,0,0,0,0,0,8,0,0,1,2,4,5,2,3,0,0,0,0,0,90:00,2,4,0,0,0,0,0,1,0,0,NA,NA
2021-03-28,Denver Pioneers,Omaha,Home,Win,0,1,NA,1,1,1,3,4,2,12,0,0,0,0,0,90:00,0,5,1,0,0,0,0,1,0,0,0,0,0,6,5,4,0,0,0,0,0,90:00,1,1,0,0,0,0,0,2,0,0,NA,NA
2021-04-09,Denver Pioneers,Kansas City,Away,Win,0,1,NA,1,1,0,2,14,5,10,0,0,0,0,0,90:00,0,1,1,0,0,0,0,4,0,0,0,0,0,4,1,8,0,0,0,0,0,90:00,1,4,0,0,0,0,0,2,0,0,NA,NA
2021-04-11,Denver Pioneers,Kansas City,Away,Win,0,1,NA,1,1,2,4,17,9,6,0,0,0,0,0,90:00,0,1,1,0,0,0,0,3,0,0,0,0,0,3,1,5,0,0,0,0,0,90:00,1,8,0,0,0,0,0,5,0,0,NA,NA
2021-04-15,Denver Pioneers,"South Dakota Omaha, NE",Away,Win,0,2,NA,1,2,3,7,15,5,8,0,1,0,0,0,90:00,0,1,1,0,0,0,0,3,0,0,0,0,0,7,1,11,0,0,0,0,0,90:00,2,3,0,0,0,0,0,6,0,0,NA,NA
2021-04-17,Denver Pioneers,Omaha,Away,Win,0,3,NA,1,3,3,9,9,4,7,0,0,0,0,0,90:00,0,0,1,0,0,0,0,6,0,0,0,0,0,5,0,3,0,0,0,0,0,90:00,3,1,0,0,0,0,0,2,0,0,NA,NA
2021-04-27,Denver Pioneers,"Loyola Chicago Matthews, NC",Away,Win,1,3,NA,1,3,2,8,12,7,8,0,0,0,0,0,90:00,1,8,0,0,0,0,0,3,0,0,1,1,3,15,9,7,0,0,0,0,0,90:00,3,4,0,0,0,0,0,8,0,0,NA,NA
2021-04-30,Denver Pioneers,"North Carolina Matthews, NC",Away,Loss,2,0,NA,1,0,0,0,6,2,6,0,2,0,0,0,90:00,2,3,0,0,0,0,0,2,0,0,2,2,6,17,5,10,0,1,0,0,0,90:00,0,2,1,0,0,0,0,8,0,0,NA,NA
2021-02-22,DePaul Blue Demons,Valparaiso,Away,Win,1,2,NA,1,2,2,6,14,7,6,0,0,0,0,0,90:00,1,0,0,0,0,0,0,5,0,0,1,0,2,4,1,6,0,0,0,0,0,90:00,2,5,0,0,0,0,0,1,1,1,NA,NA
2021-03-04,DePaul Blue Demons,Butler,Away,Loss,3,1,NA,1,1,0,2,10,4,8,0,0,0,0,0,90:00,3,0,0,0,0,0,0,6,0,0,3,2,8,5,3,12,0,1,0,0,0,90:00,1,3,0,0,0,0,0,8,0,0,NA,NA
2021-03-07,DePaul Blue Demons,Marquette,Home,Loss,2,0,NA,1,0,0,0,16,6,7,0,0,0,0,0,90:00,2,1,0,0,0,0,0,2,0,0,2,2,6,6,3,7,0,0,0,0,0,90:00,0,6,1,0,0,0,0,1,0,0,NA,NA
2021-03-14,DePaul Blue Demons,Creighton,Home,Win,1,2,2OT,1,2,2,6,9,6,25,0,0,0,0,0,101:01,1,4,0,0,0,0,0,5,0,0,1,0,2,8,5,15,0,1,0,0,0,101:01,2,4,0,0,0,0,0,11,0,0,NA,NA
2021-03-21,DePaul Blue Demons,Butler,Home,Win,0,1,NA,1,1,0,2,12,5,12,0,2,0,0,0,90:00,0,2,1,0,0,0,0,4,0,0,0,0,0,4,2,11,0,2,0,0,0,90:00,1,4,0,0,0,0,0,2,0,0,NA,NA
2021-03-25,DePaul Blue Demons,Marquette,Away,Loss,1,0,NA,1,0,0,0,7,2,7,0,1,0,0,0,90:00,1,0,0,0,0,0,0,2,0,0,1,2,4,5,1,11,0,0,0,0,0,90:00,0,2,1,0,0,0,0,5,0,0,NA,NA
2021-03-28,DePaul Blue Demons,Xavier,Home,Loss,3,2,2OT,1,2,1,5,9,5,18,0,0,0,0,0,105:35,3,6,0,0,0,0,0,3,0,0,3,1,7,14,9,9,0,0,0,0,0,105:35,2,3,0,0,0,0,0,4,0,0,NA,NA
2021-04-04,DePaul Blue Demons,Creighton,Away,Loss,2,1,NA,1,1,0,2,6,1,10,0,0,0,0,0,90:00,2,9,0,0,0,0,0,5,0,0,2,2,6,20,11,9,0,1,0,0,0,90:00,1,0,0,0,0,0,0,5,1,1,NA,NA
2021-02-10,Detroit Mercy Titans,Youngstown St.,Home,Win,1,2,NA,1,2,1,5,18,9,10,0,0,0,0,0,90:00,1,6,0,0,0,0,0,5,0,0,1,1,3,13,7,9,0,3,0,0,0,90:00,2,7,0,0,0,0,0,3,0,0,NA,NA
2021-02-17,Detroit Mercy Titans,Wright St.,Away,Loss,2,1,NA,1,1,0,2,14,8,1,0,1,0,0,0,90:00,2,4,0,0,0,0,0,6,0,0,2,1,5,9,6,2,0,1,0,0,0,90:00,1,7,0,0,0,0,0,3,0,0,NA,NA
2021-02-24,Detroit Mercy Titans,IUPUI,Home,Draw,0,0,2OT,1,0,0,0,23,6,14,0,1,0,0,0,110:00,0,3,1,0,0,0,0,5,0,0,0,0,0,16,3,14,0,1,0,0,0,110:00,0,6,1,0,0,0,0,8,0,0,NA,NA
2021-03-03,Detroit Mercy Titans,Oakland,Home,Loss,2,0,NA,1,0,0,0,10,4,10,0,1,0,0,0,90:00,2,1,0,0,0,0,0,4,0,0,2,4,8,6,3,11,0,0,0,0,0,90:00,0,4,1,0,0,0,0,4,0,0,NA,NA
2021-03-10,Detroit Mercy Titans,Green Bay,Away,Loss,4,1,NA,1,1,1,3,8,2,9,0,1,0,0,0,90:00,4,0,0,0,0,0,0,2,0,0,4,4,12,8,4,12,0,0,0,0,0,90:00,1,1,0,0,0,0,0,4,0,0,NA,NA
2021-03-17,Detroit Mercy Titans,Milwaukee,Away,Loss,3,0,NA,1,0,0,0,11,7,9,0,1,0,0,0,90:00,3,4,0,0,0,0,0,1,0,0,3,3,9,13,7,8,0,0,0,0,0,90:00,0,7,1,1,0,0,0,6,0,0,NA,NA
2021-03-24,Detroit Mercy Titans,Robert Morris,Home,Win,1,2,2OT,1,2,2,6,27,11,18,0,0,0,0,0,107:06,1,6,0,0,0,0,0,10,0,0,1,0,2,14,7,4,0,0,0,0,0,107:06,2,9,0,0,0,0,0,6,0,0,NA,NA
2021-03-30,Detroit Mercy Titans,UIC,Home,Loss,2,1,NA,1,1,2,4,11,5,11,0,0,0,0,0,90:00,2,8,0,0,0,0,0,3,0,0,2,2,6,17,10,9,0,0,0,0,0,90:00,1,4,0,0,0,0,0,10,0,0,NA,NA
2021-04-05,Detroit Mercy Titans,Cleveland St.,Away,Loss,7,0,NA,1,0,0,0,3,1,11,0,0,0,0,0,90:00,7,6,0,0,0,0,0,3,0,0,7,5,19,19,13,3,0,0,0,0,0,90:00,0,1,1,1,0,0,0,4,0,0,NA,NA
2021-02-03,Dixie St. Trailblazers ,Gonzaga,Home,Loss,5,1,NA,1,1,1,3,10,6,11,0,1,0,0,0,90:00,5,4,0,0,0,0,0,2,0,0,5,3,13,15,9,9,0,1,0,0,0,90:00,1,5,0,0,0,0,0,5,1,2,NA,NA
2021-02-11,Dixie St. Trailblazers ,Utah,Home,Loss,2,1,2OT,1,1,1,3,11,6,7,0,0,0,0,0,107:23,2,7,0,0,0,0,0,4,0,0,2,2,6,21,9,5,0,0,0,0,0,107:23,1,5,0,0,0,0,0,6,0,0,NA,NA
2021-02-14,Dixie St. Trailblazers ,Southern Utah,Home,Draw,1,1,2OT,1,1,0,2,20,9,16,0,0,0,0,0,110:00,1,6,0,0,0,0,0,4,0,0,1,1,3,9,7,8,0,2,0,0,0,110:00,1,8,0,0,0,0,0,1,0,0,NA,NA
2021-02-18,Dixie St. Trailblazers ,California Baptist,Away,Loss,2,1,NA,1,1,1,3,9,4,9,0,0,0,0,0,90:00,2,9,0,0,0,0,0,2,0,1,2,2,6,20,11,6,0,0,0,0,0,90:00,1,3,0,0,0,0,0,3,0,0,NA,NA
2021-02-20,Dixie St. Trailblazers ,California Baptist,Away,Loss,2,0,NA,1,0,0,0,8,3,11,0,2,0,0,0,90:00,2,3,0,0,0,0,0,5,0,0,2,4,8,11,5,12,0,0,0,0,0,90:00,0,3,1,0,0,0,0,0,0,0,NA,NA
2021-03-04,Dixie St. Trailblazers ,Seattle U,Home,Loss,2,1,1OT,1,1,1,3,15,7,8,0,0,0,0,0,94:44,2,8,0,0,0,0,0,4,0,0,2,0,4,18,10,6,0,0,0,0,0,94:44,1,6,0,0,0,0,0,6,1,1,NA,NA
2021-03-06,Dixie St. Trailblazers ,Seattle U,Home,Loss,1,0,NA,1,0,0,0,4,0,10,0,1,0,0,0,90:00,1,5,0,0,0,0,0,5,0,0,1,1,3,10,6,5,0,0,0,0,0,90:00,0,0,1,0,0,0,0,3,0,0,NA,NA
2021-03-11,Dixie St. Trailblazers ,Chicago St.,Away,Win,0,4,NA,1,4,4,12,17,9,22,0,0,0,0,0,90:00,0,1,1,0,0,0,0,9,0,0,0,0,0,4,1,13,0,0,0,0,0,90:00,4,5,0,0,0,0,0,1,0,0,NA,NA
2021-03-13,Dixie St. Trailblazers ,Chicago St.,Away,Win,0,4,NA,1,4,3,11,20,8,10,0,1,0,0,0,90:00,0,1,1,0,0,0,0,8,0,0,0,0,0,5,1,7,0,1,0,0,0,90:00,4,4,0,0,0,0,0,3,0,0,NA,NA
2021-03-20,Dixie St. Trailblazers ,Utah Valley,Home,Loss,3,2,NA,1,2,1,5,10,5,10,0,0,0,0,0,90:00,3,6,0,0,0,0,0,2,0,0,3,5,11,14,9,7,0,1,0,0,0,90:00,2,3,0,0,0,0,0,8,0,0,NA,NA
2021-03-25,Dixie St. Trailblazers ,New Mexico St.,Away,Draw,2,2,2OT,1,2,2,6,19,8,19,0,0,0,0,0,110:00,2,9,0,0,0,0,0,10,0,0,2,2,6,15,11,16,0,1,0,0,0,110:00,2,6,0,0,0,0,0,6,0,0,NA,NA
2021-03-27,Dixie St. Trailblazers ,New Mexico St.,Away,Loss,1,0,NA,1,0,0,0,13,3,9,0,0,0,0,0,90:00,1,7,0,0,0,0,0,2,0,0,1,0,2,18,8,10,0,0,0,0,0,90:00,0,3,1,0,0,0,0,2,0,0,NA,NA
2021-04-04,Dixie St. Trailblazers ,UTRGV,Home,Win,1,2,NA,1,2,2,6,16,7,6,0,0,0,0,0,90:00,1,8,0,0,0,0,0,8,0,0,1,0,2,16,9,6,0,0,0,0,0,90:00,2,5,0,0,0,0,0,3,1,1,NA,NA
2021-04-06,Dixie St. Trailblazers ,UTRGV,Home,Loss,3,0,NA,1,0,0,0,11,6,7,0,0,0,0,0,90:00,3,4,0,0,0,0,0,5,0,0,3,2,8,14,7,6,0,0,0,0,0,90:00,0,6,1,0,0,0,0,2,0,0,NA,NA
2021-04-10,Dixie St. Trailblazers ,Utah Valley,Away,Loss,3,0,NA,1,0,0,0,6,3,5,0,0,0,0,0,90:00,3,6,0,0,0,0,0,4,0,0,3,4,10,19,9,6,0,1,0,0,0,90:00,0,3,1,1,0,0,0,12,0,0,NA,NA
2021-02-28,Drake Bulldogs,Indiana St.,Away,Loss,1,0,NA,1,0,0,0,11,6,8,0,1,0,0,0,90:00,1,4,0,0,0,0,0,3,0,0,1,0,2,11,5,11,0,1,0,0,0,90:00,0,6,1,0,0,0,0,3,0,0,NA,NA
2021-03-05,Drake Bulldogs,Loyola Chicago,Away,Loss,2,0,NA,1,0,0,0,5,2,8,0,0,0,0,0,90:00,2,4,0,0,0,0,0,0,0,0,2,0,4,11,6,11,0,0,0,0,0,90:00,0,2,1,0,0,0,0,6,0,0,NA,NA
2021-03-10,Drake Bulldogs,Illinois St.,Home,Win,0,1,NA,1,1,1,3,10,2,6,0,0,0,0,0,90:00,0,6,1,0,0,0,0,5,0,0,0,0,0,13,6,9,0,0,0,0,0,90:00,1,1,0,0,0,0,0,3,0,0,NA,NA
2021-03-14,Drake Bulldogs,Southern Ill.,Home,Draw,0,0,2OT,1,0,0,0,18,4,14,0,1,0,0,0,110:00,0,3,1,0,0,0,0,6,0,0,0,0,0,8,3,8,0,0,0,0,0,110:00,0,4,1,0,0,0,0,2,0,0,NA,NA
2021-03-19,Drake Bulldogs,Valparaiso,Away,Draw,1,1,2OT,1,1,0,2,18,6,16,0,3,0,0,0,110:00,1,14,0,0,0,0,0,1,1,1,1,0,2,24,15,16,0,0,0,0,0,110:00,1,5,0,0,0,0,0,7,0,0,NA,NA
2021-03-28,Drake Bulldogs,Evansville,Home,Win,0,1,NA,1,1,2,4,13,6,11,0,0,0,0,0,90:00,0,2,1,0,0,0,0,4,0,0,0,0,0,10,2,6,0,1,0,0,0,90:00,1,5,0,0,0,0,0,2,0,0,NA,NA
2021-03-31,Drake Bulldogs,Missouri St.,Home,Loss,1,0,NA,1,0,0,0,6,2,8,0,0,0,0,0,90:00,1,3,0,0,0,0,0,2,0,0,1,2,4,10,4,13,0,0,0,0,0,90:00,0,2,1,0,0,0,0,2,0,0,NA,NA
2021-04-07,Drake Bulldogs,UNI,Away,Loss,1,0,NA,1,0,0,0,6,5,9,0,0,0,0,0,49:23,1,1,0,0,0,0,0,6,0,0,1,1,3,4,2,4,0,1,0,0,0,90:00,0,5,1,0,0,0,0,1,0,0,NA,NA
2021-02-21,Drexel Dragons,NJIT,Away,Loss,3,1,NA,1,1,1,3,16,7,5,0,0,0,0,0,90:00,3,5,0,0,0,0,0,6,0,0,3,3,9,11,8,11,0,1,0,0,0,90:00,1,6,0,0,0,0,0,2,0,0,NA,NA
2021-02-25,Drexel Dragons,Villanova,Home,Win,0,1,1OT,1,1,1,3,18,9,17,0,2,0,0,0,97:51,0,3,1,0,0,0,0,3,0,0,0,0,0,8,3,11,0,0,0,0,0,97:51,1,8,0,0,0,0,0,5,0,0,NA,NA
2021-02-28,Drexel Dragons,La Salle,Away,Loss,1,0,NA,1,0,0,0,12,6,16,0,0,0,0,0,90:00,1,2,0,0,0,0,0,7,0,0,1,0,2,11,3,12,0,1,0,0,0,90:00,0,6,1,0,0,0,0,1,1,1,NA,NA
2021-03-21,Drexel Dragons,Towson,Home,Win,0,1,2OT,1,1,1,3,15,6,14,0,0,0,0,0,105:54,0,9,1,1,0,0,0,6,0,0,0,0,0,20,9,8,0,0,0,0,0,105:54,1,5,0,0,0,0,0,9,0,1,NA,NA
2021-03-28,Drexel Dragons,Delaware St.,Home,Win,1,10,NA,1,10,9,29,21,15,15,0,0,0,0,0,90:00,1,4,0,0,0,0,0,3,1,1,1,1,3,8,5,12,0,1,0,0,0,90:00,10,5,0,0,0,0,0,3,0,0,NA,NA
2021-04-01,Drexel Dragons,Hofstra,Home,Draw,1,1,2OT,1,1,0,2,5,5,17,0,1,0,0,0,109:13,1,6,0,0,0,0,0,0,1,1,1,2,4,30,7,20,0,1,0,0,0,109:13,1,4,0,0,0,0,0,16,0,0,NA,NA
2021-04-04,Drexel Dragons,Northeastern,Away,Loss,3,1,NA,1,1,1,3,7,4,7,0,0,0,0,0,90:00,3,5,0,0,0,0,0,7,0,0,3,3,9,17,8,6,0,1,0,0,0,90:00,1,3,0,0,0,0,0,5,0,0,NA,NA
2021-04-10,Drexel Dragons,Delaware,Away,Loss,1,0,NA,1,0,0,0,4,4,8,0,0,0,0,0,90:00,1,5,0,0,0,0,0,1,0,0,1,0,2,12,6,14,0,1,0,0,0,90:00,0,4,1,0,0,0,0,8,0,0,NA,NA
2020-09-10,Duke Blue Devils,Wake Forest,Away,Win,3,4,1OT,1,4,7,15,23,9,7,0,0,0,0,0,95:08,3,1,0,0,0,0,0,10,0,0,3,4,10,6,4,10,0,2,0,0,0,95:08,4,5,0,0,0,0,0,3,0,0,NA,NA
2020-09-17,Duke Blue Devils,Virginia,Home,Draw,1,1,2OT,1,1,2,4,3,3,11,0,1,0,0,0,110:00,1,7,0,0,0,0,0,4,0,0,1,0,2,16,8,12,0,0,0,0,0,110:00,1,2,0,0,0,0,0,5,0,0,NA,NA
2020-09-20,Duke Blue Devils,Wake Forest,Home,Draw,0,0,2OT,1,0,0,0,12,3,16,0,1,0,0,0,110:00,0,2,1,0,0,0,0,9,0,0,0,0,0,5,2,7,0,2,0,0,0,110:00,0,3,1,1,0,0,0,2,0,1,NA,NA
2020-09-27,Duke Blue Devils,North Carolina,Home,Loss,2,0,NA,1,0,0,0,11,4,5,0,0,0,0,0,90:00,2,6,0,0,0,0,0,6,0,0,2,1,5,13,7,17,0,1,0,0,0,90:00,0,4,1,0,0,0,0,5,0,0,NA,NA
2020-10-04,Duke Blue Devils,Clemson,Home,Win,0,1,NA,1,1,2,4,5,2,5,0,0,0,0,0,90:00,0,3,1,0,0,0,0,4,0,0,0,0,0,10,3,13,0,1,0,0,0,90:00,1,1,0,0,0,0,0,8,0,0,NA,NA
2020-10-09,Duke Blue Devils,Virginia Tech,Home,Win,0,2,NA,1,2,1,5,22,10,12,0,2,0,0,0,90:00,0,0,1,0,0,0,0,10,1,1,0,0,0,2,0,10,0,1,0,0,0,90:00,2,8,0,0,0,0,0,1,0,0,NA,NA
2020-10-15,Duke Blue Devils,Boston College,Away,Win,0,1,1OT,1,1,2,4,18,9,13,0,0,0,0,0,95:13,0,2,1,0,0,0,0,17,0,0,0,0,0,4,2,11,0,3,0,0,0,95:13,1,8,0,0,0,0,0,3,0,0,NA,NA
2020-10-18,Duke Blue Devils,Syracuse,Away,Win,0,4,NA,1,4,5,13,26,13,8,0,0,0,0,0,90:00,0,8,1,1,0,0,0,11,0,0,0,0,0,11,8,5,0,1,0,0,0,90:00,4,9,0,0,0,0,0,4,0,1,NA,NA
2020-10-23,Duke Blue Devils,North Carolina,Away,Loss,1,0,NA,1,0,0,0,8,3,9,0,1,0,0,0,90:00,1,4,0,0,0,0,0,3,0,0,1,0,2,14,4,10,0,1,0,0,0,90:00,0,3,1,0,0,0,0,9,0,0,NA,NA
2020-10-29,Duke Blue Devils,Florida St.,Away,Loss,1,0,NA,1,0,0,0,4,3,10,0,1,0,0,0,90:00,1,4,0,0,0,0,0,5,0,0,1,1,3,19,5,6,0,0,0,0,0,90:00,0,3,1,0,0,0,0,6,0,0,NA,NA
2020-11-01,Duke Blue Devils,Miami (FL),Away,Win,1,3,NA,1,3,2,8,12,7,7,0,0,0,0,0,90:00,1,1,0,0,0,0,0,3,0,0,1,1,3,6,2,8,0,2,0,0,0,90:00,3,4,0,0,0,0,0,3,0,0,NA,NA
2020-11-10,Duke Blue Devils,"Clemson Cary, NC",Away,Win,0,1,NA,1,1,0,2,8,4,6,0,0,0,0,0,90:00,0,3,1,0,0,0,0,4,0,0,0,0,0,7,3,6,1,0,0,0,0,90:00,1,3,0,0,0,0,0,3,0,0,NA,NA
2020-11-13,Duke Blue Devils,"Florida St. Cary, NC",Away,Loss,4,0,NA,1,0,0,0,13,10,15,0,0,0,0,0,90:00,4,4,0,0,0,0,0,2,0,0,4,5,13,19,8,10,0,1,0,0,0,90:00,0,10,1,0,0,0,0,6,0,0,NA,NA
2021-03-06,Duke Blue Devils,UNCW,Away,Win,0,3,NA,1,3,4,10,15,7,10,0,0,0,0,0,90:00,0,1,1,0,0,0,0,5,0,0,0,0,0,1,1,8,0,0,0,0,0,90:00,3,4,0,0,0,0,0,3,0,0,NA,NA
2021-03-17,Duke Blue Devils,Coastal Carolina,Home,Win,0,6,NA,1,6,5,17,32,15,4,0,0,0,0,0,90:00,0,1,1,1,0,0,0,13,0,0,0,0,0,3,1,9,0,0,0,0,0,90:00,6,9,0,0,0,0,0,1,0,0,NA,NA
2021-03-27,Duke Blue Devils,West Virginia,Away,Loss,3,2,NA,1,2,1,5,3,2,8,0,1,0,0,0,90:00,3,3,0,0,0,0,0,2,0,0,3,3,9,12,6,8,0,0,0,0,0,90:00,2,0,0,0,0,0,0,4,0,0,NA,NA
2021-04-02,Duke Blue Devils,NC State,Away,Win,0,1,NA,1,1,0,2,15,4,4,0,1,0,0,0,90:00,0,0,1,0,0,0,0,3,0,0,0,0,0,2,0,11,0,2,0,0,0,90:00,1,3,0,0,0,0,0,0,0,0,NA,NA
2021-04-11,Duke Blue Devils,Vanderbilt,Home,Draw,0,0,2OT,1,0,0,0,12,6,6,0,0,0,0,0,110:00,0,2,1,0,0,0,0,11,0,0,0,0,0,5,2,12,0,0,0,0,0,110:00,0,6,1,1,0,0,0,4,0,0,NA,NA
2021-05-01,Duke Blue Devils,"Arizona St. Greenville, NC",Away,Win,1,2,2OT,1,2,2,6,9,8,8,0,0,0,0,0,102:34,1,4,0,0,0,0,0,6,0,0,1,1,3,9,5,6,0,0,0,0,0,102:34,2,6,0,0,0,0,0,9,0,0,NA,NA
2021-05-05,Duke Blue Devils,"Ole Miss Cary, NC",Away,Win,0,1,NA,1,1,1,3,7,4,14,0,0,0,0,0,90:00,0,2,1,0,0,0,0,4,0,0,0,0,0,8,2,20,0,0,0,0,0,90:00,1,3,0,0,0,0,0,3,0,0,NA,NA
2021-05-09,Duke Blue Devils,"Florida St. Cary, NC",Away,Draw,0,0,3OT,1,0,0,0,2,0,9,0,0,0,0,0,110:00,0,8,1,0,0,0,0,1,0,0,0,0,0,14,8,3,0,1,0,0,0,110:00,0,0,1,0,0,0,0,9,0,0,NA,NA
2021-03-07,Duquesne Dukes,Pittsburgh,Away,Loss,3,0,NA,1,0,0,0,9,2,7,0,0,0,0,0,90:00,3,5,0,0,0,0,0,1,0,0,3,2,8,14,8,7,0,0,0,0,0,90:00,0,2,1,0,0,0,0,7,0,0,NA,NA
2021-03-14,Duquesne Dukes,Dayton,Home,Draw,1,1,2OT,1,1,1,3,17,6,12,0,2,0,0,0,110:00,1,8,0,0,0,0,0,4,0,0,1,1,3,22,9,13,0,1,0,0,0,110:00,1,5,0,0,0,0,0,6,0,0,NA,NA
2021-03-18,Duquesne Dukes,St. Bonaventure,Home,Win,0,1,NA,1,1,1,3,21,11,6,0,0,0,0,0,90:00,0,3,1,0,0,0,0,5,0,0,0,0,0,5,3,9,0,0,0,0,0,90:00,1,10,0,0,0,0,0,0,0,0,NA,NA
2021-03-21,Duquesne Dukes,Saint Louis,Away,Loss,1,0,NA,1,0,0,0,5,2,5,0,0,0,0,0,90:00,1,5,0,0,0,0,0,3,0,0,1,2,4,14,6,6,0,0,0,0,0,90:00,0,2,1,0,0,0,0,7,0,0,NA,NA
2021-03-27,Duquesne Dukes,Dayton,Away,Loss,2,0,NA,1,0,0,0,8,5,12,0,1,0,0,0,90:00,2,8,0,0,0,0,0,2,0,0,2,2,6,23,10,12,0,4,0,0,0,90:00,0,5,1,0,0,0,0,8,0,0,NA,NA
2021-04-01,Duquesne Dukes,Saint Louis,Home,Loss,1,0,NA,1,0,0,0,9,7,5,0,0,0,0,0,90:00,1,2,0,0,0,0,0,1,0,0,1,2,4,11,3,6,0,0,0,0,0,90:00,0,7,1,0,0,0,0,4,0,0,NA,NA
2021-04-04,Duquesne Dukes,Saint Louis,Home,Loss,5,0,NA,1,0,0,0,10,5,7,0,0,0,0,0,90:00,5,4,0,0,0,0,0,1,0,0,5,5,15,16,9,17,0,1,0,0,0,90:00,0,5,1,1,0,0,0,6,0,0,NA,NA
2021-04-08,Duquesne Dukes,St. Bonaventure,Away,Win,0,1,1OT,1,1,1,3,17,7,8,0,0,0,0,0,98:07,0,4,1,0,0,0,0,7,0,0,0,0,0,10,4,9,0,0,0,0,0,98:07,1,6,0,0,0,0,0,5,0,0,NA,NA
2021-04-11,Duquesne Dukes,St. Bonaventure,Away,Win,0,4,NA,1,4,4,12,13,4,5,0,0,0,0,0,90:00,0,2,1,0,0,0,0,3,1,1,0,0,0,2,2,7,0,0,0,0,0,90:00,4,0,0,0,0,0,0,1,0,0,NA,NA
