season,team,team_id,full_name,roster_name,first_name,last_name,yr,pos,number,gp,gs,goals,assists,points,shots,ground_balls,turnovers,ct,freepos_shots,freepos_goals,rc,yc,draw_controls,fouls
2026,Akron Zips,5,Kellen Fletcher,Kellen Fletcher,Kellen,Fletcher,Sr,M,4.0,12.0,11.0,13.0,23.0,36.0,32.0,17.0,17.0,6.0,2.0,,,1.0,1.0,1.0
2026,Akron Zips,5,Katie Baumer,Katie Baumer,Katie,Baumer,Sr,M,42.0,12.0,12.0,29.0,16.0,45.0,66.0,21.0,34.0,11.0,13.0,9.0,,2.0,44.0,9.0
2026,Akron Zips,5,Shaelyn Scharpf,Shaelyn Scharpf,Shaelyn,Scharpf,Jr,ATT,28.0,5.0,0.0,1.0,,1.0,6.0,1.0,,,,,,,,
2026,Akron Zips,5,Avery Wallace,Avery Wallace,Avery,Wallace,So,M,8.0,11.0,0.0,,,0.0,3.0,3.0,1.0,,,,,,,
2026,Akron Zips,5,Kacey Hopkins,Kacey Hopkins,Kacey,Hopkins,Jr,D,9.0,12.0,12.0,,,0.0,1.0,12.0,4.0,5.0,,,,,,2.0
2026,Akron Zips,5,Grace Hardy,Grace Hardy,Grace,Hardy,Jr,M,6.0,6.0,0.0,1.0,,1.0,2.0,,1.0,,,,,,1.0,
2026,Akron Zips,5,Heather Carey,Heather Carey,Heather,Carey,Sr,M,29.0,12.0,12.0,27.0,2.0,29.0,52.0,16.0,9.0,7.0,3.0,2.0,,2.0,,
2026,Akron Zips,5,Sydnie Bolger,Sydnie Bolger,Sydnie,Bolger,So,D,17.0,1.0,0.0,,,0.0,,,,,,,,,,
2026,Akron Zips,5,Kayli Grant,Kayli Grant,Kayli,Grant,So,D,23.0,6.0,0.0,,3.0,3.0,1.0,,1.0,,,,,,,1.0
2026,Akron Zips,5,Dani Dahl,Dani Dahl,Dani,Dahl,Sr,D,18.0,11.0,7.0,,,0.0,,4.0,1.0,3.0,,,,1.0,1.0,2.0
2026,Akron Zips,5,Camryn Kwiatkowski,Camryn Kwiatkowski,Camryn,Kwiatkowski,Jr,D,16.0,12.0,11.0,,,0.0,,13.0,1.0,3.0,,,,,,4.0
2026,Akron Zips,5,Lauren Vitantonio,Lauren Vitantonio,Lauren,Vitantonio,So,ATT,13.0,8.0,0.0,,,0.0,,,,,,,,,1.0,
2026,Akron Zips,5,Adrianna Califano,Adrianna Califano,Adrianna,Califano,So,GK,99.0,12.0,12.0,,,0.0,,20.0,6.0,2.0,,,,,,
2026,Akron Zips,5,Sarah Baumer,Sarah Baumer,Sarah,Baumer,Sr,ATT,41.0,12.0,12.0,,,0.0,,16.0,8.0,21.0,,,,1.0,1.0,4.0
2026,Akron Zips,5,Megan Singer,Megan Singer,Megan,Singer,So,M,5.0,9.0,0.0,,,0.0,,1.0,,2.0,,,,1.0,,1.0
2026,Akron Zips,5,Julia Mattingly,Julia Mattingly,Julia,Mattingly,So,M,19.0,12.0,12.0,2.0,2.0,4.0,11.0,5.0,17.0,4.0,,,,1.0,39.0,1.0
2026,Akron Zips,5,Kaitlyn Sikorski,Kaitlyn Sikorski,Kaitlyn,Sikorski,Jr,ATT,10.0,12.0,12.0,13.0,15.0,28.0,25.0,21.0,28.0,5.0,2.0,1.0,,2.0,2.0,2.0
2026,Akron Zips,5,Kayla Murphy,Kayla Murphy,Kayla,Murphy,So,D,44.0,12.0,12.0,,,0.0,,14.0,4.0,7.0,,,,1.0,,12.0
2026,Akron Zips,5,Hannah McGuire,Hannah McGuire,Hannah,McGuire,So,M,15.0,7.0,0.0,1.0,,1.0,6.0,,,,2.0,1.0,,,,
2026,Akron Zips,5,Evelyn White,Evelyn White,Evelyn,White,Jr,D,20.0,12.0,7.0,,,0.0,,11.0,,9.0,,,,,,7.0
2026,Akron Zips,5,Sienna Hinchcliffe,Sienna Hinchcliffe,Sienna,Hinchcliffe,Jr,M,25.0,12.0,12.0,51.0,16.0,67.0,106.0,22.0,24.0,10.0,11.0,8.0,,2.0,38.0,5.0
2026,Akron Zips,5,Keira Fontaine,Keira Fontaine,Keira,Fontaine,So,ATT,33.0,2.0,0.0,,2.0,2.0,,,,,,,,,,
2026,Akron Zips,5,Olivia Martelon,Olivia Martelon,Olivia,Martelon,Fr,M,7.0,5.0,0.0,,,0.0,,1.0,,1.0,,,,1.0,,1.0
2026,Akron Zips,5,Molly Powell,Molly Powell,Molly,Powell,Fr,ATT,2.0,3.0,0.0,,,0.0,,,,,,,,,,
2026,Akron Zips,5,Kylie Voss,Kylie Voss,Kylie,Voss,Fr,D,3.0,3.0,0.0,,,0.0,,,,,,,,,,
2026,Akron Zips,5,Faith Sellet,Faith Sellet,Faith,Sellet,Fr,M,21.0,12.0,0.0,3.0,,3.0,14.0,3.0,5.0,4.0,,,,,,
2026,Akron Zips,5,Lily Barra,Lily Barra,Lily,Barra,Fr,GK,27.0,1.0,0.0,,,0.0,,,,,,,,,,
2026,Akron Zips,5,Savannah Hinchcliffe,Savannah Hinchcliffe,Savannah,Hinchcliffe,Fr,M,32.0,12.0,0.0,6.0,1.0,7.0,15.0,3.0,7.0,1.0,3.0,,,,2.0,1.0
2026,Akron Zips,5,Jayanna Ramsey-Williams,Jayanna Ramsey-Williams,Jayanna,Ramsey-Williams,So,D,35.0,5.0,0.0,,,0.0,,1.0,,,,,,,,
2026,Akron Zips,5,Skyler Cowles,Skyler Cowles,Skyler,Cowles,Fr,M,38.0,3.0,0.0,,,0.0,1.0,,,,,,,,,
2026,Akron Zips,5,Olivia Hagan,Olivia Hagan,Olivia,Hagan,Fr,D,31.0,2.0,0.0,,,0.0,,,,,,,,,,
2026,Akron Zips,5,Ava Sellet,Ava Sellet,Ava,Sellet,Fr,M,40.0,4.0,0.0,1.0,,1.0,1.0,,,,,,,,,
2026,Akron Zips,5,Kiran Cerwonka,Kiran Cerwonka,Kiran,Cerwonka,Fr,M,24.0,1.0,0.0,,,0.0,,,,,,,,,,
2026,American Eagles,23,Rayah Johnson,Rayah Johnson,Rayah,Johnson,So,M,14.0,11.0,11.0,,,0.0,,12.0,3.0,5.0,,,,1.0,,12.0
2026,American Eagles,23,Madison Barber,Madison Barber,Madison,Barber,So,ATT,10.0,2.0,0.0,,1.0,1.0,,,,,,,,,,
2026,American Eagles,23,Mia Zganjar,Mia Zganjar,Mia,Zganjar,Jr,ATT,36.0,2.0,0.0,,2.0,2.0,,1.0,1.0,,,,,,,
2026,American Eagles,23,Lily Arcand,Lily Arcand,Lily,Arcand,Sr,D,16.0,3.0,0.0,,,0.0,,2.0,1.0,1.0,,,,,,
2026,American Eagles,23,Lauren Appleby,Lauren Appleby,Lauren,Appleby,So,M,17.0,12.0,12.0,,,0.0,,3.0,2.0,1.0,,,,,22.0,
2026,American Eagles,23,Kristen Hegarty,Kristen Hegarty,Kristen,Hegarty,Sr,ATT,26.0,10.0,0.0,1.0,4.0,5.0,4.0,,5.0,,2.0,,,,,
2026,American Eagles,23,Kellie Linehan,Kellie Linehan,Kellie,Linehan,Sr,M,21.0,12.0,12.0,25.0,7.0,32.0,55.0,9.0,20.0,4.0,9.0,3.0,,1.0,34.0,1.0
2026,American Eagles,23,Jasmine Connor,Jasmine Connor,Jasmine,Connor,Jr,ATT,25.0,12.0,9.0,4.0,1.0,5.0,13.0,8.0,5.0,6.0,1.0,,,,,4.0
2026,American Eagles,23,Adria Kotzian,Adria Kotzian,Adria,Kotzian,Jr,ATT,1.0,12.0,11.0,6.0,14.0,20.0,12.0,6.0,16.0,2.0,1.0,,,,,1.0
2026,American Eagles,23,Rachel Kolton,Rachel Kolton,Rachel,Kolton,Sr,ATT,23.0,5.0,0.0,3.0,,3.0,6.0,1.0,1.0,,2.0,2.0,,,,
2026,American Eagles,23,Samantha Buonaccorsi,Samantha Buonaccorsi,Samantha,Buonaccorsi,Jr,D,28.0,11.0,11.0,,1.0,1.0,,20.0,4.0,23.0,,,,,,12.0
2026,American Eagles,23,Annabelle Jackson,Annabelle Jackson,Annabelle,Jackson,Sr,ATT,15.0,12.0,5.0,3.0,2.0,5.0,15.0,4.0,11.0,,3.0,2.0,,1.0,,1.0
2026,American Eagles,23,Maryanne Harris,Maryanne Harris,Maryanne,Harris,So,GK,34.0,6.0,0.0,,,0.0,,2.0,,,,,,,,
2026,American Eagles,23,Peyton Coleman,Peyton Coleman,Peyton,Coleman,So,ATT,27.0,10.0,0.0,1.0,1.0,2.0,12.0,1.0,2.0,1.0,2.0,,,,1.0,
2026,American Eagles,23,Nickie Prendergast,Nickie Prendergast,Nickie,Prendergast,Sr,M,18.0,12.0,5.0,,,0.0,,7.0,1.0,5.0,,,,2.0,10.0,1.0
2026,American Eagles,23,Izzy Masengarb,Izzy Masengarb,Izzy,Masengarb,So,D,39.0,12.0,12.0,,1.0,1.0,,15.0,3.0,26.0,,,,4.0,17.0,9.0
2026,American Eagles,23,Lauren Pramik,Lauren Pramik,Lauren,Pramik,So,D,33.0,12.0,10.0,,,0.0,,13.0,7.0,7.0,,,,,1.0,3.0
2026,American Eagles,23,Aine Powers,Aine Powers,Aine,Powers,So,M,6.0,12.0,0.0,2.0,,2.0,10.0,7.0,10.0,5.0,1.0,,,2.0,3.0,4.0
2026,American Eagles,23,Deirdre Brown,Deirdre Brown,Deirdre,Brown,Jr,D,9.0,12.0,12.0,,1.0,1.0,,10.0,4.0,15.0,,,,1.0,10.0,11.0
2026,American Eagles,23,Anastasia Byrnes,Anastasia Byrnes,Anastasia,Byrnes,So,M,19.0,12.0,1.0,7.0,4.0,11.0,11.0,7.0,9.0,1.0,3.0,2.0,,1.0,1.0,4.0
2026,American Eagles,23,Kate Bruechner,Kate Bruechner,Kate,Bruechner,Sr,DM,7.0,3.0,0.0,,,0.0,,,,1.0,,,,,,
2026,American Eagles,23,Elly Skeels,Elly Skeels,Elly,Skeels,Jr,M,4.0,5.0,0.0,,,0.0,,,1.0,,,,,,,
2026,American Eagles,23,Caroline McBride,Caroline McBride,Caroline,McBride,So,M,2.0,10.0,8.0,7.0,5.0,12.0,10.0,9.0,5.0,4.0,1.0,1.0,,,4.0,1.0
2026,American Eagles,23,Reagan Murdoch,Reagan Murdoch,Reagan,Murdoch,Sr,M,24.0,12.0,12.0,30.0,1.0,31.0,64.0,12.0,9.0,10.0,7.0,3.0,,,8.0,6.0
2026,American Eagles,23,Camryn Kowalewski,Camryn Kowalewski,Camryn,Kowalewski,Jr,ATT,12.0,7.0,0.0,,,0.0,1.0,,3.0,,1.0,,,,,
2026,American Eagles,23,Julia Pope,Julia Pope,Julia,Pope,Fr,M,11.0,11.0,0.0,5.0,7.0,12.0,21.0,2.0,13.0,2.0,3.0,,,1.0,1.0,
2026,American Eagles,23,Ella Daehnke,Ella Daehnke,Ella,Daehnke,Fr,D,3.0,7.0,0.0,,,0.0,,,1.0,2.0,,,,,,2.0
2026,American Eagles,23,Amanda Gelfound,Amanda Gelfound,Amanda,Gelfound,Fr,GK,29.0,1.0,0.0,,,0.0,,,,,,,,,,
2026,American Eagles,23,Celia Bacik,Celia Bacik,Celia,Bacik,Fr,ATT,13.0,4.0,0.0,1.0,,1.0,2.0,,1.0,1.0,,,,,,
2026,American Eagles,23,Brooke Hill,Brooke Hill,Brooke,Hill,So,GK,40.0,12.0,12.0,,,0.0,,13.0,4.0,3.0,,,,,,
2026,American Eagles,23,Norah Kelaher,Norah Kelaher,Norah,Kelaher,Fr,M,8.0,9.0,0.0,,1.0,1.0,3.0,3.0,5.0,2.0,1.0,,,,1.0,
2026,American Eagles,23,Shannon Silvius,Shannon Silvius,Shannon,Silvius,Fr,M,31.0,12.0,1.0,7.0,1.0,8.0,15.0,6.0,8.0,2.0,5.0,2.0,,,4.0,5.0
2026,Arizona St. Sun Devils,28,Regan Spichiger,Regan Spichiger,Regan,Spichiger,So,GK,15.0,13.0,11.0,,,0.0,,7.0,3.0,,,,,,,
2026,Arizona St. Sun Devils,28,Sierra Ryan,Sierra Ryan,Sierra,Ryan,So,D,26.0,13.0,13.0,,,0.0,1.0,14.0,4.0,8.0,,,,,,7.0
2026,Arizona St. Sun Devils,28,Teagan Ng,Teagan Ng,Teagan,Ng,Sr,ATT,77.0,13.0,13.0,44.0,5.0,49.0,84.0,14.0,18.0,8.0,18.0,10.0,,,,2.0
