season,team,team_id,full_name,roster_name,first_name,last_name,yr,pos,number,gp,gs,goals,assists,points,shots,ground_balls,turnovers,ct,freepos_shots,freepos_goals,rc,yc,draw_controls,fouls
2026,Arizona St. Sun Devils,28,Angelina Longo,Angelina Longo,Angelina,Longo,Sr,D,10.0,9.0,6.0,,,0.0,,2.0,,2.0,,,,1.0,1.0,5.0
2026,Arizona St. Sun Devils,28,Chase Tollefson,Chase Tollefson,Chase,Tollefson,So,ATT,28.0,1.0,0.0,,,0.0,,1.0,,,,,,,,
2026,Arizona St. Sun Devils,28,Anna Vigilone,Anna Vigilone,Anna,Vigilone,Jr,M,1.0,13.0,13.0,,,0.0,,6.0,6.0,4.0,,,,,168.0,13.0
2026,Arizona St. Sun Devils,28,Sara Flobeck,Sara Flobeck,Sara,Flobeck,Jr,GK,44.0,4.0,0.0,,,0.0,,1.0,,,,,,,,1.0
2026,Arizona St. Sun Devils,28,Izzi Hammond,Izzi Hammond,Izzi,Hammond,So,M,16.0,13.0,2.0,1.0,3.0,4.0,11.0,3.0,8.0,1.0,2.0,,,1.0,11.0,3.0
2026,Arizona St. Sun Devils,28,Claire Beucher,Claire Beucher,Claire,Beucher,Sr,M,23.0,13.0,10.0,5.0,3.0,8.0,15.0,6.0,9.0,1.0,2.0,1.0,,3.0,7.0,5.0
2026,Arizona St. Sun Devils,28,Addie Shevitz,Addie Shevitz,Addie,Shevitz,Jr,ATT,32.0,13.0,5.0,22.0,18.0,40.0,49.0,10.0,23.0,2.0,6.0,3.0,,,1.0,1.0
2026,Arizona St. Sun Devils,28,Kiera Biwer,Kiera Biwer,Kiera,Biwer,Jr,D,2.0,13.0,13.0,,,0.0,,6.0,3.0,4.0,,,,,,5.0
2026,Arizona St. Sun Devils,28,Kendal Morris,Kendal Morris,Kendal,Morris,So,M,19.0,13.0,10.0,9.0,4.0,13.0,21.0,4.0,9.0,3.0,6.0,2.0,,,11.0,2.0
2026,Arizona St. Sun Devils,28,Caroline Lyttle,Caroline Lyttle,Caroline,Lyttle,So,D,25.0,12.0,0.0,,,0.0,,9.0,5.0,6.0,,,,1.0,,12.0
2026,Arizona St. Sun Devils,28,Jordyn Behar,Jordyn Behar,Jordyn,Behar,Sr,ATT,12.0,13.0,13.0,20.0,41.0,61.0,46.0,14.0,23.0,3.0,11.0,5.0,,3.0,1.0,2.0
2026,Arizona St. Sun Devils,28,Teagan Lowery,Teagan Lowery,Teagan,Lowery,So,M,21.0,13.0,2.0,11.0,,11.0,18.0,9.0,7.0,2.0,2.0,1.0,,,6.0,1.0
2026,Arizona St. Sun Devils,28,Lydia Oldknow,Lydia Oldknow,Lydia,Oldknow,Sr,ATT,20.0,13.0,13.0,46.0,18.0,64.0,94.0,13.0,15.0,4.0,14.0,7.0,,,,
2026,Arizona St. Sun Devils,28,Keeley Cleland,Keeley Cleland,Keeley,Cleland,Sr,D,9.0,13.0,13.0,,,0.0,,22.0,2.0,11.0,,,,1.0,2.0,5.0
2026,Arizona St. Sun Devils,28,Alyssa Nichols,Alyssa Nichols,Alyssa,Nichols,So,M,24.0,13.0,3.0,3.0,3.0,6.0,7.0,5.0,4.0,2.0,4.0,3.0,,,8.0,2.0
2026,Arizona St. Sun Devils,28,Averie Cage,Averie Cage,Averie,Cage,Fr,D,3.0,10.0,1.0,,,0.0,1.0,3.0,,5.0,,,,,,1.0
2026,Arizona St. Sun Devils,28,Hannah Adamski,Hannah Adamski,Hannah,Adamski,Fr,M,27.0,4.0,0.0,,,0.0,2.0,,,,,,,,1.0,
2026,Arizona St. Sun Devils,28,Morgan Livingston,Morgan Livingston,Morgan,Livingston,Fr,ATT,11.0,4.0,0.0,2.0,,2.0,5.0,1.0,2.0,,1.0,,,,,
2026,Arizona St. Sun Devils,28,Vivian Stone,Vivian Stone,Vivian,Stone,Fr,M,18.0,4.0,0.0,,,0.0,,2.0,2.0,,,,,,1.0,
2026,Arizona St. Sun Devils,28,Ava Whitt,Ava Whitt,Ava,Whitt,Fr,ATT,14.0,11.0,0.0,8.0,2.0,10.0,26.0,3.0,8.0,,3.0,,,,,
2026,Arizona St. Sun Devils,28,Jenna Casole,Jenna Casole,Jenna,Casole,Sr,ATT,33.0,4.0,0.0,,3.0,3.0,,2.0,1.0,2.0,,,,,,
2026,Arizona St. Sun Devils,28,Kara Harris,Kara Harris,Kara,Harris,Fr,M,6.0,7.0,0.0,1.0,1.0,2.0,1.0,,,,,,,,,1.0
2026,Arizona St. Sun Devils,28,Helen Park,Helen Park,Helen,Park,Sr,D,4.0,13.0,13.0,,,0.0,,8.0,5.0,6.0,,,,,1.0,10.0
2026,Arizona St. Sun Devils,28,Gabriella Henry,Gabriella Henry,Gabriella,Henry,Fr,GK,0.0,6.0,2.0,,,0.0,,3.0,,1.0,,,,,,
2026,Arizona St. Sun Devils,28,Addy Westerberg,Addy Westerberg,Addy,Westerberg,Fr,M,22.0,11.0,0.0,9.0,1.0,10.0,17.0,4.0,4.0,2.0,1.0,1.0,,,1.0,
2026,Arizona St. Sun Devils,28,Sienna Whitington,Sienna Whitington,Sienna,Whitington,Fr,M,34.0,3.0,0.0,,,0.0,,,1.0,1.0,,,,,,
2026,Arizona St. Sun Devils,28,Kayli Carannante,Kayli Carannante,Kayli,Carannante,So,M,13.0,10.0,0.0,2.0,,2.0,5.0,2.0,3.0,,1.0,,,,2.0,1.0
2026,Army West Point Black Knights,725,Thais Jackson,Thais Jackson,Thais,Jackson,Fr,ATT,34.0,11.0,8.0,4.0,5.0,9.0,19.0,2.0,9.0,1.0,5.0,1.0,,,,
2026,Army West Point Black Knights,725,Emma Ciocon,Emma Ciocon,Emma,Ciocon,Fr,M,15.0,9.0,0.0,5.0,,5.0,7.0,,2.0,,2.0,1.0,,,,
2026,Army West Point Black Knights,725,Abigail Dold,Abigail Dold,Abigail,Dold,Fr,M,22.0,2.0,0.0,,,0.0,,1.0,,,,,,,,
2026,Army West Point Black Knights,725,Isabella Alberici,Isabella Alberici,Isabella,Alberici,Fr,ATT,7.0,2.0,0.0,,,0.0,,,1.0,,,,,,,
2026,Army West Point Black Knights,725,Maura Rigley,Maura Rigley,Maura,Rigley,Fr,M,44.0,8.0,8.0,,,0.0,,11.0,1.0,5.0,,,,1.0,,2.0
2026,Army West Point Black Knights,725,Rocky Phelps,Rocky Phelps,Rocky,Phelps,Fr,M,36.0,8.0,0.0,4.0,,4.0,7.0,1.0,4.0,1.0,,,,,1.0,
2026,Army West Point Black Knights,725,Lily Valentini,Lily Valentini,Lily,Valentini,Sr,ATT,33.0,12.0,12.0,30.0,8.0,38.0,61.0,12.0,24.0,4.0,7.0,4.0,,1.0,9.0,1.0
2026,Army West Point Black Knights,725,Sarah Chernik,Sarah Chernik,Sarah,Chernik,Sr,D,13.0,12.0,12.0,3.0,,3.0,3.0,16.0,4.0,14.0,,,,,47.0,12.0
2026,Army West Point Black Knights,725,Reilly Sullivan,Reilly Sullivan,Reilly,Sullivan,So,D,0.0,12.0,12.0,,,0.0,,3.0,3.0,8.0,,,,1.0,,12.0
2026,Army West Point Black Knights,725,Ryan Remaly,Ryan Remaly,Ryan,Remaly,Jr,M,6.0,12.0,12.0,17.0,2.0,19.0,31.0,12.0,8.0,4.0,7.0,4.0,,1.0,1.0,1.0
2026,Army West Point Black Knights,725,Lea Ciocon,Lea Ciocon,Lea,Ciocon,Jr,M,1.0,2.0,0.0,,,0.0,,1.0,,1.0,,,,,,
2026,Army West Point Black Knights,725,Ramsey Barrows,Ramsey Barrows,Ramsey,Barrows,Sr,ATT,18.0,1.0,0.0,,,0.0,2.0,,,,1.0,,,,,
2026,Army West Point Black Knights,725,Kate Gallagher,Kate Gallagher,Kate,Gallagher,So,M,14.0,12.0,10.0,1.0,3.0,4.0,4.0,15.0,8.0,14.0,1.0,,,,1.0,4.0
2026,Army West Point Black Knights,725,Amelia Reed,Amelia Reed,Amelia,Reed,So,D,27.0,2.0,0.0,,,0.0,,,,,,,,,,2.0
2026,Army West Point Black Knights,725,Brooke Stocku,Brooke Stocku,Brooke,Stocku,Sr,ATT,31.0,3.0,0.0,1.0,1.0,2.0,1.0,,3.0,,,,,,,
2026,Army West Point Black Knights,725,Emma Hendry,Emma Hendry,Emma,Hendry,So,ATT,16.0,4.0,0.0,,,0.0,1.0,,2.0,,,,,,,
2026,Army West Point Black Knights,725,Brigid Duffy,Brigid Duffy,Brigid,Duffy,Sr,M,21.0,12.0,12.0,49.0,20.0,69.0,108.0,39.0,28.0,32.0,13.0,8.0,,1.0,45.0,9.0
2026,Army West Point Black Knights,725,Paige Moretti,Paige Moretti,Paige,Moretti,So,M,3.0,10.0,1.0,5.0,1.0,6.0,12.0,4.0,6.0,,1.0,,,1.0,,3.0
2026,Army West Point Black Knights,725,Sarah Wood,Sarah Wood,Sarah,Wood,Jr,M,2.0,10.0,0.0,7.0,1.0,8.0,15.0,2.0,3.0,1.0,3.0,1.0,,,,
2026,Army West Point Black Knights,725,Emma Grace Hepler,Emma Grace Hepler,Emma Grace,Hepler,Sr,ATT,12.0,6.0,0.0,2.0,1.0,3.0,6.0,,2.0,1.0,,,,,,
2026,Army West Point Black Knights,725,Allison Reilly,Allison Reilly,Allison,Reilly,Sr,ATT,23.0,12.0,12.0,33.0,53.0,86.0,83.0,19.0,42.0,16.0,10.0,2.0,,1.0,30.0,9.0
2026,Army West Point Black Knights,725,Anderson Strange,Anderson Strange,Anderson,Strange,Jr,GK,8.0,2.0,0.0,,,0.0,,1.0,,,,,,,,
2026,Army West Point Black Knights,725,Ellie Nawa,Ellie Nawa,Ellie,Nawa,Jr,M,10.0,11.0,7.0,,,0.0,,,3.0,1.0,,,,,49.0,2.0
2026,Army West Point Black Knights,725,Meghan Pedrani,Meghan Pedrani,Meghan,Pedrani,Sr,D,30.0,12.0,12.0,,1.0,1.0,,16.0,3.0,13.0,,,,,2.0,10.0
2026,Army West Point Black Knights,725,Lindsey Serafine,Lindsey Serafine,Lindsey,Serafine,Sr,GK,20.0,12.0,12.0,,,0.0,,14.0,1.0,1.0,,,,,,
2026,Army West Point Black Knights,725,Jackie Braceland,Jackie Braceland,Jackie,Braceland,Jr,D,39.0,12.0,5.0,,,0.0,,2.0,2.0,3.0,,,,1.0,,6.0
2026,Army West Point Black Knights,725,Jordan Roessler,Jordan Roessler,Jordan,Roessler,So,M,24.0,3.0,0.0,,,0.0,2.0,1.0,,,1.0,,,,,
2026,Army West Point Black Knights,725,Geneva Milch Cesoni,Geneva Milch Cesoni,Geneva,Milch Cesoni,Jr,ATT,35.0,10.0,3.0,8.0,,8.0,16.0,4.0,7.0,2.0,2.0,2.0,,1.0,,
2026,Army West Point Black Knights,725,Emilee DeGrand,Emilee DeGrand,Emilee,DeGrand,So,ATT,25.0,3.0,0.0,,,0.0,1.0,,1.0,,,,,,,
2026,Army West Point Black Knights,725,Chloe Garrett,Chloe Garrett,Chloe,Garrett,Sr,ATT,4.0,12.0,6.0,17.0,12.0,29.0,27.0,9.0,13.0,3.0,6.0,2.0,,,,1.0
2026,Austin Peay Governors,43,Rae Schoultz,Rae Schoultz,Rae,Schoultz,Fr,ATT,34.0,1.0,0.0,,,0.0,,,,1.0,,,,,,
2026,Austin Peay Governors,43,Brooke Landry,Brooke Landry,Brooke,Landry,Fr,D,19.0,1.0,0.0,,,0.0,,,,,,,,,,1.0
2026,Austin Peay Governors,43,Fiona Lemke,Fiona Lemke,Fiona,Lemke,Fr,ATT,24.0,14.0,2.0,13.0,5.0,18.0,40.0,4.0,9.0,,3.0,3.0,,,1.0,
2026,Austin Peay Governors,43,Mak Patten,Mak Patten,Mak,Patten,Sr,ATT,1.0,12.0,10.0,9.0,17.0,26.0,19.0,9.0,17.0,,3.0,1.0,,,,3.0
2026,Austin Peay Governors,43,Lauryn Warfield,Lauryn Warfield,Lauryn,Warfield,Jr,M,12.0,12.0,12.0,31.0,4.0,35.0,69.0,13.0,18.0,9.0,7.0,4.0,,,107.0,5.0
2026,Austin Peay Governors,43,Alexis Block,Alexis Block,Alexis,Block,So,M,13.0,9.0,1.0,,2.0,2.0,1.0,1.0,3.0,,1.0,,,,,1.0
2026,Austin Peay Governors,43,Mia Eckerman,Mia Eckerman,Mia,Eckerman,Fr,D,22.0,8.0,0.0,,,0.0,,5.0,6.0,1.0,,,,,,3.0
2026,Austin Peay Governors,43,Katelyn Ferrara,Katelyn Ferrara,Katelyn,Ferrara,Fr,M,26.0,13.0,3.0,9.0,2.0,11.0,18.0,5.0,11.0,3.0,5.0,3.0,,2.0,13.0,6.0
2026,Austin Peay Governors,43,Scarlett Hazzard,Scarlett Hazzard,Scarlett,Hazzard,Fr,GK,23.0,5.0,1.0,,,0.0,,2.0,2.0,,,,,,,
2026,Austin Peay Governors,43,Samantha Houttekier,Samantha Houttekier,Samantha,Houttekier,Fr,ATT,14.0,14.0,7.0,19.0,12.0,31.0,38.0,11.0,27.0,4.0,12.0,4.0,,1.0,,4.0
2026,Austin Peay Governors,43,Riley Pace,Riley Pace,Riley,Pace,Fr,ATT,20.0,6.0,0.0,,,0.0,2.0,,,,,,,,,
2026,Austin Peay Governors,43,Erin-Kate Roeder,Erin-Kate Roeder,Erin-Kate,Roeder,So,GK,44.0,13.0,12.0,,,0.0,,26.0,8.0,3.0,,,,,,
2026,Austin Peay Governors,43,Drew Schmidt,Drew Schmidt,Drew,Schmidt,Fr,ATT,11.0,1.0,0.0,,,0.0,,,1.0,,,,,,,
2026,Austin Peay Governors,43,Sophia Schwab,Sophia Schwab,Sophia,Schwab,So,ATT,10.0,14.0,12.0,21.0,9.0,30.0,42.0,9.0,24.0,5.0,8.0,4.0,,,,2.0
2026,Austin Peay Governors,43,Nora Thurman,Nora Thurman,Nora,Thurman,Fr,ATT,17.0,13.0,1.0,1.0,2.0,3.0,6.0,5.0,11.0,3.0,1.0,,,,1.0,1.0
2026,Austin Peay Governors,43,Kearston Jackson,Kearston Jackson,Kearston,Jackson,So,M,6.0,14.0,8.0,10.0,3.0,13.0,28.0,4.0,10.0,2.0,1.0,,,,1.0,4.0
2026,Austin Peay Governors,43,Madison Klamo,Madison Klamo,Madison,Klamo,So,D,3.0,14.0,14.0,,,0.0,,23.0,9.0,7.0,,,,3.0,3.0,15.0
2026,Austin Peay Governors,43,Jillian Corl,Jillian Corl,Jillian,Corl,Fr,D,5.0,14.0,14.0,,,0.0,,10.0,15.0,9.0,,,,3.0,,7.0
2026,Austin Peay Governors,43,Adiah Stemmerich,Adiah Stemmerich,Adiah,Stemmerich,Fr,D,42.0,14.0,14.0,,,0.0,,10.0,9.0,3.0,,,,,,5.0
2026,Austin Peay Governors,43,Morgan Lantz,Morgan Lantz,Morgan,Lantz,So,M,25.0,13.0,4.0,2.0,,2.0,7.0,8.0,11.0,7.0,,,,,10.0,6.0
2026,Austin Peay Governors,43,Elyse Faler,Elyse Faler,Elyse,Faler,Fr,D,21.0,14.0,14.0,,,0.0,,16.0,6.0,7.0,,,,3.0,,25.0
2026,Austin Peay Governors,43,Emily Jannetty,Emily Jannetty,Emily,Jannetty,So,ATT,15.0,9.0,3.0,,,0.0,3.0,2.0,5.0,1.0,,,,,,
2026,Austin Peay Governors,43,Sahana Krishjanthan,Sahana Krishjanthan,Sahana,Krishjanthan,Fr,GK,18.0,1.0,0.0,,,0.0,,2.0,,,,,,,,
2026,Austin Peay Governors,43,Julia Stanley,Julia Stanley,Julia,Stanley,So,M,4.0,12.0,8.0,2.0,2.0,4.0,6.0,14.0,8.0,15.0,1.0,,,3.0,3.0,9.0
