season,team,team_id,jersey,full_name,roster_name,first_name,last_name,yr,pos,gp,gs,goals,assists,points,shots,sog,ct,ncaa_id,fouls,ground_balls,draw_controls
2019,American,23,16.0,Emma Vinall,Emma Vinall,Emma,Vinall,So,ATT,17.0,17.0,51.0,14.0,65.0,96.0,76.0,10.0,5808141,8.0,22.0,24.0
2019,American,23,23.0,Sydney Fry,Sydney Fry,Sydney,Fry,Sr,D,17.0,17.0,,,0.0,,,11.0,5804252,18.0,32.0,1.0
2019,American,23,8.0,Sarah Boney,Sarah Boney,Sarah,Boney,So,M,10.0,,,,0.0,1.0,1.0,2.0,5807026,1.0,1.0,1.0
2019,American,23,19.0,Peyton Smith,Peyton Smith,Peyton,Smith,So,ATT,17.0,8.0,6.0,14.0,20.0,19.0,14.0,3.0,5807183,5.0,12.0,2.0
2019,American,23,3.0,Casey Harkins,Casey Harkins,Casey,Harkins,Jr,M,17.0,10.0,18.0,21.0,39.0,52.0,37.0,3.0,5812827,5.0,14.0,
2019,American,23,5.0,Erica Skowron,Erica Skowron,Erica,Skowron,Jr,ATT,2.0,2.0,,2.0,2.0,4.0,4.0,2.0,5807271,1.0,2.0,
2019,American,23,29.0,Katie Wood,Katie Wood,Katie,Wood,Jr,D,17.0,17.0,,,0.0,,,11.0,5807298,18.0,21.0,
2019,American,23,14.0,Izabella Jade,Izabella Jade,Izabella,Jade,Jr,ATT,16.0,9.0,14.0,5.0,19.0,46.0,31.0,1.0,5808691,3.0,4.0,1.0
2019,American,23,18.0,Kendall Goldblum,Kendall Goldblum,Kendall,Goldblum,So,M,16.0,16.0,38.0,9.0,47.0,93.0,72.0,16.0,5803188,26.0,28.0,57.0
2019,American,23,6.0,Casey Aguilar-Gervase,Casey Aguilar-Gervase,Casey,Aguilar-Gervase,Sr,D,17.0,17.0,,,0.0,,,12.0,5807536,25.0,25.0,1.0
2019,American,23,31.0,Amanda Medjid,Amanda Medjid,Amanda,Medjid,Jr,M,17.0,17.0,20.0,3.0,23.0,53.0,41.0,11.0,5806317,21.0,27.0,35.0
2019,American,23,22.0,Cate Golden,Cate Golden,Cate,Golden,So,D,17.0,17.0,,,0.0,,,18.0,5807920,20.0,19.0,1.0
2019,American,23,24.0,Brooke Stapleton,Brooke Stapleton,Brooke,Stapleton,Sr,M,17.0,12.0,5.0,1.0,6.0,19.0,13.0,6.0,5810684,18.0,12.0,3.0
2019,American,23,17.0,Fiona Geier,Fiona Geier,Fiona,Geier,Sr,GK,17.0,17.0,,,0.0,,,3.0,5803799,,38.0,
2019,American,23,28.0,Morgan Schaen,Morgan Schaen,Morgan,Schaen,Fr,M,2.0,,,,0.0,1.0,,,6086817,,,
2019,American,23,2.0,Haley Harkins,Haley Harkins,Haley,Harkins,Fr,M,2.0,,1.0,,1.0,1.0,1.0,,6086854,,,4.0
