season,team,team_id,jersey,full_name,roster_name,first_name,last_name,yr,pos,gp,gs,goals,assists,points,shots,sog,ct,ncaa_id,fouls,ground_balls,turnovers,freepos_shots,freepos_goals,draw_controls
2023,Akron,5,5.0,Anjali Silverheels,Anjali Silverheels,Anjali,Silverheels,Jr,ATT,17.0,10.0,5.0,2.0,7.0,15.0,13.0,2.0,7775599,1.0,11.0,18.0,,,1.0
2023,Akron,5,30.0,Abby Schaefer,Abby Schaefer,Abby,Schaefer,Sr,ATT,5.0,3.0,4.0,,4.0,8.0,6.0,,7775600,4.0,1.0,2.0,1.0,,
2023,Akron,5,12.0,Mackenzie Kirwan,Mackenzie Kirwan,Mackenzie,Kirwan,Jr,M,10.0,5.0,1.0,2.0,3.0,1.0,1.0,5.0,7775602,2.0,11.0,7.0,,,
2023,Akron,5,1.0,Kaija Kunttu,Kaija Kunttu,Kaija,Kunttu,Sr,M,16.0,14.0,10.0,3.0,13.0,24.0,16.0,9.0,7775603,6.0,16.0,22.0,5.0,2.0,19.0
2023,Akron,5,10.0,Alexis Kiefer,Alexis Kiefer,Alexis,Kiefer,Sr,M,17.0,17.0,32.0,5.0,37.0,85.0,65.0,24.0,7775607,6.0,34.0,22.0,24.0,13.0,75.0
2023,Akron,5,19.0,Sarah Rech,Sarah Rech,Sarah,Rech,Sr,D,17.0,11.0,1.0,,1.0,1.0,1.0,5.0,7775608,12.0,14.0,12.0,,,1.0
2023,Akron,5,23.0,Alexi Hardy,Alexi Hardy,Alexi,Hardy,Jr,D,16.0,11.0,1.0,,1.0,1.0,1.0,7.0,7775612,4.0,9.0,9.0,,,
2023,Akron,5,13.0,Lillian Bowling,Lillian Bowling,Lillian,Bowling,Jr,M,3.0,0.0,1.0,,1.0,2.0,2.0,,7775613,,,1.0,2.0,1.0,
2023,Akron,5,9.0,Madison Doletzky,Madison Doletzky,Madison,Doletzky,Sr,ATT,4.0,1.0,1.0,,1.0,1.0,1.0,,7775614,,,5.0,1.0,1.0,
2023,Akron,5,17.0,Jacqueline Glassey,Jacqueline Glassey,Jacqueline,Glassey,Jr,ATT,14.0,8.0,6.0,2.0,8.0,16.0,11.0,4.0,7775615,2.0,4.0,12.0,4.0,2.0,
