date,team,opponent,home_away,result,home_score,visitor_score,overtime,fouls,goals,assists,points,shots,sog,ground_balls,ct,draw_controls,defensive_fouls,defensive_goals,defensive_assists,defensive_points,defensive_shots,defensive_sog,defensive_ground_balls,defensive_ct,defensive_draw_controls,team_id
2018-02-17,American,Richmond,Home,,6,13,,10.0,6.0,3.0,9.0,23,17,25,11.0,5,21.0,13.0,6.0,19.0,33,27,22,10.0,15,23
2018-02-23,American,Central Mich.,Home,,10,12,,15.0,10.0,3.0,13.0,23,16,21,10.0,13,11.0,12.0,4.0,16.0,33,26,27,5.0,11,23
2018-02-25,American,Detroit Mercy,Home,,8,16,,21.0,8.0,1.0,9.0,24,16,16,8.0,18,18.0,16.0,10.0,26.0,38,29,26,11.0,8,23
2018-02-28,American,Howard,Home,,19,8,,9.0,19.0,11.0,30.0,39,32,20,8.0,16,15.0,8.0,2.0,10.0,15,12,12,3.0,12,23
2018-03-03,American,UMBC,Away,,12,14,,20.0,12.0,5.0,17.0,20,16,36,13.0,9,31.0,14.0,3.0,17.0,31,24,27,13.0,19,23
2018-03-06,American,Old Dominion,Home,,17,12,,17.0,17.0,6.0,23.0,29,25,16,4.0,16,21.0,12.0,4.0,16.0,31,23,14,11.0,13,23
2018-03-09,American,Gardner-Webb,Home,,12,10,,18.0,12.0,7.0,19.0,44,29,19,11.0,18,23.0,10.0,4.0,14.0,20,15,18,9.0,6,23
2018-03-14,American,George Washington,Home,,11,14,,18.0,11.0,4.0,15.0,28,21,14,6.0,13,20.0,14.0,5.0,19.0,28,22,21,7.0,14,23
2018-03-18,American,Bucknell,Home,,9,15,,21.0,9.0,3.0,12.0,23,19,17,5.0,13,23.0,15.0,9.0,24.0,35,25,20,7.0,13,23
2018-03-24,American,Army West Point,Away,,8,17,,31.0,8.0,1.0,9.0,25,16,13,3.0,8,31.0,17.0,6.0,23.0,42,27,18,8.0,19,23
2018-03-28,American,Loyola Maryland,Away,,3,22,,16.0,3.0,1.0,4.0,14,12,15,4.0,5,14.0,22.0,17.0,39.0,41,32,22,11.0,21,23
2018-04-07,American,Boston U.,Home,,7,19,,6.0,7.0,2.0,9.0,20,15,13,7.0,7,15.0,19.0,15.0,34.0,37,31,10,6.0,20,23
2018-04-14,American,Colgate,Away,,10,20,,18.0,10.0,5.0,15.0,22,18,16,6.0,11,14.0,20.0,8.0,28.0,43,27,23,6.0,20,23
2018-04-18,American,Navy,Home,,5,24,,11.0,5.0,1.0,6.0,15,11,7,4.0,7,8.0,24.0,12.0,36.0,37,32,16,7.0,24,23
2018-04-21,American,Holy Cross,Away,,10,12,,16.0,10.0,2.0,12.0,21,16,19,6.0,6,19.0,12.0,5.0,17.0,47,32,31,16.0,18,23
2018-04-25,American,Lafayette,Home,,12,13,,17.0,12.0,5.0,17.0,35,24,21,9.0,13,7.0,13.0,4.0,17.0,30,24,18,6.0,13,23
2018-04-28,American,Lehigh,Home,,9,13,,8.0,9.0,5.0,14.0,18,14,12,7.0,12,3.0,13.0,7.0,20.0,39,25,20,4.0,12,23
2018-02-09,Arizona St.,Kennesaw St.,Away,,14,6,,44.0,14.0,3.0,17.0,39,25,36,12.0,9,33.0,6.0,1.0,7.0,22,16,20,5.0,12,28
2018-02-11,Arizona St.,Stetson,Away,,15,13,,38.0,15.0,7.0,22.0,42,31,31,11.0,16,19.0,13.0,8.0,21.0,31,25,24,10.0,14,28
2018-02-17,Arizona St.,San Diego St.,Away,,13,14,,29.0,13.0,3.0,16.0,30,22,14,6.0,8,33.0,14.0,4.0,18.0,36,21,11,3.0,21,28
2018-02-24,Arizona St.,Manhattan,Away,,18,8,,29.0,18.0,11.0,29.0,29,22,18,12.0,17,16.0,8.0,5.0,13.0,24,17,18,12.0,11,28
2018-02-26,Arizona St.,Columbia,Away,,15,12,,30.0,15.0,6.0,21.0,37,24,22,13.0,14,31.0,12.0,7.0,19.0,24,20,17,9.0,15,28
2018-03-03,Arizona St.,Presbyterian,Home,,23,5,,20.0,23.0,11.0,34.0,45,30,17,10.0,20,16.0,5.0,1.0,6.0,11,10,3,,8,28
2018-03-10,Arizona St.,Southern California,Away,,3,14,,27.0,3.0,2.0,5.0,17,11,16,6.0,10,18.0,14.0,4.0,18.0,31,24,21,14.0,9,28
2018-03-16,Arizona St.,Oregon,Home,,6,14,,20.0,6.0,2.0,8.0,26,17,16,5.0,11,9.0,14.0,7.0,21.0,33,26,11,5.0,11,28
2018-03-18,Arizona St.,Colorado,Home,,2,18,,17.0,2.0,2.0,4.0,14,11,14,7.0,10,7.0,18.0,7.0,25.0,41,35,24,9.0,12,28
2018-03-20,Arizona St.,Liberty,Home,,5,15,,26.0,5.0,1.0,6.0,15,12,21,8.0,10,20.0,15.0,9.0,24.0,42,29,35,16.0,12,28
2018-03-23,Arizona St.,Stanford,Away,,7,17,,13.0,7.0,2.0,9.0,21,17,14,2.0,9,7.0,17.0,6.0,23.0,39,27,26,6.0,17,28
