date,team,opponent,home_away,result,home_score,visitor_score,overtime,g,goals,assists,points,shots,sog,man_up_g,man_down_g,gb,to,ct,fo_won,f_os_taken,pen,pen_time,g_min,goals_allowed,saves,w,l,t,rc,yc,clears,att.x,clear_pct.x,otg.x,defensive_g,defensive_goals,defensive_assists,defensive_points,defensive_shots,defensive_sog,defensive_man_up_g,defensive_man_down_g,defensive_gb,defensive_to,defensive_ct,defensive_fo_won,defensive_f_os_taken,defensive_pen,defensive_pen_time,defensive_g_min,defensive_goals_allowed,defensive_saves,defensive_w,defensive_l,defensive_t,defensive_rc,defensive_yc,defensive_clears,att.y,clear_pct.y,otg.y,na.x,na_2.x,na_3.x,na_4.x,na_5.x,na_6.x,na.y,na_2.y,na_3.y,na_4.y,na_5.y,na_6.y
2021-01-30,Bellarmine Knights,Mercer,Away,FALSE,9,7,NA,1,9,3,12,29,15,0,0,20,22,17,1,19,4,210,60:00,7,10,0,0,0,0,0,23,26,0.885,NA,1,7,4,11,31,17,0,0,40,31,14,18,19,2,90,60:00,9,6,0,0,0,0,0,18,21,0.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-06,Bellarmine Knights,Utah,Home,FALSE,7,12,NA,1,7,6,13,31,16,3,0,21,12,10,7,22,4,180,60:00,12,10,0,0,0,0,0,16,19,0.842,NA,1,12,7,19,31,22,2,0,27,16,6,15,22,7,330,60:00,7,9,0,0,0,0,0,22,25,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-10,Bellarmine Knights,Jacksonville,Away,FALSE,8,19,NA,1,8,6,14,22,12,1,1,20,17,8,3,31,5,240,60:00,19,9,0,0,0,0,0,12,15,0.8,NA,1,19,17,36,46,28,3,0,42,15,11,28,31,1,60,60:00,8,4,0,0,0,0,0,11,12,0.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-28,Bellarmine Knights,Delaware,Away,FALSE,11,14,NA,1,11,2,13,27,20,0,0,31,21,13,8,29,5,150,60:00,14,9,0,0,0,0,0,25,28,0.893,NA,1,14,8,22,42,23,0,0,44,23,10,21,29,1,30,60:00,11,9,0,0,0,0,0,14,17,0.824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-02,Bellarmine Knights,Robert Morris,Away,FALSE,8,17,NA,1,8,6,14,43,22,2,0,29,15,5,12,28,6,300,60:00,17,12,0,0,0,0,0,15,18,0.833,NA,1,17,14,31,39,29,2,0,41,14,6,16,28,5,240,60:00,8,14,0,0,0,0,0,20,21,0.952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-06,Bellarmine Knights,Notre Dame,Away,FALSE,6,12,NA,1,6,3,9,20,14,2,0,13,18,7,4,21,3,150,60:00,12,15,0,0,0,0,0,19,23,0.826,NA,1,12,9,21,41,27,2,0,37,17,8,17,21,5,240,60:00,6,8,0,0,0,0,0,16,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-09,Bellarmine Knights,VMI,Home,FALSE,12,8,NA,1,12,6,18,36,27,1,0,37,21,11,15,23,2,90,60:00,8,13,0,0,0,0,0,20,24,0.833,NA,1,8,4,12,31,21,1,0,27,22,11,8,23,4,150,60:00,12,15,0,0,0,0,0,15,18,0.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-13,Bellarmine Knights,Cleveland St.,Home,FALSE,1,8,NA,1,1,1,2,39,18,0,0,22,14,6,4,12,6,300,60:00,8,16,0,0,0,0,0,19,26,0.731,NA,1,8,7,15,30,24,1,0,16,13,6,8,12,3,150,60:00,1,17,0,0,0,0,0,21,22,0.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-20,Bellarmine Knights,Richmond,Home,FALSE,5,17,NA,1,5,2,7,36,17,0,0,17,17,9,10,26,2,90,60:00,17,12,0,0,0,0,0,17,18,0.944,NA,1,17,15,32,39,29,2,0,23,15,9,16,26,2,120,60:00,5,12,0,0,0,0,0,17,20,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-27,Bellarmine Knights,Air Force,Home,FALSE,6,8,NA,1,6,4,10,30,22,1,0,17,11,9,6,18,1,60,60:00,8,9,0,0,0,0,0,19,25,0.76,NA,1,8,7,15,34,17,0,0,22,18,7,12,18,2,120,60:00,6,16,0,0,0,0,0,17,20,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-04-03,Bellarmine Knights,High Point,Away,FALSE,5,13,NA,1,5,5,10,33,17,1,0,20,11,6,3,20,5,180,60:00,13,4,0,0,0,0,0,17,20,0.85,NA,1,13,12,25,33,17,4,0,36,21,5,17,20,2,120,60:00,5,12,0,0,0,0,0,17,20,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
