season,team,jersey,full_name,roster_name,first_name,last_name,yr,pos,gp,gs,games,goals,assists,points,sh_att,so_g,fouls,red_cards,yellow_cards,gc,goal_app,ggs,goalie_min_plyd,ga,gaa,saves,sv_pct,combined_sho,shutouts,g_wins,g_loss,d_saves,corners,pk,pk_att,gwg
2021,Alabama St. Lady Hornets,4,Madison Tyler,"Tyler, Madison",Madison,Tyler,Fr,D,16,5,NA,NA,0,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alabama St. Lady Hornets,1,Sheila Sanchez,"Sanchez, Sheila",Sheila,Sanchez,Jr,GK,15,15,NA,NA,0,NA,1,NA,NA,NA,4,4,1412:13,20,1.275,90,0.818,NA,4,6,7,NA,NA,NA,NA,NA,NA,NA
2021,Alabama St. Lady Hornets,20,Janae Brown,"Brown, Janae",Janae,Brown,Sr,M,10,3,1,NA,2,9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2021,Alabama St. Lady Hornets,11,Zariya Holt,"Holt, Zariya",Zariya,Holt,Fr,F,10,0,1,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alabama St. Lady Hornets,16,Lauryn Evans,"Evans, Lauryn",Lauryn,Evans,Fr,F,9,0,NA,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alabama St. Lady Hornets,21,Jordan Pierce,"Pierce, Jordan",Jordan,Pierce,Fr,D,7,0,1,NA,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alabama St. Lady Hornets,18,Zelia Griffith,"Griffith, Zelia",Zelia,Griffith,So,D,6,3,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alabama St. Lady Hornets,17,Mary Martin Mooneyham,"Martin Mooneyham, Mary",Mary,Martin Mooneyham,Sr,D,5,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alabama St. Lady Hornets,7,Madison Chambers,"Chambers, Madison",Madison,Chambers,Fr,F,4,2,NA,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alabama St. Lady Hornets,00,Lauriane Castonguay,"Castonguay, Lauriane",Lauriane,Castonguay,Jr,GK,4,4,NA,NA,0,NA,NA,NA,NA,NA,NA,2,2,NA,9,2.132,26,0.743,NA,1,2,3,NA,NA,NA,NA,NA,NA
2021,UAlbany Great Danes,6,Marisa Tava,"Tava, Marisa",Marisa,Tava,Jr,M,18,18,NA,3,3,37,14,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,UAlbany Great Danes,12,Iola Cotter,"Cotter, Iola",Iola,Cotter,So,M,18,15,NA,NA,0,8,18,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,UAlbany Great Danes,11,Natasha Fowler-Varon,"Fowler-Varon, Natasha",Natasha,Fowler-Varon,Jr,M,18,18,1,1,3,12,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,UAlbany Great Danes,29,Jada Colbert,"Colbert, Jada",Jada,Colbert,Sr,M,18,18,3,1,7,67,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2021,UAlbany Great Danes,31,Margot Nezaj,"Nezaj, Margot",Margot,Nezaj,So,D,17,16,NA,NA,0,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,UAlbany Great Danes,27,Jasmine Colbert,"Colbert, Jasmine",Jasmine,Colbert,Sr,F,16,16,9,1,19,77,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA
2021,UAlbany Great Danes,15,Olivia Piraino,"Piraino, Olivia",Olivia,Piraino,So,M,16,15,3,1,7,33,41,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2021,UAlbany Great Danes,14,Devon Schmitt,"Schmitt, Devon",Devon,Schmitt,So,D,16,14,1,2,4,10,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,UAlbany Great Danes,10,Sophia Eifler,"Eifler, Sophia",Sophia,Eifler,Sr,M,15,11,1,1,3,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,UAlbany Great Danes,9,Tiffany Bernot,"Bernot, Tiffany",Tiffany,Bernot,Jr,M,14,2,NA,NA,0,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,UAlbany Great Danes,24,Amelia Smith,"Smith, Amelia",Amelia,Smith,Fr,D,13,8,NA,NA,0,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,UAlbany Great Danes,23,Charlotte Takacsy,"Takacsy, Charlotte",Charlotte,Takacsy,So,D,13,12,NA,NA,0,3,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,UAlbany Great Danes,00,Cassandra Coster,"Coster, Cassandra",Cassandra,Coster,Fr,GK,12,12,NA,NA,0,NA,NA,NA,NA,NA,1,1,1148:18,11,0.862,65,0.855,NA,5,5,4,NA,NA,NA,NA,NA,NA,NA
2021,UAlbany Great Danes,20,Sahara Zingano,"Zingano, Sahara",Sahara,Zingano,Jr,F,10,0,NA,NA,0,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,UAlbany Great Danes,4,Joanna Van Royen,"Van Royen, Joanna",Joanna,Van Royen,Fr,D,10,8,NA,NA,0,3,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,UAlbany Great Danes,26,Brooke Pickett,"Pickett, Brooke",Brooke,Pickett,So,F,8,1,1,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,UAlbany Great Danes,2,Hailey Summers,"Summers, Hailey",Hailey,Summers,Sr,D,7,7,NA,NA,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,UAlbany Great Danes,25,Shannon Litchfield,"Litchfield, Shannon",Shannon,Litchfield,Fr,F,7,0,1,NA,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,UAlbany Great Danes,0,Sophia Chen,"Chen, Sophia",Sophia,Chen,Sr,GK,6,6,NA,NA,0,NA,NA,NA,NA,NA,2,2,560:00,13,2.089,29,0.69,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA
2021,UAlbany Great Danes,21,Chloe Argenziano,"Argenziano, Chloe",Chloe,Argenziano,Sr,M,5,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,UAlbany Great Danes,8,Christina Cernuto,"Cernuto, Christina",Christina,Cernuto,Sr,F,5,0,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alcorn Lady Braves,36,Charlie Bal,"Bal, Charlie",Charlie,Bal,Fr,F,16,12,2,NA,4,21,12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alcorn Lady Braves,19,Natacia Ruiz,"Ruiz, Natacia",Natacia,Ruiz,N/A,RIGHTWINGER,16,14,NA,NA,0,3,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alcorn Lady Braves,21,Caitlyn Dungee,"Dungee, Caitlyn",Caitlyn,Dungee,Sr,D,16,16,NA,NA,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alcorn Lady Braves,9,Rosalina Santoro,"Santoro, Rosalina",Rosalina,Santoro,So,F,16,4,1,1,3,18,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alcorn Lady Braves,15,Lauren Hill,"Hill, Lauren",Lauren,Hill,So,D,15,6,NA,NA,0,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alcorn Lady Braves,12,D'Ana Prieto,"Prieto, D'Ana",D'Ana,Prieto,Sr,M,15,13,2,1,5,17,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2021,Alcorn Lady Braves,16,Emily Serrato,"Serrato, Emily",Emily,Serrato,So,F,15,11,2,NA,4,12,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alcorn Lady Braves,7,Ceven Kidd,"Kidd, Ceven",Ceven,Kidd,So,F,15,11,NA,NA,0,3,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alcorn Lady Braves,4,Vivian Lugo,"Lugo, Vivian",Vivian,Lugo,So,GK,14,13,NA,NA,0,NA,NA,NA,NA,NA,8,7,1199:01,54,4.053,99,0.647,NA,1,1,11,NA,NA,NA,NA,NA,NA,NA
2021,Alcorn Lady Braves,22,Mikayla Duncan,"Duncan, Mikayla",Mikayla,Duncan,Fr,M,14,10,1,NA,2,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alcorn Lady Braves,8,Audrey Williams,"Williams, Audrey",Audrey,Williams,Fr,M,14,13,NA,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alcorn Lady Braves,2,Emma Arroyo,"Arroyo, Emma",Emma,Arroyo,Fr,F,13,4,NA,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alcorn Lady Braves,27,Yaisa Reyes,"Reyes, Yaisa",Yaisa,Reyes,Fr,D,12,1,NA,NA,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alcorn Lady Braves,6,Shalisha King,"King, Shalisha",Shalisha,King,Sr,D,11,6,NA,NA,0,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alcorn Lady Braves,17,Jada Ward,"Ward, Jada",Jada,Ward,Jr,M,11,9,1,NA,2,6,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
2021,Alcorn Lady Braves,10,Paula Sole,"Sole, Paula",Paula,Sole,Sr,F,10,10,NA,NA,0,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alcorn Lady Braves,11,Kiarra Colson,"Colson, Kiarra",Kiarra,Colson,Jr,M,10,3,NA,NA,0,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alcorn Lady Braves,13,Aliyah Taylor,"Taylor, Aliyah",Aliyah,Taylor,Fr,F,9,1,NA,NA,0,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alcorn Lady Braves,18,Anouchka Berthelot,"Berthelot, Anouchka",Anouchka,Berthelot,Sr,M,8,7,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alcorn Lady Braves,10,Paula Cabeza,"Cabeza, Paula",Paula,Cabeza,Sr,M,6,6,NA,1,1,8,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alcorn Lady Braves,1,Mikayla Shaughnessy,"Shaughnessy, Mikayla",Mikayla,Shaughnessy,Jr,GK,5,4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,350:34,34,8.729,17,0.333,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA
2021,Alcorn Lady Braves,3,Mariah Beckom,"Beckom, Mariah",Mariah,Beckom,Sr,F,4,2,NA,NA,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alcorn Lady Braves,8,Sarah-Joy Romain,"Romain, Sarah-Joy",Sarah-Joy,Romain,Sr,D,3,3,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alcorn Lady Braves,22,Tylesha Boykin,"Boykin, Tylesha",Tylesha,Boykin,So,D,2,1,NA,NA,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alcorn Lady Braves,27,Navani Davis,"Davis, Navani",Navani,Davis,So,D,2,0,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
