Date,Team,Opponent,Home / Away,Result,Home Score,Visitor Score,Overtime,Home Goals,Home Assists,Home Points,Home Shots,Home Shots on Goal,Home Ground Balls,Home Turnovers,Home Caused Turnovers,Home Faceoffs Won,Home Faceoffs Taken,Away Goals,Away Assists,Away Points,Away Shots,Away Shots on Goal,Away Groundball's,Away  Turnovers,Away  Caused Turnovers,Away  Faceoffs Won,Away  Faceoffs Taken,Home Goals Allowed,Home Saves,Away Goals Allowed,Away Saves
2024-02-03,Air Force,Marquette,Home,W,6,12,NA,6,6,12,36,18,31,16,13,6,22,12,5,17,40,23,28,16,8,16,22,12,11,6,12
2024-02-10,Air Force,Denver,Away,L,9,11,NA,9,5,14,33,23,32,21,18,7,24,11,7,18,31,21,35,28,14,17,24,11,10,9,14
2024-02-17,Air Force,Ohio St.,Home,W,4,12,NA,4,4,8,26,13,17,16,8,8,20,12,4,16,36,19,29,17,10,12,20,12,7,4,9
2024-02-24,Air Force,Stony Brook,Home,W,12,11,1,12,6,18,38,24,33,15,6,16,26,11,9,20,43,26,20,12,4,10,26,11,15,12,12
2024-03-03,Air Force,Saint Joseph's,Away,W,11,15,NA,11,7,18,34,24,31,18,7,12,29,15,9,24,35,25,28,18,7,17,29,15,10,11,13
2024-03-16,Air Force,Queens (NC),Home,W,14,10,NA,14,11,25,42,24,34,15,8,17,27,10,6,16,27,16,24,16,8,10,27,10,6,14,10
2024-03-20,Air Force,Utah,Away,L,12,11,NA,12,7,19,32,22,26,19,6,11,26,11,10,21,45,24,40,19,5,15,26,11,13,12,10
2024-03-23,Air Force,Lindenwood,Away,W,15,3,NA,15,9,24,42,24,37,15,6,10,22,3,2,5,21,13,24,16,5,12,22,3,10,15,9
2024-03-31,Air Force,Cleveland St.,Home,L,12,9,NA,12,9,21,41,26,34,12,10,8,22,9,5,14,28,19,25,17,6,14,22,9,10,12,14
2024-04-06,Air Force,Bellarmine,Home,L,11,7,NA,11,5,16,48,25,32,10,9,13,21,7,5,12,24,14,27,18,6,8,21,7,7,11,14
2024-04-13,Air Force,Detroit Mercy,Away,W,14,3,NA,14,9,23,44,26,31,16,7,14,20,3,2,5,30,17,24,15,5,6,20,3,14,14,12
2024-04-17,Air Force,Mercer,Home,L,20,5,NA,20,12,32,55,32,42,17,14,14,29,5,2,7,16,8,29,32,6,15,29,5,3,20,12
2024-04-20,Air Force,Jacksonville,Home,W,9,10,1,9,4,13,44,19,28,15,6,13,22,10,7,17,43,29,27,10,9,9,22,10,19,9,10
2024-04-27,Air Force,Robert Morris,Away,L,14,11,NA,14,8,22,38,24,35,18,6,16,29,11,6,17,45,24,34,15,11,13,29,11,13,14,10
2024-05-03,Air Force,"Jacksonville USAF Academy, Colo.",Away,W,10,15,NA,10,5,15,37,22,28,14,7,11,29,15,11,26,43,26,32,14,7,18,29,15,11,10,12
2024-02-10,Army West Point,"Massachusetts Atlanta, GA",Away,L,13,12,NA,13,7,20,42,29,37,16,2,21,29,12,5,17,40,21,19,12,6,8,29,12,9,13,16
2024-02-17,Army West Point,Rutgers,Away,W,16,7,NA,16,9,25,42,30,36,15,7,17,27,7,2,9,28,15,23,17,5,10,27,7,8,16,14
2024-02-24,Army West Point,Mercer,Home,L,15,7,NA,15,7,22,43,31,37,15,5,12,25,7,3,10,38,19,26,22,2,13,25,7,12,15,16
2024-02-28,Army West Point,Syracuse,Away,L,14,13,1,14,6,20,47,25,31,15,6,16,31,13,5,18,51,24,30,13,5,15,31,13,11,14,11
2024-03-03,Army West Point,Lafayette,Away,L,16,11,NA,16,11,27,43,31,40,10,7,18,31,11,0,11,44,21,28,16,5,13,31,11,10,16,15
2024-03-09,Army West Point,Holy Cross,Home,L,18,8,NA,18,14,32,51,31,35,11,8,20,30,8,4,12,29,16,19,18,2,10,30,8,8,18,13
2024-03-16,Army West Point,Lehigh,Home,W,18,12,NA,18,11,29,54,37,32,14,6,23,33,12,7,19,33,25,26,17,5,10,33,12,13,18,19
2024-03-22,Army West Point,Boston U.,Away,L,9,14,NA,9,5,14,46,24,33,14,5,17,26,14,7,21,41,20,31,13,11,9,26,14,6,9,15
2024-03-30,Army West Point,North Carolina,Away,L,13,12,NA,13,5,18,47,25,40,14,13,13,29,12,5,17,42,31,39,18,7,16,29,12,19,13,12
2024-04-06,Army West Point,Colgate,Home,L,11,14,NA,11,8,19,47,29,40,24,18,22,28,14,9,23,31,20,27,30,13,6,28,14,6,11,18
2024-04-13,Army West Point,Navy,Home,L,13,8,NA,13,8,21,44,27,33,16,5,13,25,8,3,11,46,27,29,13,4,12,25,8,19,13,14
2024-04-19,Army West Point,Bucknell,Away,L,19,11,NA,19,11,30,44,25,43,22,11,20,33,11,9,20,32,18,33,20,13,13,33,11,7,19,6
2024-04-26,Army West Point,Loyola Maryland,Away,L,13,11,NA,13,4,17,43,28,36,18,5,18,28,11,6,17,37,25,33,14,10,10,28,11,14,13,15
2024-05-03,Army West Point,Boston U.,Home,L,10,11,1,10,8,18,46,25,27,12,9,9,23,11,6,17,42,27,28,18,6,14,23,11,16,10,15
2024-02-03,Bellarmine,Duke,Away,W,12,20,NA,12,9,21,40,21,20,16,5,11,35,20,11,31,62,38,38,16,8,24,35,20,18,12,9
2024-02-11,Bellarmine,St. Bonaventure,Away,W,13,9,NA,13,9,22,47,30,44,19,17,14,25,9,8,17,27,18,27,23,9,11,25,9,9,13,17
2024-02-13,Bellarmine,Ohio St.,Away,L,6,10,NA,6,4,10,26,14,30,22,8,8,18,10,3,13,33,18,33,21,15,10,18,10,8,6,8
2024-02-17,Bellarmine,Canisius,Home,L,7,8,NA,7,6,13,35,18,14,16,10,8,17,8,5,13,40,22,17,17,5,9,17,8,14,7,11
2024-02-27,Bellarmine,Hampton,Away,W,23,7,NA,23,15,38,54,32,48,23,11,19,31,7,3,10,38,21,27,21,13,12,31,7,14,23,9
2024-03-02,Bellarmine,Marist,Home,W,11,10,NA,11,5,16,43,24,23,20,10,11,24,10,6,16,56,29,28,18,14,13,24,10,19,11,13
2024-03-09,Bellarmine,Marquette,Home,L,11,5,NA,11,8,19,31,18,26,18,10,9,19,5,4,9,40,22,29,13,16,10,19,5,17,11,7
2024-03-16,Bellarmine,Utah,Home,L,13,14,NA,13,9,22,44,26,23,14,5,14,27,14,7,21,48,28,21,11,8,13,27,14,14,13,13
2024-03-20,Bellarmine,Mercer,Away,W,17,9,NA,17,5,22,54,31,26,22,7,14,29,9,8,17,43,22,28,22,10,15,29,9,13,17,14
2024-03-23,Bellarmine,Queens (NC),Away,W,12,5,NA,12,4,16,55,34,29,18,7,14,21,5,2,7,32,20,16,15,7,7,21,5,15,12,22
2024-03-30,Bellarmine,Lindenwood,Home,W,17,10,NA,17,14,31,60,34,28,21,10,19,30,10,6,16,31,20,24,15,5,11,30,10,10,17,17
2024-04-06,Bellarmine,Air Force,Away,L,7,11,NA,7,5,12,24,14,27,18,6,8,21,11,5,16,48,25,32,10,9,13,21,11,14,7,7
2024-04-10,Bellarmine,Robert Morris,Home,W,15,12,NA,15,8,23,49,31,28,21,10,15,30,12,8,20,44,27,36,23,7,15,30,12,15,15,16
2024-04-13,Bellarmine,Cleveland St.,Home,L,14,9,NA,14,5,19,34,25,30,12,7,13,27,9,8,17,41,21,18,14,1,14,27,9,12,14,11
2024-04-20,Bellarmine,Detroit Mercy,Home,L,10,18,NA,10,5,15,43,28,21,14,7,18,32,18,8,26,40,25,15,12,7,14,32,18,7,10,18
2024-04-27,Bellarmine,Jacksonville,Away,L,7,22,NA,7,1,8,30,24,25,14,6,11,32,22,16,38,44,35,43,17,9,21,32,22,13,7,17
2024-04-30,Bellarmine,"Cleveland St. USAF Academy, Colo.",Away,W,12,15,NA,12,12,24,37,24,28,12,5,14,30,15,8,23,38,22,26,15,6,16,30,15,7,12,12
2024-02-10,Binghamton,"Jacksonville Sparks Glencoe, MD",Away,W,8,9,NA,8,4,12,48,29,28,16,9,11,19,9,4,13,41,22,29,25,6,8,19,9,13,8,21
2024-02-17,Binghamton,St. Bonaventure,Home,W,13,12,1,13,6,19,50,26,27,18,6,18,27,12,7,19,32,22,23,19,10,9,27,12,10,13,13
2024-02-24,Binghamton,Lafayette,Away,W,12,19,NA,12,3,15,39,27,29,10,7,16,35,19,11,30,48,32,42,15,2,19,35,19,13,12,15
2024-03-02,Binghamton,Richmond,Away,W,10,19,NA,10,5,15,34,21,25,19,2,15,32,19,11,30,59,34,26,7,12,17,32,19,15,10,11
2024-03-05,Binghamton,Mount St. Mary's,Away,L,13,12,1,13,5,18,43,25,41,16,8,21,28,12,5,17,42,23,36,14,9,7,28,12,11,13,12
2024-03-09,Binghamton,St. John's (NY),Away,L,6,13,NA,6,4,10,41,21,25,18,7,10,23,13,3,16,46,25,33,17,10,13,23,13,12,6,15
2024-03-16,Binghamton,Merrimack,Home,W,9,10,1,9,4,13,45,23,22,19,7,11,22,10,4,14,44,26,29,16,7,11,22,10,16,9,14
2024-03-23,Binghamton,NJIT,Away,L,17,12,NA,17,8,25,35,25,29,13,7,10,33,12,8,20,42,27,30,19,2,23,33,12,15,17,8
2024-03-30,Binghamton,UMass Lowell,Home,L,15,6,NA,15,10,25,57,32,24,9,7,14,24,6,2,8,35,17,18,18,5,10,24,6,11,15,17
2024-04-06,Binghamton,Vermont,Away,L,11,10,1,11,3,14,53,27,35,20,6,18,25,10,6,16,34,28,36,13,9,7,25,10,18,11,16
2024-04-13,Binghamton,UMBC,Home,W,21,10,NA,21,13,34,49,32,40,19,9,20,35,10,6,16,40,25,34,17,13,15,35,10,15,21,11
2024-04-20,Binghamton,Bryant,Home,L,11,17,NA,11,4,15,51,28,30,13,9,12,31,17,10,27,48,29,33,16,5,19,31,17,12,11,17
2024-04-27,Binghamton,UAlbany,Away,W,10,18,NA,10,3,13,38,23,36,15,8,14,31,18,8,26,47,31,32,14,6,17,31,18,13,10,13
2024-02-06,Boston U.,"Saint Joseph's Westport, Conn.",Away,L,14,10,NA,14,7,21,36,21,35,22,10,15,28,10,5,15,45,28,34,15,14,13,28,10,18,14,7
2024-02-10,Boston U.,Vermont,Home,L,18,8,NA,18,13,31,57,36,40,16,21,13,28,8,5,13,23,18,32,27,5,15,28,8,10,18,18
2024-02-16,Boston U.,Bryant,Home,W,6,12,NA,6,3,9,41,19,24,15,14,4,22,12,9,21,48,31,46,17,11,18,22,12,19,6,13
2024-02-20,Boston U.,Brown,Away,L,16,10,NA,16,13,29,44,29,42,20,16,18,30,10,2,12,36,17,30,25,9,12,30,10,7,16,13
2024-03-02,Boston U.,Navy,Home,W,9,16,NA,9,5,14,40,23,34,17,10,9,29,16,11,27,49,30,42,15,11,20,29,16,14,9,14
2024-03-09,Boston U.,Bucknell,Home,W,13,10,NA,13,12,25,25,21,36,25,12,16,25,10,7,17,47,25,29,21,9,9,25,10,15,13,8
2024-03-16,Boston U.,Loyola Maryland,Away,L,12,10,NA,12,8,20,46,30,31,17,9,10,25,10,7,17,46,32,35,15,10,15,25,10,22,12,18
2024-03-22,Boston U.,Army West Point,Home,L,14,9,NA,14,7,21,41,20,31,13,11,9,26,9,5,14,46,24,33,14,5,17,26,9,15,14,6
2024-03-27,Boston U.,Duke,Away,W,10,11,NA,10,5,15,41,21,23,12,4,10,25,11,5,16,50,25,35,14,7,15,25,11,14,10,11
2024-03-30,Boston U.,Holy Cross,Away,W,22,6,NA,22,17,39,50,34,43,21,5,20,32,6,5,11,36,20,28,20,5,12,32,6,14,22,12
