date,team,opponent,home_away,result,home_score,visitor_score,overtime,fouls,goals,assists,points,shots,sog,ground_balls,turnovers,ct,freepos_shots,freepos_goals,draw_controls,defensive_fouls,defensive_goals,defensive_assists,defensive_points,defensive_shots,defensive_sog,defensive_ground_balls,defensive_turnovers,defensive_ct,defensive_freepos_shots,defensive_freepos_goals,defensive_draw_controls,team_id
2022-02-13,Akron,St. Bonaventure,Home,,6,5,,14.0,6.0,4.0,10.0,29,19,17,17,12.0,6.0,1.0,7.0,19.0,5.0,5.0,10.0,19,13,10,20,8.0,2.0,,8.0,5
2022-02-18,Akron,Wofford,Away,,9,14,,21.0,9.0,1.0,10.0,28,20,24,19,8.0,4.0,3.0,16.0,15.0,14.0,8.0,22.0,30,20,30,19,9.0,8.0,4.0,11.0,5
2022-02-20,Akron,Gardner-Webb,Away,,7,17,,23.0,7.0,3.0,10.0,19,15,24,24,9.0,5.0,2.0,8.0,18.0,17.0,7.0,24.0,37,27,36,21,12.0,10.0,1.0,20.0,5
2022-02-23,Akron,Kent St.,Home,,11,6,,13.0,11.0,1.0,12.0,26,25,30,14,15.0,8.0,5.0,12.0,10.0,6.0,1.0,7.0,30,22,29,17,9.0,6.0,1.0,9.0,5
2022-02-27,Akron,Saint Francis,Home,,6,10,,18.0,6.0,,6.0,30,22,25,15,14.0,6.0,2.0,8.0,15.0,10.0,6.0,16.0,21,18,22,22,10.0,3.0,1.0,11.0,5
2022-03-03,Akron,Youngstown St.,Away,,11,12,1,13.0,11.0,3.0,14.0,22,20,19,26,5.0,2.0,1.0,15.0,10.0,12.0,8.0,20.0,32,22,27,25,14.0,6.0,3.0,12.0,5
2022-03-06,Akron,Cincinnati,Home,,5,17,,27.0,5.0,,5.0,14,13,22,16,8.0,10.0,5.0,9.0,25.0,17.0,8.0,25.0,37,32,32,9,12.0,11.0,5.0,16.0,5
2022-03-09,Akron,Robert Morris,Home,,6,10,,22.0,6.0,4.0,10.0,26,18,32,14,13.0,4.0,1.0,10.0,18.0,10.0,3.0,13.0,25,19,30,21,9.0,5.0,1.0,10.0,5
2022-03-16,Akron,Detroit Mercy,Away,,12,15,,10.0,12.0,8.0,20.0,24,17,18,21,6.0,3.0,3.0,16.0,11.0,15.0,12.0,27.0,31,24,21,15,7.0,4.0,1.0,14.0,5
2022-03-20,Akron,Radford,Home,,6,8,,14.0,6.0,1.0,7.0,31,24,26,20,11.0,7.0,1.0,15.0,18.0,8.0,3.0,11.0,22,15,30,22,15.0,6.0,4.0,3.0,5
2022-03-23,Akron,Central Mich.,Away,,7,13,,14.0,7.0,1.0,8.0,15,11,13,24,6.0,1.0,1.0,12.0,3.0,13.0,5.0,18.0,37,22,30,11,19.0,6.0,2.0,12.0,5
2022-03-28,Akron,Pittsburgh,Away,,6,18,,16.0,6.0,2.0,8.0,17,12,18,28,6.0,3.0,2.0,17.0,27.0,18.0,11.0,29.0,31,25,28,19,17.0,7.0,3.0,10.0,5
2022-04-02,Akron,Kent St.,Away,,9,10,,11.0,9.0,3.0,12.0,31,21,16,22,7.0,4.0,,13.0,8.0,10.0,7.0,17.0,32,23,19,19,8.0,3.0,1.0,9.0,5
2022-04-09,Akron,Youngstown St.,Home,,14,17,,11.0,14.0,3.0,17.0,30,23,27,26,10.0,5.0,1.0,27.0,20.0,17.0,9.0,26.0,35,25,30,15,19.0,8.0,3.0,8.0,5
2022-04-16,Akron,Robert Morris,Away,,4,12,,36.0,4.0,,4.0,16,11,18,27,11.0,6.0,2.0,10.0,34.0,12.0,6.0,18.0,36,25,31,22,18.0,9.0,5.0,10.0,5
2022-04-23,Akron,Detroit Mercy,Home,,8,14,,19.0,8.0,2.0,10.0,26,20,20,16,11.0,6.0,2.0,13.0,13.0,14.0,10.0,24.0,32,25,26,18,11.0,8.0,2.0,13.0,5
2022-04-30,Akron,Central Mich.,Home,,10,19,,5.0,10.0,1.0,11.0,25,16,28,13,11.0,7.0,2.0,12.0,12.0,19.0,9.0,28.0,30,23,27,17,8.0,3.0,2.0,19.0,5
2022-02-12,American,Georgetown,Home,,8,20,,13.0,8.0,5.0,13.0,20,18,12,18,8.0,3.0,1.0,14.0,10.0,20.0,3.0,23.0,39,26,11,12,6.0,6.0,4.0,18.0,23
2022-02-19,American,UMBC,Home,,9,17,,11.0,9.0,3.0,12.0,33,24,14,17,9.0,5.0,1.0,16.0,15.0,17.0,5.0,22.0,27,22,20,20,8.0,7.0,4.0,14.0,23
2022-02-23,American,George Mason,Away,,15,14,,11.0,15.0,3.0,18.0,29,23,6,14,9.0,11.0,4.0,18.0,40.0,14.0,6.0,20.0,28,22,17,14,7.0,6.0,4.0,15.0,23
2022-02-26,American,Howard,Away,,16,3,,8.0,16.0,15.0,31.0,27,24,11,10,10.0,,,15.0,3.0,3.0,2.0,5.0,10,7,5,15,6.0,,,7.0,23
2022-03-02,American,George Washington,Away,,9,11,,14.0,9.0,4.0,13.0,24,17,9,12,11.0,6.0,1.0,12.0,12.0,11.0,5.0,16.0,23,17,19,17,7.0,4.0,3.0,14.0,23
2022-03-05,American,Gardner-Webb,Home,,20,11,,12.0,20.0,13.0,33.0,34,27,19,23,8.0,7.0,5.0,25.0,16.0,11.0,5.0,16.0,23,16,19,15,12.0,3.0,1.0,10.0,23
2022-03-11,American,William & Mary,Away,,10,8,,20.0,10.0,5.0,15.0,28,20,20,18,11.0,5.0,3.0,10.0,29.0,8.0,,8.0,23,15,22,22,10.0,6.0,3.0,12.0,23
2022-03-13,American,Old Dominion,Away,,17,13,,18.0,17.0,8.0,25.0,24,23,16,15,12.0,3.0,2.0,14.0,7.0,13.0,2.0,15.0,39,29,15,15,7.0,11.0,5.0,20.0,23
2022-03-19,American,Lafayette,Away,,13,9,,20.0,13.0,4.0,17.0,26,22,11,11,6.0,8.0,4.0,18.0,14.0,9.0,2.0,11.0,31,25,18,10,7.0,12.0,5.0,8.0,23
2022-03-26,American,Holy Cross,Home,,19,7,,10.0,19.0,8.0,27.0,32,27,17,17,10.0,5.0,4.0,18.0,11.0,7.0,1.0,8.0,25,21,20,20,8.0,5.0,2.0,11.0,23
2022-04-02,American,Army West Point,Away,,14,17,,11.0,14.0,2.0,16.0,31,29,13,13,6.0,5.0,3.0,16.0,11.0,17.0,5.0,22.0,46,37,15,9,6.0,5.0,4.0,18.0,23
2022-04-13,American,Loyola Maryland,Home,,8,18,,10.0,8.0,3.0,11.0,19,13,14,16,7.0,6.0,3.0,12.0,11.0,18.0,8.0,26.0,27,21,8,15,4.0,7.0,4.0,18.0,23
2022-04-16,American,Bucknell,Home,,12,11,,10.0,12.0,3.0,15.0,35,26,19,14,7.0,7.0,3.0,14.0,9.0,11.0,5.0,16.0,27,22,18,15,7.0,7.0,2.0,13.0,23
2022-04-20,American,Navy,Away,,10,16,,11.0,10.0,3.0,13.0,22,19,16,19,8.0,3.0,1.0,10.0,26.0,16.0,3.0,19.0,40,27,23,17,13.0,7.0,2.0,18.0,23
2022-04-23,American,Colgate,Home,,15,16,,9.0,15.0,5.0,20.0,45,34,27,12,17.0,12.0,4.0,8.0,17.0,16.0,5.0,21.0,36,25,18,22,4.0,4.0,1.0,27.0,23
2022-04-25,American,Lehigh,Away,,9,11,,21.0,9.0,6.0,15.0,26,20,16,9,11.0,1.0,,9.0,22.0,11.0,4.0,15.0,22,18,13,17,7.0,2.0,2.0,15.0,23
2022-04-29,American,Boston U.,Away,,16,12,,10.0,16.0,8.0,24.0,37,25,17,13,4.0,9.0,5.0,15.0,18.0,12.0,3.0,15.0,30,22,13,11,7.0,5.0,1.0,16.0,23
2022-05-01,American,Navy,Away,,13,23,,25.0,13.0,6.0,19.0,22,19,14,19,3.0,3.0,2.0,16.0,11.0,23.0,13.0,36.0,50,37,18,11,7.0,12.0,4.0,24.0,23
2022-02-18,Arizona St.,Michigan,Home,,9,11,,23.0,9.0,2.0,11.0,20,14,11,19,5.0,2.0,,11.0,19.0,11.0,5.0,16.0,25,20,17,17,11.0,6.0,3.0,13.0,28
2022-02-20,Arizona St.,Northwestern,Away,,8,16,,37.0,8.0,5.0,13.0,22,17,21,23,15.0,2.0,1.0,12.0,26.0,16.0,9.0,25.0,29,24,20,24,12.0,10.0,5.0,16.0,28
2022-02-25,Arizona St.,San Diego St.,Home,,16,6,,30.0,16.0,11.0,27.0,32,24,25,26,7.0,2.0,1.0,19.0,30.0,6.0,1.0,7.0,22,16,18,20,8.0,6.0,2.0,7.0,28
2022-03-11,Arizona St.,Oregon,Home,,11,9,,42.0,11.0,4.0,15.0,36,25,26,15,13.0,5.0,2.0,12.0,44.0,9.0,2.0,11.0,22,19,13,22,6.0,4.0,3.0,12.0,28
2022-03-13,Arizona St.,Colorado,Home,,20,6,,34.0,20.0,8.0,28.0,27,21,11,10,3.0,6.0,5.0,17.0,28.0,6.0,3.0,9.0,17,12,9,11,5.0,7.0,3.0,13.0,28
2022-03-18,Arizona St.,Stanford,Away,,11,19,,27.0,11.0,8.0,19.0,34,25,24,22,7.0,6.0,1.0,17.0,26.0,19.0,13.0,32.0,35,27,24,22,8.0,5.0,2.0,17.0,28
2022-03-20,Arizona St.,California,Away,,21,18,,48.0,21.0,12.0,33.0,33,25,17,17,7.0,2.0,1.0,20.0,21.0,18.0,7.0,25.0,32,25,12,17,5.0,11.0,6.0,21.0,28
2022-03-25,Arizona St.,Southern California,Away,,10,17,,43.0,10.0,8.0,18.0,27,20,20,27,8.0,5.0,1.0,19.0,26.0,17.0,10.0,27.0,31,25,27,20,15.0,7.0,3.0,12.0,28
