season,team,team_id,jersey,full_name,roster_name,first_name,last_name,yr,pos,gp,gs,goals,assists,points,shots,sog,ct,ncaa_id,fouls,ground_balls,turnovers,freepos_shots,freepos_goals,rc,yc,gc,draw_controls
2025,Akron,5,41.0,Sarah Baumer,Sarah Baumer,Sarah,Baumer,Jr,D,10.0,0.0,,1.0,1.0,1.0,1.0,4.0,8768730,6.0,4.0,,,,,1.0,,
2025,Akron,5,20.0,Evelyn White,Evelyn White,Evelyn,White,So,D,7.0,0.0,,,0.0,,,,8770048,2.0,1.0,,,,,,,
2025,Akron,5,18.0,Dani Dahl,Dani Dahl,Dani,Dahl,Jr,D,16.0,14.0,,,0.0,,,3.0,8769212,11.0,6.0,1.0,,,,,,1.0
2025,Akron,5,25.0,Sienna Hinchcliffe,Sienna Hinchcliffe,Sienna,Hinchcliffe,So,M,19.0,19.0,59.0,14.0,73.0,142.0,106.0,11.0,8770760,13.0,18.0,37.0,17.0,4.0,,2.0,6.0,71.0
2025,Akron,5,32.0,Bryanne Harner,Bryanne Harner,Bryanne,Harner,Sr,M,18.0,18.0,,,0.0,,,9.0,8767239,18.0,23.0,7.0,,,,1.0,,
2025,Akron,5,9.0,Kacey Hopkins,Kacey Hopkins,Kacey,Hopkins,So,D,19.0,19.0,,,0.0,,,16.0,8767942,46.0,28.0,15.0,,,,2.0,,
2025,Akron,5,28.0,Shaelyn Scharpf,Shaelyn Scharpf,Shaelyn,Scharpf,So,ATT,4.0,0.0,,,0.0,1.0,1.0,,8771871,,,1.0,,,,,,
2025,Akron,5,4.0,Kellen Fletcher,Kellen Fletcher,Kellen,Fletcher,Jr,M,19.0,18.0,24.0,15.0,39.0,54.0,43.0,5.0,8771881,7.0,19.0,17.0,7.0,3.0,,2.0,7.0,
2025,Akron,5,15.0,Hannah McGuire,Hannah McGuire,Hannah,McGuire,Fr,M,6.0,0.0,,1.0,1.0,1.0,,,8774158,,1.0,2.0,,,,,,
2025,Akron,5,42.0,Katie Baumer,Katie Baumer,Katie,Baumer,Jr,M,19.0,19.0,37.0,17.0,54.0,89.0,65.0,24.0,8779803,37.0,42.0,37.0,17.0,9.0,,6.0,8.0,74.0
2025,Akron,5,40.0,Hannah Sanders,Hannah Sanders,Hannah,Sanders,Sr,GK,18.0,18.0,,,0.0,,,1.0,8783165,,45.0,5.0,,,,,,
2025,Akron,5,35.0,Jaelyn Clinkscales,Jaelyn Clinkscales,Jaelyn,Clinkscales,Sr,ATT,19.0,19.0,20.0,13.0,33.0,41.0,36.0,5.0,8783350,6.0,11.0,24.0,7.0,3.0,,1.0,2.0,6.0
2025,Akron,5,27.0,Kaelen Sieja,Kaelen Sieja,Kaelen,Sieja,Fr,GK,2.0,1.0,,,0.0,,,1.0,8783377,,7.0,1.0,,,,,,
2025,Akron,5,36.0,Graceann Schwab,Graceann Schwab,Graceann,Schwab,Sr,M,14.0,1.0,5.0,2.0,7.0,8.0,7.0,,8779696,3.0,5.0,1.0,1.0,1.0,,1.0,,2.0
