season,team,team_id,jersey,full_name,roster_name,first_name,last_name,yr,pos,gp,gs,goals,assists,points,shots,sog,ct,ncaa_id,fouls,ground_balls,turnovers,freepos_shots,freepos_goals,rc,yc,gc,draw_controls
2025,Akron,5,2.0,Kylie Harris,Kylie Harris,Kylie,Harris,Sr,M,18.0,9.0,8.0,4.0,12.0,18.0,12.0,5.0,8776681,7.0,7.0,17.0,2.0,,,,1.0,1.0
2025,Akron,5,10.0,Kaitlyn Sikorski,Kaitlyn Sikorski,Kaitlyn,Sikorski,So,ATT,17.0,0.0,4.0,7.0,11.0,11.0,9.0,,8774765,1.0,4.0,5.0,3.0,,,,,
2025,Akron,5,29.0,Heather Carey,Heather Carey,Heather,Carey,Jr,M,19.0,18.0,21.0,8.0,29.0,51.0,36.0,8.0,8778619,5.0,15.0,14.0,3.0,2.0,,1.0,1.0,2.0
2025,Akron,5,6.0,Grace Hardy,Grace Hardy,Grace,Hardy,So,M,4.0,0.0,,,0.0,,,1.0,8778435,,,,,,,,1.0,3.0
2025,Akron,5,16.0,Camryn Kwiatkowski,Camryn Kwiatkowski,Camryn,Kwiatkowski,So,M,6.0,0.0,,,0.0,,,,8776362,3.0,,,,,,,,
2025,Akron,5,24.0,Olivia Lodge,Olivia Lodge,Olivia,Lodge,Fr,ATT,1.0,0.0,,,0.0,1.0,1.0,,9104087,,,,,,,1.0,,
2025,Akron,5,5.0,Megan Singer,Megan Singer,Megan,Singer,Fr,M,1.0,0.0,,,0.0,,,,9104072,,,,,,,,,
2025,Akron,5,7.0,Noelle Boyd,Noelle Boyd,Noelle,Boyd,Sr,M,19.0,19.0,38.0,26.0,64.0,98.0,73.0,16.0,9104075,48.0,43.0,44.0,13.0,5.0,,9.0,9.0,76.0
2025,Akron,5,11.0,Lauren Vitantonio,Lauren Vitantonio,Lauren,Vitantonio,Fr,ATT,2.0,0.0,,,0.0,,,,9104081,,,,,,,,,
2025,Akron,5,12.0,Cameron Volpe,Cameron Volpe,Cameron,Volpe,Fr,M,2.0,0.0,,,0.0,,,,9104083,,,,,,,,,
2025,Akron,5,19.0,Julia Mattingly,Julia Mattingly,Julia,Mattingly,Fr,M,17.0,15.0,5.0,2.0,7.0,12.0,10.0,8.0,9104085,13.0,21.0,11.0,,,,4.0,1.0,10.0
2025,Akron,5,23.0,Kayli Grant,Kayli Grant,Kayli,Grant,Fr,D,5.0,0.0,,,0.0,,,1.0,9104086,,,,,,,,,
2025,Akron,5,33.0,Keira Fontaine,Keira Fontaine,Keira,Fontaine,Fr,ATT,2.0,1.0,,,0.0,,,,9104088,,,,,,,,,
2025,Akron,5,44.0,Kayla Murphy,Kayla Murphy,Kayla,Murphy,Fr,D,10.0,0.0,,,0.0,,,1.0,9104090,5.0,1.0,,,,,,,
2025,Akron,5,14.0,Chloe Hererra,Chloe Hererra,Chloe,Hererra,Sr,M,6.0,1.0,1.0,2.0,3.0,1.0,1.0,,9104076,,1.0,2.0,,,,,,
2025,Akron,5,8.0,Avery Wallace,Avery Wallace,Avery,Wallace,Fr,M,2.0,0.0,,,0.0,1.0,1.0,,9104079,,,,,,,,,
2025,Akron,5,26.0,Antonia Trickett,Antonia Trickett,Antonia,Trickett,Sr,M,19.0,19.0,,,0.0,,,22.0,9104093,28.0,31.0,10.0,,,,3.0,,
2025,American,23,7.0,Kate Bruechner,Kate Bruechner,Kate,Bruechner,Jr,DM,3.0,0.0,,,0.0,,,,8773364,,1.0,,,,,,,
2025,American,23,35.0,Maddy Spratt,Maddy Spratt,Maddy,Spratt,Sr,ATT,16.0,16.0,28.0,18.0,46.0,60.0,45.0,6.0,8768916,2.0,13.0,30.0,6.0,4.0,,1.0,4.0,79.0
2025,American,23,4.0,Elly Skeels,Elly Skeels,Elly,Skeels,So,M,5.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,8772323,2.0,3.0,2.0,1.0,,,,,4.0
2025,American,23,28.0,Samantha Buonaccorsi,Samantha Buonaccorsi,Samantha,Buonaccorsi,So,D,16.0,16.0,,,0.0,1.0,1.0,11.0,8770407,12.0,7.0,7.0,,,,4.0,,
2025,American,23,32.0,Ashley Smith,Ashley Smith,Ashley,Smith,Sr,M,16.0,1.0,4.0,,4.0,12.0,8.0,5.0,8772504,2.0,6.0,13.0,3.0,2.0,,1.0,,1.0
2025,American,23,29.0,Lexi Rakis,Lexi Rakis,Lexi,Rakis,Sr,GK,7.0,0.0,,,0.0,,,,8766120,,1.0,,,,,,,
2025,American,23,16.0,Lily Arcand,Lily Arcand,Lily,Arcand,Jr,D,5.0,0.0,,,0.0,,,1.0,8767027,,,,,,,,,
2025,American,23,20.0,Alyssa Nilles,Alyssa Nilles,Alyssa,Nilles,Sr,D,5.0,0.0,,,0.0,,,1.0,8767232,1.0,1.0,2.0,,,,,,
2025,American,23,40.0,Caleigh Forti,Caleigh Forti,Caleigh,Forti,Sr,GK,16.0,16.0,,,0.0,,,2.0,8772878,,32.0,8.0,,,,,,
2025,American,23,36.0,Mia Zganjar,Mia Zganjar,Mia,Zganjar,So,ATT,2.0,0.0,,,0.0,,,,8773581,,,,,,,,,
2025,American,23,18.0,Nickie Prendergast,Nickie Prendergast,Nickie,Prendergast,Jr,M,1.0,0.0,,,0.0,,,,8771859,,,,,,,,,1.0
2025,American,23,24.0,Reagan Murdoch,Reagan Murdoch,Reagan,Murdoch,Jr,M,16.0,16.0,38.0,7.0,45.0,79.0,55.0,15.0,8768315,10.0,8.0,23.0,13.0,5.0,,2.0,1.0,25.0
2025,American,23,21.0,Kellie Linehan,Kellie Linehan,Kellie,Linehan,Jr,M,16.0,16.0,29.0,9.0,38.0,53.0,41.0,9.0,8774157,7.0,16.0,17.0,8.0,4.0,,1.0,,10.0
2025,American,23,31.0,Juliet Kuenzler,Juliet Kuenzler,Juliet,Kuenzler,Sr,D,16.0,16.0,,,0.0,,,12.0,8783013,19.0,17.0,10.0,,,,1.0,1.0,
2025,American,23,25.0,Jasmine Connor,Jasmine Connor,Jasmine,Connor,So,ATT,10.0,0.0,3.0,,3.0,6.0,5.0,,8783129,1.0,2.0,4.0,,,,,,
2025,American,23,22.0,Alyssa Apuzzo,Alyssa Apuzzo,Alyssa,Apuzzo,Sr,ATT,16.0,16.0,14.0,16.0,30.0,39.0,32.0,2.0,8782113,3.0,6.0,20.0,5.0,1.0,,3.0,,1.0
2025,American,23,8.0,Kate Petronis,Kate Petronis,Kate,Petronis,Sr,ATT,4.0,0.0,,,0.0,1.0,,,8780980,,,,,,,,,
2025,American,23,9.0,Deirdre Brown,Deirdre Brown,Deirdre,Brown,So,D,15.0,15.0,,,0.0,,,14.0,8781041,23.0,13.0,6.0,,,,2.0,1.0,11.0
2025,American,23,26.0,Kristen Hegarty,Kristen Hegarty,Kristen,Hegarty,Jr,ATT,11.0,0.0,6.0,5.0,11.0,17.0,10.0,,8781140,1.0,6.0,5.0,7.0,3.0,,1.0,1.0,
2025,American,23,5.0,Jenna Walls,Jenna Walls,Jenna,Walls,Sr,D,16.0,16.0,,,0.0,,,20.0,8782446,26.0,22.0,6.0,,,,1.0,,
2025,American,23,30.0,Becca Frank,Becca Frank,Becca,Frank,Sr,ATT,16.0,16.0,21.0,16.0,37.0,48.0,35.0,4.0,8781474,6.0,6.0,14.0,6.0,,,,,15.0
2025,American,23,11.0,Darby Sherrod,Darby Sherrod,Darby,Sherrod,Sr,D,16.0,16.0,,,0.0,,,11.0,8782667,18.0,16.0,7.0,,,,,,
2025,American,23,15.0,Annabelle Jackson,Annabelle Jackson,Annabelle,Jackson,Jr,ATT,15.0,11.0,15.0,7.0,22.0,41.0,27.0,3.0,8775170,,5.0,18.0,7.0,4.0,,,1.0,
2025,American,23,1.0,Adria Kotzian,Adria Kotzian,Adria,Kotzian,So,ATT,2.0,0.0,,,0.0,,,,8775194,,,,,,,,,
2025,American,23,12.0,Camryn Kowalewski,Camryn Kowalewski,Camryn,Kowalewski,So,ATT,3.0,0.0,1.0,,1.0,1.0,1.0,,8776888,,,,,,,,,
2025,American,23,3.0,Jaime Petronis,Jaime Petronis,Jaime,Petronis,Sr,ATT,3.0,0.0,,1.0,1.0,2.0,2.0,,8778892,,1.0,1.0,1.0,,,,,
2025,American,23,23.0,Rachel Kolton,Rachel Kolton,Rachel,Kolton,Jr,ATT,7.0,0.0,1.0,1.0,2.0,3.0,1.0,,8778902,1.0,1.0,3.0,,,,,,
2025,American,23,33.0,Lauren Pramik,Lauren Pramik,Lauren,Pramik,Fr,D,4.0,0.0,,,0.0,,,,9099425,3.0,1.0,1.0,,,,,,
2025,American,23,27.0,Peyton Coleman,Peyton Coleman,Peyton,Coleman,Fr,ATT,10.0,4.0,2.0,1.0,3.0,3.0,2.0,,9099424,2.0,3.0,3.0,1.0,,,,3.0,13.0
2025,American,23,34.0,Maryanne Harris,Maryanne Harris,Maryanne,Harris,Fr,GK,2.0,0.0,,,0.0,,,,9099428,,,1.0,,,,,,
2025,American,23,37.0,Caroline McBride,Caroline McBride,Caroline,McBride,Fr,M,16.0,0.0,1.0,3.0,4.0,5.0,4.0,5.0,9099430,1.0,3.0,8.0,1.0,1.0,,,,1.0
2025,American,23,14.0,Rayah Johnson,Rayah Johnson,Rayah,Johnson,Fr,M,9.0,0.0,,,0.0,,,3.0,9099416,4.0,3.0,1.0,,,,,1.0,
2025,American,23,19.0,Anastasia Byrnes,Anastasia Byrnes,Anastasia,Byrnes,Fr,M,1.0,0.0,1.0,,1.0,1.0,1.0,,9099422,,,,,,,,,
2025,American,23,39.0,Izzy Masengarb,Izzy Masengarb,Izzy,Masengarb,Fr,D,12.0,0.0,,,0.0,,,5.0,9099431,6.0,6.0,3.0,,,,1.0,1.0,3.0
2025,American,23,6.0,Aine Powers,Aine Powers,Aine,Powers,Fr,M,3.0,0.0,,1.0,1.0,1.0,1.0,,9099417,,1.0,,1.0,,,,,
2025,American,23,10.0,Madison Barber,Madison Barber,Madison,Barber,Fr,ATT,13.0,1.0,2.0,5.0,7.0,8.0,5.0,3.0,9099419,1.0,4.0,12.0,,,,,,1.0
2025,Arizona St.,28,43.0,Vanessa Ronsholdt,Vanessa Ronsholdt,Vanessa,Ronsholdt,So,M,5.0,0.0,,,0.0,,,,8769011,,,,,,,,,1.0
2025,Arizona St.,28,7.0,Annie Haley,Annie Haley,Annie,Haley,Sr,M,19.0,4.0,7.0,,7.0,11.0,11.0,6.0,8772342,6.0,11.0,6.0,4.0,2.0,,1.0,,2.0
2025,Arizona St.,28,40.0,Angelina Longo,Angelina Longo,Angelina,Longo,Jr,D,16.0,5.0,,,0.0,,,2.0,8766040,18.0,6.0,2.0,,,,3.0,1.0,1.0
2025,Arizona St.,28,12.0,Jordyn Behar,Jordyn Behar,Jordyn,Behar,Jr,ATT,19.0,19.0,38.0,65.0,103.0,70.0,60.0,5.0,8772611,12.0,20.0,44.0,15.0,9.0,,1.0,1.0,
2025,Arizona St.,28,17.0,Anna Thornton,Anna Thornton,Anna,Thornton,Sr,ATT,17.0,11.0,24.0,9.0,33.0,56.0,38.0,2.0,8770595,10.0,20.0,13.0,13.0,5.0,,3.0,3.0,
2025,Arizona St.,28,9.0,Keeley Cleland,Keeley Cleland,Keeley,Cleland,Jr,D,19.0,19.0,,,0.0,,,10.0,8770607,37.0,28.0,13.0,,,,5.0,,3.0
2025,Arizona St.,28,8.0,McKenna Riley,McKenna Riley,McKenna,Riley,Sr,ATT,15.0,0.0,5.0,2.0,7.0,10.0,8.0,,8769227,4.0,6.0,6.0,3.0,1.0,,1.0,,
2025,Arizona St.,28,1.0,Anna Vigilone,Anna Vigilone,Anna,Vigilone,So,M,19.0,19.0,,,0.0,,,1.0,8766403,26.0,4.0,3.0,,,,,,215.0
2025,Arizona St.,28,5.0,Emma Heenan,Emma Heenan,Emma,Heenan,So,ATT,10.0,0.0,6.0,1.0,7.0,15.0,12.0,,8767406,1.0,3.0,9.0,5.0,1.0,,,,
2025,Arizona St.,28,3.0,Kaitlyn Skamas,Kaitlyn Skamas,Kaitlyn,Skamas,Sr,D,8.0,0.0,,,0.0,1.0,,,9114696,1.0,3.0,,,,,1.0,,
2025,Arizona St.,28,77.0,Teagan Ng,Teagan Ng,Teagan,Ng,Jr,ATT,19.0,19.0,70.0,11.0,81.0,116.0,93.0,14.0,8767799,26.0,32.0,32.0,30.0,18.0,,3.0,6.0,
2025,Arizona St.,28,0.0,Katie Vahle,Katie Vahle,Katie,Vahle,Sr,GK,19.0,19.0,,,0.0,,,4.0,8772065,1.0,17.0,5.0,,,,,,
2025,Arizona St.,28,13.0,Lexi Guerin,Lexi Guerin,Lexi,Guerin,Sr,D,4.0,0.0,,,0.0,,,,8781574,1.0,1.0,1.0,,,,1.0,,
2025,Arizona St.,28,30.0,Berit Brookfield,Berit Brookfield,Berit,Brookfield,Sr,M,19.0,19.0,4.0,,4.0,14.0,10.0,8.0,8780142,45.0,19.0,12.0,2.0,,,2.0,7.0,20.0
2025,Arizona St.,28,2.0,Kiera Biwer,Kiera Biwer,Kiera,Biwer,So,D,13.0,2.0,,,0.0,,,1.0,8780541,9.0,5.0,1.0,,,,,,1.0
2025,Arizona St.,28,10.0,Tate Stokesberry,Tate Stokesberry,Tate,Stokesberry,Sr,ATT,11.0,0.0,,,0.0,,,,8780573,6.0,1.0,2.0,,,,,2.0,13.0
2025,Arizona St.,28,23.0,Claire Beucher,Claire Beucher,Claire,Beucher,Jr,M,19.0,0.0,8.0,1.0,9.0,22.0,14.0,5.0,8783556,18.0,8.0,10.0,4.0,2.0,,2.0,1.0,8.0
2025,Arizona St.,28,4.0,Helen Park,Helen Park,Helen,Park,Sr,D,19.0,19.0,,1.0,1.0,,,9.0,8782434,49.0,20.0,7.0,,,,4.0,,4.0
2025,Arizona St.,28,44.0,Sara Flobeck,Sara Flobeck,Sara,Flobeck,So,GK,5.0,0.0,,,0.0,,,,8781296,,,,,,,,,
2025,Arizona St.,28,20.0,Lydia Oldkonw,Lydia Oldkonw,Lydia,Oldkonw,Jr,ATT,19.0,19.0,57.0,20.0,77.0,136.0,87.0,10.0,8775226,4.0,19.0,17.0,40.0,14.0,,1.0,1.0,2.0
2025,Arizona St.,28,27.0,Maddelena Signorile,Maddelena Signorile,Maddelena,Signorile,Sr,D,17.0,5.0,,,0.0,,,5.0,8776724,15.0,9.0,5.0,,,,,,1.0
2025,Arizona St.,28,32.0,Adelaide Shevitz,Adelaide Shevitz,Adelaide,Shevitz,So,ATT,19.0,3.0,17.0,5.0,22.0,40.0,33.0,1.0,8775022,3.0,7.0,14.0,9.0,2.0,,,1.0,1.0
2025,Arizona St.,28,18.0,Bella Ingrao,Bella Ingrao,Bella,Ingrao,Sr,M,19.0,19.0,16.0,10.0,26.0,37.0,28.0,5.0,8778370,20.0,9.0,23.0,10.0,4.0,,2.0,4.0,38.0
2025,Arizona St.,28,15.0,Regan Spichiger,Regan Spichiger,Regan,Spichiger,Fr,GK,11.0,0.0,,,0.0,,,1.0,9114719,,3.0,1.0,,,,,,
2025,Arizona St.,28,16.0,Izzi Hammond,Izzi Hammond,Izzi,Hammond,Fr,M,18.0,0.0,15.0,1.0,16.0,33.0,25.0,4.0,9114721,4.0,5.0,3.0,12.0,3.0,,1.0,1.0,
2025,Arizona St.,28,19.0,Kendal Morris,Kendal Morris,Kendal,Morris,Fr,M,17.0,14.0,14.0,3.0,17.0,31.0,20.0,4.0,9114723,9.0,17.0,8.0,9.0,3.0,,4.0,1.0,23.0
2025,Arizona St.,28,21.0,Teagan Lowery,Teagan Lowery,Teagan,Lowery,Fr,M,15.0,0.0,,,0.0,1.0,1.0,1.0,9114726,7.0,3.0,5.0,,,,1.0,1.0,12.0
2025,Arizona St.,28,25.0,Caroline Lyttle,Caroline Lyttle,Caroline,Lyttle,Fr,D,11.0,0.0,,,0.0,,,2.0,9114730,12.0,4.0,3.0,,,,2.0,,
2025,Arizona St.,28,26.0,Sierra Ryan,Sierra Ryan,Sierra,Ryan,Fr,D,16.0,13.0,,,0.0,1.0,1.0,7.0,9114734,18.0,7.0,6.0,,,,3.0,2.0,1.0
2025,Arizona St.,28,28.0,Chase Tollefson,Chase Tollefson,Chase,Tollefson,Fr,ATT,3.0,0.0,,,0.0,,,,9114737,,,1.0,,,,,,
2025,Arizona St.,28,24.0,Alyssa Nichols,Alyssa Nichols,Alyssa,Nichols,Fr,M,13.0,0.0,2.0,2.0,4.0,6.0,5.0,1.0,9114728,2.0,3.0,,3.0,1.0,,,,2.0
2025,Army West Point,725,21.0,Brigid Duffy,Brigid Duffy,Brigid,Duffy,Jr,M,17.0,16.0,64.0,22.0,86.0,144.0,94.0,31.0,8766424,22.0,47.0,30.0,31.0,21.0,,1.0,15.0,92.0
2025,Army West Point,725,18.0,Ramsey Barrows,Ramsey Barrows,Ramsey,Barrows,Jr,ATT,1.0,0.0,,,0.0,,,1.0,8765764,,1.0,,,,,,,
2025,Army West Point,725,32.0,Alyce Smith,Alyce Smith,Alyce,Smith,Sr,M,13.0,1.0,6.0,,6.0,12.0,9.0,,8772567,1.0,1.0,4.0,2.0,2.0,,,,
2025,Army West Point,725,28.0,Amara Higgins,Amara Higgins,Amara,Higgins,Sr,D,5.0,0.0,,,0.0,1.0,,,8770622,1.0,1.0,,,,,,,
2025,Army West Point,725,31.0,Brooke Stocku,Brooke Stocku,Brooke,Stocku,Jr,ATT,4.0,0.0,2.0,3.0,5.0,3.0,3.0,,8767083,,1.0,1.0,1.0,,,,,
2025,Army West Point,725,15.0,Catherine Theut,Catherine Theut,Catherine,Theut,Sr,GK,2.0,0.0,,,0.0,,,,8773016,1.0,,,,,,,,
2025,Army West Point,725,49.0,Sherry Feng,Sherry Feng,Sherry,Feng,Jr,GK,3.0,0.0,,,0.0,,,,8771143,,,,,,,,,
2025,Army West Point,725,7.0,Gabrielle Mirak,Gabrielle Mirak,Gabrielle,Mirak,Sr,M,17.0,13.0,25.0,2.0,27.0,59.0,43.0,4.0,8773194,4.0,11.0,9.0,7.0,4.0,,1.0,2.0,8.0
2025,Army West Point,725,2.0,Sarah Wood,Sarah Wood,Sarah,Wood,So,M,5.0,0.0,1.0,,1.0,4.0,3.0,,8781676,1.0,,,2.0,1.0,,,,3.0
2025,Army West Point,725,17.0,Haley Kampert,Haley Kampert,Haley,Kampert,Sr,D,17.0,17.0,,,0.0,1.0,,11.0,8782992,18.0,27.0,2.0,1.0,,,,,1.0
2025,Army West Point,725,20.0,Lindsey Serafine,Lindsey Serafine,Lindsey,Serafine,Jr,GK,17.0,17.0,,,0.0,,,1.0,8783086,,24.0,6.0,,,,,,
2025,Army West Point,725,4.0,Chloe Garrett,Chloe Garrett,Chloe,Garrett,Jr,ATT,17.0,14.0,18.0,20.0,38.0,42.0,32.0,4.0,8780813,2.0,10.0,19.0,1.0,,,,4.0,
2025,Army West Point,725,23.0,Allison Reilly,Allison Reilly,Allison,Reilly,Jr,ATT,17.0,17.0,60.0,42.0,102.0,145.0,108.0,10.0,8782072,13.0,18.0,39.0,34.0,14.0,,3.0,8.0,27.0
2025,Army West Point,725,30.0,Meghan Pedrani,Meghan Pedrani,Meghan,Pedrani,Jr,D,17.0,17.0,,,0.0,1.0,1.0,20.0,8783334,15.0,24.0,7.0,,,,2.0,,3.0
2025,Army West Point,725,8.0,Anderson Strange,Anderson Strange,Anderson,Strange,So,GK,3.0,0.0,,,0.0,,,,8782296,,,,,,,,,
2025,Army West Point,725,10.0,Ellie Nawa,Ellie Nawa,Ellie,Nawa,So,M,3.0,0.0,,,0.0,,,,8782299,,,,,,,,,2.0
2025,Army West Point,725,6.0,Ryan Remaly,Ryan Remaly,Ryan,Remaly,So,M,17.0,17.0,18.0,7.0,25.0,44.0,33.0,5.0,8782424,8.0,8.0,17.0,8.0,2.0,,,,7.0
2025,Army West Point,725,13.0,Sarah Chernik,Sarah Chernik,Sarah,Chernik,Jr,D,17.0,17.0,3.0,1.0,4.0,3.0,3.0,17.0,8781441,19.0,17.0,9.0,1.0,1.0,,2.0,1.0,67.0
2025,Army West Point,725,39.0,Jackie Braceland,Jackie Braceland,Jackie,Braceland,So,D,17.0,12.0,1.0,1.0,2.0,1.0,1.0,9.0,8782698,16.0,19.0,5.0,,,,4.0,1.0,3.0
2025,Army West Point,725,12.0,Emma Grace Hepler,Emma Grace Hepler,Emma Grace,Hepler,Jr,ATT,10.0,0.0,1.0,,1.0,3.0,2.0,,8779708,,2.0,3.0,,,,,,
2025,Army West Point,725,33.0,Lily Valentini,Lily Valentini,Lily,Valentini,Jr,ATT,17.0,17.0,17.0,11.0,28.0,51.0,34.0,12.0,8782750,3.0,12.0,25.0,13.0,4.0,,2.0,5.0,1.0
2025,Army West Point,725,35.0,Geneva Milch Cesoni,Geneva Milch Cesoni,Geneva,Milch Cesoni,So,ATT,13.0,8.0,15.0,,15.0,31.0,26.0,,8775807,1.0,5.0,11.0,1.0,,,,3.0,
2025,Army West Point,725,1.0,Lea Ciocon,Lea Ciocon,Lea,Ciocon,So,M,1.0,0.0,,,0.0,,,1.0,8776328,,2.0,,,,,,,
2025,Army West Point,725,0.0,Reilly Sullivan,Reilly Sullivan,Reilly,Sullivan,Fr,D,17.0,17.0,,,0.0,,,16.0,9094797,43.0,17.0,2.0,,,,3.0,5.0,2.0
2025,Army West Point,725,3.0,Paige Moretti,Paige Moretti,Paige,Moretti,Fr,M,13.0,0.0,2.0,1.0,3.0,6.0,4.0,2.0,9094799,3.0,6.0,4.0,2.0,1.0,,,,1.0
2025,Army West Point,725,24.0,Jordan Roessler,Jordan Roessler,Jordan,Roessler,Fr,M,7.0,0.0,1.0,,1.0,2.0,2.0,,9094810,,,1.0,,,,,,1.0
2025,Army West Point,725,27.0,Amelia Reed,Amelia Reed,Amelia,Reed,Fr,D,1.0,0.0,,,0.0,,,1.0,9094829,1.0,,,,,,,,
2025,Army West Point,725,25.0,Emilee DeGrand,Emilee DeGrand,Emilee,DeGrand,Fr,ATT,1.0,0.0,,,0.0,,,,9094827,,,,,,,,,
2025,Army West Point,725,14.0,Kate Gallagher,Kate Gallagher,Kate,Gallagher,Fr,M,4.0,4.0,2.0,,2.0,11.0,7.0,5.0,9094804,4.0,5.0,4.0,3.0,,,,,6.0
2025,Army West Point,725,16.0,Emma Hendry,Emma Hendry,Emma,Hendry,Fr,ATT,4.0,0.0,1.0,,1.0,4.0,1.0,,9094807,,,,,,,,1.0,1.0
2025,Army West Point,725,26.0,Hannah Pohlidal,Hannah Pohlidal,Hannah,Pohlidal,Sr,M,3.0,0.0,,,0.0,,,,9101318,,,,,,,,,
2025,Binghamton,62,20.0,Gaby Castillo,Gaby Castillo,Gaby,Castillo,Sr,D,15.0,15.0,,,0.0,1.0,,11.0,8769071,15.0,12.0,6.0,,,,1.0,,
2025,Binghamton,62,24.0,Addie Lowery,Addie Lowery,Addie,Lowery,So,ATT,1.0,0.0,1.0,,1.0,1.0,1.0,,8770546,,,,,,,,,
2025,Binghamton,62,14.0,Cheyanne Carson-Banister,Cheyanne Carson-Banister,Cheyanne,Carson-Banister,Jr,GK,4.0,1.0,,,0.0,,,,8772633,,2.0,,,,,,,
2025,Binghamton,62,21.0,Keira Bauer,Keira Bauer,Keira,Bauer,So,M,7.0,0.0,,1.0,1.0,2.0,1.0,,8767097,,,2.0,1.0,,,,,16.0
2025,Binghamton,62,10.0,Mia Forte,Mia Forte,Mia,Forte,So,M,15.0,14.0,6.0,5.0,11.0,41.0,20.0,7.0,8770922,24.0,13.0,18.0,15.0,2.0,,1.0,2.0,2.0
2025,Binghamton,62,7.0,Marisa Tancredi,Marisa Tancredi,Marisa,Tancredi,Sr,M,11.0,1.0,11.0,3.0,14.0,25.0,20.0,1.0,8767252,4.0,3.0,10.0,4.0,1.0,,1.0,,1.0
2025,Binghamton,62,16.0,Christiana Mastrorocco,Christiana Mastrorocco,Christiana,Mastrorocco,Sr,M,15.0,15.0,5.0,5.0,10.0,9.0,5.0,6.0,8769397,17.0,8.0,17.0,4.0,3.0,,,4.0,
2025,Binghamton,62,26.0,Gretel Cassell,Gretel Cassell,Gretel,Cassell,Jr,D,15.0,15.0,,,0.0,3.0,2.0,12.0,8779718,19.0,15.0,6.0,2.0,,,3.0,1.0,19.0
2025,Binghamton,62,5.0,Jessica Robinson,Jessica Robinson,Jessica,Robinson,Jr,M,15.0,0.0,9.0,14.0,23.0,20.0,15.0,2.0,8783595,4.0,7.0,18.0,4.0,3.0,,,,
2025,Binghamton,62,9.0,Carla Curth,Carla Curth,Carla,Curth,Jr,ATT,15.0,14.0,22.0,12.0,34.0,48.0,35.0,5.0,8782412,7.0,11.0,31.0,12.0,5.0,,2.0,1.0,
