Season,Team,jersey,Full Name,Roster Name,First Name,Last Name,Year,Position,Jersey Number,Games Played,Games Started,Goals,Assists,Points,Shots,Shots on Goal,Ground Balls,Turnovers,Caused Turnovers,Faceoffs Won,Faceoffs Taken,NCAA id
2024,Air Force,43,Mana Wilhelm,Mana Wilhelm,Mana,Wilhelm,Fr,M,43,15,2,7,5,12,28,19,6,7,1,0,0,8455247
2024,Air Force,0,Turner Ashby,Turner Ashby,Turner,Ashby,Fr,ATT,0,15,15,29,14,43,63,44,21,17,8,0,0,8455239
2024,Air Force,14,Luke Vrsansky,Luke Vrsansky,Luke,Vrsansky,So,M,14,15,12,3,6,9,30,15,8,8,1,0,0,8211678
2024,Air Force,1,Caelen Driggs,Caelen Driggs,Caelen,Driggs,So,ATT,1,15,15,33,5,38,81,54,24,23,8,0,0,8208092
2024,Air Force,11,Cole Cunningham,Cole Cunningham,Cole,Cunningham,So,D,11,15,0,2,1,3,3,3,40,3,10,0,0,8212708
2024,Air Force,56,Wes Peene,Wes Peene,Wes,Peene,Jr,M,56,15,14,8,4,12,35,24,11,8,3,0,0,8202208
2024,Air Force,44,Daniel Enoch,Daniel Enoch,Daniel,Enoch,Jr,D,44,15,14,0,0,0,0,0,27,9,9,0,0,8205486
2024,Air Force,16,Jake Knapp,Jake Knapp,Jake,Knapp,Jr,FO,16,15,0,1,2,3,6,3,63,4,1,143,299,8207872
2024,Air Force,10,Josh Yago,Josh Yago,Josh,Yago,Jr,ATT,10,15,15,24,30,54,80,46,35,26,8,0,0,8212524
2024,Air Force,25,James Chastain,James Chastain,James,Chastain,Sr,D,25,15,15,0,0,0,1,0,13,5,14,0,0,8203294
2024,Air Force,17,Chris Bardak,Chris Bardak,Chris,Bardak,Sr,D,17,15,0,4,7,11,25,14,48,3,20,1,6,8202002
2024,Air Force,5,Aidan Tolen,Aidan Tolen,Aidan,Tolen,Sr,M,5,15,15,17,6,23,53,32,5,14,0,0,0,8213015
2024,Air Force,15,Sam Ewing,Sam Ewing,Sam,Ewing,Sr,D,15,14,10,1,0,1,2,1,17,3,7,0,0,8208472
2024,Air Force,45,Charlie Pyfer,Charlie Pyfer,Charlie,Pyfer,Fr,SSDM,45,14,0,1,0,1,5,4,17,3,7,0,2,8455248
2024,Air Force,33,Cole Rassas,Cole Rassas,Cole,Rassas,So,M,33,14,1,10,9,19,37,20,8,7,0,0,0,8201677
2024,Air Force,6,Matt Rubino,Matt Rubino,Matt,Rubino,Jr,ATT,6,13,0,4,0,4,18,9,2,5,0,0,0,8209210
2024,Air Force,41,Jake Mason,Jake Mason,Jake,Mason,Fr,M,41,13,0,6,2,8,25,9,7,1,0,0,0,8455245
2024,Air Force,8,Alexander Stepney,Alexander Stepney,Alexander,Stepney,Jr,M,8,13,0,2,6,8,21,11,5,5,0,0,0,8203892
2024,Air Force,31,Kyle Griffith,Kyle Griffith,Kyle,Griffith,Jr,ATT,31,12,0,6,1,7,15,11,4,3,2,0,0,8209324
2024,Air Force,42,Hunter Panzik,Hunter Panzik,Hunter,Panzik,So,M,42,12,0,5,4,9,22,7,5,11,3,0,0,8208076
2024,Air Force,21,Cody Gross,Cody Gross,Cody,Gross,Jr,D,21,11,2,1,0,1,3,2,15,5,9,0,0,8211035
2024,Air Force,32,Blake Boyd,Blake Boyd,Blake,Boyd,So,SSDM,32,9,0,0,0,0,1,0,4,4,1,0,0,8201434
2024,Air Force,9,Blaze DeGracie,Blaze DeGracie,Blaze,DeGracie,Fr,SSDM,9,9,0,2,2,4,6,2,6,3,2,0,0,8455225
2024,Air Force,24,Connor Albertson,Connor Albertson,Connor,Albertson,So,D,24,9,0,0,0,0,1,1,5,0,3,0,0,8211546
2024,Air Force,26,Quinn Richards,Quinn Richards,Quinn,Richards,Sr,GK,26,9,4,0,0,0,0,0,13,6,2,0,0,8204755
2024,Air Force,54,Nolan Parlette,Nolan Parlette,Nolan,Parlette,So,GK,54,8,5,0,0,0,0,0,11,0,1,0,0,8212571
2024,Air Force,29,Braden Gaab,Braden Gaab,Braden,Gaab,Sr,FO,29,8,0,0,1,1,3,1,16,2,1,0,0,8207720
2024,Air Force,4,Cooper Rich,Cooper Rich,Cooper,Rich,Sr,M,4,8,0,2,0,2,6,3,0,4,0,0,0,8201179
2024,Air Force,3,Jake Marek,Jake Marek,Jake,Marek,Jr,GK,3,7,6,0,0,0,1,0,11,5,1,0,0,8206401
2024,Air Force,7,Will Stax,Will Stax,Will,Stax,Sr,SSDM,7,7,0,0,0,0,0,0,3,1,1,0,0,8211972
2024,Air Force,49,Wells Flinn,Wells Flinn,Wells,Flinn,Fr,SSDM,49,5,0,0,0,0,0,0,1,1,0,0,0,8455252
2024,Air Force,38,Nathan Crouse,Nathan Crouse,Nathan,Crouse,So,SSDM,38,5,0,0,0,0,0,0,1,0,0,0,0,8455241
2024,Air Force,58,Nick Walter,Nick Walter,Nick,Walter,Fr,ATT,58,4,0,0,0,0,2,1,2,0,0,0,0,8455256
2024,Air Force,34,Jack Schulte,Jack Schulte,Jack,Schulte,Fr,ATT,34,4,1,0,0,0,2,2,4,0,0,0,0,8455238
2024,Air Force,35,Baylor Hunt,Baylor Hunt,Baylor,Hunt,So,D,35,4,0,0,0,0,0,0,2,1,1,0,0,8203565
2024,Air Force,27,Matt Rosato,Matt Rosato,Matt,Rosato,So,D,27,4,3,0,0,0,0,0,1,0,5,0,0,8213084
2024,Air Force,55,Huck Patton,Huck Patton,Huck,Patton,Fr,M,55,4,0,1,0,1,1,1,0,0,2,0,0,8455255
2024,Air Force,39,Jake Park,Jake Park,Jake,Park,Fr,ATT,39,4,0,1,1,2,5,3,2,1,0,0,0,8455243
2024,Air Force,22,Ollie Lovell,Ollie Lovell,Ollie,Lovell,Jr,SSDM,22,3,0,0,0,0,1,0,0,0,0,0,0,8210251
2024,Air Force,36,Daniel Haimes,Daniel Haimes,Daniel,Haimes,Jr,FO,36,3,0,0,0,0,0,0,3,0,0,0,0,8204182
2024,Air Force,12,Ryan Stadelmaier,Ryan Stadelmaier,Ryan,Stadelmaier,So,ATT,12,3,0,3,0,3,7,4,2,0,0,0,0,8209967
2024,Air Force,28,Tucker Lowrance,Tucker Lowrance,Tucker,Lowrance,So,D,28,3,0,0,0,0,0,0,1,0,0,0,0,8202308
2024,Air Force,13,Matt Torrey,Matt Torrey,Matt,Torrey,Fr,GK,13,2,0,0,0,0,0,0,0,1,0,0,0,8455229
2024,Air Force,23,Cole Murray,Cole Murray,Cole,Murray,Fr,GK,23,1,0,0,0,0,0,0,1,0,0,0,0,8455233
2024,Air Force,20,Sam Palmisano,Sam Palmisano,Sam,Palmisano,Fr,D,20,1,0,0,0,0,1,0,0,0,0,0,0,8455230
2024,Air Force,50,Jim Breen,Jim Breen,Jim,Breen,So,D,50,1,0,0,0,0,0,0,0,2,0,0,0,8202072
2024,Air Force,47,Henry Spencer,Henry Spencer,Henry,Spencer,Fr,M,47,1,0,0,0,0,0,0,1,0,0,0,0,8455250
2024,Air Force,59,Paul Baldwin,Paul Baldwin,Paul,Baldwin,Fr,ATT,59,1,0,0,1,1,0,0,0,0,0,0,0,8455258
2024,Army West Point,4,Evan Plunkett,Evan Plunkett,Evan,Plunkett,So,M,4,14,14,29,19,48,76,51,11,21,6,0,0,8204499
2024,Army West Point,99,John Sullivan,John Sullivan,John,Sullivan,So,D,99,14,14,0,0,0,1,1,29,4,7,0,0,8202880
2024,Army West Point,41,Gunnar Fellows,Gunnar Fellows,Gunnar,Fellows,So,ATT,41,14,14,26,8,34,64,44,25,16,3,0,0,8201267
