date,team,opponent,home_away,result,home_score,visitor_score,overtime,g,goals,assists,points,shots,sog,man_up_g,man_down_g,gb,to,ct,fo_won,f_os_taken,pen,pen_time,g_min,goals_allowed,saves,w,l,t,rc,yc,clears,att.x,clear_pct.x,otg.x,defensive_g,defensive_goals,defensive_assists,defensive_points,defensive_shots,defensive_sog,defensive_man_up_g,defensive_man_down_g,defensive_gb,defensive_to,defensive_ct,defensive_fo_won,defensive_f_os_taken,defensive_pen,defensive_pen_time,defensive_g_min,defensive_goals_allowed,defensive_saves,defensive_w,defensive_l,defensive_t,defensive_rc,defensive_yc,defensive_clears,att.y,clear_pct.y,otg.y
2020-02-01,Air Force Falcons,Duke,Away,FALSE,14,13,NA,1,14,8,22,26,22,0,0,17,17,4,9,30,3,150,60:00,13,17,0,0,0,0,0,21,26,0.808,NA,1,13,8,21,47,30,0,0,36,17,6,21,30,2,90,60:00,14,8,0,0,0,0,0,17,17,1,NA
2020-02-08,Air Force Falcons,Denver,Home,FALSE,7,13,NA,1,7,5,12,31,16,1,0,21,14,8,6,23,7,300,60:00,13,20,0,0,0,0,0,17,21,0.81,NA,1,13,7,20,46,33,3,0,35,13,9,17,23,1,30,60:00,7,9,0,0,0,0,0,14,16,0.875,NA
2020-02-15,Air Force Falcons,Utah,Away,FALSE,9,8,NA,1,9,6,15,40,21,0,0,22,11,3,9,20,5,180,60:00,8,15,0,0,0,0,0,13,14,0.929,NA,1,8,3,11,38,23,0,0,29,17,3,11,20,1,30,60:00,9,12,0,0,0,0,0,9,12,0.75,NA
2020-02-22,Air Force Falcons,"Cleveland St. Denver, Colo.",Away,FALSE,11,12,1,1,11,8,19,33,19,1,0,27,17,5,12,25,6,270,60:21,12,9,0,0,0,0,0,19,22,0.864,NA,1,12,8,20,37,21,2,0,33,20,8,13,25,5,270,60:21,11,8,0,0,0,0,0,18,19,0.947,1
2020-02-23,Air Force Falcons,"St. Bonaventure Denver, Colo.",Away,FALSE,11,5,NA,1,11,7,18,35,20,2,0,41,18,4,11,19,3,120,60:00,5,8,0,0,0,0,0,18,22,0.818,NA,1,5,3,8,25,13,0,0,20,15,7,8,19,3,90,60:00,11,9,0,0,0,0,0,16,21,0.762,NA
2020-03-01,Air Force Falcons,Virginia,Away,FALSE,5,15,NA,1,5,3,8,28,13,1,0,27,19,7,9,23,4,210,60:00,15,12,0,0,0,0,0,15,23,0.652,NA,1,15,10,25,40,27,2,0,37,16,14,14,23,4,240,60:00,5,8,0,0,0,0,0,23,25,0.92,NA
2020-03-08,Air Force Falcons,Canisius,Home,FALSE,15,11,NA,1,15,10,25,38,26,0,0,39,17,11,21,30,2,150,59:53,11,5,0,0,0,0,0,12,14,0.857,NA,1,11,6,17,27,16,0,0,27,16,7,9,30,1,60,59:53,15,11,0,0,0,0,0,12,14,0.857,NA
2020-02-08,Army West Point Black Knights,Massachusetts,Home,FALSE,17,4,NA,1,17,9,26,45,28,3,0,33,14,15,12,25,6,300,60:00,4,13,0,0,0,0,0,21,25,0.84,NA,1,4,2,6,26,17,0,0,30,23,4,13,25,6,360,60:00,17,11,0,0,0,0,0,16,20,0.8,NA
2020-02-10,Army West Point Black Knights,NJIT,Home,FALSE,19,1,NA,1,19,14,33,42,29,0,0,40,16,9,14,24,1,30,60:00,1,9,0,0,0,0,0,22,23,0.957,NA,1,1,0,1,18,10,0,0,37,27,7,10,24,2,90,60:00,19,10,0,0,0,0,0,14,21,0.667,NA
2020-02-15,Army West Point Black Knights,Rutgers,Home,FALSE,15,4,NA,1,15,12,27,39,21,0,0,37,22,8,15,22,3,150,60:00,4,18,0,0,0,0,0,18,23,0.783,NA,1,4,3,7,36,22,1,0,20,15,5,7,22,3,90,60:00,15,6,0,0,0,0,0,15,17,0.882,NA
2020-02-18,Army West Point Black Knights,Marist,Away,FALSE,9,17,NA,1,9,7,16,45,25,1,0,38,16,9,11,28,7,330,60:00,17,10,0,0,0,0,0,23,25,0.92,NA,1,17,12,29,38,27,2,0,36,19,7,17,28,5,210,60:00,9,16,0,0,0,0,0,20,26,0.769,NA
2020-02-23,Army West Point Black Knights,Syracuse,Away,FALSE,7,9,NA,1,7,5,12,32,25,1,0,30,14,7,3,19,1,60,60:00,9,16,0,0,0,0,0,25,29,0.862,NA,1,9,2,11,47,25,0,0,38,15,5,16,19,4,150,60:00,7,18,0,0,0,0,0,24,26,0.923,NA
