date,team,opponent,home_away,result,home_score,visitor_score,overtime,g,goals,assists,points,shots,sog,man_up_g,man_down_g,gb,to,ct,fo_won,f_os_taken,pen,pen_time,g_min,goals_allowed,saves,w,l,t,rc,yc,clears,att.x,clear_pct.x,otg.x,defensive_g,defensive_goals,defensive_assists,defensive_points,defensive_shots,defensive_sog,defensive_man_up_g,defensive_man_down_g,defensive_gb,defensive_to,defensive_ct,defensive_fo_won,defensive_f_os_taken,defensive_pen,defensive_pen_time,defensive_g_min,defensive_goals_allowed,defensive_saves,defensive_w,defensive_l,defensive_t,defensive_rc,defensive_yc,defensive_clears,att.y,clear_pct.y,otg.y
2020-02-29,Army West Point Black Knights,Holy Cross,Home,FALSE,12,5,NA,1,12,8,20,39,25,1,0,40,23,12,8,18,3,180,60:00,5,9,0,0,0,0,0,16,25,0.64,NA,1,5,3,8,28,14,1,0,30,29,14,10,18,3,180,60:00,12,13,0,0,0,0,0,13,24,0.542,NA
2020-03-03,Army West Point Black Knights,Binghamton,Home,FALSE,15,10,NA,1,15,9,24,35,27,1,0,36,16,13,14,29,5,240,60:00,10,10,0,0,0,0,0,21,22,0.955,NA,1,10,10,20,37,20,2,0,32,22,5,15,29,2,90,60:00,15,12,0,0,0,0,0,18,22,0.818,NA
2020-03-07,Army West Point Black Knights,Lafayette,Away,FALSE,16,8,NA,1,16,11,27,50,27,1,0,33,14,12,10,28,1,30,60:00,8,8,0,0,0,0,0,20,24,0.833,NA,1,8,3,11,37,16,0,0,32,22,7,18,28,3,180,60:00,16,11,0,0,0,0,0,18,22,0.818,NA
2020-02-01,Bellarmine Knights,Utah,Away,FALSE,10,16,NA,1,10,4,14,35,20,0,0,21,17,3,12,29,0,0,60:00,16,20,0,0,0,0,0,11,12,0.917,NA,1,16,13,29,48,36,0,0,35,11,9,17,29,3,120,60:00,10,10,0,0,0,0,0,12,13,0.923,NA
2020-02-08,Bellarmine Knights,Marquette,Away,FALSE,10,11,NA,1,10,6,16,32,15,2,0,28,21,7,11,23,3,180,60:00,11,9,0,0,0,0,0,14,16,0.875,NA,1,11,7,18,33,20,1,0,40,20,11,12,23,5,270,60:00,10,5,0,0,0,0,0,16,21,0.762,NA
2020-02-11,Bellarmine Knights,Hampton,Home,FALSE,21,5,NA,1,21,11,32,58,42,1,0,36,21,13,11,28,5,270,60:00,5,8,0,0,0,0,0,18,19,0.947,NA,1,5,4,9,16,13,1,0,30,30,6,17,28,3,150,60:00,21,21,0,0,0,0,0,11,24,0.458,NA
2020-02-15,Bellarmine Knights,St. Bonaventure,Home,FALSE,13,5,NA,1,13,9,22,49,29,0,0,38,19,10,18,22,1,60,60:00,5,11,0,0,0,0,0,17,23,0.739,NA,1,5,4,9,27,16,1,0,14,20,6,4,22,1,30,60:00,13,16,0,0,0,0,0,23,27,0.852,NA
2020-02-18,Bellarmine Knights,Detroit Mercy,Away,FALSE,13,20,NA,1,13,4,17,40,25,1,0,28,7,9,10,37,4,210,60:00,20,8,0,0,0,0,0,16,18,0.889,NA,1,20,13,33,43,28,2,0,46,15,3,27,37,3,180,60:00,13,12,0,0,0,0,0,18,21,0.857,NA
2020-02-22,Bellarmine Knights,Boston U.,Home,FALSE,11,17,NA,1,11,6,17,38,22,1,0,25,20,14,7,31,3,120,60:00,17,8,0,0,0,0,0,22,23,0.957,NA,1,17,11,28,35,25,2,0,35,26,12,24,31,4,210,60:00,11,11,0,0,0,0,0,21,24,0.875,NA
2020-02-29,Bellarmine Knights,Georgetown,Away,FALSE,4,13,NA,1,4,4,8,31,19,1,0,25,22,6,6,21,1,60,60:00,13,14,0,0,0,0,0,17,24,0.708,NA,1,13,8,21,43,27,0,0,43,15,11,15,21,2,90,60:00,4,15,0,0,0,0,0,22,23,0.957,NA
2020-03-06,Bellarmine Knights,Cleveland St.,Away,FALSE,8,9,NA,1,8,5,13,33,17,1,0,28,17,9,2,20,4,270,60:00,9,16,0,0,0,0,0,25,32,0.781,NA,1,9,5,14,48,25,1,0,38,20,4,18,20,1,60,60:00,8,9,0,0,0,0,0,15,17,0.882,NA
2020-02-08,Binghamton Bearcats,Marist,Away,FALSE,4,12,NA,1,4,1,5,28,12,0,0,20,22,6,3,18,4,330,60:00,12,17,0,0,0,0,0,22,27,0.815,NA,1,12,7,19,42,29,2,0,24,14,13,15,18,5,240,60:00,4,8,0,0,0,0,0,17,18,0.944,NA
2020-02-15,Binghamton Bearcats,Syracuse,Away,FALSE,4,17,NA,1,4,2,6,21,15,0,0,31,21,6,4,25,2,90,60:00,17,18,0,0,0,0,0,21,24,0.875,NA,1,17,10,27,55,35,0,0,50,13,12,21,25,0,0,60:00,4,11,0,0,0,0,0,19,23,0.826,NA
2020-02-22,Binghamton Bearcats,Lafayette,Home,FALSE,11,10,3,1,11,8,19,42,23,1,0,30,17,13,13,24,4,180,72:00,10,9,0,0,0,0,0,17,19,0.895,1,1,10,5,15,29,19,1,0,39,23,8,11,24,6,300,72:00,11,12,0,0,0,0,0,25,27,0.926,NA
2020-02-25,Binghamton Bearcats,Bucknell,Home,FALSE,4,16,NA,1,4,1,5,17,8,0,0,30,27,13,7,24,6,300,60:00,16,20,0,0,0,0,0,20,33,0.606,NA,1,16,12,28,53,36,6,0,44,19,13,17,24,3,120,60:00,4,4,0,0,0,0,0,26,27,0.963,NA
2020-03-03,Binghamton Bearcats,Army West Point,Away,FALSE,10,15,NA,1,10,10,20,37,20,2,0,32,22,5,15,29,2,90,60:00,15,12,0,0,0,0,0,18,22,0.818,NA,1,15,9,24,35,27,1,0,36,16,13,14,29,5,240,60:00,10,10,0,0,0,0,0,21,22,0.955,NA
2020-03-07,Binghamton Bearcats,Hobart,Away,FALSE,9,16,NA,1,9,3,12,34,24,1,0,31,18,2,9,28,2,60,60:00,16,13,0,0,0,0,0,18,21,0.857,NA,1,16,11,27,45,29,1,0,34,18,6,19,28,1,30,60:00,9,15,0,0,0,0,0,19,21,0.905,NA
2020-02-01,Boston U. Terriers,Providence,Home,FALSE,5,12,NA,1,5,3,8,28,15,0,0,32,28,14,15,21,2,90,60:00,12,12,0,0,0,0,0,20,23,0.87,NA,1,12,8,20,42,24,1,0,32,22,10,6,21,0,0,60:00,5,10,0,0,0,0,0,22,29,0.759,NA
2020-02-08,Boston U. Terriers,Ohio St.,Home,FALSE,4,11,NA,1,4,3,7,43,22,1,0,38,20,16,15,18,1,60,60:00,11,8,0,0,0,0,0,21,25,0.84,NA,1,11,7,18,32,19,0,0,26,21,11,3,18,5,210,60:00,4,18,0,0,0,0,0,23,24,0.958,NA
2020-02-15,Boston U. Terriers,UMass Lowell,Away,FALSE,13,5,NA,1,13,6,19,47,29,3,0,29,12,7,10,20,5,240,60:00,5,17,0,0,0,0,0,21,23,0.913,NA,1,5,4,9,38,22,0,0,38,14,6,10,20,8,510,60:00,13,16,0,0,0,0,0,15,16,0.938,NA
2020-02-18,Boston U. Terriers,Bryant,Away,FALSE,10,15,NA,1,10,8,18,26,17,1,0,40,23,17,11,26,7,360,60:00,15,16,0,0,0,0,0,16,20,0.8,NA,1,15,6,21,50,31,2,0,38,22,14,15,26,6,330,60:00,10,7,0,0,0,0,0,18,23,0.783,NA
2020-02-22,Boston U. Terriers,Bellarmine,Away,FALSE,17,11,NA,1,17,11,28,35,25,2,0,35,26,12,24,31,4,210,60:00,11,11,0,0,0,0,0,21,24,0.875,NA,1,11,6,17,38,22,1,0,25,20,14,7,31,3,120,60:00,17,8,0,0,0,0,0,22,23,0.957,NA
2020-02-29,Boston U. Terriers,Colgate,Away,FALSE,13,12,NA,1,13,7,20,45,24,1,0,37,20,9,12,27,1,60,60:00,12,10,0,0,0,0,0,21,23,0.913,NA,1,12,7,19,31,22,1,0,32,22,4,15,27,5,270,60:00,13,11,0,0,0,0,0,18,25,0.72,NA
2020-02-15,Brown Bears,Quinnipiac,Home,FALSE,11,7,NA,1,11,5,16,60,32,3,0,34,12,7,13,20,4,240,60:00,7,11,0,0,0,0,0,20,23,0.87,NA,1,7,2,9,33,18,2,0,20,18,1,7,20,6,210,60:00,11,21,0,0,0,0,0,20,23,0.87,NA
2020-02-18,Brown Bears,Sacred Heart,Home,FALSE,20,7,NA,1,20,15,35,54,30,3,0,38,16,15,16,28,4,210,60:00,7,14,0,0,0,0,0,24,26,0.923,NA,1,7,3,10,34,21,2,0,26,20,4,12,28,4,210,60:00,20,10,0,0,0,0,0,16,19,0.842,NA
2020-02-22,Brown Bears,Stony Brook,Away,FALSE,10,11,1,1,10,5,15,61,32,0,0,33,14,5,15,24,4,150,64:00,11,12,0,0,0,0,0,13,15,0.867,NA,1,11,5,16,41,23,1,0,32,17,6,9,24,4,180,64:00,10,22,0,0,0,0,0,20,23,0.87,1
2020-02-29,Brown Bears,Providence,Home,FALSE,12,13,1,1,12,7,19,43,28,0,0,46,16,9,20,29,3,150,62:44,13,12,0,0,0,0,0,19,22,0.864,NA,1,13,7,20,41,25,2,0,34,16,6,9,29,3,150,62:44,12,16,0,0,0,0,0,20,26,0.769,1
2020-03-08,Brown Bears,Virginia,Home,FALSE,14,13,NA,1,14,5,19,46,31,2,0,35,14,9,16,31,6,300,60:00,13,16,0,0,0,0,0,19,26,0.731,NA,1,13,9,22,54,29,1,0,39,20,8,15,31,4,180,60:00,14,17,0,0,0,0,0,18,22,0.818,NA
2020-02-09,Bryant Bulldogs,Bucknell,Home,FALSE,9,11,NA,1,9,6,15,41,26,0,0,26,11,3,11,24,1,30,60:00,11,15,0,0,0,0,0,16,17,0.941,NA,1,11,5,16,43,26,0,0,34,10,5,13,24,3,120,60:00,9,17,0,0,0,0,0,20,21,0.952,NA
2020-02-15,Bryant Bulldogs,Providence,Away,FALSE,9,16,NA,1,9,5,14,37,24,1,0,23,18,6,13,29,3,180,60:00,16,10,0,0,0,0,0,13,17,0.765,NA,1,16,8,24,47,26,1,0,44,16,9,16,29,6,270,60:00,9,15,0,0,0,0,0,18,22,0.818,NA
2020-02-18,Bryant Bulldogs,Boston U.,Home,FALSE,15,10,NA,1,15,6,21,50,31,2,0,38,22,14,15,26,6,330,60:00,10,7,0,0,0,0,0,18,23,0.783,NA,1,10,8,18,26,17,1,0,40,23,17,11,26,7,360,60:00,15,16,0,0,0,0,0,16,20,0.8,NA
2020-02-22,Bryant Bulldogs,Dartmouth,Away,FALSE,8,11,NA,1,8,5,13,35,18,1,0,24,14,7,10,23,2,120,60:00,11,6,0,0,0,0,0,17,18,0.944,NA,1,11,7,18,30,17,0,0,36,15,12,13,23,2,120,60:00,8,14,0,0,0,0,0,19,23,0.826,NA
2020-02-29,Bryant Bulldogs,Manhattan,Away,FALSE,16,5,NA,1,16,10,26,55,33,2,0,33,13,5,19,25,2,120,60:00,5,7,0,0,0,0,0,13,14,0.929,NA,1,5,3,8,20,12,0,0,20,16,3,6,25,3,120,60:00,16,17,0,0,0,0,0,14,18,0.778,NA
2020-03-07,Bryant Bulldogs,Stony Brook,Home,FALSE,15,11,NA,1,15,7,22,42,29,1,1,29,11,7,14,29,6,330,60:00,11,18,0,0,0,0,0,17,19,0.895,NA,1,11,6,17,51,29,3,0,42,13,7,15,29,4,150,60:00,15,14,0,0,0,0,0,14,14,1,NA
2020-03-10,Bryant Bulldogs,North Carolina,Away,FALSE,16,18,NA,1,16,5,21,41,25,2,0,23,15,7,13,38,1,60,60:00,18,15,0,0,0,0,0,16,21,0.762,NA,1,18,12,30,44,33,1,0,44,12,6,25,38,4,120,60:00,16,9,0,0,0,0,0,13,15,0.867,NA
2020-02-01,Bucknell Bison,"Furman Durham, N.C.",Away,FALSE,16,9,NA,1,16,5,21,55,34,3,0,42,14,9,18,28,4,270,60:00,9,7,0,0,0,0,0,15,16,0.938,NA,1,9,7,16,28,16,2,0,24,21,4,10,28,5,240,60:00,16,18,0,0,0,0,0,19,26,0.731,NA
2020-02-09,Bucknell Bison,Bryant,Away,FALSE,11,9,NA,1,11,5,16,43,26,0,0,34,10,5,13,24,3,120,60:00,9,17,0,0,0,0,0,20,21,0.952,NA,1,9,6,15,41,26,0,0,26,11,3,11,24,1,30,60:00,11,15,0,0,0,0,0,16,17,0.941,NA
2020-02-15,Bucknell Bison,Sacred Heart,Home,FALSE,14,11,NA,1,14,11,25,56,33,1,0,44,18,17,17,29,3,150,60:00,11,17,0,0,0,0,0,16,23,0.696,NA,1,11,7,18,43,28,1,0,35,25,11,12,29,1,30,60:00,14,19,0,0,0,0,0,18,29,0.621,NA
2020-02-22,Bucknell Bison,Ohio St.,Home,FALSE,11,15,NA,1,11,6,17,37,24,0,0,34,16,11,14,29,1,60,60:00,15,11,0,0,0,0,0,14,21,0.667,NA,1,15,8,23,33,26,1,0,32,18,5,15,29,5,240,60:00,11,13,0,0,0,0,0,17,21,0.81,NA
2020-02-25,Bucknell Bison,Binghamton,Away,FALSE,16,4,NA,1,16,12,28,53,36,6,0,44,19,13,17,24,3,120,60:00,4,4,0,0,0,0,0,26,27,0.963,NA,1,4,1,5,17,8,0,0,30,27,13,7,24,6,300,60:00,16,20,0,0,0,0,0,20,33,0.606,NA
2020-02-29,Bucknell Bison,Marist,Home,FALSE,20,11,NA,1,20,13,33,56,33,0,0,41,16,18,16,34,6,300,60:00,11,9,0,0,0,0,0,20,23,0.87,NA,1,11,9,20,35,20,4,0,33,24,11,18,34,2,90,60:00,20,13,0,0,0,0,0,10,19,0.526,NA
2020-02-08,Canisius Golden Griffins,Hobart,Away,FALSE,8,22,NA,1,8,5,13,38,24,1,0,30,15,5,15,33,5,210,60:00,22,16,0,0,0,0,0,16,18,0.889,NA,1,22,6,28,53,38,3,0,31,14,7,18,33,6,240,60:00,8,16,0,0,0,0,0,18,24,0.75,NA
2020-02-15,Canisius Golden Griffins,Robert Morris,Home,FALSE,10,22,NA,1,10,4,14,27,18,1,0,42,22,6,11,35,4,180,60:00,22,19,0,0,0,0,0,13,21,0.619,NA,1,22,9,31,60,41,2,1,45,14,4,24,35,6,300,60:00,10,8,0,0,0,0,0,19,19,1,NA
2020-02-18,Canisius Golden Griffins,Michigan,Away,FALSE,8,16,NA,1,8,3,11,29,18,1,0,27,16,2,8,27,3,150,60:00,16,16,0,0,0,0,0,18,22,0.818,NA,1,16,7,23,52,32,2,0,50,11,7,19,27,3,120,60:00,8,10,0,0,0,0,0,15,17,0.882,NA
2020-02-22,Canisius Golden Griffins,Hartford,Away,FALSE,4,10,NA,1,4,3,7,25,16,0,0,16,15,1,6,18,4,150,60:00,10,24,0,0,0,0,0,18,22,0.818,NA,1,10,6,16,49,34,1,0,37,13,9,12,18,3,120,60:00,4,12,0,0,0,0,0,15,16,0.938,NA
2020-03-08,Canisius Golden Griffins,Air Force,Away,FALSE,11,15,NA,1,11,6,17,27,16,0,0,27,16,7,9,30,1,60,59:53,15,11,0,0,0,0,0,12,14,0.857,NA,1,15,10,25,38,26,0,0,39,17,11,21,30,2,150,59:53,11,5,0,0,0,0,0,12,14,0.857,NA
2020-02-01,Cleveland St. Vikings,Marquette,Home,FALSE,10,11,1,1,10,6,16,38,20,1,0,29,21,6,14,23,1,30,60:25,11,7,0,0,0,0,0,19,21,0.905,NA,1,11,4,15,37,18,0,0,32,17,12,9,23,4,210,60:25,10,10,0,0,0,0,0,20,26,0.769,1
2020-02-08,Cleveland St. Vikings,Michigan,Away,FALSE,9,16,NA,1,9,6,15,39,21,0,0,30,17,5,10,28,3,210,60:00,16,10,0,0,0,0,0,16,22,0.727,NA,1,16,11,27,48,26,4,0,43,17,10,18,28,2,90,60:00,9,12,0,0,0,0,0,19,26,0.731,NA
2020-02-15,Cleveland St. Vikings,Notre Dame,Away,FALSE,7,17,NA,1,7,3,10,36,21,1,0,31,18,6,17,28,5,270,60:00,17,13,0,0,0,0,0,16,19,0.842,NA,1,17,10,27,47,30,2,0,32,14,7,11,28,1,60,60:00,7,14,0,0,0,0,0,24,29,0.828,NA
2020-02-22,Cleveland St. Vikings,"Air Force Denver, Colo.",Away,FALSE,12,11,1,1,12,8,20,37,21,2,0,33,20,8,13,25,5,270,60:21,11,8,0,0,0,0,0,18,19,0.947,1,1,11,8,19,33,19,1,0,27,17,5,12,25,6,270,60:21,12,9,0,0,0,0,0,19,22,0.864,NA
2020-02-23,Cleveland St. Vikings,Denver,Away,FALSE,6,10,NA,1,6,3,9,29,10,1,0,28,24,6,11,20,2,60,60:00,10,12,0,0,0,0,0,13,22,0.591,NA,1,10,3,13,41,22,0,0,27,10,15,9,20,3,90,60:00,6,4,0,0,0,0,0,21,21,1,NA
2020-03-06,Cleveland St. Vikings,Bellarmine,Home,FALSE,9,8,NA,1,9,5,14,48,25,1,0,38,20,4,18,20,1,60,60:00,8,9,0,0,0,0,0,15,17,0.882,NA,1,8,5,13,33,17,1,0,28,17,9,2,20,4,270,60:00,9,16,0,0,0,0,0,25,32,0.781,NA
2020-03-09,Cleveland St. Vikings,"Mercer Towson, Md.",Away,FALSE,13,16,NA,1,13,8,21,42,21,1,0,25,15,6,16,30,2,90,60:00,16,5,0,0,0,0,0,14,18,0.778,NA,1,16,9,25,36,21,0,0,22,19,5,14,30,5,240,60:00,13,8,0,0,0,0,0,17,20,0.85,NA
2020-02-01,Colgate Raiders,North Carolina,Away,FALSE,6,19,NA,1,6,3,9,33,20,2,0,39,27,10,12,28,5,270,60:00,19,12,0,0,0,0,0,16,22,0.727,NA,1,19,11,30,42,31,3,1,39,19,11,16,28,6,240,60:00,6,14,0,0,0,0,0,19,26,0.731,NA
2020-02-07,Colgate Raiders,Syracuse,Away,FALSE,14,21,NA,1,14,6,20,45,26,3,0,30,21,7,14,39,2,120,60:00,21,15,0,0,0,0,0,15,23,0.652,NA,1,21,11,32,65,36,1,1,45,10,13,25,39,6,300,60:00,14,12,0,0,0,0,0,22,22,1,NA
2020-02-18,Colgate Raiders,Princeton,Away,FALSE,11,20,NA,1,11,8,19,47,21,3,0,40,20,8,19,33,4,180,60:00,20,18,0,0,0,0,0,14,21,0.667,NA,1,20,14,34,54,38,2,0,40,13,12,14,33,6,300,60:00,11,10,0,0,0,0,0,17,18,0.944,NA
2020-02-22,Colgate Raiders,Hobart,Away,FALSE,13,21,NA,1,13,9,22,45,31,4,0,31,17,5,19,39,6,300,60:00,21,16,0,0,0,0,0,20,22,0.909,NA,1,21,9,30,61,37,3,0,36,15,8,20,39,7,330,60:00,13,18,0,0,0,0,0,19,23,0.826,NA
2020-02-29,Colgate Raiders,Boston U.,Home,FALSE,12,13,NA,1,12,7,19,31,22,1,0,32,22,4,15,27,5,270,60:00,13,11,0,0,0,0,0,18,25,0.72,NA,1,13,7,20,45,24,1,0,37,20,9,12,27,1,60,60:00,12,10,0,0,0,0,0,21,23,0.913,NA
2020-03-07,Colgate Raiders,Navy,Away,FALSE,14,16,NA,1,14,11,25,57,29,1,0,37,11,5,23,34,5,270,60:00,16,10,0,0,0,0,0,15,15,1,NA,1,16,12,28,43,26,3,0,41,10,7,11,34,4,210,60:00,14,15,0,0,0,0,0,19,22,0.864,NA
2020-02-15,Cornell Big Red,UAlbany,Away,FALSE,19,10,NA,1,19,7,26,50,32,0,0,49,17,7,21,32,4,210,60:00,10,10,0,0,0,0,0,21,24,0.875,NA,1,10,8,18,37,20,1,0,32,16,8,11,32,4,210,60:00,19,13,0,0,0,0,0,21,24,0.875,NA
2020-02-21,Cornell Big Red,Towson,Away,FALSE,17,10,NA,1,17,8,25,48,30,0,0,40,14,9,21,31,1,60,60:00,10,8,0,0,0,0,0,17,20,0.85,NA,1,10,6,16,34,18,1,0,28,14,7,10,31,1,60,60:00,17,13,0,0,0,0,0,13,15,0.867,NA
2020-02-23,Cornell Big Red,High Point Calvert Hall,Away,FALSE,21,11,NA,1,21,15,36,43,33,4,0,46,19,9,24,35,10,570,60:00,11,10,0,0,0,0,0,21,24,0.875,NA,1,11,7,18,40,21,5,0,21,19,8,11,35,6,240,60:00,21,12,0,0,0,0,0,23,30,0.767,NA
2020-03-01,Cornell Big Red,Ohio St.,Away,FALSE,17,16,NA,1,17,11,28,47,32,2,0,25,9,6,7,37,7,420,60:00,16,9,0,0,0,0,0,20,23,0.87,NA,1,16,7,23,42,25,1,0,33,25,4,30,37,5,300,60:00,17,15,0,0,0,0,0,12,16,0.75,NA
2020-03-08,Cornell Big Red,"Penn St. Cornelius, N.C.",Away,FALSE,18,17,NA,1,18,11,29,40,27,2,0,41,11,9,19,39,7,390,60:00,17,6,0,0,0,0,0,11,11,1,NA,1,17,9,26,33,23,3,0,45,17,3,20,39,2,90,60:00,18,9,0,0,0,0,0,11,16,0.688,NA
2020-02-15,Dartmouth Big Green,Merrimack,Away,FALSE,13,11,NA,1,13,7,20,36,22,1,0,35,17,9,13,27,4,300,60:00,11,14,0,0,0,0,0,19,23,0.826,NA,1,11,7,18,40,25,4,0,29,14,10,14,27,3,90,60:00,13,9,0,0,0,0,0,12,17,0.706,NA
2020-02-22,Dartmouth Big Green,Bryant,Home,FALSE,11,8,NA,1,11,7,18,30,17,0,0,36,15,12,13,23,2,120,60:00,8,14,0,0,0,0,0,19,23,0.826,NA,1,8,5,13,35,18,1,0,24,14,7,10,23,2,120,60:00,11,6,0,0,0,0,0,17,18,0.944,NA
2020-02-29,Dartmouth Big Green,UMass Lowell,Away,FALSE,14,5,NA,1,14,7,21,35,19,1,1,31,15,6,13,21,5,210,60:00,5,10,0,0,0,0,0,18,19,0.947,NA,1,5,4,9,33,15,1,0,23,16,2,8,21,5,240,60:00,14,5,0,0,0,0,0,14,15,0.933,NA
2020-03-07,Dartmouth Big Green,Vermont,Away,FALSE,8,9,NA,1,8,5,13,31,20,2,0,19,14,7,8,19,5,270,60:00,9,16,0,0,0,0,0,13,16,0.812,NA,1,9,5,14,30,23,2,0,23,15,7,11,19,5,270,60:00,8,12,0,0,0,0,0,17,20,0.85,NA
2020-02-08,Delaware Blue Hens,Mount St. Mary's,Home,FALSE,14,8,NA,1,14,9,23,40,26,1,3,34,16,10,10,26,8,540,60:00,8,19,0,0,0,0,0,17,20,0.85,NA,1,8,4,12,48,27,4,0,38,14,9,16,26,5,300,60:00,14,12,0,0,0,0,0,10,12,0.833,NA
2020-02-15,Delaware Blue Hens,NJIT,Home,FALSE,13,1,NA,1,13,7,20,55,32,0,0,34,14,18,11,18,3,90,60:00,1,14,0,0,0,0,0,26,29,0.897,NA,1,1,1,2,22,15,0,0,26,23,10,7,18,2,120,60:00,13,19,0,0,0,0,0,20,24,0.833,NA
2020-02-18,Delaware Blue Hens,Saint Joseph's,Away,FALSE,8,11,NA,1,8,5,13,42,26,2,0,21,11,3,8,22,5,210,60:00,11,9,0,0,0,0,0,18,19,0.947,NA,1,11,6,17,32,20,2,0,27,18,7,14,22,3,150,60:00,8,18,0,0,0,0,0,21,22,0.955,NA
2020-02-22,Delaware Blue Hens,Monmouth,Away,FALSE,11,2,NA,1,11,8,19,42,26,2,0,33,16,10,7,15,3,180,60:00,2,12,0,0,0,0,0,21,23,0.913,NA,1,2,1,3,23,14,0,0,26,20,5,8,15,5,270,60:00,11,15,0,0,0,0,0,20,23,0.87,NA
2020-02-29,Delaware Blue Hens,Villanova,Home,FALSE,10,19,NA,1,10,5,15,46,25,2,0,25,12,13,13,32,4,180,60:00,19,3,0,0,0,0,0,13,14,0.929,NA,1,19,11,30,40,22,1,0,40,24,6,19,32,4,210,60:00,10,15,0,0,0,0,0,23,26,0.885,NA
