date,team,opponent,home_away,result,home_score,visitor_score,overtime,fouls,goals,assists,points,shots,sog,ground_balls,ct,draw_controls,defensive_fouls,defensive_goals,defensive_assists,defensive_points,defensive_shots,defensive_sog,defensive_ground_balls,defensive_ct,defensive_draw_controls,team_id
2019-03-23,Army West Point,American,Away,,10,12,,6.0,10.0,1.0,11.0,36.0,19.0,16,3.0,12,14.0,12.0,6.0,18.0,31.0,21.0,22,5.0,11,725
2019-03-27,Army West Point,Holy Cross,Home,,19,13,,25.0,19.0,12.0,31.0,38.0,28.0,16,10.0,21,23.0,13.0,2.0,15.0,41.0,30.0,25,8.0,12,725
2019-03-30,Army West Point,Lehigh,Away,,15,13,,19.0,15.0,5.0,20.0,28.0,21.0,13,8.0,13,14.0,13.0,8.0,21.0,29.0,24.0,10,7.0,16,725
2019-04-06,Army West Point,Lafayette,Home,,16,14,,27.0,16.0,9.0,25.0,28.0,19.0,13,7.0,18,18.0,14.0,3.0,17.0,35.0,22.0,13,5.0,13,725
2019-04-13,Army West Point,Navy,Away,,8,21,,23.0,8.0,5.0,13.0,17.0,12.0,10,2.0,14,16.0,21.0,16.0,37.0,38.0,26.0,21,17.0,17,725
2019-04-17,Army West Point,Colgate,Away,,12,9,,12.0,12.0,2.0,14.0,30.0,21.0,8,3.0,15,20.0,9.0,4.0,13.0,28.0,19.0,14,5.0,8,725
2019-04-20,Army West Point,Boston U.,Away,,15,9,,19.0,15.0,5.0,20.0,33.0,22.0,11,2.0,14,19.0,9.0,4.0,13.0,32.0,21.0,13,9.0,10,725
2019-04-25,Army West Point,Bucknell,Home,,15,5,,18.0,15.0,7.0,22.0,33.0,23.0,19,9.0,17,14.0,5.0,2.0,7.0,20.0,15.0,23,10.0,5,725
2019-04-28,Army West Point,Lehigh,Home,,12,9,,24.0,12.0,4.0,16.0,32.0,24.0,18,10.0,15,23.0,9.0,4.0,13.0,23.0,19.0,11,10.0,8,725
2019-05-02,Army West Point,Navy,Home,,10,20,,25.0,10.0,4.0,14.0,31.0,16.0,9,2.0,6,14.0,20.0,5.0,25.0,42.0,33.0,15,3.0,26,725
2019-02-12,Binghamton,Syracuse,Away,,5,15,,18.0,5.0,2.0,7.0,12.0,10.0,19,4.0,9,38.0,15.0,5.0,20.0,40.0,28.0,34,20.0,12,62
2019-02-17,Binghamton,Niagara,Home,,9,11,,15.0,9.0,3.0,12.0,32.0,23.0,22,8.0,10,4.0,11.0,2.0,13.0,35.0,29.0,18,9.0,12,62
2019-02-20,Binghamton,Colgate,Away,,6,7,,8.0,6.0,1.0,7.0,15.0,12.0,20,11.0,5,14.0,7.0,1.0,8.0,28.0,15.0,20,7.0,9,62
2019-02-24,Binghamton,Dartmouth,Home,,6,19,,17.0,6.0,3.0,9.0,13.0,11.0,14,6.0,8,8.0,19.0,11.0,30.0,47.0,39.0,24,11.0,19,62
2019-03-01,Binghamton,Marist,Home,,8,12,,12.0,8.0,,8.0,22.0,17.0,15,7.0,7,20.0,12.0,6.0,18.0,28.0,22.0,14,8.0,14,62
2019-03-09,Binghamton,Ohio St.,Away,,7,13,,16.0,7.0,2.0,9.0,29.0,22.0,19,9.0,12,26.0,13.0,5.0,18.0,24.0,18.0,22,5.0,9,62
2019-03-13,Binghamton,Lafayette,Home,,12,13,,21.0,12.0,5.0,17.0,29.0,26.0,14,8.0,14,14.0,13.0,5.0,18.0,33.0,25.0,20,8.0,13,62
2019-03-16,Binghamton,Harvard,Home,,8,12,,9.0,8.0,5.0,13.0,19.0,13.0,14,5.0,7,8.0,12.0,6.0,18.0,35.0,22.0,17,12.0,15,62
2019-03-23,Binghamton,New Hampshire,Away,,10,12,,,10.0,3.0,13.0,28.0,19.0,8,4.0,12,,12.0,3.0,15.0,31.0,23.0,20,6.0,12,62
2019-03-27,Binghamton,Cornell,Away,,5,23,,13.0,5.0,2.0,7.0,17.0,9.0,10,6.0,9,17.0,23.0,10.0,33.0,39.0,35.0,19,11.0,20,62
2019-03-30,Binghamton,UAlbany,Home,,8,19,,13.0,8.0,3.0,11.0,32.0,20.0,18,7.0,9,16.0,19.0,11.0,30.0,35.0,27.0,11,6.0,20,62
2019-04-03,Binghamton,UMBC,Away,,9,10,1,24.0,9.0,4.0,13.0,21.0,16.0,17,4.0,9,14.0,10.0,6.0,16.0,31.0,19.0,24,8.0,12,62
2019-04-06,Binghamton,UMass Lowell,Home,,13,7,,12.0,13.0,6.0,19.0,33.0,24.0,21,6.0,16,21.0,7.0,3.0,10.0,31.0,15.0,20,9.0,6,62
2019-04-13,Binghamton,Hartford,Home,,17,5,,10.0,17.0,8.0,25.0,51.0,37.0,34,14.0,13,15.0,5.0,3.0,8.0,14.0,11.0,15,2.0,11,62
2019-04-19,Binghamton,Stony Brook,Away,,4,20,,19.0,4.0,2.0,6.0,8.0,7.0,10,4.0,9,6.0,20.0,12.0,32.0,37.0,28.0,16,4.0,16,62
2019-04-24,Binghamton,Canisius,Away,,9,10,,14.0,9.0,3.0,12.0,33.0,24.0,20,9.0,11,12.0,10.0,5.0,15.0,24.0,20.0,18,11.0,10,62
2019-04-27,Binghamton,Vermont,Home,,3,23,,9.0,3.0,,3.0,15.0,10.0,13,6.0,7,4.0,23.0,15.0,38.0,37.0,33.0,27,13.0,20,62
2019-02-09,Boston College,Boston U.,Home,,20,6,,8.0,20.0,7.0,27.0,38.0,26.0,8,5.0,22,18.0,6.0,2.0,8.0,17.0,12.0,10,3.0,5,67
2019-02-16,Boston College,Syracuse,Away,,14,12,,19.0,14.0,9.0,23.0,36.0,25.0,21,6.0,18,25.0,12.0,5.0,17.0,29.0,24.0,16,6.0,10,67
2019-02-21,Boston College,Massachusetts,Away,,25,14,,10.0,25.0,10.0,35.0,47.0,39.0,13,9.0,24,22.0,14.0,11.0,25.0,27.0,22.0,12,5.0,15,67
2019-02-23,Boston College,Harvard,Home,,17,6,,12.0,17.0,8.0,25.0,32.0,25.0,13,7.0,20,22.0,6.0,1.0,7.0,22.0,17.0,14,3.0,4,67
2019-02-27,Boston College,Dartmouth,Home,,20,10,,16.0,20.0,13.0,33.0,34.0,26.0,16,9.0,19,29.0,10.0,1.0,11.0,30.0,22.0,18,11.0,13,67
2019-03-01,Boston College,Southern California,Home,,12,9,,11.0,12.0,9.0,21.0,28.0,20.0,13,9.0,11,21.0,9.0,5.0,14.0,29.0,21.0,20,12.0,12,67
2019-03-06,Boston College,Navy,Away,,18,5,,10.0,18.0,11.0,29.0,34.0,28.0,16,4.0,18,12.0,5.0,3.0,8.0,22.0,17.0,17,7.0,7,67
2019-03-09,Boston College,Northwestern,Away,,22,17,,29.0,22.0,4.0,26.0,40.0,32.0,18,5.0,25,31.0,17.0,7.0,24.0,28.0,21.0,10,6.0,14,67
2019-03-16,Boston College,Georgetown,Home,,21,11,,7.0,21.0,13.0,34.0,29.0,26.0,7,5.0,24,13.0,11.0,2.0,13.0,20.0,18.0,12,5.0,9,67
2019-03-19,Boston College,UAlbany,Home,,17,9,,24.0,17.0,9.0,26.0,44.0,29.0,12,7.0,19,19.0,9.0,5.0,14.0,25.0,23.0,10,4.0,9,67
2019-03-23,Boston College,North Carolina,Away,,14,8,,18.0,14.0,4.0,18.0,32.0,25.0,10,5.0,15,20.0,8.0,7.0,15.0,24.0,17.0,9,4.0,9,67
2019-03-30,Boston College,Virginia,Home,,16,9,,13.0,16.0,7.0,23.0,29.0,24.0,15,5.0,18,10.0,9.0,4.0,13.0,23.0,19.0,12,5.0,9,67
2019-04-03,Boston College,Notre Dame,Home,,13,9,,28.0,13.0,6.0,19.0,29.0,23.0,18,8.0,16,23.0,9.0,5.0,14.0,30.0,23.0,20,8.0,8,67
2019-04-06,Boston College,Duke,Home,,20,12,,30.0,20.0,10.0,30.0,39.0,30.0,21,11.0,16,27.0,12.0,3.0,15.0,19.0,15.0,13,8.0,18,67
2019-04-13,Boston College,Virginia Tech,Away,,16,13,,15.0,16.0,8.0,24.0,31.0,20.0,14,9.0,19,19.0,13.0,5.0,18.0,29.0,25.0,22,9.0,12,67
2019-04-16,Boston College,Yale,Home,,15,10,,12.0,15.0,7.0,22.0,32.0,24.0,20,11.0,13,15.0,10.0,1.0,11.0,26.0,19.0,11,3.0,14,67
2019-04-20,Boston College,Louisville,Home,,19,6,,14.0,19.0,9.0,28.0,40.0,28.0,23,15.0,21,30.0,6.0,3.0,9.0,21.0,13.0,16,14.0,5,67
2019-04-24,Boston College,Louisville,Home,,15,4,,19.0,15.0,8.0,23.0,36.0,22.0,19,11.0,14,24.0,4.0,1.0,5.0,24.0,17.0,16,10.0,6,67
2019-04-26,Boston College,Syracuse,Home,,14,13,,22.0,14.0,7.0,21.0,32.0,22.0,22,13.0,11,26.0,13.0,6.0,19.0,18.0,16.0,12,6.0,18,67
2019-04-28,Boston College,North Carolina,Home,,13,15,,34.0,13.0,3.0,16.0,30.0,20.0,14,5.0,12,26.0,15.0,8.0,23.0,35.0,19.0,9,6.0,18,67
2019-05-12,Boston College,Colorado,Home,,21,9,,12.0,21.0,11.0,32.0,31.0,28.0,17,12.0,23,26.0,9.0,,9.0,22.0,18.0,16,5.0,8,67
2019-05-18,Boston College,Princeton,Home,,17,12,,16.0,17.0,10.0,27.0,36.0,26.0,15,7.0,21,22.0,12.0,3.0,15.0,29.0,19.0,17,9.0,10,67
2019-05-24,Boston College,North Carolina,Home,,15,14,2,27.0,15.0,4.0,19.0,35.0,29.0,14,7.0,20,22.0,14.0,10.0,24.0,25.0,21.0,18,6.0,12,67
2019-05-26,Boston College,Maryland,Home,,10,12,,36.0,10.0,3.0,13.0,32.0,20.0,18,7.0,11,18.0,12.0,5.0,17.0,28.0,20.0,9,7.0,12,67
2019-02-09,Boston U.,Boston College,Away,,6,20,,18.0,6.0,2.0,8.0,17.0,12.0,10,3.0,5,8.0,20.0,7.0,27.0,38.0,26.0,8,5.0,22,68
2019-02-16,Boston U.,UMass Lowell,Home,,17,12,,7.0,17.0,13.0,30.0,38.0,26.0,19,12.0,21,17.0,12.0,8.0,20.0,20.0,16.0,20,11.0,10,68
2019-02-23,Boston U.,Hartford,Away,,20,2,,17.0,20.0,13.0,33.0,63.0,42.0,25,11.0,19,11.0,2.0,,2.0,13.0,7.0,10,2.0,5,68
2019-02-27,Boston U.,Fairfield,Home,,16,5,,16.0,16.0,9.0,25.0,37.0,30.0,26,20.0,15,7.0,5.0,3.0,8.0,15.0,10.0,17,13.0,7,68
2019-03-03,Boston U.,Southern California,Home,,11,16,,12.0,11.0,10.0,21.0,21.0,15.0,14,6.0,17,12.0,16.0,4.0,20.0,34.0,25.0,20,14.0,12,68
2019-03-06,Boston U.,Harvard,Away,,8,9,2,17.0,8.0,4.0,12.0,23.0,18.0,23,6.0,10,24.0,9.0,4.0,13.0,38.0,23.0,30,6.0,11,68
2019-03-12,Boston U.,Temple,Away,,12,9,,27.0,12.0,4.0,16.0,30.0,19.0,20,4.0,7,8.0,9.0,3.0,12.0,40.0,26.0,16,6.0,16,68
2019-03-16,Boston U.,Lehigh,Away,,16,8,,23.0,16.0,7.0,23.0,36.0,29.0,16,11.0,18,22.0,8.0,4.0,12.0,21.0,15.0,16,7.0,10,68
2019-03-23,Boston U.,Lafayette,Home,,18,8,,19.0,18.0,5.0,23.0,38.0,30.0,20,10.0,16,14.0,8.0,3.0,11.0,22.0,18.0,11,5.0,11,68
2019-03-27,Boston U.,Colgate,Home,,17,12,,18.0,17.0,7.0,24.0,34.0,24.0,16,11.0,18,19.0,12.0,5.0,17.0,24.0,17.0,13,9.0,13,68
2019-03-31,Boston U.,Loyola Maryland,Away,,7,21,,18.0,7.0,2.0,9.0,22.0,15.0,15,4.0,10,14.0,21.0,13.0,34.0,37.0,32.0,19,12.0,21,68
2019-04-06,Boston U.,American,Home,,23,10,,17.0,23.0,11.0,34.0,49.0,35.0,14,10.0,25,19.0,10.0,5.0,15.0,17.0,16.0,14,7.0,9,68
2019-04-09,Boston U.,New Hampshire,Away,,12,10,,,12.0,9.0,21.0,30.0,24.0,20,9.0,19,,10.0,3.0,13.0,19.0,16.0,17,7.0,5,68
2019-04-13,Boston U.,Bucknell,Away,,19,7,,12.0,19.0,7.0,26.0,43.0,28.0,22,14.0,17,20.0,7.0,4.0,11.0,19.0,14.0,13,8.0,10,68
2019-04-17,Boston U.,Holy Cross,Away,,23,14,,21.0,23.0,15.0,38.0,38.0,33.0,23,2.0,19,13.0,14.0,5.0,19.0,23.0,18.0,14,6.0,19,68
2019-04-20,Boston U.,Army West Point,Home,,9,15,,19.0,9.0,4.0,13.0,32.0,21.0,13,9.0,10,19.0,15.0,5.0,20.0,33.0,22.0,11,2.0,14,68
2019-04-25,Boston U.,Navy,Home,,12,13,,17.0,12.0,9.0,21.0,25.0,18.0,18,11.0,11,15.0,13.0,10.0,23.0,30.0,22.0,18,13.0,16,68
2019-04-28,Boston U.,Colgate,Home,,13,14,,10.0,13.0,7.0,20.0,32.0,23.0,17,11.0,24,14.0,14.0,12.0,26.0,23.0,20.0,21,12.0,5,68
2019-02-16,Brown,Quinnipiac,Home,,16,9,,23.0,16.0,2.0,18.0,37.0,24.0,22,10.0,19,18.0,9.0,2.0,11.0,17.0,14.0,20,12.0,8,80
2019-02-18,Brown,Ohio St.,Away,,14,15,1,32.0,14.0,4.0,18.0,29.0,24.0,31,14.0,14,40.0,15.0,4.0,19.0,35.0,25.0,26,13.0,15,80
2019-02-23,Brown,Iona,Away,,14,6,,20.0,14.0,8.0,22.0,39.0,24.0,27,16.0,18,16.0,6.0,5.0,11.0,19.0,17.0,23,16.0,4,80
2019-03-02,Brown,Dartmouth,Away,,11,15,,20.0,11.0,5.0,16.0,32.0,20.0,22,15.0,6,16.0,15.0,11.0,26.0,40.0,28.0,22,7.0,22,80
2019-03-06,Brown,Bryant,Home,,13,14,,24.0,13.0,2.0,15.0,38.0,24.0,16,10.0,13,22.0,14.0,5.0,19.0,31.0,25.0,9,6.0,16,80
2019-03-09,Brown,Navy,Away,,12,18,,28.0,12.0,5.0,17.0,32.0,19.0,16,4.0,11,25.0,18.0,11.0,29.0,39.0,28.0,15,5.0,21,80
2019-03-16,Brown,Yale,Home,,14,11,,32.0,14.0,4.0,18.0,27.0,20.0,16,14.0,9,20.0,11.0,8.0,19.0,23.0,18.0,9,6.0,18,80
2019-03-23,Brown,Princeton,Away,,12,11,,24.0,12.0,5.0,17.0,26.0,18.0,19,7.0,10,12.0,11.0,7.0,18.0,27.0,21.0,21,16.0,15,80
2019-03-26,Brown,Florida,Away,,11,22,,22.0,11.0,5.0,16.0,18.0,17.0,13,8.0,13,20.0,22.0,10.0,32.0,35.0,28.0,21,8.0,21,80
2019-03-30,Brown,Sacred Heart,Home,,17,2,,10.0,17.0,9.0,26.0,34.0,26.0,16,13.0,14,18.0,2.0,,2.0,9.0,6.0,15,5.0,7,80
2019-03-31,Brown,Fresno St.,Home,,19,13,,19.0,19.0,6.0,25.0,36.0,25.0,14,12.0,21,16.0,13.0,6.0,19.0,31.0,24.0,15,8.0,13,80
2019-04-06,Brown,Penn,Home,,8,9,,21.0,8.0,4.0,12.0,19.0,13.0,16,13.0,9,21.0,9.0,3.0,12.0,21.0,15.0,19,11.0,10,80
2019-04-13,Brown,Cornell,Away,,7,10,,31.0,7.0,5.0,12.0,21.0,20.0,19,11.0,10,14.0,10.0,6.0,16.0,28.0,20.0,21,9.0,9,80
2019-04-20,Brown,Harvard,Home,,10,9,,27.0,10.0,2.0,12.0,22.0,17.0,16,12.0,10,33.0,9.0,3.0,12.0,21.0,15.0,12,10.0,11,80
2019-04-27,Brown,Columbia,Home,,13,8,,33.0,13.0,3.0,16.0,32.0,20.0,18,11.0,14,19.0,8.0,4.0,12.0,23.0,13.0,13,8.0,9,80
2019-02-15,Bryant,Massachusetts,Home,,4,24,,21.0,4.0,2.0,6.0,19.0,15.0,15,13.0,11,8.0,24.0,10.0,34.0,39.0,31.0,24,15.0,18,81
2019-02-26,Bryant,UAlbany,Away,,11,21,,19.0,11.0,5.0,16.0,22.0,18.0,5,2.0,20,12.0,21.0,9.0,30.0,41.0,32.0,22,9.0,13,81
2019-03-06,Bryant,Brown,Away,,14,13,,22.0,14.0,5.0,19.0,31.0,25.0,9,6.0,16,24.0,13.0,2.0,15.0,38.0,24.0,16,10.0,13,81
2019-03-09,Bryant,Niagara,Home,,17,13,,27.0,17.0,4.0,21.0,44.0,36.0,24,9.0,15,16.0,13.0,4.0,17.0,39.0,26.0,22,8.0,16,81
2019-03-14,Bryant,Jacksonville,Away,,7,16,,28.0,7.0,5.0,12.0,20.0,13.0,17,13.0,13,17.0,16.0,6.0,22.0,45.0,33.0,31,14.0,12,81
2019-03-17,Bryant,Stetson,Away,,19,13,,30.0,19.0,10.0,29.0,38.0,26.0,24,6.0,15,31.0,13.0,9.0,22.0,33.0,28.0,21,6.0,19,81
2019-03-20,Bryant,Canisius,Home,,18,13,,29.0,18.0,9.0,27.0,38.0,30.0,16,13.0,21,17.0,13.0,6.0,19.0,30.0,23.0,13,7.0,11,81
2019-03-26,Bryant,UConn,Away,,8,15,,20.0,8.0,5.0,13.0,21.0,17.0,10,5.0,12,14.0,15.0,8.0,23.0,31.0,19.0,16,9.0,12,81
2019-03-29,Bryant,Fresno St.,Home,,12,18,,25.0,12.0,5.0,17.0,43.0,27.0,17,8.0,20,17.0,18.0,8.0,26.0,34.0,26.0,16,11.0,11,81
2019-04-05,Bryant,Sacred Heart,Away,,20,8,,11.0,20.0,8.0,28.0,41.0,28.0,16,6.0,19,22.0,8.0,5.0,13.0,17.0,14.0,14,10.0,9,81
2019-04-07,Bryant,LIU,Home,,14,7,,19.0,14.0,8.0,22.0,36.0,29.0,23,12.0,15,16.0,7.0,3.0,10.0,21.0,16.0,12,4.0,8,81
2019-04-12,Bryant,Central Conn. St.,Home,,18,7,,9.0,18.0,8.0,26.0,36.0,30.0,15,6.0,20,15.0,7.0,3.0,10.0,28.0,25.0,19,8.0,7,81
2019-04-18,Bryant,Wagner,Home,,8,15,,36.0,8.0,6.0,14.0,30.0,20.0,19,11.0,13,14.0,15.0,2.0,17.0,37.0,29.0,28,16.0,12,81
2019-04-20,Bryant,Mount St. Mary's,Home,,8,19,,19.0,8.0,4.0,12.0,20.0,13.0,15,7.0,13,21.0,19.0,9.0,28.0,42.0,31.0,18,8.0,15,81
2019-04-26,Bryant,Robert Morris,Away,,11,12,,22.0,11.0,5.0,16.0,21.0,16.0,13,4.0,12,35.0,12.0,3.0,15.0,43.0,26.0,24,13.0,12,81
2019-04-28,Bryant,Saint Francis,Away,,20,15,,34.0,20.0,9.0,29.0,33.0,28.0,28,13.0,17,26.0,15.0,4.0,19.0,28.0,23.0,24,10.0,19,81
2019-05-02,Bryant,Mount St. Mary's,Away,,4,18,,22.0,4.0,1.0,5.0,20.0,11.0,9,4.0,9,17.0,18.0,6.0,24.0,30.0,24.0,13,5.0,15,81
2019-02-09,Bucknell,Virginia Tech,Away,,4,14,,19.0,4.0,1.0,5.0,9.0,8.0,17,7.0,7,25.0,14.0,5.0,19.0,33.0,23.0,24,11.0,13,83
2019-02-16,Bucknell,Hofstra,Home,,4,13,,22.0,4.0,4.0,8.0,23.0,15.0,20,15.0,4,29.0,13.0,4.0,17.0,30.0,24.0,24,13.0,15,83
2019-02-23,Bucknell,UAlbany,Away,,9,18,,33.0,9.0,4.0,13.0,22.0,20.0,16,5.0,16,32.0,18.0,7.0,25.0,40.0,28.0,22,8.0,12,83
