date,team,opponent,home_away,result,home_score,visitor_score,overtime,fouls,goals,assists,points,shots,sog,ground_balls,ct,draw_controls,defensive_fouls,defensive_goals,defensive_assists,defensive_points,defensive_shots,defensive_sog,defensive_ground_balls,defensive_ct,defensive_draw_controls,team_id
2019-02-13,American,UMBC,Home,,8,9,1,14.0,8.0,2.0,10.0,32.0,25.0,15,13.0,7,13.0,9.0,4.0,13.0,28.0,16.0,9,3.0,12,23
2019-02-16,American,Old Dominion,Away,,11,7,,25.0,11.0,1.0,12.0,29.0,23.0,10,9.0,15,22.0,7.0,3.0,10.0,30.0,21.0,17,14.0,3,23
2019-02-23,American,Richmond,Away,,7,15,,41.0,7.0,1.0,8.0,23.0,17.0,19,8.0,12,32.0,15.0,7.0,22.0,39.0,26.0,25,15.0,12,23
2019-02-27,American,George Mason,Home,,10,13,,16.0,10.0,4.0,14.0,23.0,14.0,16,9.0,9,8.0,13.0,8.0,21.0,27.0,18.0,16,9.0,16,23
2019-03-02,American,Presbyterian,Home,,21,3,,6.0,21.0,15.0,36.0,37.0,30.0,17,4.0,20,4.0,3.0,2.0,5.0,6.0,5.0,8,3.0,5,23
2019-03-06,American,Howard,Home,,19,3,,3.0,19.0,12.0,31.0,32.0,26.0,14,10.0,17,4.0,3.0,1.0,4.0,12.0,6.0,15,7.0,7,23
2019-03-11,American,Central Mich.,Away,,11,10,,10.0,11.0,2.0,13.0,28.0,22.0,22,5.0,12,17.0,10.0,6.0,16.0,25.0,20.0,21,8.0,11,23
2019-03-13,American,Detroit Mercy,Away,,9,8,1,25.0,9.0,4.0,13.0,31.0,22.0,23,10.0,12,28.0,8.0,2.0,10.0,22.0,12.0,24,14.0,8,23
2019-03-17,American,Bucknell,Away,,8,11,,19.0,8.0,6.0,14.0,28.0,21.0,18,9.0,7,22.0,11.0,7.0,18.0,32.0,23.0,24,15.0,14,23
2019-03-23,American,Army West Point,Home,,12,10,,14.0,12.0,6.0,18.0,31.0,21.0,22,5.0,11,6.0,10.0,1.0,11.0,36.0,19.0,16,3.0,12,23
2019-03-27,American,Loyola Maryland,Home,,9,17,,10.0,9.0,2.0,11.0,28.0,21.0,20,3.0,12,11.0,17.0,11.0,28.0,34.0,27.0,19,10.0,15,23
2019-03-30,American,Lafayette,Away,,11,15,,31.0,11.0,6.0,17.0,29.0,23.0,12,7.0,13,21.0,15.0,4.0,19.0,32.0,23.0,19,9.0,15,23
2019-04-06,American,Boston U.,Away,,10,23,,19.0,10.0,5.0,15.0,17.0,16.0,14,7.0,9,17.0,23.0,11.0,34.0,49.0,35.0,14,10.0,25,23
2019-04-13,American,Colgate,Home,,11,13,,7.0,11.0,9.0,20.0,42.0,20.0,21,12.0,10,12.0,13.0,5.0,18.0,28.0,19.0,14,6.0,16,23
2019-04-17,American,Navy,Away,,10,20,,15.0,10.0,4.0,14.0,28.0,21.0,17,9.0,12,10.0,20.0,9.0,29.0,36.0,29.0,19,10.0,19,23
2019-04-20,American,Holy Cross,Home,,17,13,,17.0,17.0,7.0,24.0,33.0,27.0,27,10.0,19,14.0,13.0,5.0,18.0,29.0,22.0,24,12.0,13,23
2019-04-26,American,Lehigh,Away,,3,20,,18.0,3.0,1.0,4.0,17.0,13.0,14,5.0,13,17.0,20.0,11.0,31.0,39.0,32.0,17,16.0,12,23
2019-02-08,Arizona St.,Kennesaw St.,Home,,14,7,,16.0,14.0,5.0,19.0,35.0,31.0,32,17.0,14,19.0,7.0,4.0,11.0,22.0,16.0,16,9.0,9,28
2019-02-22,Arizona St.,Columbia,Home,,9,12,,23.0,9.0,5.0,14.0,22.0,16.0,29,8.0,8,28.0,12.0,4.0,16.0,29.0,24.0,30,11.0,13,28
2019-02-24,Arizona St.,Stetson,Home,,11,3,,15.0,11.0,5.0,16.0,27.0,21.0,32,13.0,7,15.0,3.0,2.0,5.0,13.0,9.0,23,3.0,9,28
2019-03-05,Arizona St.,Vanderbilt,Home,,14,15,,16.0,14.0,4.0,18.0,26.0,20.0,23,4.0,13,13.0,15.0,4.0,19.0,33.0,25.0,28,6.0,16,28
2019-03-08,Arizona St.,Southern California,Home,,3,15,,13.0,3.0,2.0,5.0,15.0,11.0,17,7.0,7,21.0,15.0,3.0,18.0,35.0,25.0,22,7.0,13,28
2019-03-15,Arizona St.,Oregon,Away,,18,10,,18.0,18.0,14.0,32.0,33.0,28.0,18,7.0,12,15.0,10.0,4.0,14.0,34.0,22.0,15,4.0,18,28
2019-03-17,Arizona St.,Colorado,Away,,3,15,,30.0,3.0,3.0,6.0,16.0,7.0,11,3.0,4,13.0,15.0,4.0,19.0,40.0,35.0,25,13.0,15,28
2019-03-23,Arizona St.,Stanford,Home,,4,15,,16.0,4.0,3.0,7.0,21.0,12.0,18,10.0,8,8.0,15.0,9.0,24.0,46.0,30.0,31,8.0,13,28
2019-03-25,Arizona St.,California,Home,,11,12,1,13.0,11.0,4.0,15.0,24.0,17.0,17,11.0,9,18.0,12.0,5.0,17.0,22.0,18.0,20,4.0,16,28
2019-03-29,Arizona St.,Stanford,Away,,5,14,,9.0,5.0,3.0,8.0,17.0,11.0,21,6.0,7,7.0,14.0,4.0,18.0,27.0,22.0,25,9.0,14,28
2019-03-31,Arizona St.,California,Away,,8,17,,35.0,8.0,2.0,10.0,19.0,13.0,10,4.0,12,17.0,17.0,5.0,22.0,41.0,29.0,20,8.0,15,28
2019-04-05,Arizona St.,Oregon,Home,,15,14,1,23.0,15.0,9.0,24.0,34.0,25.0,19,7.0,19,21.0,14.0,,14.0,35.0,25.0,17,5.0,13,28
2019-04-07,Arizona St.,Colorado,Home,,7,13,,18.0,7.0,6.0,13.0,25.0,14.0,17,7.0,12,17.0,13.0,2.0,15.0,35.0,24.0,25,8.0,10,28
2019-04-12,Arizona St.,Liberty,Away,,7,14,,31.0,7.0,6.0,13.0,26.0,20.0,15,4.0,11,29.0,14.0,6.0,20.0,40.0,29.0,23,14.0,12,28
2019-04-14,Arizona St.,Presbyterian,Away,,18,6,,20.0,18.0,6.0,24.0,33.0,26.0,23,9.0,16,20.0,6.0,2.0,8.0,15.0,8.0,10,2.0,10,28
2019-04-17,Arizona St.,San Diego St.,Home,,13,11,,26.0,13.0,11.0,24.0,37.0,25.0,21,9.0,15,15.0,11.0,3.0,14.0,31.0,25.0,18,9.0,11,28
2019-04-20,Arizona St.,Southern California,Away,,10,16,,24.0,10.0,4.0,14.0,27.0,21.0,24,6.0,8,18.0,16.0,5.0,21.0,44.0,32.0,23,12.0,20,28
2019-04-25,Arizona St.,California,Home,,8,12,,11.0,8.0,7.0,15.0,24.0,15.0,19,6.0,10,16.0,12.0,6.0,18.0,32.0,22.0,18,7.0,12,28
2019-02-09,Army West Point,Iona,Home,,18,8,,29.0,18.0,4.0,22.0,40.0,29.0,19,9.0,20,27.0,8.0,4.0,12.0,22.0,15.0,16,9.0,8,725
2019-02-13,Army West Point,Marist,Away,,18,9,,22.0,18.0,7.0,25.0,35.0,25.0,22,8.0,19,21.0,9.0,5.0,14.0,30.0,21.0,24,7.0,10,725
2019-02-16,Army West Point,Hartford,Home,,22,5,,7.0,22.0,13.0,35.0,48.0,41.0,12,8.0,21,13.0,5.0,1.0,6.0,9.0,9.0,9,2.0,7,725
2019-02-20,Army West Point,Siena,Away,,12,8,,19.0,12.0,2.0,14.0,26.0,18.0,22,6.0,13,20.0,8.0,4.0,12.0,30.0,16.0,21,8.0,9,725
2019-02-23,Army West Point,Mount St. Mary's,Home,,10,6,,16.0,10.0,1.0,11.0,30.0,20.0,12,5.0,11,12.0,6.0,2.0,8.0,19.0,10.0,11,4.0,7,725
2019-03-02,Army West Point,Monmouth,Home,,15,14,,23.0,15.0,4.0,19.0,34.0,27.0,15,8.0,23,32.0,14.0,5.0,19.0,27.0,20.0,16,6.0,5,725
2019-03-08,Army West Point,VCU,Home,,14,12,,20.0,14.0,7.0,21.0,39.0,26.0,25,12.0,15,26.0,12.0,7.0,19.0,25.0,21.0,23,6.0,13,725
2019-03-12,Army West Point,Villanova,Away,,8,16,,18.0,8.0,1.0,9.0,24.0,15.0,17,5.0,10,17.0,16.0,9.0,25.0,31.0,23.0,17,9.0,15,725
2019-03-16,Army West Point,Loyola Maryland,Home,,7,21,,18.0,7.0,2.0,9.0,21.0,16.0,7,2.0,14,14.0,21.0,11.0,32.0,35.0,28.0,12,6.0,16,725
