season,team,jersey,full_name,roster_name,first_name,last_name,yr,pos,gp,gs,goals,assists,points,sh_att,fouls,red_cards,yellow_cards,gc,goal_app,ggs,goalie_min_plyd,ga,gaa,saves,sv_pct,shutouts,combined_sho,g_wins,g_loss,d_saves,corners,pk,pk_att,gwg
2020,A&M-Corpus Christi Islanders,22, Maggie Murray,"Murray, Maggie", Maggie,Murray,Fr,F,17,16,4,2,10,19,11,NA,3,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2020,A&M-Corpus Christi Islanders,16, Jayden Rea,"Rea, Jayden", Jayden,Rea,Fr,M,17,2,NA,NA,0,1,1,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,A&M-Corpus Christi Islanders,2, Emma Gibbs,"Gibbs, Emma", Emma,Gibbs,So,M,17,7,NA,2,2,8,2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,A&M-Corpus Christi Islanders,12, Samantha Palomino,"Palomino, Samantha", Samantha,Palomino,So,M,17,13,NA,1,1,2,8,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,A&M-Corpus Christi Islanders,26, Addison Urbanus,"Urbanus, Addison", Addison,Urbanus,Sr,M,17,10,NA,NA,0,6,9,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,A&M-Corpus Christi Islanders,15, Megan Dodd,"Dodd, Megan", Megan,Dodd,Sr,D,17,4,NA,NA,0,2,5,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,A&M-Corpus Christi Islanders,23, Reese Cross,"Cross, Reese", Reese,Cross,Fr,D,16,13,1,NA,2,6,10,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,A&M-Corpus Christi Islanders,13, Olivia Alvarez,"Alvarez, Olivia", Olivia,Alvarez,Fr,M,16,14,3,2,8,24,11,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2020,A&M-Corpus Christi Islanders,10, Larissa Fagundes,"Fagundes, Larissa", Larissa,Fagundes,Sr,M,16,13,3,3,9,15,9,NA,2,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,A&M-Corpus Christi Islanders,19, Abby Deakin,"Deakin, Abby", Abby,Deakin,Sr,M,16,15,3,2,8,32,17,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
