season,team,team_id,jersey,full_name,roster_name,first_name,last_name,yr,pos,gp,gs,goals,assists,points,shots,sog,ct,ncaa_id,fouls,ground_balls,turnovers,freepos_shots,freepos_goals,draw_controls
2022,Binghamton,62,22.0,Angelina Suau,Angelina Suau,Angelina,Suau,Fr,M,6.0,0.0,,,0.0,2.0,2.0,1.0,7576100,,3.0,,1.0,,
2022,Binghamton,62,1.0,Olivia Muscolino,Olivia Muscolino,Olivia,Muscolino,Fr,ATT,16.0,15.0,26.0,8.0,34.0,65.0,43.0,,7576093,5.0,13.0,13.0,15.0,9.0,3.0
2022,Binghamton,62,2.0,Abigail Carroll,Abigail Carroll,Abigail,Carroll,Fr,M,15.0,15.0,28.0,4.0,32.0,61.0,44.0,10.0,7576094,33.0,23.0,37.0,11.0,6.0,36.0
2022,Binghamton,62,7.0,Marisa Tancredi,Marisa Tancredi,Marisa,Tancredi,Fr,M,16.0,2.0,14.0,3.0,17.0,28.0,24.0,2.0,7576095,13.0,8.0,13.0,6.0,3.0,
2022,Binghamton,62,14.0,Kelly Quinn,Kelly Quinn,Kelly,Quinn,Sr,M,16.0,16.0,,,0.0,1.0,1.0,15.0,7576097,26.0,28.0,4.0,,,2.0
2022,Boston College,67,45.0,Sydney Scales,Sydney Scales,Sydney,Scales,So,M,22.0,22.0,,,0.0,2.0,2.0,26.0,7320474,29.0,46.0,2.0,,,3.0
2022,Boston College,67,40.0,Katie Riehl,Katie Riehl,Katie,Riehl,So,M,2.0,0.0,,,0.0,,,,7320496,,1.0,,,,
2022,Boston College,67,21.0,Erin Walsh,Erin Walsh,Erin,Walsh,So,ATT,5.0,0.0,1.0,,1.0,6.0,2.0,1.0,7318577,2.0,,1.0,,,
2022,Boston College,67,3.0,Annie Walsh,Annie Walsh,Annie,Walsh,Jr,M,16.0,0.0,9.0,1.0,10.0,19.0,11.0,1.0,7319597,7.0,1.0,1.0,4.0,2.0,1.0
2022,Boston College,67,38.0,Kayla Martello,Kayla Martello,Kayla,Martello,So,M,23.0,23.0,45.0,6.0,51.0,82.0,56.0,5.0,7316247,21.0,5.0,8.0,14.0,6.0,3.0
2022,Boston College,67,42.0,Hunter Roman,Hunter Roman,Hunter,Roman,So,M,23.0,23.0,2.0,,2.0,4.0,3.0,24.0,7316372,51.0,37.0,9.0,,,1.0
2022,Boston College,67,24.0,Kit Arrix,Kit Arrix,Kit,Arrix,So,ATT,9.0,0.0,4.0,1.0,5.0,9.0,6.0,,7316386,1.0,,1.0,2.0,2.0,
2022,Boston College,67,25.0,Sophia Taglich,Sophia Taglich,Sophia,Taglich,Jr,D,16.0,3.0,,,0.0,3.0,2.0,6.0,7314798,5.0,6.0,1.0,1.0,,
2022,Boston College,67,7.0,Caitlynn Mossman,Caitlynn Mossman,Caitlynn,Mossman,Sr,ATT,23.0,23.0,38.0,30.0,68.0,63.0,54.0,2.0,7315023,10.0,7.0,43.0,5.0,3.0,
2022,Boston College,67,5.0,Belle Smith,Belle Smith,Belle,Smith,So,M,23.0,23.0,55.0,28.0,83.0,117.0,86.0,24.0,7319406,27.0,21.0,27.0,29.0,14.0,
2022,Boston College,67,16.0,Andrea Reynolds,Andrea Reynolds,Andrea,Reynolds,So,M,23.0,0.0,4.0,3.0,7.0,16.0,12.0,4.0,7315171,18.0,6.0,9.0,6.0,3.0,10.0
2022,Boston College,67,12.0,Cassidy Weeks,Cassidy Weeks,Cassidy,Weeks,Jr,M,23.0,23.0,30.0,10.0,40.0,71.0,47.0,18.0,7320448,17.0,19.0,11.0,17.0,5.0,9.0
2022,Boston College,67,1.0,Rachel Hall,Rachel Hall,Rachel,Hall,Sr,GK,22.0,22.0,,,0.0,,,8.0,7310931,1.0,29.0,5.0,,,
2022,Boston College,67,29.0,Pheobe Day,Pheobe Day,Pheobe,Day,Jr,M,11.0,0.0,,,0.0,4.0,2.0,,7314378,2.0,1.0,1.0,2.0,,
2022,Boston College,67,13.0,Melanie Welch,Melanie Welch,Melanie,Welch,Sr,D,23.0,23.0,1.0,,1.0,1.0,1.0,14.0,7314473,16.0,23.0,3.0,,,3.0
2022,Boston College,67,33.0,Julia Barry,Julia Barry,Julia,Barry,Jr,M,7.0,0.0,,,0.0,1.0,,1.0,7311042,4.0,3.0,,,,
