season,team,team_id,jersey,full_name,roster_name,first_name,last_name,yr,pos,gp,gs,goals,assists,points,shots,sog,ct,ncaa_id,fouls,ground_balls,turnovers,freepos_shots,freepos_goals,draw_controls
2022,Arizona St.,28,88.0,Zoe Mazur,Zoe Mazur,Zoe,Mazur,Jr,M,18.0,15.0,2.0,2.0,4.0,2.0,2.0,1.0,7318240,40.0,1.0,6.0,,,81.0
2022,Arizona St.,28,98.0,Gigi Gaspar,Gigi Gaspar,Gigi,Gaspar,So,M,15.0,15.0,,,0.0,1.0,1.0,8.0,7315911,39.0,20.0,6.0,,,5.0
2022,Arizona St.,28,25.0,Grace Lilla,Grace Lilla,Grace,Lilla,So,D,3.0,0.0,,,0.0,,,,7315973,1.0,,,,,
2022,Arizona St.,28,48.0,Riley Forman,Riley Forman,Riley,Forman,So,ATT,2.0,0.0,,,0.0,,,,7320159,1.0,1.0,,,,
2022,Arizona St.,28,1.0,Katie Brodsky,Katie Brodsky,Katie,Brodsky,Sr,ATT,16.0,2.0,21.0,25.0,46.0,48.0,34.0,4.0,7315991,20.0,19.0,26.0,11.0,4.0,
2022,Arizona St.,28,97.0,Bella Gaspar,Bella Gaspar,Bella,Gaspar,So,M,19.0,19.0,,,0.0,,,21.0,7311955,54.0,41.0,11.0,,,2.0
2022,Arizona St.,28,31.0,Olivia Hood,Olivia Hood,Olivia,Hood,Sr,M,3.0,0.0,,1.0,1.0,,,,7314327,,,,,,1.0
2022,Arizona St.,28,32.0,Tess Keiser,Tess Keiser,Tess,Keiser,Jr,M,3.0,0.0,,1.0,1.0,1.0,1.0,1.0,7312105,,,,,,
2022,Arizona St.,28,44.0,Sydney Payne,Sydney Payne,Sydney,Payne,Sr,D,19.0,19.0,,,0.0,,,6.0,7312716,40.0,27.0,8.0,,,1.0
2022,Arizona St.,28,34.0,Brynn Holohan,Brynn Holohan,Brynn,Holohan,Jr,M,7.0,0.0,,,0.0,1.0,1.0,,7313467,1.0,,,,,
2022,Arizona St.,28,12.0,Emily Glagolev,Emily Glagolev,Emily,Glagolev,Sr,ATT,19.0,19.0,44.0,42.0,86.0,83.0,64.0,6.0,7556317,32.0,14.0,50.0,10.0,3.0,3.0
