Season,Team,jersey,Full Name,Roster Name,First Name,Last Name,Year,Position,Jersey Number,Games Played,Games Started,Goals,Assists,Points,Shots,Shots on Goal,Ground Balls,Turnovers,Caused Turnovers,Faceoffs Won,Faceoffs Taken,NCAA id
2025,Air Force,25,Tyler Smart,Tyler Smart,Tyler,Smart,Fr,M,25,5,1,0,0,0,1,0,1,1,1,0,0,9115708
2025,Air Force,21,Cody Gross,Cody Gross,Cody,Gross,Sr,D,21,5,2,0,1,1,0,0,3,1,2,0,0,8771592
2025,Air Force,40,Nolan Parlette,Nolan Parlette,Nolan,Parlette,Jr,GK,40,4,0,0,0,0,0,0,4,2,2,0,0,8770676
2025,Air Force,4,Blaze DeGracie,Blaze DeGracie,Blaze,DeGracie,So,SSDM,4,4,0,0,0,0,2,1,7,2,3,0,0,8778148
2025,Air Force,29,Jack Hamilton,Jack Hamilton,Jack,Hamilton,Fr,M,29,4,0,0,1,1,1,1,1,2,1,0,0,9115709
2025,Air Force,49,Wells Flinn,Wells Flinn,Wells,Flinn,So,SSDM,49,3,0,2,0,2,2,2,0,0,0,0,0,8773518
2025,Air Force,53,Palmer Firmender,Palmer Firmender,Palmer,Firmender,Fr,D,53,3,0,0,0,0,0,0,0,1,0,0,0,9115721
2025,Air Force,51,Matt Deedy,Matt Deedy,Matt,Deedy,Fr,GK,51,3,0,0,0,0,0,0,0,0,0,0,0,9115720
2025,Air Force,18,Ethan Howell,Ethan Howell,Ethan,Howell,Sr,ATT,18,3,0,0,0,0,3,2,0,1,0,0,0,8761342
2025,Air Force,61,Lee Krotee,Lee Krotee,Lee,Krotee,Fr,M,61,3,0,0,1,1,1,1,1,1,0,0,0,9115726
2025,Air Force,22,Ollie Lovell,Ollie Lovell,Ollie,Lovell,Sr,SSDM,22,3,0,0,0,0,0,0,1,1,1,0,0,8762655
2025,Air Force,6,Matt Rubino,Matt Rubino,Matt,Rubino,Sr,ATT,6,3,0,2,0,2,3,2,0,0,0,0,0,8760623
2025,Air Force,50,Rogan Kane,Rogan Kane,Rogan,Kane,Fr,FO,50,3,0,0,0,0,0,0,0,0,0,1,7,9115719
2025,Air Force,60,Sam Lovell,Sam Lovell,Sam,Lovell,Fr,M,60,2,0,0,0,0,2,2,1,0,0,0,0,9115724
2025,Air Force,37,AJ Serna,AJ Serna,AJ,Serna,Fr,M,37,2,0,2,0,2,3,2,0,0,0,0,0,9115714
2025,Air Force,13,Jake Park,Jake Park,Jake,Park,So,ATT,13,2,0,0,0,0,0,0,2,0,0,0,0,8764407
2025,Air Force,54,Reece Pamintuan,Reece Pamintuan,Reece,Pamintuan,Fr,ATT,54,1,0,0,0,0,0,0,1,0,0,0,0,9115723
2025,Air Force,62,Mason Lelack,Mason Lelack,Mason,Lelack,Fr,D,62,1,0,0,0,0,0,0,0,0,1,0,0,9115727
2025,Air Force,17,Jack Schulte,Jack Schulte,Jack,Schulte,So,ATT,17,1,0,0,0,0,0,0,1,0,0,0,0,9315014
2025,Air Force,20,Sam Palmisano,Sam Palmisano,Sam,Palmisano,So,D,20,1,0,0,0,0,0,0,1,0,0,0,0,8762619
2025,Army West Point,99,John Sullivan,John Sullivan,John,Sullivan,Jr,D,99,10,10,0,0,0,2,1,18,1,7,0,0,8771723
2025,Army West Point,4,Evan Plunkett,Evan Plunkett,Evan,Plunkett,Jr,M,4,10,10,11,10,21,62,32,6,18,2,0,0,8762692
2025,Army West Point,41,Gunnar Fellows,Gunnar Fellows,Gunnar,Fellows,Jr,ATT,41,10,10,20,11,31,58,38,19,17,5,0,0,8767877
